date,code,exchange,open,high,low,close,volume,count_trx
2019-05-09,KTB,NYSE,39.99,41.75,39.99,40.52,8127.0,43.0
2019-05-10,KTB,NYSE,41.25,41.25,40.5,40.8,1764.0,7.0
2019-05-15,KTB,NYSE,40.5,40.5,40.5,40.5,1200.0,12.0
2019-05-16,KTB,NYSE,40.5,40.5,40.49,40.5,4200.0,42.0
2019-05-17,KTB,NYSE,40.49,40.5,40.49,40.5,3900.0,17.0
2019-05-21,KTB,NYSE,41.0,41.0,40.13,40.24,7630.0,55.0
2019-05-22,KTB,NYSE,40.0,40.0,36.93,37.15,89573.0,526.0
2019-05-23,KTB,NYSE,35.15,39.24,33.77,38.6,6701698.0,4270.0
2019-05-24,KTB,NYSE,38.0,38.11,36.39,36.4,852865.0,4576.0
2019-05-28,KTB,NYSE,36.5,38.47,36.25,36.28,618098.0,3907.0
2019-05-29,KTB,NYSE,35.25,35.38,31.89,32.97,1409958.0,7094.0
2019-05-30,KTB,NYSE,32.26,32.5,30.83,31.15,689749.0,3523.0
2019-05-31,KTB,NYSE,29.02,30.08,28.19,29.3,1183713.0,4112.0
2019-06-03,KTB,NYSE,28.25,29.69,28.25,29.05,562936.0,1924.0
2019-06-04,KTB,NYSE,28.88,30.78,28.76,30.75,362944.0,1964.0
2019-06-05,KTB,NYSE,30.87,32.7,30.735,31.38,294421.0,1812.0
2019-06-06,KTB,NYSE,29.75,31.35,29.11,30.5,392838.0,1433.0
2019-06-07,KTB,NYSE,30.44,31.97,28.35,28.42,264631.0,1524.0
2019-06-10,KTB,NYSE,29.11,31.25,29.11,30.42,188492.0,1225.0
2019-06-11,KTB,NYSE,30.68,31.0,27.83,28.28,247305.0,1162.0
2019-06-12,KTB,NYSE,28.09,29.13,27.16,27.16,330951.0,1209.0
2019-06-13,KTB,NYSE,27.84,28.97,27.42,28.83,209469.0,1133.0
2019-06-14,KTB,NYSE,28.65,29.315,28.25,28.3,167026.0,1234.0
2019-06-17,KTB,NYSE,28.42,29.155,27.39,27.94,233820.0,1482.0
2019-06-18,KTB,NYSE,28.13,28.27,26.27,27.37,333326.0,2082.0
2019-06-19,KTB,NYSE,27.6,28.45,27.04,27.38,495538.0,1615.0
2019-06-20,KTB,NYSE,27.47,27.89,26.56,27.75,203053.0,1081.0
2019-06-21,KTB,NYSE,27.66,28.5,26.8,27.51,554326.0,1836.0
2019-06-24,KTB,NYSE,27.5,28.19,27.49,27.68,264614.0,1278.0
2019-06-25,KTB,NYSE,27.51,27.75,25.81,26.13,222625.0,1437.0
2019-06-26,KTB,NYSE,25.87,27.511,25.87,26.67,299169.0,1580.0
2019-06-27,KTB,NYSE,27.28,28.9,26.77,28.37,259297.0,1426.0
2019-06-28,KTB,NYSE,27.52,28.41,27.38,28.02,2706439.0,1841.0
2019-07-01,KTB,NYSE,28.38,29.61,27.76,29.33,314345.0,1487.0
2019-07-02,KTB,NYSE,29.39,29.77,28.61,29.17,159162.0,1042.0
2019-07-03,KTB,NYSE,29.22,29.96,29.15,29.36,58294.0,383.0
2019-07-05,KTB,NYSE,29.34,30.04,29.13,29.83,70648.0,525.0
