date,code,exchange,open,high,low,close,volume,count_trx
2023-05-04,KVUE,NYSE,25.53,26.97,25.25,26.9,29643036.0,25143.0
2023-05-05,KVUE,NYSE,26.66,27.03,26.21,26.5,1903142.0,6229.0
2023-05-08,KVUE,NYSE,26.33,26.85,25.91,26.51,1276244.0,4726.0
2023-05-09,KVUE,NYSE,26.51,26.8,26.08,26.28,769368.0,4053.0
2023-05-10,KVUE,NYSE,26.28,26.77,26.01,26.25,1198966.0,2794.0
2023-05-11,KVUE,NYSE,26.03,26.32,26.0,26.0,839775.0,2945.0
2023-05-12,KVUE,NYSE,26.02,26.61,25.9,26.5,1178378.0,2537.0
2023-05-15,KVUE,NYSE,26.5,27.79,26.5,27.5,1247262.0,4443.0
2023-05-16,KVUE,NYSE,27.5,27.76,27.0,27.03,758580.0,2775.0
2023-05-17,KVUE,NYSE,27.3,27.69,26.65,27.22,481380.0,2199.0
2023-05-18,KVUE,NYSE,27.22,27.3,26.7,27.04,547449.0,1450.0
2023-05-19,KVUE,NYSE,27.04,27.25,26.69,27.23,333291.0,1527.0
2023-05-22,KVUE,NYSE,27.33,27.41,25.96,26.07,1347167.0,4874.0
2023-05-23,KVUE,NYSE,26.01,26.24,25.81,26.0,323486.0,1367.0
2023-05-24,KVUE,NYSE,26.01,26.53,25.9,26.45,354911.0,1351.0
2023-05-25,KVUE,NYSE,26.5,26.6,25.91,26.33,195184.0,993.0
2023-05-26,KVUE,NYSE,26.43,26.43,26.2,26.3,188804.0,786.0
2023-05-30,KVUE,NYSE,26.28,26.47,25.13,25.73,1066469.0,3533.0
2023-05-31,KVUE,NYSE,25.62,25.62,25.0,25.09,979303.0,2777.0
2023-06-01,KVUE,NYSE,25.3,25.64,24.81,25.28,750490.0,2621.0
2023-06-02,KVUE,NYSE,25.26,25.69,24.99,25.55,324267.0,1573.0
2023-06-05,KVUE,NYSE,25.58,25.77,24.84,25.15,782744.0,2449.0
2023-06-06,KVUE,NYSE,25.0,25.38,24.9,25.17,302494.0,1510.0
2023-06-07,KVUE,NYSE,25.1,25.25,24.95,25.08,223850.0,1074.0
2023-06-08,KVUE,NYSE,24.99,25.16,24.81,25.11,412303.0,1092.0
2023-06-09,KVUE,NYSE,25.05,25.15,24.85,25.1,395512.0,1650.0
2023-06-12,KVUE,NYSE,25.01,25.2,24.75,25.02,539265.0,1887.0
2023-06-13,KVUE,NYSE,24.99,25.22,24.97,25.13,414556.0,1853.0
2023-06-14,KVUE,NYSE,25.13,25.49,25.12,25.34,514437.0,1852.0
2023-06-15,KVUE,NYSE,25.4,25.95,25.21,25.75,253814.0,1274.0
2023-06-16,KVUE,NYSE,25.85,26.26,25.85,26.25,609698.0,1592.0
2023-06-20,KVUE,NYSE,25.95,26.38,25.95,26.06,324045.0,1135.0
2023-06-21,KVUE,NYSE,26.19,26.7,25.77,26.2,470409.0,1713.0
2023-06-22,KVUE,NYSE,26.2,26.6,26.2,26.55,318464.0,845.0
2023-06-23,KVUE,NYSE,26.55,26.74,26.27,26.48,889786.0,1731.0
2023-06-26,KVUE,NYSE,26.59,26.59,26.03,26.15,309057.0,1291.0
2023-06-27,KVUE,NYSE,26.0,26.04,25.2,25.89,875448.0,2439.0
2023-06-28,KVUE,NYSE,25.9,26.02,25.67,25.8,571281.0,1672.0
2023-06-29,KVUE,NYSE,25.74,26.22,25.74,25.99,526115.0,1218.0
2023-06-30,KVUE,NYSE,26.04,26.66,26.04,26.42,936353.0,2745.0
2023-07-03,KVUE,NYSE,26.31,26.6,25.8,26.04,201357.0,884.0
2023-07-05,KVUE,NYSE,25.91,26.24,25.62,25.7,329022.0,1148.0
2023-07-06,KVUE,NYSE,25.55,25.8,25.38,25.62,603549.0,1903.0
2023-07-07,KVUE,NYSE,25.62,25.64,25.21,25.22,696804.0,1134.0
2023-07-10,KVUE,NYSE,25.31,25.52,25.11,25.25,499898.0,2551.0
2023-07-11,KVUE,NYSE,25.48,25.55,25.01,25.08,717852.0,5070.0
