date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,LLY,NYSE,65.0,67.4375,65.0,65.6875,2306700.0,
2000-01-04,LLY,NYSE,64.25,65.4375,62.75,63.0625,3134900.0,
2000-01-05,LLY,NYSE,63.125,65.3125,63.0,64.3125,3005200.0,
2000-01-06,LLY,NYSE,65.0,66.1875,64.3125,66.1875,2204100.0,
2000-01-07,LLY,NYSE,68.0,71.0625,67.5,71.0625,5207900.0,
2000-01-10,LLY,NYSE,71.0625,71.0625,67.9375,68.25,2472600.0,
2000-01-11,LLY,NYSE,67.0,69.375,67.0,68.5,2974200.0,
2000-01-12,LLY,NYSE,67.625,68.25,66.9375,67.5,3302100.0,
2000-01-13,LLY,NYSE,65.75,68.375,65.625,66.6875,3283700.0,
2000-01-14,LLY,NYSE,68.9375,69.25,68.0,68.3125,3374500.0,
2000-01-18,LLY,NYSE,69.375,69.375,66.5,67.3125,1826600.0,
2000-01-19,LLY,NYSE,66.0,68.0,65.75,67.75,1967600.0,
2000-01-20,LLY,NYSE,67.6875,68.25,65.625,65.875,1774300.0,
2000-01-21,LLY,NYSE,65.125,65.625,64.125,64.875,3636200.0,
2000-01-24,LLY,NYSE,64.625,64.8125,61.5625,62.125,3368300.0,
2000-01-25,LLY,NYSE,62.375,63.25,61.75,62.0625,2796500.0,
2000-01-26,LLY,NYSE,62.9375,63.375,62.125,62.75,1834500.0,
2000-01-27,LLY,NYSE,62.0,64.375,61.5,64.25,2566900.0,
2000-01-28,LLY,NYSE,65.0,67.375,64.875,65.3125,3767100.0,
2000-01-31,LLY,NYSE,65.9375,67.0,62.375,66.875,2982600.0,
2000-02-01,LLY,NYSE,65.875,66.5,64.6875,65.5,2690800.0,
2000-02-02,LLY,NYSE,65.5,66.0,63.875,65.0,1792800.0,
2000-02-03,LLY,NYSE,65.3125,65.8125,63.625,65.125,2233500.0,
2000-02-04,LLY,NYSE,64.9375,65.25,64.5,64.875,1448900.0,
2000-02-07,LLY,NYSE,65.4375,65.4375,62.75,63.3125,1608000.0,
2000-02-08,LLY,NYSE,62.625,63.75,62.625,63.3125,2198400.0,
2000-02-09,LLY,NYSE,64.375,64.375,61.6875,61.6875,2662600.0,
2000-02-10,LLY,NYSE,61.875,62.875,61.8125,62.3125,1714600.0,
2000-02-11,LLY,NYSE,62.5,62.5625,61.0625,61.625,2959800.0,
2000-02-14,LLY,NYSE,61.375,62.0,60.4375,60.75,2422600.0,
2000-02-15,LLY,NYSE,60.875,61.6875,60.625,61.1875,2610100.0,
2000-02-16,LLY,NYSE,62.0,62.4375,61.25,61.75,3017300.0,
2000-02-17,LLY,NYSE,61.75,61.9375,60.25,60.25,2682800.0,
2000-02-18,LLY,NYSE,60.3125,60.375,58.25,58.4375,2971100.0,
2000-02-22,LLY,NYSE,59.75,60.3125,57.625,59.5,2315200.0,
2000-02-23,LLY,NYSE,59.75,60.875,58.3125,60.3125,2238400.0,
2000-02-24,LLY,NYSE,59.9375,60.25,57.9375,58.625,2273300.0,
2000-02-25,LLY,NYSE,58.4375,58.75,56.125,56.6875,2133100.0,
2000-02-28,LLY,NYSE,57.0,58.4375,57.0,57.6875,3524000.0,
2000-02-29,LLY,NYSE,58.5,60.5,58.375,59.4375,3773200.0,
2000-03-01,LLY,NYSE,59.4375,60.25,58.0,58.875,3809300.0,
2000-03-02,LLY,NYSE,57.875,59.375,57.1875,57.8125,1813800.0,
2000-03-03,LLY,NYSE,58.625,58.9375,57.5625,58.0,1806400.0,
2000-03-06,LLY,NYSE,57.25,58.6875,57.125,57.625,2232800.0,
2000-03-07,LLY,NYSE,57.875,57.875,54.0,54.375,3375200.0,
2000-03-08,LLY,NYSE,55.0,57.375,54.5625,56.4375,3825900.0,
2000-03-09,LLY,NYSE,56.4375,60.0,56.4375,60.0,3450200.0,
2000-03-10,LLY,NYSE,60.125,61.9375,60.0,61.1875,3120100.0,
2000-03-13,LLY,NYSE,61.0,61.0,57.625,59.25,1934500.0,
2000-03-14,LLY,NYSE,58.25,58.6875,57.375,57.4375,1955900.0,
2000-03-15,LLY,NYSE,57.4375,63.5,57.375,62.75,3813000.0,
2000-03-16,LLY,NYSE,63.875,65.9375,63.0,64.75,4342400.0,
2000-03-17,LLY,NYSE,63.875,63.9375,61.0,61.375,4465000.0,
2000-03-20,LLY,NYSE,61.375,61.4375,59.625,60.5625,1997800.0,
2000-03-21,LLY,NYSE,59.75,62.0,59.6875,61.6875,2607900.0,
2000-03-22,LLY,NYSE,62.375,64.3125,61.625,63.5625,2895100.0,
2000-03-23,LLY,NYSE,64.1875,64.8125,63.5625,64.1875,2878400.0,
2000-03-24,LLY,NYSE,64.125,64.1875,61.125,62.125,1796900.0,
2000-03-27,LLY,NYSE,62.0,62.3125,59.9375,60.5,1727500.0,
2000-03-28,LLY,NYSE,59.8125,61.0,59.5,60.0,1856700.0,
2000-03-29,LLY,NYSE,60.125,61.5,60.125,61.0,2560300.0,
2000-03-30,LLY,NYSE,61.25,63.125,61.0,61.0,2728700.0,
2000-03-31,LLY,NYSE,61.25,64.5,60.125,63.0,2743800.0,
2000-04-03,LLY,NYSE,64.25,65.4375,64.0,65.375,2283400.0,
2000-04-04,LLY,NYSE,65.625,69.375,65.4375,69.25,5837400.0,
2000-04-05,LLY,NYSE,68.125,69.0,66.875,67.0,2720900.0,
2000-04-06,LLY,NYSE,66.0,67.0,65.0625,65.875,1974500.0,
2000-04-07,LLY,NYSE,65.625,65.75,64.1875,64.3125,1393700.0,
2000-04-10,LLY,NYSE,64.0,66.75,63.75,64.875,2583700.0,
2000-04-11,LLY,NYSE,65.0,66.9375,64.875,66.875,2071000.0,
2000-04-12,LLY,NYSE,66.25,67.0,64.8125,65.0,2205800.0,
2000-04-13,LLY,NYSE,68.4375,69.4375,68.0,69.125,3916800.0,
2000-04-14,LLY,NYSE,68.5,69.9375,66.5,67.4375,3484800.0,
2000-04-17,LLY,NYSE,67.4375,70.0,67.375,69.9375,3475500.0,
2000-04-18,LLY,NYSE,69.8125,74.0,69.625,73.25,5154600.0,
2000-04-19,LLY,NYSE,74.1875,76.25,73.25,75.625,5476300.0,
2000-04-20,LLY,NYSE,76.4375,76.875,75.0,75.75,3785500.0,
2000-04-24,LLY,NYSE,75.75,78.5,75.75,77.5,4011800.0,
2000-04-25,LLY,NYSE,77.0625,77.3125,76.1875,77.0,3416200.0,
2000-04-26,LLY,NYSE,76.5,78.125,75.5,77.8125,3661700.0,
2000-04-27,LLY,NYSE,77.0,78.0,76.1875,77.9375,2250100.0,
2000-04-28,LLY,NYSE,77.125,77.6875,76.0,77.3125,2408900.0,
2000-05-01,LLY,NYSE,78.0,79.4375,77.0,77.375,3129200.0,
2000-05-02,LLY,NYSE,76.9375,78.6875,76.9375,78.0,2374600.0,
2000-05-03,LLY,NYSE,78.0,79.0625,77.3125,79.0,2339100.0,
2000-05-04,LLY,NYSE,79.0,79.625,77.6875,79.0,2661800.0,
2000-05-05,LLY,NYSE,77.5,79.9375,77.5,79.9375,2858900.0,
2000-05-08,LLY,NYSE,79.9375,80.5,78.75,80.5,2126900.0,
2000-05-09,LLY,NYSE,80.25,80.3125,79.0625,79.875,2273700.0,
2000-05-10,LLY,NYSE,77.875,78.6875,76.0,77.5625,3988700.0,
2000-05-11,LLY,NYSE,75.25,75.9375,74.25,74.875,2399100.0,
2000-05-12,LLY,NYSE,74.25,76.125,73.0,75.4375,2786300.0,
2000-05-15,LLY,NYSE,75.375,76.9375,75.25,76.4375,3243900.0,
2000-05-16,LLY,NYSE,75.5,76.5,74.75,74.9375,3047900.0,
2000-05-17,LLY,NYSE,74.625,74.75,72.875,73.875,3596100.0,
2000-05-18,LLY,NYSE,73.875,74.8125,73.625,73.9375,2263400.0,
2000-05-19,LLY,NYSE,73.9375,76.0625,73.6875,75.9375,2628900.0,
2000-05-22,LLY,NYSE,76.25,77.0,73.6875,75.1875,2342300.0,
2000-05-23,LLY,NYSE,74.625,76.1875,73.875,75.5625,1558100.0,
2000-05-24,LLY,NYSE,75.5625,77.625,75.4375,77.125,2120200.0,
2000-05-25,LLY,NYSE,78.5,79.625,77.3125,78.625,3078000.0,
2000-05-26,LLY,NYSE,77.75,79.375,77.75,78.8125,1577600.0,
2000-05-30,LLY,NYSE,77.875,78.0,75.4375,76.5,1877600.0,
2000-05-31,LLY,NYSE,76.0,77.4375,75.0,76.125,1968800.0,
2000-06-01,LLY,NYSE,77.0,77.75,76.25,77.0625,2772900.0,
2000-06-02,LLY,NYSE,76.9375,76.9375,72.3125,73.125,3860500.0,
2000-06-05,LLY,NYSE,71.625,73.0,71.25,72.4375,3021900.0,
2000-06-06,LLY,NYSE,71.25,74.375,71.25,74.125,2054700.0,
2000-06-07,LLY,NYSE,74.375,75.875,74.0,74.875,2245100.0,
2000-06-08,LLY,NYSE,74.625,75.5625,73.375,74.9375,1690400.0,
2000-06-09,LLY,NYSE,73.875,76.5,73.875,76.1875,2507700.0,
2000-06-12,LLY,NYSE,77.0,79.0,76.75,78.25,4179200.0,
2000-06-13,LLY,NYSE,78.125,80.9375,78.0625,80.875,3511300.0,
2000-06-14,LLY,NYSE,81.125,82.9375,80.9375,82.8125,4448400.0,
2000-06-15,LLY,NYSE,82.8125,83.4375,81.75,83.0,3316700.0,
2000-06-16,LLY,NYSE,83.0,85.25,82.375,84.9375,5913300.0,
2000-06-19,LLY,NYSE,84.125,86.8125,84.125,86.625,3128700.0,
2000-06-20,LLY,NYSE,86.25,87.125,85.4375,86.75,3955800.0,
2000-06-21,LLY,NYSE,86.625,89.4375,86.25,86.75,5215200.0,
2000-06-22,LLY,NYSE,86.25,86.25,83.875,84.5,2969900.0,
2000-06-23,LLY,NYSE,84.5,85.3125,84.3125,85.3125,1543200.0,
2000-06-26,LLY,NYSE,85.3125,87.6875,84.875,86.5625,2977900.0,
2000-06-27,LLY,NYSE,86.125,86.25,83.875,84.75,3531600.0,
2000-06-28,LLY,NYSE,86.5,87.625,85.375,87.125,4142700.0,
2000-06-29,LLY,NYSE,104.0,108.0,99.0,102.5,20391700.0,
2000-06-30,LLY,NYSE,97.75,100.75,97.5625,99.875,7473600.0,
2000-07-03,LLY,NYSE,97.9375,99.3125,97.5625,98.75,1723400.0,
2000-07-05,LLY,NYSE,98.875,105.0,98.625,104.5,5184900.0,
2000-07-06,LLY,NYSE,102.875,103.8125,100.1875,101.625,3343500.0,
2000-07-07,LLY,NYSE,99.6875,102.75,99.0,101.0,2061800.0,
2000-07-10,LLY,NYSE,100.9375,104.375,100.875,104.0,1713300.0,
2000-07-11,LLY,NYSE,103.0,103.125,102.375,103.0,2491100.0,
2000-07-12,LLY,NYSE,102.0,102.375,99.3125,99.75,2361800.0,
2000-07-13,LLY,NYSE,99.0,99.0625,94.9375,95.75,3475100.0,
2000-07-14,LLY,NYSE,93.375,95.125,91.5625,94.5,4415900.0,
2000-07-17,LLY,NYSE,95.5,99.8125,94.5,98.5,2710600.0,
2000-07-18,LLY,NYSE,98.375,101.1875,97.25,100.5,3332200.0,
2000-07-19,LLY,NYSE,100.25,100.875,98.625,100.5,2445600.0,
2000-07-20,LLY,NYSE,97.75,98.4375,94.1875,96.0,4295800.0,
2000-07-21,LLY,NYSE,96.0,99.5625,95.3125,98.125,2925300.0,
2000-07-24,LLY,NYSE,98.8125,102.125,98.8125,101.125,3184600.0,
2000-07-25,LLY,NYSE,98.75,101.375,98.75,101.25,2584900.0,
2000-07-26,LLY,NYSE,99.25,100.9375,98.0,98.875,2854600.0,
2000-07-27,LLY,NYSE,99.75,100.375,99.375,99.4375,1586700.0,
2000-07-28,LLY,NYSE,99.5,104.0,99.5,102.25,2949200.0,
2000-07-31,LLY,NYSE,102.5,104.875,100.0625,103.875,2501900.0,
2000-08-01,LLY,NYSE,104.125,107.1875,103.6875,106.875,2216500.0,
2000-08-02,LLY,NYSE,105.875,107.4375,105.8125,106.75,2626000.0,
2000-08-03,LLY,NYSE,105.3125,108.6875,105.3125,108.375,1898900.0,
2000-08-04,LLY,NYSE,107.625,107.875,105.125,107.375,1769100.0,
2000-08-07,LLY,NYSE,105.75,106.6875,104.75,106.5625,1582700.0,
2000-08-08,LLY,NYSE,106.8125,108.9375,105.5,108.5625,3126900.0,
2000-08-09,LLY,NYSE,107.0,107.4375,75.0,75.0,19913500.0,
2000-08-10,LLY,NYSE,76.75,78.25,75.125,76.25,21829000.0,
2000-08-11,LLY,NYSE,76.0,78.4375,75.5625,77.0,8319000.0,
2000-08-14,LLY,NYSE,77.9375,78.5,77.125,77.8125,4151600.0,
2000-08-15,LLY,NYSE,78.4375,78.4375,77.0,77.0,2488200.0,
2000-08-16,LLY,NYSE,77.4375,78.1875,77.0625,77.125,3618100.0,
2000-08-17,LLY,NYSE,77.5,79.25,77.4375,78.375,3533600.0,
2000-08-18,LLY,NYSE,78.5,78.8125,76.5,76.8125,3113400.0,
2000-08-21,LLY,NYSE,77.125,78.3125,77.0625,77.1875,1922500.0,
2000-08-22,LLY,NYSE,77.0,78.125,76.125,76.125,2496000.0,
2000-08-23,LLY,NYSE,76.0,77.25,75.875,77.1875,2189200.0,
2000-08-24,LLY,NYSE,77.125,77.1875,75.5,75.625,1955500.0,
2000-08-25,LLY,NYSE,75.875,76.125,75.25,75.5625,1395800.0,
2000-08-28,LLY,NYSE,75.0,75.75,74.5,74.5,2748800.0,
2000-08-29,LLY,NYSE,74.3125,74.875,73.375,74.0,2103900.0,
2000-08-30,LLY,NYSE,73.75,74.6875,73.4375,74.25,2460800.0,
2000-08-31,LLY,NYSE,73.8125,74.0,73.0,73.0,2327800.0,
2000-09-01,LLY,NYSE,74.25,74.25,72.5625,72.625,1491900.0,
2000-09-05,LLY,NYSE,71.0,71.3125,68.875,69.875,6160400.0,
2000-09-06,LLY,NYSE,69.875,69.9375,66.625,67.1875,4860700.0,
2000-09-07,LLY,NYSE,67.0,69.625,66.875,68.5625,4193200.0,
2000-09-08,LLY,NYSE,69.0,70.0,69.0,69.3125,2799700.0,
2000-09-11,LLY,NYSE,70.4375,70.5625,69.875,70.0625,2428300.0,
2000-09-12,LLY,NYSE,70.5625,72.375,70.0,71.625,2712500.0,
2000-09-13,LLY,NYSE,72.0,75.0,71.8125,74.4375,3370000.0,
2000-09-14,LLY,NYSE,74.375,74.625,72.8125,73.75,2325500.0,
2000-09-15,LLY,NYSE,74.5625,74.8125,72.375,72.9375,2692500.0,
2000-09-18,LLY,NYSE,73.9375,75.5625,73.5,74.4375,1840400.0,
2000-09-19,LLY,NYSE,75.25,76.0,73.5625,75.875,2127800.0,
2000-09-20,LLY,NYSE,75.875,77.375,74.9375,77.25,1863900.0,
2000-09-21,LLY,NYSE,77.25,78.0625,76.8125,78.0625,2639300.0,
2000-09-22,LLY,NYSE,79.0,82.0,78.875,81.5,4455800.0,
2000-09-25,LLY,NYSE,82.3125,83.1875,81.8125,82.875,2429400.0,
2000-09-26,LLY,NYSE,82.125,82.9375,80.8125,82.6875,2376300.0,
2000-09-27,LLY,NYSE,82.0625,82.5,80.625,81.6875,1914300.0,
2000-09-28,LLY,NYSE,80.6875,83.0,80.6875,81.9375,1531700.0,
2000-09-29,LLY,NYSE,82.0,82.8125,80.3125,81.125,1604600.0,
2000-10-02,LLY,NYSE,81.25,82.5625,80.3125,80.875,1530000.0,
2000-10-03,LLY,NYSE,79.75,82.9375,79.5625,81.75,1988900.0,
2000-10-04,LLY,NYSE,81.9375,83.6875,81.75,82.5,1718100.0,
2000-10-05,LLY,NYSE,82.0,84.9375,81.25,84.4375,2730700.0,
2000-10-06,LLY,NYSE,83.4375,83.8125,81.3125,82.9375,1629000.0,
2000-10-09,LLY,NYSE,83.0,83.625,81.875,82.6875,821300.0,
2000-10-10,LLY,NYSE,82.5,84.9375,82.0625,84.5,1440800.0,
2000-10-11,LLY,NYSE,84.9375,88.125,83.5625,87.4375,3106800.0,
2000-10-12,LLY,NYSE,87.0,88.625,86.1875,87.5,3090900.0,
2000-10-13,LLY,NYSE,87.0,87.5625,86.25,87.0,3923700.0,
2000-10-16,LLY,NYSE,86.625,89.8125,86.5625,89.8125,2961300.0,
2000-10-17,LLY,NYSE,88.375,89.9375,88.0625,89.125,1941500.0,
2000-10-18,LLY,NYSE,87.1875,90.25,87.1875,89.25,2890000.0,
2000-10-19,LLY,NYSE,85.0,89.0,83.125,88.5,7366900.0,
2000-10-20,LLY,NYSE,87.3125,87.4375,85.4375,86.375,2637000.0,
2000-10-23,LLY,NYSE,86.9375,89.6875,86.6875,88.9375,2366900.0,
2000-10-24,LLY,NYSE,88.0,89.25,86.75,87.6875,2066100.0,
2000-10-25,LLY,NYSE,88.0,90.0625,87.3125,88.8125,2880600.0,
2000-10-26,LLY,NYSE,88.5625,90.5,87.125,87.5,2773500.0,
2000-10-27,LLY,NYSE,87.5,88.9375,85.8125,87.5,2451200.0,
2000-10-30,LLY,NYSE,87.0,88.625,87.0,88.0,2071900.0,
2000-10-31,LLY,NYSE,87.75,89.6875,86.5,89.375,3562700.0,
2000-11-01,LLY,NYSE,89.4375,91.25,89.4375,91.0,3456100.0,
2000-11-02,LLY,NYSE,89.8125,90.1875,87.625,88.5,4031600.0,
