date,code,exchange,open,high,low,close,volume,count_trx
2008-06-10,LO,NYSE,24.666642,25.763308,24.316642,25.543308,48212748.212748,
2008-06-11,LO,NYSE,25.743308,26.183307,25.629974,25.726641,6522006.522007,
2008-06-12,LO,NYSE,25.983307,26.333307,24.666642,25.039975,5961605.961606,
2008-06-13,LO,NYSE,25.166642,25.333308,24.186642,24.253309,3811803.811804,
2008-06-16,LO,NYSE,24.209976,24.383309,23.449977,23.58331,2996702.996703,
2008-06-17,LO,NYSE,23.883309,24.296642,23.749976,23.859976,3914403.914404,
2008-06-18,LO,NYSE,24.093309,24.316642,23.72331,23.916643,6255006.255006,
2008-06-19,LO,NYSE,24.159976,24.159976,23.64331,23.776643,2550902.550903,
2008-06-20,LO,NYSE,23.819976,23.819976,23.339977,23.636643,4065004.065004,
2008-06-23,LO,NYSE,23.73331,23.826643,22.833311,23.389977,2775902.775903,
2008-06-24,LO,NYSE,23.61331,24.049976,22.799977,22.94331,3540603.540604,
2008-06-25,LO,NYSE,23.08331,24.406642,23.08331,23.863309,4934104.934105,
2008-06-26,LO,NYSE,23.349977,23.789976,22.839977,22.969977,3362703.362703,
2008-06-27,LO,NYSE,23.039977,23.28331,22.256644,22.659977,2997902.997903,
2008-06-30,LO,NYSE,22.343311,23.179977,22.343311,23.05331,1955701.955702,
2008-07-01,LO,NYSE,22.449978,22.779977,20.919979,22.666644,6479706.479706,
2008-07-02,LO,NYSE,22.716644,23.026644,22.656644,22.749977,1230601.230601,
2008-07-03,LO,NYSE,22.999977,22.999977,22.306644,22.419978,878400.878401,
2008-07-07,LO,NYSE,22.476644,23.066644,22.166645,22.746644,1258801.258801,
2008-07-08,LO,NYSE,22.786644,22.95331,22.219978,22.90331,1511101.511102,
2008-07-09,LO,NYSE,22.666644,22.899977,22.359978,22.469978,1695601.695602,
2008-07-10,LO,NYSE,22.416644,23.586643,22.416644,23.506643,1975501.975502,
2008-07-11,LO,NYSE,23.096644,23.806643,23.08331,23.499977,1136701.136701,
2008-07-14,LO,NYSE,23.999976,24.083309,23.316643,23.64331,1310401.310401,
2008-07-15,LO,NYSE,23.39331,23.83331,23.026644,23.229977,1755601.755602,
2008-07-16,LO,NYSE,23.066644,23.356643,22.586644,22.676644,1630801.630802,
2008-07-17,LO,NYSE,22.386644,23.256643,22.166645,23.016644,1698001.698002,
2008-07-18,LO,NYSE,22.92331,23.16331,22.573311,22.833311,2087102.087102,
2008-07-21,LO,NYSE,22.999977,23.086644,22.459978,22.563311,1089901.089901,
2008-07-22,LO,NYSE,22.659977,23.136644,22.386644,23.116644,2231402.231402,
2008-07-23,LO,NYSE,23.056644,23.326643,22.583311,23.20331,2353802.353802,
2008-07-24,LO,NYSE,23.306643,23.306643,22.129978,22.329978,1756801.756802,
2008-07-25,LO,NYSE,22.219978,22.626644,21.666645,21.999978,1647001.647002,
2008-07-28,LO,NYSE,21.666645,22.999977,21.246645,22.909977,2802602.802603,
2008-07-29,LO,NYSE,23.24331,23.436643,22.999977,23.339977,1604401.604402,
2008-07-30,LO,NYSE,23.42331,23.83331,22.683311,22.906644,2049302.049302,
2008-07-31,LO,NYSE,22.456644,23.07331,22.009978,22.369978,2705102.705103,
2008-08-01,LO,NYSE,22.436644,22.829977,22.276644,22.479978,840000.840001,
2008-08-04,LO,NYSE,22.679977,22.86331,22.493311,22.523311,814200.814201,
2008-08-05,LO,NYSE,22.783311,23.309977,22.533311,23.309977,1581601.581602,
2008-08-06,LO,NYSE,23.499977,23.499977,22.526644,22.849977,3053103.053103,
2008-08-07,LO,NYSE,22.499978,22.673311,22.219978,22.436644,1514401.514402,
2008-08-08,LO,NYSE,22.313311,22.87331,22.279978,22.803311,4384804.384804,
2008-08-11,LO,NYSE,22.726644,23.399977,22.726644,23.399977,2474702.474702,
2008-08-12,LO,NYSE,23.099977,23.279977,22.876644,23.099977,1105801.105801,
2008-08-13,LO,NYSE,22.966644,23.476643,22.966644,23.29331,4125604.125604,
2008-08-14,LO,NYSE,23.016644,23.476643,22.966644,23.32331,1275301.275301,
2008-08-15,LO,NYSE,23.329977,24.326642,23.316643,24.159976,1690501.690502,
2008-08-18,LO,NYSE,24.206642,24.309976,23.953309,24.176642,1016701.016701,
2008-08-19,LO,NYSE,23.889976,24.383309,23.749976,24.029976,1556701.556702,
2008-08-20,LO,NYSE,24.023309,24.023309,23.466643,23.929976,652500.652501,
2008-08-21,LO,NYSE,23.766643,24.003309,23.52331,23.916643,1681201.681202,
2008-08-22,LO,NYSE,23.779976,24.059976,23.659976,24.056643,1458301.458301,
2008-08-25,LO,NYSE,23.903309,24.046643,23.776643,23.999976,3838503.838504,
2008-08-26,LO,NYSE,23.969976,24.039976,23.749976,23.969976,2698802.698803,
2008-08-27,LO,NYSE,24.159976,24.223309,23.706643,24.193309,1675501.675502,
2008-08-28,LO,NYSE,23.849976,24.523309,23.759976,24.516642,1138501.138501,
2008-08-29,LO,NYSE,24.559975,24.659975,24.006643,24.079976,1202401.202401,
2008-09-02,LO,NYSE,24.566642,24.733309,24.356642,24.486642,1242301.242301,
2008-09-03,LO,NYSE,24.336642,24.686642,23.636643,23.776643,1471201.471201,
2008-09-04,LO,NYSE,23.519976,23.869976,23.166644,23.219977,1163701.163701,
2008-09-05,LO,NYSE,23.649976,24.966642,23.58331,24.696642,3219603.219603,
2008-09-08,LO,NYSE,25.643308,25.643308,24.743309,25.229975,4989604.989605,
2008-09-09,LO,NYSE,25.333308,25.333308,24.273309,24.303309,2438102.438102,
2008-09-10,LO,NYSE,24.656642,24.656642,23.996643,24.433309,2990102.990103,
2008-09-11,LO,NYSE,24.236642,25.043308,24.236642,24.999975,1667701.667702,
2008-09-12,LO,NYSE,24.786642,25.713308,24.786642,25.713308,1561201.561202,
2008-09-15,LO,NYSE,25.333308,25.403308,24.376642,24.673309,3939303.939304,
2008-09-16,LO,NYSE,24.666642,25.063308,24.173309,24.376642,3137703.137703,
2008-09-17,LO,NYSE,24.003309,24.659975,22.916644,22.949977,4537804.537805,
2008-09-18,LO,NYSE,23.499977,24.583309,22.296644,23.666643,4885804.885805,
2008-09-19,LO,NYSE,23.00331,24.439976,23.00331,24.046643,3453303.453303,
2008-09-22,LO,NYSE,23.986643,24.143309,22.959977,23.009977,1686301.686302,
2008-09-23,LO,NYSE,23.126644,23.63331,23.06331,23.17331,1094101.094101,
2008-09-24,LO,NYSE,23.099977,23.29331,22.553311,22.976644,3179103.179103,
2008-09-25,LO,NYSE,23.166644,24.076643,22.969977,23.996643,4024204.024204,
2008-09-26,LO,NYSE,23.56331,24.846642,23.39331,24.706642,2676302.676303,
2008-09-29,LO,NYSE,24.439976,24.666642,22.416644,22.829977,3633303.633304,
2008-09-30,LO,NYSE,23.656643,23.919976,23.139977,23.716643,2832002.832003,
2008-10-01,LO,NYSE,23.336643,23.969976,23.16331,23.28331,1795501.795502,
2008-10-02,LO,NYSE,23.28331,23.356643,22.486644,22.539977,2318102.318102,
2008-10-03,LO,NYSE,22.549977,22.876644,22.129978,22.276644,3165603.165603,
2008-10-06,LO,NYSE,21.913311,22.199978,20.08998,21.429979,4510804.510805,
2008-10-07,LO,NYSE,21.733312,22.009978,20.669979,20.749979,2046902.046902,
2008-10-08,LO,NYSE,20.676646,21.633312,20.21998,21.243312,5646005.646006,
2008-10-09,LO,NYSE,21.316645,21.433312,19.173314,20.11998,3716703.716704,
2008-10-10,LO,NYSE,19.266647,20.599979,17.766649,19.666647,3294903.294903,
2008-10-13,LO,NYSE,20.486646,21.676645,19.67998,21.633312,3207903.207903,
2008-10-14,LO,NYSE,21.809978,22.403311,19.226647,20.07998,2774102.774103,
2008-10-15,LO,NYSE,19.726647,20.216646,18.773315,18.906648,4404904.404904,
2008-10-16,LO,NYSE,18.663315,19.033314,17.999982,18.609981,3421203.421203,
2008-10-17,LO,NYSE,18.259982,19.99998,17.913315,19.243314,2742002.742003,
2008-10-20,LO,NYSE,19.299981,19.986647,19.189981,19.676647,1756801.756802,
2008-10-21,LO,NYSE,19.59998,21.196645,19.59998,20.559979,2273702.273702,
2008-10-22,LO,NYSE,19.916647,20.336646,19.493314,20.153313,4136104.136104,
2008-10-23,LO,NYSE,20.433313,21.059979,19.566647,20.576646,2933402.933403,
2008-10-24,LO,NYSE,19.666647,20.38998,19.133314,19.376647,2257202.257202,
2008-10-27,LO,NYSE,19.366647,20.983312,19.156648,20.143313,2927102.927103,
2008-10-28,LO,NYSE,20.443313,22.556644,19.453314,22.383311,3924003.924004,
2008-10-29,LO,NYSE,22.383311,22.383311,20.983312,21.159979,3632703.632704,
