date,code,exchange,open,high,low,close,volume,count_trx
2005-12-14,LYV,NYSE,11.5,11.5,11.05,11.05,188900.0,
2005-12-15,LYV,NYSE,10.9,10.9,10.55,10.55,353000.0,
2005-12-16,LYV,NYSE,10.56,10.75,10.56,10.75,179000.0,
2005-12-19,LYV,NYSE,10.75,10.8,10.75,10.8,736300.0,
2005-12-20,LYV,NYSE,10.75,11.19,10.75,11.0,587700.0,
2005-12-21,LYV,NYSE,11.0,11.05,10.55,10.85,4181900.0,
2005-12-22,LYV,NYSE,10.6,11.12,10.59,10.6,3145500.0,
2005-12-23,LYV,NYSE,11.0,12.78,10.95,11.95,4091400.0,
2005-12-27,LYV,NYSE,12.2,12.79,12.14,12.5,3056300.0,
2005-12-28,LYV,NYSE,12.25,13.95,12.25,13.3,2475600.0,
2005-12-29,LYV,NYSE,13.8,13.83,13.21,13.21,968000.0,
2005-12-30,LYV,NYSE,13.65,13.65,12.66,13.1,935900.0,
2006-01-03,LYV,NYSE,12.9,13.5,12.81,13.5,1466900.0,
2006-01-04,LYV,NYSE,13.47,13.83,13.0,13.0,1755300.0,
2006-01-05,LYV,NYSE,13.3,13.31,12.95,13.0,2663400.0,
2006-01-06,LYV,NYSE,13.0,13.08,12.77,12.93,1309700.0,
2006-01-09,LYV,NYSE,12.83,13.75,12.82,13.75,1023500.0,
2006-01-10,LYV,NYSE,13.85,13.85,13.45,13.65,1052100.0,
2006-01-11,LYV,NYSE,13.6,14.5,13.48,14.32,2438400.0,
2006-01-12,LYV,NYSE,14.0,14.65,13.9,14.4,1796400.0,
2006-01-13,LYV,NYSE,14.4,14.77,14.37,14.77,1534200.0,
2006-01-17,LYV,NYSE,14.45,15.14,14.4,14.87,1432100.0,
2006-01-18,LYV,NYSE,14.4,14.65,14.31,14.49,1319000.0,
2006-01-19,LYV,NYSE,14.4,15.22,14.3,15.22,2978000.0,
2006-01-20,LYV,NYSE,15.4,16.75,15.33,16.56,2430000.0,
2006-01-23,LYV,NYSE,16.57,18.31,16.57,17.59,1833500.0,
2006-01-24,LYV,NYSE,17.39,17.8,17.31,17.59,624800.0,
2006-01-25,LYV,NYSE,17.65,17.65,16.37,16.73,836100.0,
2006-01-26,LYV,NYSE,16.8,17.45,16.45,16.57,373500.0,
2006-01-27,LYV,NYSE,16.57,17.4,16.57,17.05,652900.0,
2006-01-30,LYV,NYSE,17.06,17.3,16.78,17.24,575300.0,
2006-01-31,LYV,NYSE,17.2,18.0,17.2,17.75,761200.0,
2006-02-01,LYV,NYSE,17.76,17.85,17.28,17.51,336700.0,
2006-02-02,LYV,NYSE,17.5,17.58,17.25,17.4,269600.0,
2006-02-03,LYV,NYSE,17.28,17.74,17.28,17.65,221800.0,
2006-02-06,LYV,NYSE,17.7,17.75,17.5,17.64,245300.0,
2006-02-07,LYV,NYSE,17.75,18.13,17.54,17.76,249900.0,
2006-02-08,LYV,NYSE,17.76,17.87,17.56,17.87,199500.0,
2006-02-09,LYV,NYSE,17.92,19.0,17.9,18.95,705100.0,
2006-02-10,LYV,NYSE,19.0,19.2,18.98,19.07,373800.0,
2006-02-13,LYV,NYSE,19.0,19.56,19.0,19.4,634600.0,
2006-02-14,LYV,NYSE,19.4,19.4,18.95,19.02,423900.0,
2006-02-15,LYV,NYSE,19.0,19.12,18.97,19.07,638200.0,
2006-02-16,LYV,NYSE,19.08,19.08,18.45,18.5,1343400.0,
2006-02-17,LYV,NYSE,18.4,18.47,17.9,17.94,246400.0,
2006-02-21,LYV,NYSE,17.55,19.12,17.46,18.93,621800.0,
2006-02-22,LYV,NYSE,18.68,19.0,18.57,18.94,94300.0,
2006-02-23,LYV,NYSE,18.51,18.9,18.3,18.71,120100.0,
2006-02-24,LYV,NYSE,18.6,18.7,17.78,18.49,186100.0,
