date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,MDT,NYSE,33.0,35.25,33.0,34.5,8394300.0,
2000-01-04,MDT,NYSE,34.3125,35.5,34.25,34.5,4514600.0,
2000-01-05,MDT,NYSE,35.0,36.9375,34.625,36.5625,5094500.0,
2000-01-06,MDT,NYSE,36.5625,38.3125,36.375,38.0,5531000.0,
2000-01-07,MDT,NYSE,39.75,43.0,39.3125,42.25,10132400.0,
2000-01-10,MDT,NYSE,41.625,43.25,41.4375,42.0625,6140900.0,
2000-01-11,MDT,NYSE,41.5625,43.0625,41.5,42.3125,3881900.0,
2000-01-12,MDT,NYSE,41.625,42.0625,41.3125,41.875,2936700.0,
2000-01-13,MDT,NYSE,42.0,44.125,41.9375,43.5,4603800.0,
2000-01-14,MDT,NYSE,44.75,44.9375,43.625,44.0625,5379100.0,
2000-01-18,MDT,NYSE,44.5,44.875,43.875,44.375,5537000.0,
2000-01-19,MDT,NYSE,44.625,45.625,44.25,44.9375,3744600.0,
2000-01-20,MDT,NYSE,45.75,46.125,44.0,44.0,5464200.0,
2000-01-21,MDT,NYSE,45.0,45.0,43.3125,43.5625,5587600.0,
2000-01-24,MDT,NYSE,44.25,44.9375,42.375,43.0,5302300.0,
2000-01-25,MDT,NYSE,43.75,45.0,43.625,44.5625,3418800.0,
2000-01-26,MDT,NYSE,44.75,46.3125,44.5,46.125,5803500.0,
2000-01-27,MDT,NYSE,46.875,47.5,45.3125,46.25,4100400.0,
2000-01-28,MDT,NYSE,46.1875,46.1875,44.3125,44.8125,3685200.0,
2000-01-31,MDT,NYSE,44.8125,45.75,43.25,45.75,3410100.0,
2000-02-01,MDT,NYSE,45.5,46.5,45.0,46.375,2677600.0,
2000-02-02,MDT,NYSE,46.125,46.5,44.75,45.0,2871300.0,
2000-02-03,MDT,NYSE,45.375,45.8125,44.0,45.75,2702700.0,
2000-02-04,MDT,NYSE,46.0,49.625,46.0,48.0625,5133100.0,
2000-02-07,MDT,NYSE,47.875,49.125,47.5,48.875,4036600.0,
2000-02-08,MDT,NYSE,49.0,49.6875,48.6875,49.625,2891600.0,
2000-02-09,MDT,NYSE,49.5,49.6875,48.8125,48.8125,3286800.0,
2000-02-10,MDT,NYSE,49.0,49.1875,48.0625,48.4375,1777900.0,
2000-02-11,MDT,NYSE,48.75,48.75,45.0,46.4375,5479100.0,
2000-02-14,MDT,NYSE,46.375,48.0625,46.1875,46.375,4203000.0,
2000-02-15,MDT,NYSE,46.625,46.625,44.875,45.4375,4244200.0,
2000-02-16,MDT,NYSE,45.4375,46.0,44.0625,45.6875,4296600.0,
2000-02-17,MDT,NYSE,46.25,47.25,46.1875,46.5625,5072200.0,
2000-02-18,MDT,NYSE,47.5,48.375,47.375,47.6875,5150400.0,
2000-02-22,MDT,NYSE,48.0,49.625,47.6875,49.1875,3711800.0,
2000-02-23,MDT,NYSE,49.1875,49.1875,47.5625,48.5,2839100.0,
2000-02-24,MDT,NYSE,49.0,49.9375,48.125,49.5,5873700.0,
2000-02-25,MDT,NYSE,49.75,49.75,46.375,47.4375,2647900.0,
2000-02-28,MDT,NYSE,47.4375,49.5625,45.75,48.0,4851300.0,
2000-02-29,MDT,NYSE,48.125,49.0,47.25,48.4375,2927100.0,
2000-03-01,MDT,NYSE,48.375,49.25,47.5,49.125,2052200.0,
2000-03-02,MDT,NYSE,49.0,50.4375,48.6875,49.0,2710300.0,
2000-03-03,MDT,NYSE,49.25,51.5,49.125,51.375,2575400.0,
2000-03-06,MDT,NYSE,52.25,52.9375,49.125,49.5,5329600.0,
2000-03-07,MDT,NYSE,50.5,50.5,49.0625,49.5,3123900.0,
2000-03-08,MDT,NYSE,49.0,49.375,48.1875,48.9375,2939300.0,
2000-03-09,MDT,NYSE,48.5,50.1875,48.5,50.0,3194600.0,
2000-03-10,MDT,NYSE,50.0,52.1875,49.75,51.125,2662900.0,
2000-03-13,MDT,NYSE,50.25,51.9375,49.8125,50.1875,1861500.0,
2000-03-14,MDT,NYSE,50.375,50.5625,46.0,46.875,5024200.0,
2000-03-15,MDT,NYSE,47.5,49.6875,46.5625,49.0,3933800.0,
2000-03-16,MDT,NYSE,49.75,53.75,49.3125,52.625,3782200.0,
2000-03-17,MDT,NYSE,52.75,54.8125,52.1875,52.6875,4548100.0,
2000-03-20,MDT,NYSE,52.875,53.875,52.5625,53.375,1985200.0,
2000-03-21,MDT,NYSE,53.5,53.5,50.5,53.1875,5607700.0,
2000-03-22,MDT,NYSE,53.0,55.0,52.4375,54.625,2564200.0,
2000-03-23,MDT,NYSE,54.5,56.4375,53.0,56.0625,4008900.0,
2000-03-24,MDT,NYSE,55.8125,56.5625,54.875,55.0,3290400.0,
2000-03-27,MDT,NYSE,54.5,57.3125,53.5,57.0,3236300.0,
2000-03-28,MDT,NYSE,56.0,57.875,55.0625,55.8125,3835700.0,
2000-03-29,MDT,NYSE,56.375,57.125,54.75,55.4375,3472600.0,
2000-03-30,MDT,NYSE,54.5,54.625,49.8125,51.0,7028100.0,
2000-03-31,MDT,NYSE,51.75,53.125,50.875,51.4375,3970700.0,
2000-04-03,MDT,NYSE,53.0,55.75,52.9375,55.125,3416000.0,
2000-04-04,MDT,NYSE,55.375,56.75,52.3125,55.875,6245100.0,
2000-04-05,MDT,NYSE,55.0,56.625,54.5,56.0,3765700.0,
2000-04-06,MDT,NYSE,55.75,57.1875,55.5,56.0625,2325900.0,
2000-04-07,MDT,NYSE,56.5,57.375,55.8125,56.0625,2156600.0,
2000-04-10,MDT,NYSE,56.25,57.625,55.9375,57.1875,2224800.0,
2000-04-11,MDT,NYSE,57.0,57.0625,55.5625,55.875,1969000.0,
2000-04-12,MDT,NYSE,55.9375,56.3125,54.0,54.0625,2490300.0,
2000-04-13,MDT,NYSE,54.0,54.3125,50.5,50.9375,4540600.0,
2000-04-14,MDT,NYSE,50.0,50.625,47.75,48.5625,4198200.0,
2000-04-17,MDT,NYSE,47.75,48.4375,45.25,48.25,5750500.0,
2000-04-18,MDT,NYSE,48.9375,52.875,48.8125,52.3125,3445400.0,
2000-04-19,MDT,NYSE,52.25,52.75,51.1875,52.375,1943400.0,
2000-04-20,MDT,NYSE,52.0625,52.625,51.375,52.4375,1448500.0,
2000-04-24,MDT,NYSE,52.4375,54.25,52.0,53.875,1673200.0,
2000-04-25,MDT,NYSE,53.875,53.875,52.6875,53.0,2366400.0,
2000-04-26,MDT,NYSE,53.0,53.75,52.375,53.0625,1769400.0,
2000-04-27,MDT,NYSE,53.0,55.0,53.0,54.875,2554700.0,
2000-04-28,MDT,NYSE,54.5,54.6875,51.75,51.9375,3316800.0,
2000-05-01,MDT,NYSE,53.0,53.375,50.125,52.375,2445100.0,
2000-05-02,MDT,NYSE,52.25,54.75,51.375,54.125,2250700.0,
2000-05-03,MDT,NYSE,54.125,54.9375,53.25,53.9375,2118700.0,
2000-05-04,MDT,NYSE,55.0,55.1875,54.0,54.5,2173800.0,
2000-05-05,MDT,NYSE,53.75,56.1875,53.6875,56.0,1624700.0,
