date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,MHK,NYSE,26.0,26.0,24.0,24.5625,120200.0,
2000-01-04,MHK,NYSE,24.8125,24.8125,23.875,24.0,156200.0,
2000-01-05,MHK,NYSE,24.0625,24.5625,23.6875,24.4375,66700.0,
2000-01-06,MHK,NYSE,24.4375,24.75,24.0,24.3125,100700.0,
2000-01-07,MHK,NYSE,24.1875,24.625,24.0,24.625,46900.0,
2000-01-10,MHK,NYSE,24.8125,24.875,24.1875,24.8125,48000.0,
2000-01-11,MHK,NYSE,24.9375,25.3125,24.375,24.375,98100.0,
2000-01-12,MHK,NYSE,24.625,24.625,23.4375,23.625,93800.0,
2000-01-13,MHK,NYSE,23.8125,24.375,23.8125,24.375,229700.0,
2000-01-14,MHK,NYSE,24.3125,25.4375,24.3125,25.0,382900.0,
2000-01-18,MHK,NYSE,24.875,24.9375,24.75,24.75,89600.0,
2000-01-19,MHK,NYSE,24.75,25.0,24.75,24.875,137900.0,
2000-01-20,MHK,NYSE,24.875,24.9375,23.5,23.5625,119000.0,
2000-01-21,MHK,NYSE,23.6875,23.8125,23.625,23.6875,96500.0,
2000-01-24,MHK,NYSE,23.6875,23.9375,23.5625,23.5625,49700.0,
2000-01-25,MHK,NYSE,23.625,23.625,22.1875,22.25,236300.0,
2000-01-26,MHK,NYSE,22.0,22.6875,21.3125,22.3125,261400.0,
2000-01-27,MHK,NYSE,22.375,22.9375,22.3125,22.6875,189600.0,
2000-01-28,MHK,NYSE,22.75,23.375,22.75,23.0625,187400.0,
2000-01-31,MHK,NYSE,22.875,23.75,22.875,23.4375,308200.0,
2000-02-01,MHK,NYSE,23.4375,23.6875,23.4375,23.5625,368500.0,
2000-02-02,MHK,NYSE,23.5625,23.6875,22.8125,23.375,187900.0,
2000-02-03,MHK,NYSE,23.5625,24.0625,23.0625,23.25,155100.0,
2000-02-04,MHK,NYSE,23.1875,23.6875,23.1875,23.3125,65900.0,
2000-02-07,MHK,NYSE,23.375,23.5,22.75,22.8125,27400.0,
2000-02-08,MHK,NYSE,22.875,22.875,22.3125,22.625,91300.0,
2000-02-09,MHK,NYSE,22.5,22.625,21.3125,21.75,160300.0,
2000-02-10,MHK,NYSE,21.8125,22.1875,21.75,22.1875,178200.0,
2000-02-11,MHK,NYSE,22.0625,22.0625,21.5625,21.8125,151700.0,
2000-02-14,MHK,NYSE,21.8125,22.75,21.8125,22.375,307500.0,
2000-02-15,MHK,NYSE,22.5625,22.8125,22.5625,22.625,164200.0,
2000-02-16,MHK,NYSE,22.5,23.4375,22.4375,22.625,198300.0,
2000-02-17,MHK,NYSE,22.75,22.75,22.375,22.4375,134100.0,
2000-02-18,MHK,NYSE,22.4375,23.125,22.4375,22.8125,400400.0,
2000-02-22,MHK,NYSE,22.6875,22.6875,21.375,21.375,123700.0,
2000-02-23,MHK,NYSE,21.5,21.875,20.3125,20.9375,159700.0,
2000-02-24,MHK,NYSE,20.9375,21.125,20.5625,20.6875,164400.0,
2000-02-25,MHK,NYSE,20.6875,22.0,20.6875,21.625,220900.0,
2000-02-28,MHK,NYSE,21.5625,22.125,21.5,21.875,181500.0,
2000-02-29,MHK,NYSE,21.9375,22.1875,21.5625,22.1875,135700.0,
2000-03-01,MHK,NYSE,22.0625,22.25,21.8125,22.25,135900.0,
2000-03-02,MHK,NYSE,22.1875,22.25,21.75,21.9375,88600.0,
2000-03-03,MHK,NYSE,22.0,22.0625,21.3125,21.4375,94400.0,
2000-03-06,MHK,NYSE,21.375,21.5,20.5625,20.625,63400.0,
2000-03-07,MHK,NYSE,20.3125,21.1875,20.3125,21.0,125300.0,
2000-03-08,MHK,NYSE,20.9375,21.0,19.8125,19.875,140600.0,
2000-03-09,MHK,NYSE,19.9375,20.3125,19.5,20.3125,248300.0,
2000-03-10,MHK,NYSE,20.375,20.375,19.5,19.8125,87100.0,
2000-03-13,MHK,NYSE,19.8125,19.8125,18.9375,19.25,119500.0,
2000-03-14,MHK,NYSE,19.125,20.375,19.125,20.375,351000.0,
2000-03-15,MHK,NYSE,20.375,21.5,20.1875,21.25,260300.0,
2000-03-16,MHK,NYSE,21.5,21.5,21.0,21.0625,258000.0,
2000-03-17,MHK,NYSE,20.75,21.625,20.25,20.75,202100.0,
2000-03-20,MHK,NYSE,20.875,21.5,19.625,19.6875,137700.0,
2000-03-21,MHK,NYSE,19.75,19.9375,19.25,19.6875,128700.0,
2000-03-22,MHK,NYSE,19.6875,19.9375,19.625,19.625,105500.0,
2000-03-23,MHK,NYSE,19.625,20.6875,19.625,20.5625,235900.0,
2000-03-24,MHK,NYSE,20.6875,20.875,20.5625,20.5625,382500.0,
2000-03-27,MHK,NYSE,20.6875,20.75,20.0,20.0625,62800.0,
2000-03-28,MHK,NYSE,20.0625,20.3125,20.0,20.3125,79800.0,
2000-03-29,MHK,NYSE,20.3125,21.1875,20.3125,21.125,350600.0,
2000-03-30,MHK,NYSE,21.25,23.375,21.25,23.375,344200.0,
2000-03-31,MHK,NYSE,23.75,24.25,21.8125,22.375,345600.0,
2000-04-03,MHK,NYSE,22.625,23.1875,22.5,23.0,222000.0,
2000-04-04,MHK,NYSE,23.25,23.25,22.6875,22.9375,165500.0,
2000-04-05,MHK,NYSE,22.875,22.9375,21.8125,22.0,323600.0,
2000-04-06,MHK,NYSE,22.1875,22.875,22.1875,22.375,135100.0,
2000-04-07,MHK,NYSE,22.3125,22.5,22.1875,22.25,128600.0,
2000-04-10,MHK,NYSE,22.375,22.9375,22.25,22.25,75100.0,
2000-04-11,MHK,NYSE,22.375,22.875,22.0625,22.25,146000.0,
2000-04-12,MHK,NYSE,22.3125,23.125,22.3125,23.0625,283200.0,
2000-04-13,MHK,NYSE,23.0625,23.375,22.8125,23.0,134100.0,
2000-04-14,MHK,NYSE,23.0,23.0,21.875,22.0625,92900.0,
2000-04-17,MHK,NYSE,22.0,22.375,21.5625,22.125,97400.0,
2000-04-18,MHK,NYSE,22.25,22.375,21.6875,21.8125,85700.0,
2000-04-19,MHK,NYSE,22.0,22.9375,22.0,22.3125,200300.0,
2000-04-20,MHK,NYSE,22.3125,23.9375,22.3125,23.4375,268400.0,
2000-04-24,MHK,NYSE,23.375,24.6875,23.375,24.625,202900.0,
2000-04-25,MHK,NYSE,24.625,24.875,23.8125,24.5625,256500.0,
2000-04-26,MHK,NYSE,24.5,24.5625,24.0,24.3125,287200.0,
2000-04-27,MHK,NYSE,24.0,24.875,24.0,24.625,396300.0,
2000-04-28,MHK,NYSE,24.625,24.9375,24.625,24.8125,239000.0,
2000-05-01,MHK,NYSE,24.875,25.9375,24.8125,25.5,108200.0,
2000-05-02,MHK,NYSE,25.375,25.375,24.125,24.5,48800.0,
2000-05-03,MHK,NYSE,24.5,25.125,24.375,24.5625,69800.0,
2000-05-04,MHK,NYSE,24.75,25.0625,24.75,24.9375,103300.0,
2000-05-05,MHK,NYSE,25.375,25.5625,24.875,24.9375,182100.0,
2000-05-08,MHK,NYSE,24.875,24.9375,23.5625,23.9375,57100.0,
2000-05-09,MHK,NYSE,23.75,23.875,23.5625,23.875,96200.0,
2000-05-10,MHK,NYSE,23.875,24.625,23.875,24.1875,138000.0,
2000-05-11,MHK,NYSE,24.1875,25.8125,24.1875,25.4375,375500.0,
2000-05-12,MHK,NYSE,25.5,26.25,24.4375,24.4375,316900.0,
2000-05-15,MHK,NYSE,24.5625,24.875,24.0625,24.125,56600.0,
2000-05-16,MHK,NYSE,24.25,24.75,24.25,24.6875,105300.0,
2000-05-17,MHK,NYSE,24.5625,24.5625,23.75,23.8125,116600.0,
2000-05-18,MHK,NYSE,23.875,23.9375,23.5625,23.5625,134700.0,
2000-05-19,MHK,NYSE,23.625,23.625,23.0625,23.125,81700.0,
2000-05-22,MHK,NYSE,23.0,24.4375,23.0,23.6875,183600.0,
2000-05-23,MHK,NYSE,23.5625,24.875,23.4375,24.375,453900.0,
2000-05-24,MHK,NYSE,24.4375,24.4375,23.375,23.375,241700.0,
2000-05-25,MHK,NYSE,23.4375,23.4375,22.8125,23.1875,311500.0,
2000-05-26,MHK,NYSE,23.3125,23.3125,22.5625,22.6875,190500.0,
2000-05-30,MHK,NYSE,22.75,23.25,22.6875,22.9375,126800.0,
2000-05-31,MHK,NYSE,22.9375,24.0,22.9375,23.8125,217600.0,
2000-06-01,MHK,NYSE,23.75,24.5625,23.75,23.75,329300.0,
2000-06-02,MHK,NYSE,24.0,24.5,24.0,24.125,222000.0,
2000-06-05,MHK,NYSE,24.125,24.375,23.6875,23.6875,71500.0,
2000-06-06,MHK,NYSE,23.75,23.875,23.25,23.3125,56700.0,
2000-06-07,MHK,NYSE,23.375,23.4375,22.75,22.75,64900.0,
2000-06-08,MHK,NYSE,22.75,22.8125,22.5,22.75,134900.0,
2000-06-09,MHK,NYSE,22.75,22.8125,22.1875,22.1875,184700.0,
2000-06-12,MHK,NYSE,22.3125,22.3125,21.4375,21.5625,144100.0,
2000-06-13,MHK,NYSE,21.625,21.6875,21.3125,21.375,103600.0,
