date,code,exchange,open,high,low,close,volume,count_trx
2009-02-11,MJN,NYSE,26.0,27.07,26.0,26.43,12987900.0,
2009-02-12,MJN,NYSE,26.24,27.19,26.0,27.16,1968000.0,
2009-02-13,MJN,NYSE,27.0,27.19,26.67,26.81,594200.0,
2009-02-17,MJN,NYSE,26.44,27.63,26.3,27.26,687600.0,
2009-02-18,MJN,NYSE,27.2,28.22,27.2,27.95,473800.0,
2009-02-19,MJN,NYSE,28.21,28.98,27.89,28.56,380300.0,
2009-02-20,MJN,NYSE,28.44,29.63,27.89,29.63,601400.0,
2009-02-23,MJN,NYSE,29.85,29.85,27.27,27.3,308400.0,
2009-02-24,MJN,NYSE,27.68,28.0,27.07,27.49,264800.0,
2009-02-25,MJN,NYSE,27.2,28.34,26.85,27.92,341300.0,
2009-02-26,MJN,NYSE,28.3,28.3,27.01,27.56,316600.0,
2009-02-27,MJN,NYSE,27.35,27.85,27.02,27.59,207200.0,
2009-03-02,MJN,NYSE,27.6,27.84,26.87,27.01,177000.0,
2009-03-03,MJN,NYSE,27.26,27.26,26.0,26.44,158900.0,
2009-03-04,MJN,NYSE,26.72,27.45,26.72,27.0,110000.0,
2009-03-05,MJN,NYSE,27.0,27.1,26.61,27.03,346000.0,
2009-03-06,MJN,NYSE,26.9,27.18,26.25,26.44,118100.0,
2009-03-09,MJN,NYSE,26.25,27.1,26.12,26.36,55500.0,
2009-03-10,MJN,NYSE,26.37,27.09,26.3,26.46,102700.0,
2009-03-11,MJN,NYSE,26.25,26.98,26.16,26.58,143700.0,
2009-03-12,MJN,NYSE,26.36,28.02,26.35,27.98,174500.0,
2009-03-13,MJN,NYSE,28.25,28.25,27.34,27.42,85300.0,
2009-03-16,MJN,NYSE,27.7,27.7,26.22,26.32,104900.0,
2009-03-17,MJN,NYSE,26.3,27.6,26.25,27.54,127200.0,
2009-03-18,MJN,NYSE,27.15,27.75,27.04,27.58,83300.0,
2009-03-19,MJN,NYSE,27.4,27.76,27.15,27.42,152800.0,
2009-03-20,MJN,NYSE,27.57,28.38,27.13,27.67,249500.0,
2009-03-23,MJN,NYSE,27.77,27.97,26.5,27.37,181000.0,
2009-03-24,MJN,NYSE,26.96,27.5,26.53,27.1,166400.0,
2009-03-25,MJN,NYSE,26.99,28.0,26.76,27.28,155900.0,
2009-03-26,MJN,NYSE,26.75,27.7,26.75,27.55,131400.0,
2009-03-27,MJN,NYSE,27.25,27.75,27.15,27.53,142600.0,
2009-03-30,MJN,NYSE,26.91,28.0,26.71,27.28,207100.0,
2009-03-31,MJN,NYSE,27.62,28.97,27.56,28.87,1413900.0,
2009-04-01,MJN,NYSE,28.86,28.86,27.69,27.88,207300.0,
2009-04-02,MJN,NYSE,28.38,28.39,27.08,27.35,150300.0,
2009-04-03,MJN,NYSE,27.48,27.56,27.08,27.35,130900.0,
2009-04-06,MJN,NYSE,27.05,28.07,26.84,28.05,121600.0,
2009-04-07,MJN,NYSE,27.55,28.32,27.11,27.15,204100.0,
2009-04-08,MJN,NYSE,27.57,27.57,26.84,26.9,127000.0,
2009-04-09,MJN,NYSE,27.1,27.21,26.26,26.6,210300.0,
2009-04-13,MJN,NYSE,26.84,27.0,26.2,26.48,146800.0,
2009-04-14,MJN,NYSE,26.43,27.35,26.16,26.5,111100.0,
2009-04-15,MJN,NYSE,26.74,26.74,26.0,26.61,201600.0,
2009-04-16,MJN,NYSE,26.65,27.31,26.47,27.0,114600.0,
2009-04-17,MJN,NYSE,27.14,27.14,26.36,26.47,226400.0,
2009-04-20,MJN,NYSE,26.38,26.38,25.72,26.22,99400.0,
2009-04-21,MJN,NYSE,26.0,26.9,26.0,26.36,106300.0,
2009-04-22,MJN,NYSE,26.0,26.86,25.98,26.61,119400.0,
2009-04-23,MJN,NYSE,26.94,27.04,26.2,26.33,150500.0,
2009-04-24,MJN,NYSE,26.87,26.87,26.05,26.28,163400.0,
2009-04-27,MJN,NYSE,26.0,26.86,26.0,26.25,158600.0,
2009-04-28,MJN,NYSE,27.1,29.53,27.1,28.47,397000.0,
2009-04-29,MJN,NYSE,28.35,29.05,27.75,28.96,152700.0,
2009-04-30,MJN,NYSE,28.81,29.3,28.0,28.25,192200.0,
2009-05-01,MJN,NYSE,28.29,28.45,27.76,28.36,59200.0,
2009-05-04,MJN,NYSE,28.8,30.13,28.7,30.13,127500.0,
2009-05-05,MJN,NYSE,30.44,31.0,29.06,30.8,178000.0,
2009-05-06,MJN,NYSE,31.19,31.35,28.8,29.75,218400.0,
2009-05-07,MJN,NYSE,29.98,30.04,28.88,29.97,92700.0,
2009-05-08,MJN,NYSE,30.06,30.76,29.48,30.76,106000.0,
2009-05-11,MJN,NYSE,30.44,30.86,29.75,29.95,73400.0,
2009-05-12,MJN,NYSE,29.74,30.11,29.37,29.82,87100.0,
2009-05-13,MJN,NYSE,29.9,29.9,28.02,29.45,158400.0,
2009-05-14,MJN,NYSE,29.67,29.67,28.74,28.84,92500.0,
2009-05-15,MJN,NYSE,29.24,29.24,28.8,28.82,69800.0,
2009-05-18,MJN,NYSE,28.8,29.21,28.7,29.21,61400.0,
2009-05-19,MJN,NYSE,28.77,29.83,28.77,29.42,80000.0,
2009-05-20,MJN,NYSE,29.27,29.81,28.5,28.58,81000.0,
2009-05-21,MJN,NYSE,28.1,29.77,27.86,29.73,113800.0,
2009-05-22,MJN,NYSE,29.41,29.88,29.41,29.7,42100.0,
2009-05-26,MJN,NYSE,29.59,31.17,29.56,30.74,140000.0,
2009-05-27,MJN,NYSE,30.39,31.2,30.02,30.41,101400.0,
