date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,MO,NYSE,5.4537687053,5.5405660852,5.3814375554,5.4248362453,5571500.0,
2000-01-04,MO,NYSE,5.3814375554,5.5984310052,5.3814375554,5.4682349353,8555300.0,
2000-01-05,MO,NYSE,5.5116336253,5.5694985452,5.4248362453,5.4393024753,9597800.0,
2000-01-06,MO,NYSE,5.4393024753,5.4827011653,5.3235726354,5.3380388654,5811800.0,
2000-01-07,MO,NYSE,5.3814375554,5.4971673953,5.3525050954,5.4827011653,6444200.0,
2000-01-10,MO,NYSE,5.4971673953,5.5550323152,5.4971673953,5.5260998552,5744300.0,
2000-01-11,MO,NYSE,5.5839647752,5.6996946151,5.5694985452,5.5839647752,5187300.0,
2000-01-12,MO,NYSE,5.6128972352,5.6852283851,5.5550323152,5.6128972352,8176900.0,
2000-01-13,MO,NYSE,5.6707621551,5.6852283851,5.6128972352,5.6562959251,5245800.0,
2000-01-14,MO,NYSE,5.6852283851,5.6996946151,5.4971673953,5.5694985452,6387700.0,
2000-01-18,MO,NYSE,5.5694985452,5.5984310052,5.3235726354,5.3235726354,6115600.0,
2000-01-19,MO,NYSE,5.3525050954,5.4393024753,5.3235726354,5.4103700153,7413300.0,
2000-01-20,MO,NYSE,5.4103700153,5.4103700153,5.1065791856,5.1644441056,7465500.0,
2000-01-21,MO,NYSE,5.1355116456,5.2078427955,5.0631804956,5.0776467256,11295000.0,
2000-01-24,MO,NYSE,5.2657077155,5.3235726354,5.0776467256,5.0776467256,10689500.0,
2000-01-25,MO,NYSE,5.0921129556,5.1210454156,4.9908493457,5.0053155757,8700700.0,
2000-01-26,MO,NYSE,5.0342480357,5.0487142657,4.8317208158,4.8751195058,14575900.0,
2000-01-27,MO,NYSE,4.9763831157,5.0631804956,4.8172545859,4.8606532758,10416700.0,
2000-01-28,MO,NYSE,4.8895857358,4.9040519658,4.8027883559,4.8027883559,9580500.0,
2000-01-31,MO,NYSE,4.8461870458,4.8895857358,4.8317208158,4.8461870458,8752300.0,
2000-02-01,MO,NYSE,4.8895857358,4.8895857358,4.8027883559,4.8172545859,9871900.0,
2000-02-02,MO,NYSE,4.8461870458,4.8751195058,4.7593896659,4.7738558959,10954200.0,
2000-02-03,MO,NYSE,4.8461870458,4.9619168857,4.8317208158,4.8895857358,15857000.0,
2000-02-04,MO,NYSE,4.8895857358,4.8895857358,4.7304572059,4.7738558959,13370300.0,
2000-02-07,MO,NYSE,4.8317208158,4.8461870458,4.7159909759,4.7449234359,9681600.0,
2000-02-08,MO,NYSE,4.687058516,4.701524746,4.4266663762,4.4700650662,19825300.0,
2000-02-09,MO,NYSE,4.4989975261,4.629193596,4.4989975261,4.5713286761,14848300.0,
2000-02-10,MO,NYSE,4.629193596,4.701524746,4.5857949061,4.600261136,12319600.0,
2000-02-11,MO,NYSE,4.614727366,4.658126056,4.4122001462,4.4411326062,12134000.0,
2000-02-14,MO,NYSE,4.4700650662,4.4989975261,4.3398689963,4.3832676862,17666800.0,
2000-02-15,MO,NYSE,4.4122001462,4.4266663762,4.3254027663,4.3832676862,12120200.0,
2000-02-16,MO,NYSE,4.4122001462,4.4555988362,4.3543352263,4.3688014562,11152100.0,
2000-02-17,MO,NYSE,4.5568624461,4.629193596,4.4700650662,4.4700650662,12856500.0,
2000-02-18,MO,NYSE,4.5134637561,4.5857949061,4.4845312961,4.5423962161,8936400.0,
2000-02-22,MO,NYSE,4.614727366,4.8895857358,4.600261136,4.8317208158,13678400.0,
2000-02-23,MO,NYSE,4.9185181958,5.0053155757,4.672592286,4.701524746,11913400.0,
2000-02-24,MO,NYSE,4.7449234359,4.7449234359,4.5713286761,4.643659826,10133900.0,
2000-02-25,MO,NYSE,4.658126056,4.672592286,4.5423962161,4.5423962161,9574800.0,
2000-02-28,MO,NYSE,4.5857949061,4.701524746,4.5857949061,4.629193596,9142500.0,
2000-02-29,MO,NYSE,4.643659826,4.7304572059,4.643659826,4.643659826,11340600.0,
2000-03-01,MO,NYSE,4.672592286,4.9763831157,4.5423962161,4.7304572059,18640000.0,
2000-03-02,MO,NYSE,4.7304572059,4.8172545859,4.629193596,4.643659826,9545000.0,
2000-03-03,MO,NYSE,4.629193596,4.7738558959,4.5713286761,4.701524746,11136900.0,
2000-03-06,MO,NYSE,4.8027883559,4.8317208158,4.5279299861,4.600261136,10704300.0,
2000-03-07,MO,NYSE,4.600261136,4.614727366,4.5134637561,4.5279299861,9417800.0,
2000-03-08,MO,NYSE,4.5423962161,4.5568624461,4.4411326062,4.4845312961,9591900.0,
