date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,MTD,NYSE,38.0,38.0625,35.375,35.375,49800.0,
2000-01-04,MTD,NYSE,35.375,35.375,34.1875,34.625,103400.0,
2000-01-05,MTD,NYSE,34.875,34.875,33.8125,33.875,159600.0,
2000-01-06,MTD,NYSE,33.9375,34.875,33.5,34.625,240700.0,
2000-01-07,MTD,NYSE,34.5625,35.625,34.5625,35.625,212900.0,
2000-01-10,MTD,NYSE,35.8125,37.25,35.8125,37.25,74400.0,
2000-01-11,MTD,NYSE,37.125,37.125,35.875,36.0625,90100.0,
2000-01-12,MTD,NYSE,36.0625,36.0625,35.75,35.875,26500.0,
2000-01-13,MTD,NYSE,35.9375,36.0,35.625,35.875,79900.0,
2000-01-14,MTD,NYSE,35.9375,36.0,35.1875,35.5,44700.0,
2000-01-18,MTD,NYSE,35.375,35.375,34.875,35.125,73700.0,
2000-01-19,MTD,NYSE,35.0,35.4375,35.0,35.3125,114200.0,
2000-01-20,MTD,NYSE,35.4375,35.875,34.625,34.875,82000.0,
2000-01-21,MTD,NYSE,34.625,35.0,34.625,34.875,54300.0,
2000-01-24,MTD,NYSE,35.0,35.375,34.625,34.625,72200.0,
2000-01-25,MTD,NYSE,34.5625,34.6875,33.75,34.1875,69800.0,
2000-01-26,MTD,NYSE,34.1875,34.375,33.9375,33.9375,29200.0,
2000-01-27,MTD,NYSE,33.9375,34.0625,33.0,33.1875,48600.0,
2000-01-28,MTD,NYSE,33.0,33.0,31.8125,32.3125,73600.0,
2000-01-31,MTD,NYSE,32.4375,32.625,31.8125,31.875,99200.0,
2000-02-01,MTD,NYSE,32.125,32.9375,31.875,32.0,169600.0,
2000-02-02,MTD,NYSE,32.125,32.6875,32.125,32.375,76600.0,
2000-02-03,MTD,NYSE,32.375,35.375,32.25,35.0,240000.0,
2000-02-04,MTD,NYSE,35.5,37.875,35.5,37.875,447500.0,
2000-02-07,MTD,NYSE,39.5,39.625,37.6875,38.0,363400.0,
2000-02-08,MTD,NYSE,38.0,38.0,36.875,37.375,213000.0,
2000-02-09,MTD,NYSE,37.25,38.0,37.0,37.0625,231900.0,
2000-02-10,MTD,NYSE,37.25,37.75,36.9375,37.375,55800.0,
2000-02-11,MTD,NYSE,37.625,38.0,37.25,37.3125,62600.0,
2000-02-14,MTD,NYSE,37.375,37.9375,37.25,37.875,53000.0,
2000-02-15,MTD,NYSE,37.9375,38.4375,37.9375,38.1875,83200.0,
2000-02-16,MTD,NYSE,38.25,38.6875,38.0,38.375,44500.0,
2000-02-17,MTD,NYSE,38.5,38.625,37.125,37.9375,81700.0,
2000-02-18,MTD,NYSE,37.6875,37.6875,36.5,36.5,51400.0,
2000-02-22,MTD,NYSE,36.5625,36.5625,35.75,36.25,74300.0,
2000-02-23,MTD,NYSE,36.375,37.0,36.125,36.9375,107500.0,
2000-02-24,MTD,NYSE,36.9375,36.9375,36.5,36.8125,65600.0,
2000-02-25,MTD,NYSE,36.8125,37.0625,36.75,37.0,130000.0,
2000-02-28,MTD,NYSE,37.0,39.375,36.875,38.6875,127800.0,
2000-02-29,MTD,NYSE,38.625,39.0,38.4375,38.625,70600.0,
2000-03-01,MTD,NYSE,38.0,38.625,38.0,38.4375,86100.0,
2000-03-02,MTD,NYSE,38.4375,38.4375,37.0625,37.3125,43800.0,
2000-03-03,MTD,NYSE,37.25,37.5,36.875,37.3125,74100.0,
2000-03-06,MTD,NYSE,37.25,37.25,36.75,36.875,68100.0,
2000-03-07,MTD,NYSE,37.0,39.25,37.0,38.5,171600.0,
2000-03-08,MTD,NYSE,38.75,38.75,37.3125,37.5,205400.0,
2000-03-09,MTD,NYSE,37.5,37.5,36.9375,37.0,152000.0,
2000-03-10,MTD,NYSE,37.0,38.0,36.875,37.5,177300.0,
2000-03-13,MTD,NYSE,37.375,38.1875,36.8125,38.1875,48400.0,
2000-03-14,MTD,NYSE,38.0,40.125,38.0,38.4375,162300.0,
2000-03-15,MTD,NYSE,38.4375,39.9375,36.625,39.25,135100.0,
2000-03-16,MTD,NYSE,39.3125,43.3125,39.0,42.625,332400.0,
2000-03-17,MTD,NYSE,42.1875,42.875,41.6875,42.4375,113400.0,
2000-03-20,MTD,NYSE,42.6875,43.6875,42.625,42.875,136400.0,
2000-03-21,MTD,NYSE,42.25,42.9375,41.5,42.9375,72900.0,
2000-03-22,MTD,NYSE,43.0625,44.5,43.0625,44.5,227400.0,
2000-03-23,MTD,NYSE,44.5,44.5,43.3125,44.0625,52100.0,
2000-03-24,MTD,NYSE,43.875,44.0,41.5,41.6875,119100.0,
2000-03-27,MTD,NYSE,41.8125,41.8125,40.25,40.5625,62700.0,
2000-03-28,MTD,NYSE,40.375,40.4375,38.875,39.5,217400.0,
2000-03-29,MTD,NYSE,39.125,42.1875,39.125,40.5,352600.0,
2000-03-30,MTD,NYSE,40.25,41.0,39.875,40.5,61400.0,
2000-03-31,MTD,NYSE,40.625,41.75,40.625,40.9375,125400.0,
2000-04-03,MTD,NYSE,40.75,40.75,39.75,40.1875,48600.0,
2000-04-04,MTD,NYSE,40.375,41.0,39.5,40.0,121600.0,
2000-04-05,MTD,NYSE,40.0,40.4375,39.8125,40.125,189100.0,
2000-04-06,MTD,NYSE,40.125,40.9375,40.0625,40.0625,142600.0,
2000-04-07,MTD,NYSE,40.25,40.8125,40.1875,40.5625,63800.0,
2000-04-10,MTD,NYSE,40.5625,40.6875,40.1875,40.1875,105600.0,
2000-04-11,MTD,NYSE,40.5,40.5,40.0,40.0,62000.0,
2000-04-12,MTD,NYSE,40.125,40.875,39.5,40.3125,162600.0,
2000-04-13,MTD,NYSE,39.8125,41.625,39.75,40.9375,55000.0,
2000-04-14,MTD,NYSE,41.0,41.125,37.75,38.75,139600.0,
2000-04-17,MTD,NYSE,39.0,40.375,38.5625,40.375,80000.0,
2000-04-18,MTD,NYSE,40.625,43.625,40.625,42.6875,144900.0,
2000-04-19,MTD,NYSE,42.4375,45.75,42.0,44.375,172100.0,
2000-04-20,MTD,NYSE,44.375,44.375,43.75,44.0,132300.0,
2000-04-24,MTD,NYSE,44.0,44.1875,38.25,38.25,198300.0,
2000-04-25,MTD,NYSE,40.0,44.0,40.0,43.8125,143500.0,
2000-04-26,MTD,NYSE,43.9375,43.9375,41.5,41.75,71100.0,
2000-04-27,MTD,NYSE,41.5,41.5625,40.0,41.0,45800.0,
2000-04-28,MTD,NYSE,39.75,39.75,34.0,34.5,936800.0,
2000-05-01,MTD,NYSE,35.0,35.0,30.0,34.8125,765000.0,
2000-05-02,MTD,NYSE,34.6875,34.6875,33.75,34.0,220600.0,
2000-05-03,MTD,NYSE,35.25,36.75,35.0,35.5625,233300.0,
2000-05-04,MTD,NYSE,36.25,36.375,35.125,35.3125,89500.0,
2000-05-05,MTD,NYSE,36.0,36.3125,35.0,35.9375,161500.0,
2000-05-08,MTD,NYSE,36.0,36.0,34.125,34.1875,117200.0,
2000-05-09,MTD,NYSE,34.4375,34.5625,33.0,33.375,89500.0,
2000-05-10,MTD,NYSE,33.625,35.9375,33.625,35.3125,60000.0,
2000-05-11,MTD,NYSE,35.3125,40.125,35.0,39.9375,186000.0,
2000-05-12,MTD,NYSE,39.6875,40.625,37.5,37.9375,259900.0,
2000-05-15,MTD,NYSE,38.1875,38.1875,36.25,36.9375,140500.0,
2000-05-16,MTD,NYSE,37.0,38.75,36.75,38.625,82500.0,
2000-05-17,MTD,NYSE,38.5,38.5,36.625,36.625,52300.0,
2000-05-18,MTD,NYSE,36.875,37.375,36.1875,36.4375,92300.0,
2000-05-19,MTD,NYSE,35.75,35.75,34.5,34.9375,96000.0,
2000-05-22,MTD,NYSE,35.4375,35.4375,33.0625,34.4375,187000.0,
2000-05-23,MTD,NYSE,34.25,36.125,34.25,35.5,134200.0,
2000-05-24,MTD,NYSE,35.5,37.4375,35.5,37.3125,100200.0,
2000-05-25,MTD,NYSE,37.3125,40.0,37.3125,38.5625,370700.0,
