date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,MUR,NYSE,12.3914082969,12.404891875,11.973417375,12.0003845312,920400.0,
2000-01-04,MUR,NYSE,11.9464502188,12.3644411406,11.8116144375,12.1756710469,1317600.0,
2000-01-05,MUR,NYSE,12.1756710469,12.4318590313,12.1756710469,12.2026382031,2317200.0,
2000-01-06,MUR,NYSE,12.2026382031,12.3914082969,12.2026382031,12.29702325,1699200.0,
2000-01-07,MUR,NYSE,12.3239904063,12.9172678438,12.2700560938,12.8903006875,3329600.0,
2000-01-10,MUR,NYSE,12.8903006875,12.8903006875,12.6071455469,12.6745634375,1057200.0,
2000-01-11,MUR,NYSE,12.7015305938,12.8093992188,12.5801783906,12.6071455469,336400.0,
2000-01-12,MUR,NYSE,12.620629125,12.6880470156,12.189154625,12.2026382031,472800.0,
2000-01-13,MUR,NYSE,12.2296053594,13.2408737187,12.2296053594,13.2273901406,1209600.0,
2000-01-14,MUR,NYSE,13.2273901406,13.4026766563,13.0655872031,13.267840875,1284000.0,
2000-01-18,MUR,NYSE,13.3217751875,13.6858317969,13.3217751875,13.5509960156,716000.0,
2000-01-19,MUR,NYSE,13.5375124375,13.5375124375,13.4161602344,13.4161602344,380400.0,
2000-01-20,MUR,NYSE,13.4161602344,13.4431273906,13.0790707813,13.3217751875,528000.0,
2000-01-21,MUR,NYSE,13.483578125,13.483578125,13.267840875,13.3622259219,707200.0,
2000-01-24,MUR,NYSE,13.4161602344,13.4566109687,12.9037842656,12.9307514219,297600.0,
2000-01-25,MUR,NYSE,12.9037842656,13.2004229844,12.8498499531,13.0790707813,420000.0,
2000-01-26,MUR,NYSE,13.0790707813,13.0790707813,12.7824320625,12.8768171094,784400.0,
2000-01-27,MUR,NYSE,12.8498499531,12.8768171094,12.1352203125,12.189154625,553200.0,
2000-01-28,MUR,NYSE,12.2430889375,12.836366375,12.2430889375,12.4992769219,1263200.0,
2000-01-31,MUR,NYSE,12.4992769219,12.4992769219,12.2700560938,12.3779247188,443200.0,
2000-02-01,MUR,NYSE,12.3779247188,12.4318590313,12.1487038906,12.3644411406,703600.0,
2000-02-02,MUR,NYSE,12.3914082969,12.7554649063,12.29702325,12.3239904063,736000.0,
2000-02-03,MUR,NYSE,12.29702325,12.3105068281,11.9059994844,11.9869009531,518000.0,
2000-02-04,MUR,NYSE,12.0408352656,12.2835396719,11.9869009531,11.9869009531,977200.0,
