date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,NBR,NYSE,765.625,767.1875,728.125,734.375,55536.0,
2000-01-04,NBR,NYSE,706.25,734.375,703.125,720.3125,27368.0,
2000-01-05,NBR,NYSE,721.875,750.0,710.9375,740.625,73636.0,
2000-01-06,NBR,NYSE,737.5,776.5625,729.6875,776.5625,49388.0,
2000-01-07,NBR,NYSE,771.875,792.1875,760.9375,785.9375,47040.0,
2000-01-10,NBR,NYSE,785.9375,801.5625,760.9375,800.0,29408.0,
2000-01-11,NBR,NYSE,800.0,812.5,784.375,800.0,61128.0,
2000-01-12,NBR,NYSE,800.0,804.6875,787.5,795.3125,31296.0,
2000-01-13,NBR,NYSE,792.1875,818.75,792.1875,810.9375,63072.0,
2000-01-14,NBR,NYSE,812.5,846.875,807.8125,821.875,26848.0,
2000-01-18,NBR,NYSE,823.4375,881.25,821.875,881.25,77428.0,
2000-01-19,NBR,NYSE,875.0,882.8125,860.9375,862.5,43552.0,
2000-01-20,NBR,NYSE,862.5,862.5,831.25,840.625,37132.0,
2000-01-21,NBR,NYSE,859.375,887.5,857.8125,871.875,46236.0,
2000-01-24,NBR,NYSE,875.0,884.375,809.375,834.375,29272.0,
2000-01-25,NBR,NYSE,831.25,848.4375,804.6875,809.375,36656.0,
2000-01-26,NBR,NYSE,818.75,837.5,790.625,798.4375,44392.0,
2000-01-27,NBR,NYSE,796.875,825.0,756.25,756.25,35464.0,
2000-01-28,NBR,NYSE,756.25,775.0,734.375,743.75,30864.0,
2000-01-31,NBR,NYSE,731.25,756.25,731.25,740.625,33276.0,
2000-02-01,NBR,NYSE,756.25,782.8125,751.5625,775.0,26636.0,
2000-02-02,NBR,NYSE,787.5,817.1875,773.4375,775.0,26944.0,
2000-02-03,NBR,NYSE,781.25,787.5,760.9375,767.1875,14836.0,
2000-02-04,NBR,NYSE,773.4375,782.8125,757.8125,762.5,22132.0,
2000-02-07,NBR,NYSE,764.0625,809.375,764.0625,803.125,27436.0,
2000-02-08,NBR,NYSE,800.0,801.5625,759.375,778.125,17268.0,
2000-02-09,NBR,NYSE,771.875,776.5625,743.75,746.875,26468.0,
2000-02-10,NBR,NYSE,750.0,800.0,746.875,796.875,31908.0,
2000-02-11,NBR,NYSE,825.0,840.625,817.1875,821.875,36432.0,
2000-02-14,NBR,NYSE,803.125,845.3125,792.1875,840.625,32488.0,
2000-02-15,NBR,NYSE,845.3125,885.9375,843.75,881.25,44448.0,
2000-02-16,NBR,NYSE,882.8125,904.6875,857.8125,885.9375,48188.0,
2000-02-17,NBR,NYSE,850.0,875.0,831.25,864.0625,30328.0,
2000-02-18,NBR,NYSE,856.25,862.5,825.0,839.0625,26936.0,
2000-02-22,NBR,NYSE,834.375,834.375,782.8125,787.5,32332.0,
2000-02-23,NBR,NYSE,784.375,801.5625,784.375,800.0,26912.0,
2000-02-24,NBR,NYSE,812.5,848.4375,804.6875,840.625,37888.0,
2000-02-25,NBR,NYSE,834.375,840.625,815.625,825.0,40304.0,
2000-02-28,NBR,NYSE,812.5,859.375,812.5,859.375,40984.0,
2000-02-29,NBR,NYSE,857.8125,921.875,857.8125,896.875,51608.0,
2000-03-01,NBR,NYSE,898.4375,943.75,885.9375,943.75,54648.0,
2000-03-02,NBR,NYSE,943.75,1009.375,943.75,979.6875,78052.0,
2000-03-03,NBR,NYSE,979.6875,979.6875,909.375,935.9375,54552.0,
2000-03-06,NBR,NYSE,940.625,971.875,937.5,959.375,38492.0,
2000-03-07,NBR,NYSE,968.75,1000.0,965.625,1000.0,58516.0,
2000-03-08,NBR,NYSE,950.0,951.5625,907.8125,917.1875,40400.0,
2000-03-09,NBR,NYSE,928.125,929.6875,868.75,898.4375,38408.0,
2000-03-10,NBR,NYSE,890.625,981.25,884.375,912.5,44172.0,
2000-03-13,NBR,NYSE,890.625,962.5,887.5,893.75,35088.0,
2000-03-14,NBR,NYSE,887.5,906.25,859.375,898.4375,27664.0,
2000-03-15,NBR,NYSE,875.0,895.3125,868.75,890.625,38972.0,
2000-03-16,NBR,NYSE,890.625,957.8125,884.375,957.8125,49960.0,
2000-03-17,NBR,NYSE,946.875,956.25,915.625,950.0,48432.0,
2000-03-20,NBR,NYSE,950.0,950.0,893.75,918.75,36028.0,
2000-03-21,NBR,NYSE,925.0,979.6875,925.0,973.4375,65096.0,
2000-03-22,NBR,NYSE,975.0,1014.0625,975.0,996.875,56096.0,
2000-03-23,NBR,NYSE,996.875,998.4375,946.875,992.1875,35836.0,
2000-03-24,NBR,NYSE,943.75,965.625,918.75,935.9375,120844.0,
2000-03-27,NBR,NYSE,932.8125,934.375,875.0,906.25,272548.0,
2000-03-28,NBR,NYSE,900.0,942.1875,893.75,912.5,61980.0,
2000-03-29,NBR,NYSE,900.0,960.9375,890.625,953.125,43232.0,
2000-03-30,NBR,NYSE,956.25,982.8125,934.375,951.5625,54540.0,
2000-03-31,NBR,NYSE,968.75,984.375,923.4375,970.3125,48812.0,
2000-04-03,NBR,NYSE,975.0,992.1875,965.625,989.0625,63788.0,
2000-04-04,NBR,NYSE,981.25,992.1875,885.9375,921.875,52124.0,
2000-04-05,NBR,NYSE,915.625,921.875,879.6875,882.8125,41728.0,
2000-04-06,NBR,NYSE,893.75,904.6875,870.3125,903.125,64656.0,
2000-04-07,NBR,NYSE,912.5,939.0625,906.25,920.3125,61072.0,
2000-04-10,NBR,NYSE,909.375,910.9375,850.0,860.9375,42396.0,
2000-04-11,NBR,NYSE,868.75,898.4375,853.125,898.4375,64704.0,
2000-04-12,NBR,NYSE,906.25,942.1875,893.75,928.125,40388.0,
2000-04-13,NBR,NYSE,918.75,950.0,917.1875,918.75,66324.0,
2000-04-14,NBR,NYSE,918.75,959.375,903.125,906.25,102144.0,
2000-04-17,NBR,NYSE,887.5,900.0,851.5625,893.75,78116.0,
2000-04-18,NBR,NYSE,906.25,959.375,906.25,959.375,43796.0,
2000-04-19,NBR,NYSE,962.5,962.5,923.4375,934.375,44056.0,
2000-04-20,NBR,NYSE,937.5,971.875,937.5,968.75,37436.0,
2000-04-24,NBR,NYSE,973.4375,979.6875,923.4375,945.3125,27160.0,
2000-04-25,NBR,NYSE,945.3125,954.6875,900.0,929.6875,24596.0,
2000-04-26,NBR,NYSE,928.125,948.4375,887.5,935.9375,59188.0,
