date,code,exchange,open,high,low,close,volume,count_trx
2021-06-09,NE,NYSE,24.5,26.0,24.5,24.75,57583.0,205.0
2021-06-10,NE,NYSE,24.75,25.4,24.75,24.75,21001.0,154.0
2021-06-11,NE,NYSE,25.0,25.1,24.7,24.89,18450.0,167.0
2021-06-14,NE,NYSE,25.01,25.38,24.25,24.66,68827.0,347.0
2021-06-15,NE,NYSE,24.73,24.83,24.31,24.36,30383.0,200.0
2021-06-16,NE,NYSE,24.15,24.91,24.15,24.69,17189.0,105.0
2021-06-17,NE,NYSE,24.5,24.5,22.13,23.96,40822.0,361.0
2021-06-18,NE,NYSE,23.43,23.95,23.43,23.84,38023.0,130.0
2021-06-21,NE,NYSE,24.59,24.88,23.95,24.71,33431.0,251.0
2021-06-22,NE,NYSE,24.5,24.76,24.37,24.76,57654.0,506.0
2021-06-23,NE,NYSE,24.79,25.1,24.43,24.7,68633.0,474.0
2021-06-24,NE,NYSE,24.7,25.0,24.7,24.995,11470.0,37.0
2021-06-25,NE,NYSE,25.24,25.25,24.9,25.25,28723.0,164.0
2021-06-28,NE,NYSE,25.45,25.45,24.61,25.1,34508.0,158.0
2021-06-29,NE,NYSE,25.03,25.2,24.99,25.02,101307.0,431.0
2021-06-30,NE,NYSE,25.02,25.02,24.42,24.73,24835.0,140.0
2021-07-01,NE,NYSE,25.0,25.66,24.99,25.4,77838.0,252.0
2021-07-02,NE,NYSE,25.5,25.51,25.24,25.44,62160.0,209.0
2021-07-06,NE,NYSE,25.62,25.62,24.36,24.58,80183.0,331.0
2021-07-07,NE,NYSE,24.45,24.65,24.19,24.3,45318.0,258.0
2021-07-08,NE,NYSE,23.97,24.37,23.7,24.0,201477.0,1014.0
2021-07-09,NE,NYSE,24.17,24.6,23.95,24.44,49350.0,278.0
2021-07-12,NE,NYSE,24.22,24.7,23.9,24.02,42429.0,214.0
2021-07-13,NE,NYSE,23.97,24.09,23.49,23.66,91474.0,620.0
2021-07-14,NE,NYSE,23.76,24.03,22.9,23.0,97091.0,551.0
2021-07-15,NE,NYSE,22.94,23.0,21.51,22.29,235177.0,1309.0
