date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,NFX,NYSE,13.3125,13.3125,12.25,12.3125,434000.0,
2000-01-04,NFX,NYSE,12.5625,12.875,12.5,12.75,458200.0,
2000-01-05,NFX,NYSE,12.75,13.125,12.71875,12.90625,270600.0,
2000-01-06,NFX,NYSE,12.71875,13.15625,12.375,13.15625,351200.0,
2000-01-07,NFX,NYSE,13.5,14.09375,13.5,13.9375,460200.0,
2000-01-10,NFX,NYSE,13.625,13.75,12.96875,13.75,424000.0,
2000-01-11,NFX,NYSE,13.75,14.0,13.53125,13.53125,370000.0,
2000-01-12,NFX,NYSE,13.53125,13.5625,12.75,13.1875,165000.0,
2000-01-13,NFX,NYSE,13.125,13.53125,13.125,13.53125,217000.0,
2000-01-14,NFX,NYSE,13.5,13.90625,13.46875,13.90625,120600.0,
2000-01-18,NFX,NYSE,13.75,15.46875,13.75,15.25,675400.0,
2000-01-19,NFX,NYSE,15.1875,15.4375,14.9375,14.96875,343600.0,
2000-01-20,NFX,NYSE,14.96875,15.0,14.46875,14.6875,205400.0,
2000-01-21,NFX,NYSE,14.6875,15.40625,14.6875,15.15625,936600.0,
2000-01-24,NFX,NYSE,15.25,15.625,15.125,15.5,456800.0,
2000-01-25,NFX,NYSE,15.53125,15.59375,15.1875,15.3125,256800.0,
2000-01-26,NFX,NYSE,15.375,15.625,14.875,14.875,152400.0,
2000-01-27,NFX,NYSE,14.90625,15.09375,14.09375,14.1875,569800.0,
2000-01-28,NFX,NYSE,14.3125,14.5625,13.90625,13.96875,80600.0,
2000-01-31,NFX,NYSE,13.96875,13.96875,13.5625,13.75,357000.0,
2000-02-01,NFX,NYSE,13.75,14.5625,13.5625,14.3125,261600.0,
2000-02-02,NFX,NYSE,14.4375,14.8125,14.4375,14.53125,251800.0,
2000-02-03,NFX,NYSE,14.53125,14.75,14.4375,14.5,130200.0,
2000-02-04,NFX,NYSE,14.5625,14.6875,14.4375,14.46875,163400.0,
2000-02-07,NFX,NYSE,14.53125,14.90625,14.03125,14.375,413800.0,
2000-02-08,NFX,NYSE,14.375,14.71875,14.0,14.125,290600.0,
2000-02-09,NFX,NYSE,14.125,14.34375,13.8125,13.875,585400.0,
2000-02-10,NFX,NYSE,14.25,15.5625,14.25,15.3125,1152200.0,
