date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,NI,NYSE,6.9995821875,7.024142125,6.8522225625,6.925902375,374500.0,
2000-01-04,NI,NYSE,6.8767825,7.073262,6.8522225625,6.9995821875,313600.0,
2000-01-05,NI,NYSE,7.073262,7.3434213125,7.024142125,7.2943014375,396400.0,
2000-01-06,NI,NYSE,7.2697415,7.2943014375,7.073262,7.2943014375,168500.0,
2000-01-07,NI,NYSE,7.220621625,7.36798125,7.1469418125,7.220621625,219300.0,
2000-01-10,NI,NYSE,7.2943014375,7.417101125,7.2943014375,7.3925411875,292800.0,
2000-01-11,NI,NYSE,7.3434213125,7.36798125,7.122381875,7.17150175,378500.0,
2000-01-12,NI,NYSE,7.122381875,7.2943014375,7.073262,7.2943014375,159800.0,
2000-01-13,NI,NYSE,7.220621625,7.2697415,7.073262,7.220621625,150400.0,
2000-01-14,NI,NYSE,7.220621625,7.2451815625,7.073262,7.0978219375,128000.0,
2000-01-18,NI,NYSE,6.9995821875,7.024142125,6.8767825,6.8767825,298900.0,
2000-01-19,NI,NYSE,6.8522225625,7.0978219375,6.827662625,7.073262,174700.0,
2000-01-20,NI,NYSE,7.0487020625,7.1960616875,6.97502225,7.1469418125,189800.0,
2000-01-21,NI,NYSE,7.17150175,7.8346200625,7.1469418125,7.8346200625,598500.0,
2000-01-24,NI,NYSE,7.85918,8.5222983125,7.85918,8.3749386875,854400.0,
2000-01-25,NI,NYSE,8.3749386875,8.497738375,7.711820375,7.76094025,542200.0,
2000-01-26,NI,NYSE,7.76094025,7.7855001875,7.5399008125,7.613580625,715100.0,
2000-01-27,NI,NYSE,7.5890206875,7.6381405625,7.3925411875,7.515340875,657500.0,
2000-01-28,NI,NYSE,7.4907809375,7.5890206875,7.1469418125,7.220621625,1407800.0,
2000-01-31,NI,NYSE,7.220621625,7.2943014375,7.1960616875,7.220621625,517100.0,
2000-02-01,NI,NYSE,7.2943014375,7.3925411875,7.220621625,7.3925411875,920400.0,
2000-02-02,NI,NYSE,7.3925411875,7.4907809375,7.2697415,7.2943014375,162900.0,
2000-02-03,NI,NYSE,7.318861375,7.8346200625,7.318861375,7.466221,295600.0,
2000-02-04,NI,NYSE,7.56446075,7.6627005,7.318861375,7.3925411875,285300.0,
2000-02-07,NI,NYSE,7.466221,7.466221,7.0487020625,7.073262,124000.0,
2000-02-08,NI,NYSE,7.1469418125,7.220621625,6.97502225,6.9995821875,161000.0,
2000-02-09,NI,NYSE,7.073262,7.2697415,6.9995821875,6.9995821875,130400.0,
2000-02-10,NI,NYSE,6.925902375,7.1469418125,6.827662625,6.9013424375,130900.0,
2000-02-11,NI,NYSE,6.9504623125,6.9504623125,6.827662625,6.8522225625,156400.0,
2000-02-14,NI,NYSE,6.8522225625,7.0487020625,6.8031026875,6.8522225625,126000.0,
2000-02-15,NI,NYSE,6.9504623125,6.97502225,6.8522225625,6.9013424375,181900.0,
2000-02-16,NI,NYSE,6.8522225625,6.925902375,6.827662625,6.8767825,95600.0,
2000-02-17,NI,NYSE,6.8031026875,6.8522225625,6.6066231875,6.7048629375,201400.0,
2000-02-18,NI,NYSE,6.8031026875,6.8031026875,6.5575033125,6.58206325,627200.0,
2000-02-22,NI,NYSE,6.729422875,6.729422875,6.4838235,6.58206325,326500.0,
2000-02-23,NI,NYSE,6.6066231875,6.6066231875,6.4101436875,6.4592635625,196400.0,
2000-02-24,NI,NYSE,6.4838235,6.4838235,6.1645443125,6.2627840625,290000.0,
2000-02-25,NI,NYSE,6.2627840625,6.287344,6.0908645,6.1154244375,116700.0,
2000-02-28,NI,NYSE,5.6979055,5.6979055,5.01022725,5.20670675,2587300.0,
2000-02-29,NI,NYSE,5.354066375,5.452306125,5.01022725,5.0839070625,992400.0,
2000-03-01,NI,NYSE,5.108467,5.1330269375,5.0347871875,5.059347125,387000.0,
2000-03-02,NI,NYSE,5.157586875,5.157586875,5.0347871875,5.0347871875,598900.0,
2000-03-03,NI,NYSE,5.108467,5.3049465,5.0839070625,5.2312666875,2160500.0,
2000-03-06,NI,NYSE,5.501426,5.501426,5.2312666875,5.255826625,878700.0,
2000-03-07,NI,NYSE,5.255826625,5.3786263125,5.255826625,5.3786263125,745600.0,
2000-03-08,NI,NYSE,5.501426,5.59966575,5.452306125,5.501426,548300.0,
2000-03-09,NI,NYSE,5.550545875,5.6733455625,5.501426,5.648785625,1015500.0,
2000-03-10,NI,NYSE,5.6733455625,5.79614525,5.648785625,5.7715853125,710000.0,
2000-03-13,NI,NYSE,5.7224654375,5.8207051875,5.7224654375,5.79614525,395800.0,
2000-03-14,NI,NYSE,5.79614525,6.0908645,5.7715853125,5.8698250625,1032700.0,
2000-03-15,NI,NYSE,5.894385,6.287344,5.894385,6.18910425,583900.0,
2000-03-16,NI,NYSE,6.139984375,6.532943375,6.139984375,6.3610238125,429400.0,
2000-03-17,NI,NYSE,6.238224125,6.38558375,6.2136641875,6.287344,407900.0,
2000-03-20,NI,NYSE,6.3610238125,6.38558375,6.18910425,6.2627840625,263000.0,
2000-03-21,NI,NYSE,6.3610238125,6.38558375,6.238224125,6.238224125,273300.0,
2000-03-22,NI,NYSE,6.18910425,6.2627840625,6.139984375,6.2136641875,248900.0,
2000-03-23,NI,NYSE,6.18910425,6.38558375,6.139984375,6.18910425,536500.0,
2000-03-24,NI,NYSE,6.139984375,6.336463875,6.139984375,6.287344,262300.0,
2000-03-27,NI,NYSE,6.336463875,6.38558375,6.287344,6.287344,142100.0,
2000-03-28,NI,NYSE,6.287344,6.3119039375,6.1645443125,6.18910425,232600.0,
2000-03-29,NI,NYSE,6.1645443125,6.4592635625,6.1645443125,6.4101436875,773400.0,
2000-03-30,NI,NYSE,6.4592635625,6.58206325,6.434703625,6.4838235,231800.0,
2000-03-31,NI,NYSE,6.4838235,6.631183125,6.4592635625,6.631183125,369300.0,
2000-04-03,NI,NYSE,6.680303,6.680303,6.3610238125,6.4592635625,597300.0,
2000-04-04,NI,NYSE,6.38558375,6.7539828125,6.38558375,6.4592635625,438400.0,
2000-04-05,NI,NYSE,6.434703625,6.827662625,6.434703625,6.680303,816200.0,
2000-04-06,NI,NYSE,6.729422875,6.7539828125,6.631183125,6.6557430625,910400.0,
2000-04-07,NI,NYSE,6.6557430625,6.6557430625,6.4838235,6.5575033125,841200.0,
2000-04-10,NI,NYSE,6.5575033125,6.5575033125,6.4838235,6.532943375,692400.0,
2000-04-11,NI,NYSE,6.532943375,6.6557430625,6.4838235,6.5575033125,196200.0,
2000-04-12,NI,NYSE,6.58206325,6.8031026875,6.58206325,6.77854275,819900.0,
2000-04-13,NI,NYSE,6.77854275,6.8522225625,6.729422875,6.8522225625,431600.0,
2000-04-14,NI,NYSE,6.8031026875,6.9504623125,6.7539828125,6.827662625,497800.0,
2000-04-17,NI,NYSE,6.77854275,6.8522225625,6.631183125,6.8522225625,250600.0,
2000-04-18,NI,NYSE,6.8031026875,6.925902375,6.77854275,6.827662625,467300.0,
2000-04-19,NI,NYSE,6.8031026875,6.8031026875,6.58206325,6.680303,198400.0,
2000-04-20,NI,NYSE,6.680303,6.8031026875,6.631183125,6.7539828125,226100.0,
2000-04-24,NI,NYSE,6.7539828125,6.97502225,6.729422875,6.9504623125,297500.0,
2000-04-25,NI,NYSE,6.9504623125,7.1469418125,6.9013424375,7.1469418125,353400.0,
2000-04-26,NI,NYSE,7.073262,7.3925411875,7.024142125,7.3434213125,400200.0,
2000-04-27,NI,NYSE,7.36798125,7.4907809375,7.318861375,7.36798125,496300.0,
2000-04-28,NI,NYSE,7.2943014375,7.318861375,7.073262,7.2697415,226700.0,
2000-05-01,NI,NYSE,7.318861375,7.3434213125,7.1469418125,7.220621625,246700.0,
2000-05-02,NI,NYSE,7.220621625,7.220621625,7.024142125,7.073262,157500.0,
2000-05-03,NI,NYSE,7.0487020625,7.0487020625,6.8767825,7.024142125,219100.0,
2000-05-04,NI,NYSE,7.0487020625,7.1469418125,6.9504623125,7.1469418125,297700.0,
2000-05-05,NI,NYSE,7.2451815625,7.2451815625,6.8522225625,6.925902375,255400.0,
2000-05-08,NI,NYSE,6.9504623125,7.3434213125,6.925902375,7.2451815625,205700.0,
2000-05-09,NI,NYSE,7.318861375,7.36798125,7.073262,7.17150175,1118600.0,
2000-05-10,NI,NYSE,7.122381875,7.2451815625,7.024142125,7.024142125,379200.0,
2000-05-11,NI,NYSE,7.0487020625,7.220621625,6.97502225,7.220621625,544500.0,
2000-05-12,NI,NYSE,7.220621625,7.220621625,7.1469418125,7.1469418125,381800.0,
2000-05-15,NI,NYSE,7.0978219375,7.17150175,7.073262,7.17150175,245300.0,
2000-05-16,NI,NYSE,7.17150175,7.17150175,7.0487020625,7.0978219375,416100.0,
2000-05-17,NI,NYSE,7.073262,7.073262,6.827662625,6.827662625,163400.0,
2000-05-18,NI,NYSE,6.8031026875,6.9995821875,6.77854275,6.77854275,279500.0,
2000-05-19,NI,NYSE,6.729422875,6.729422875,6.336463875,6.6066231875,1808300.0,
2000-05-22,NI,NYSE,6.6066231875,6.6557430625,6.532943375,6.631183125,772300.0,
2000-05-23,NI,NYSE,6.77854275,7.17150175,6.77854275,7.122381875,781200.0,
2000-05-24,NI,NYSE,7.122381875,7.220621625,7.073262,7.1469418125,243000.0,
2000-05-25,NI,NYSE,7.17150175,7.17150175,7.024142125,7.024142125,202700.0,
2000-05-26,NI,NYSE,7.073262,7.1469418125,7.024142125,7.122381875,314400.0,
2000-05-30,NI,NYSE,7.122381875,7.122381875,6.9995821875,7.073262,150900.0,
2000-05-31,NI,NYSE,7.073262,7.220621625,7.0487020625,7.0978219375,654700.0,
2000-06-01,NI,NYSE,7.122381875,7.1469418125,7.073262,7.0978219375,234500.0,
2000-06-02,NI,NYSE,7.122381875,7.1469418125,6.9013424375,6.97502225,314700.0,
2000-06-05,NI,NYSE,6.9995821875,6.9995821875,6.8522225625,6.97502225,348400.0,
2000-06-06,NI,NYSE,6.9995821875,7.122381875,6.97502225,7.0487020625,631400.0,
2000-06-07,NI,NYSE,7.024142125,7.0487020625,6.97502225,6.9995821875,135500.0,
2000-06-08,NI,NYSE,6.9995821875,7.024142125,6.9504623125,6.97502225,198100.0,
2000-06-09,NI,NYSE,7.024142125,7.0978219375,7.024142125,7.073262,150300.0,
2000-06-12,NI,NYSE,7.024142125,7.1469418125,7.024142125,7.0978219375,162600.0,
2000-06-13,NI,NYSE,7.073262,7.2451815625,7.073262,7.2451815625,220400.0,
2000-06-14,NI,NYSE,7.220621625,7.2451815625,7.0978219375,7.1960616875,321500.0,
2000-06-15,NI,NYSE,7.17150175,7.2451815625,7.17150175,7.1960616875,175200.0,
2000-06-16,NI,NYSE,7.1960616875,7.3434213125,7.1960616875,7.2451815625,328500.0,
2000-06-19,NI,NYSE,7.2451815625,7.2943014375,7.1960616875,7.1960616875,222300.0,
2000-06-20,NI,NYSE,7.1960616875,7.220621625,7.1469418125,7.1469418125,302700.0,
2000-06-21,NI,NYSE,7.17150175,7.318861375,7.1469418125,7.2697415,357200.0,
2000-06-22,NI,NYSE,7.2943014375,7.2943014375,7.1469418125,7.2451815625,253200.0,
2000-06-23,NI,NYSE,7.2697415,7.36798125,7.2451815625,7.318861375,116500.0,
2000-06-26,NI,NYSE,7.318861375,7.417101125,7.318861375,7.417101125,205300.0,
2000-06-27,NI,NYSE,7.417101125,7.4907809375,7.36798125,7.3925411875,607400.0,
2000-06-28,NI,NYSE,7.417101125,7.5399008125,7.36798125,7.4907809375,454900.0,
2000-06-29,NI,NYSE,7.466221,7.56446075,7.466221,7.515340875,301800.0,
