date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,NOV,NYSE,7.0125792188,7.0407421875,6.421156875,6.5901346875,166200.0,
2000-01-04,NOV,NYSE,6.3366679688,6.4493198438,6.308505,6.421156875,310600.0,
2000-01-05,NOV,NYSE,6.3648309375,6.5901346875,6.308505,6.53380875,194000.0,
2000-01-06,NOV,NYSE,6.53380875,6.8999273438,6.421156875,6.7872754688,369800.0,
2000-01-07,NOV,NYSE,6.7872754688,7.2660459375,6.7872754688,7.2660459375,760200.0,
2000-01-10,NOV,NYSE,7.20972,7.20972,7.1252310938,7.20972,241000.0,
2000-01-11,NOV,NYSE,7.1815570313,7.2378829688,7.1252310938,7.20972,506200.0,
2000-01-12,NOV,NYSE,7.20972,7.20972,6.8999273438,6.8999273438,149000.0,
2000-01-13,NOV,NYSE,6.9562532812,7.4068607813,6.9562532812,7.1815570313,408600.0,
2000-01-14,NOV,NYSE,7.20972,7.322371875,7.1252310938,7.322371875,545000.0,
2000-01-18,NOV,NYSE,7.2942089063,7.6321645313,7.1815570313,7.6040015625,1035600.0,
2000-01-19,NOV,NYSE,7.772979375,8.5333795313,7.7448164063,8.4207276563,1390200.0,
2000-01-20,NOV,NYSE,8.448890625,8.4770535938,8.3080757813,8.3080757813,1132200.0,
2000-01-21,NOV,NYSE,8.3080757813,9.68806125,8.3080757813,9.124801875,1101000.0,
2000-01-24,NOV,NYSE,9.124801875,9.4064315625,9.0684759375,9.23745375,1010400.0,
2000-01-25,NOV,NYSE,9.2656167188,9.68806125,9.2092907813,9.6598982813,637400.0,
2000-01-26,NOV,NYSE,9.575409375,9.68806125,9.23745375,9.6317353125,742600.0,
2000-01-27,NOV,NYSE,9.6598982813,9.800713125,8.7586832813,8.899498125,1296800.0,
2000-01-28,NOV,NYSE,8.9276610938,9.01215,8.5052165625,8.5897054688,239600.0,
2000-01-31,NOV,NYSE,8.5897054688,8.899498125,8.448890625,8.448890625,356200.0,
2000-02-01,NOV,NYSE,8.674194375,8.8713351563,8.3925646875,8.6178684375,450600.0,
2000-02-02,NOV,NYSE,8.8431721875,9.1529648438,8.674194375,8.78684625,376000.0,
2000-02-03,NOV,NYSE,8.78684625,8.899498125,8.7023573438,8.78684625,85000.0,
2000-02-04,NOV,NYSE,8.78684625,8.78684625,8.3925646875,8.5333795313,434000.0,
2000-02-07,NOV,NYSE,8.5333795313,8.8713351563,8.5052165625,8.8713351563,349800.0,
2000-02-08,NOV,NYSE,8.8713351563,9.0684759375,8.5052165625,8.78684625,237800.0,
2000-02-09,NOV,NYSE,8.7305203125,8.8713351563,8.5333795313,8.6460314063,290200.0,
2000-02-10,NOV,NYSE,8.5615425,11.2651875,8.5052165625,10.6174392188,2661800.0,
2000-02-11,NOV,NYSE,10.6174392188,11.03988375,10.2231576563,10.58927625,1253200.0,
2000-02-14,NOV,NYSE,9.9696909375,10.3358095313,9.8288760937,9.9415279688,1338800.0,
2000-02-15,NOV,NYSE,10.0823428125,10.4484614063,9.8852020313,10.3358095313,823400.0,
2000-02-16,NOV,NYSE,10.3358095313,10.927231875,10.3358095313,10.4484614063,535400.0,
2000-02-17,NOV,NYSE,10.5611132813,10.6737651562,10.1668317188,10.2794835938,395000.0,
2000-02-18,NOV,NYSE,10.3076465625,10.3639725,10.026016875,10.13866875,286800.0,
2000-02-22,NOV,NYSE,10.1668317188,10.1949946875,9.8570390625,10.1668317188,285200.0,
2000-02-23,NOV,NYSE,10.1668317188,10.1668317188,9.68806125,9.8852020313,181600.0,
2000-02-24,NOV,NYSE,9.5190834375,10.1668317188,9.4909204688,10.1668317188,412000.0,
2000-02-25,NOV,NYSE,10.1668317188,10.1949946875,9.9696909375,10.0823428125,556400.0,
2000-02-28,NOV,NYSE,9.9978539063,10.3358095313,9.8852020313,10.2794835938,264400.0,
2000-02-29,NOV,NYSE,10.2794835938,10.927231875,10.2794835938,10.927231875,705200.0,
2000-03-01,NOV,NYSE,10.81458,11.152535625,10.7582540625,10.7864170313,949800.0,
2000-03-02,NOV,NYSE,11.0962096875,12.39170625,11.0962096875,12.053750625,4907400.0,
2000-03-03,NOV,NYSE,11.9974246875,11.9974246875,11.377839375,11.6876320313,1149000.0,
2000-03-06,NOV,NYSE,11.6876320313,11.6876320313,11.4623282813,11.49049125,1049800.0,
2000-03-07,NOV,NYSE,11.377839375,11.8002839063,11.1806985938,11.4623282813,1398600.0,
2000-03-08,NOV,NYSE,11.2651875,11.377839375,10.927231875,11.152535625,464600.0,
2000-03-09,NOV,NYSE,11.0962096875,11.3215134375,10.701928125,11.3215134375,264200.0,
2000-03-10,NOV,NYSE,11.2370245313,11.5749801563,11.0680467188,11.152535625,785400.0,
2000-03-13,NOV,NYSE,10.8990689063,11.603143125,10.7864170313,11.2651875,847000.0,
2000-03-14,NOV,NYSE,11.1806985938,11.2370245313,10.8427429688,11.1806985938,315600.0,
2000-03-15,NOV,NYSE,11.1806985938,11.4341653125,10.701928125,10.701928125,739600.0,
2000-03-16,NOV,NYSE,10.6174392188,12.504358125,10.476624375,11.94109875,1931200.0,
2000-03-17,NOV,NYSE,11.94109875,11.9692617188,11.4060023438,11.7721209375,504200.0,
2000-03-20,NOV,NYSE,11.6876320313,11.6876320313,10.7864170313,11.377839375,599600.0,
2000-03-21,NOV,NYSE,11.2933504687,11.715795,11.2933504687,11.6313060938,895600.0,
2000-03-22,NOV,NYSE,11.7439579688,13.0676175,11.7439579688,13.0676175,3807000.0,
2000-03-23,NOV,NYSE,12.954965625,12.954965625,12.61701,12.7859878125,542400.0,
2000-03-24,NOV,NYSE,12.84231375,13.6872028125,12.84231375,13.4618990625,1558000.0,
2000-03-27,NOV,NYSE,13.1239434375,13.3774101562,12.84231375,13.180269375,1172400.0,
2000-03-28,NOV,NYSE,13.1521064063,13.2365953125,12.9831285938,13.0676175,1582200.0,
2000-03-29,NOV,NYSE,13.0676175,14.1378103125,13.0676175,14.1378103125,1553600.0,
2000-03-30,NOV,NYSE,14.0251584375,14.2504621875,13.6872028125,13.7153657813,481600.0,
2000-03-31,NOV,NYSE,13.7153657813,13.9688325,13.2365953125,13.9125065625,1187600.0,
2000-04-03,NOV,NYSE,13.9125065625,13.9125065625,13.0394545313,13.518225,584200.0,
2000-04-04,NOV,NYSE,13.74352875,13.74352875,11.715795,12.5888470313,1069800.0,
2000-04-05,NOV,NYSE,12.6733359375,12.6733359375,11.828446875,11.828446875,612600.0,
2000-04-06,NOV,NYSE,11.94109875,12.3635432813,11.6594690625,12.2508914063,504000.0,
2000-04-07,NOV,NYSE,12.2227284375,13.74352875,12.2227284375,13.6027139062,1229800.0,
2000-04-10,NOV,NYSE,13.4900620313,13.4900620313,12.8141507813,13.0112915625,944400.0,
2000-04-11,NOV,NYSE,12.7859878125,13.0957804688,12.7859878125,12.9268026563,696200.0,
2000-04-12,NOV,NYSE,13.0394545313,13.6027139062,13.0394545313,13.3492471875,1093200.0,
2000-04-13,NOV,NYSE,13.4618990625,13.4618990625,12.61701,12.61701,699200.0,
2000-04-14,NOV,NYSE,12.6733359375,12.8704767188,12.1100765625,12.3072173438,534400.0,
2000-04-17,NOV,NYSE,12.3353803125,12.3353803125,11.152535625,11.2370245313,601400.0,
2000-04-18,NOV,NYSE,11.3496764063,11.9129357812,11.152535625,11.8566098438,710200.0,
2000-04-19,NOV,NYSE,11.7439579688,12.0255876563,11.5186542188,11.6594690625,619800.0,
2000-04-20,NOV,NYSE,11.7721209375,12.2227284375,11.7721209375,12.1100765625,1120800.0,
2000-04-24,NOV,NYSE,12.1100765625,12.3072173438,12.0255876563,12.1382395312,874000.0,
2000-04-25,NOV,NYSE,11.8002839063,12.1664025,10.13866875,10.8709059375,2353000.0,
2000-04-26,NOV,NYSE,10.8709059375,10.8709059375,10.251320625,10.3358095313,2309400.0,
2000-04-27,NOV,NYSE,10.2794835938,11.03988375,10.13866875,10.701928125,2026600.0,
2000-04-28,NOV,NYSE,10.81458,10.9835578125,10.5611132813,10.7864170313,1302000.0,
2000-05-01,NOV,NYSE,10.81458,11.3496764063,10.3639725,11.2651875,597000.0,
2000-05-02,NOV,NYSE,11.152535625,11.7439579688,10.927231875,11.2651875,1220600.0,
2000-05-03,NOV,NYSE,11.2933504687,11.4623282813,11.0680467188,11.0962096875,805400.0,
2000-05-04,NOV,NYSE,11.3215134375,11.377839375,11.03988375,11.2370245313,999600.0,
2000-05-05,NOV,NYSE,11.2651875,11.4623282813,11.0680467188,11.377839375,557400.0,
2000-05-08,NOV,NYSE,11.4623282813,11.828446875,11.2651875,11.2651875,980000.0,
2000-05-09,NOV,NYSE,11.377839375,11.6876320313,11.377839375,11.6594690625,380800.0,
2000-05-10,NOV,NYSE,11.6876320313,11.94109875,11.377839375,11.8847728125,609800.0,
2000-05-11,NOV,NYSE,11.6594690625,13.0676175,11.6594690625,12.8986396875,1521800.0,
2000-05-12,NOV,NYSE,12.84231375,13.0112915625,12.3072173438,12.3353803125,1361000.0,
2000-05-15,NOV,NYSE,12.3635432813,12.84231375,12.2508914063,12.6733359375,1651000.0,
2000-05-16,NOV,NYSE,12.954965625,12.954965625,12.1664025,12.729661875,701000.0,
2000-05-17,NOV,NYSE,12.61701,12.954965625,12.39170625,12.8704767188,505400.0,
2000-05-18,NOV,NYSE,12.9268026563,12.954965625,12.053750625,12.053750625,766800.0,
2000-05-19,NOV,NYSE,12.1664025,12.5606840625,12.1100765625,12.4480321875,1049200.0,
2000-05-22,NOV,NYSE,12.4480321875,12.4480321875,11.828446875,11.828446875,352000.0,
2000-05-23,NOV,NYSE,11.8566098438,12.39170625,11.828446875,12.3072173438,411400.0,
2000-05-24,NOV,NYSE,12.3072173438,12.4480321875,12.053750625,12.4198692188,775200.0,
2000-05-25,NOV,NYSE,12.4198692188,12.504358125,11.8847728125,11.8847728125,325600.0,
2000-05-26,NOV,NYSE,12.1382395312,12.1382395312,11.828446875,11.828446875,125400.0,
2000-05-30,NOV,NYSE,11.94109875,12.279054375,11.8002839063,11.8002839063,562200.0,
2000-05-31,NOV,NYSE,11.8566098438,12.4480321875,11.715795,11.715795,683200.0,
2000-06-01,NOV,NYSE,11.7721209375,11.9974246875,11.5186542188,11.828446875,932400.0,
2000-06-02,NOV,NYSE,12.053750625,12.053750625,11.152535625,11.152535625,983800.0,
2000-06-05,NOV,NYSE,11.2370245313,11.2651875,10.6456021875,10.7300910938,534200.0,
2000-06-06,NOV,NYSE,10.8427429688,11.2933504687,10.8427429688,10.8990689063,434200.0,
2000-06-07,NOV,NYSE,11.0117207813,11.2088615625,10.81458,11.2088615625,537200.0,
2000-06-08,NOV,NYSE,11.1243726563,11.3215134375,10.6737651562,10.927231875,628000.0,
2000-06-09,NOV,NYSE,11.03988375,11.152535625,10.8709059375,10.9835578125,398200.0,
2000-06-12,NOV,NYSE,11.3215134375,12.2227284375,11.3215134375,11.8002839063,908600.0,
2000-06-13,NOV,NYSE,11.9129357812,12.5606840625,11.9129357812,12.5606840625,1175400.0,
2000-06-14,NOV,NYSE,12.5606840625,12.8704767188,12.4480321875,12.7014989063,1014200.0,
2000-06-15,NOV,NYSE,12.7014989063,13.0676175,12.1100765625,13.0394545313,897800.0,
2000-06-16,NOV,NYSE,13.0394545313,13.7998546875,13.0394545313,13.4337360938,1660000.0,
2000-06-19,NOV,NYSE,13.4337360938,13.518225,12.954965625,13.518225,561000.0,
2000-06-20,NOV,NYSE,13.4618990625,13.7716917188,13.3492471875,13.7716917188,2076200.0,
2000-06-21,NOV,NYSE,13.9688325,14.64474375,13.9688325,14.3631140625,1547600.0,
2000-06-22,NOV,NYSE,14.532091875,14.532091875,13.9406695313,14.0251584375,1186600.0,
2000-06-23,NOV,NYSE,14.081484375,14.4757659375,14.081484375,14.3912770313,774000.0,
2000-06-26,NOV,NYSE,14.532091875,14.6165807813,14.081484375,14.3631140625,922000.0,
2000-06-27,NOV,NYSE,14.306788125,14.3349510938,13.9406695313,14.19413625,1351000.0,
2000-06-28,NOV,NYSE,14.2222992187,14.4476029688,14.1659732813,14.41944,1162800.0,
2000-06-29,NOV,NYSE,14.3912770313,14.64474375,14.2786251563,14.306788125,1301800.0,
2000-06-30,NOV,NYSE,14.532091875,14.8137215625,14.2786251563,14.8137215625,1965800.0,
2000-07-03,NOV,NYSE,14.8700475,14.9263734375,14.757395625,14.8700475,480400.0,
2000-07-05,NOV,NYSE,14.757395625,14.757395625,14.0251584375,14.0251584375,875800.0,
2000-07-06,NOV,NYSE,13.7998546875,14.2504621875,13.74352875,13.9688325,1306600.0,
