date,code,exchange,open,high,low,close,volume,count_trx
2012-06-29,NOW,NYSE,23.75,24.75,22.86,24.6,6600717.0,11155.0
2012-07-02,NOW,NYSE,24.75,25.15,24.1,24.77,103389.0,421.0
2012-07-03,NOW,NYSE,24.85,25.32,24.7,25.31,128745.0,274.0
2012-07-05,NOW,NYSE,25.65,26.25,25.25,25.96,110992.0,603.0
2012-07-06,NOW,NYSE,25.75,26.12,25.1,25.84,63065.0,305.0
2012-07-09,NOW,NYSE,25.96,26.04,25.18,25.27,29874.0,185.0
2012-07-10,NOW,NYSE,25.22,25.5,25.05,25.05,60677.0,297.0
2012-07-11,NOW,NYSE,25.02,25.12,23.51,23.7,37275.0,185.0
2012-07-12,NOW,NYSE,23.3,24.38,22.62,24.08,59457.0,269.0
2012-07-13,NOW,NYSE,24.69,24.92,24.0,24.0,16177.0,92.0
2012-07-16,NOW,NYSE,24.08,24.55,23.87,24.38,23466.0,165.0
2012-07-17,NOW,NYSE,24.48,24.48,23.94,24.27,41809.0,215.0
2012-07-18,NOW,NYSE,24.43,24.69,24.0,24.23,27221.0,155.0
2012-07-19,NOW,NYSE,24.67,24.67,23.93,24.0,28326.0,163.0
2012-07-20,NOW,NYSE,24.04,25.23,23.9,25.23,73902.0,250.0
2012-07-23,NOW,NYSE,25.01,25.01,23.93,24.35,61376.0,297.0
2012-07-24,NOW,NYSE,24.76,25.96,24.6,24.84,87133.0,474.0
2012-07-25,NOW,NYSE,25.06,25.46,24.85,24.93,14885.0,100.0
2012-07-26,NOW,NYSE,25.23,25.23,24.0,24.42,28699.0,170.0
2012-07-27,NOW,NYSE,24.48,25.43,24.48,25.33,22468.0,120.0
2012-07-30,NOW,NYSE,25.25,25.45,25.14,25.39,9816.0,50.0
2012-07-31,NOW,NYSE,25.44,27.56,25.43,27.0,59450.0,209.0
2012-08-01,NOW,NYSE,27.32,27.95,26.76,27.71,10026.0,69.0
2012-08-02,NOW,NYSE,27.5,29.3,27.0,29.08,61656.0,290.0
2012-08-03,NOW,NYSE,29.43,31.37,28.58,28.67,61038.0,365.0
2012-08-06,NOW,NYSE,29.0,29.07,27.23,28.02,177287.0,849.0
2012-08-07,NOW,NYSE,28.3,28.74,27.83,28.0,76786.0,519.0
2012-08-08,NOW,NYSE,27.91,27.91,27.02,27.57,42189.0,306.0
2012-08-09,NOW,NYSE,27.42,30.02,27.33,29.51,21474.0,155.0
2012-08-10,NOW,NYSE,29.37,32.0,29.37,31.65,29281.0,219.0
2012-08-13,NOW,NYSE,32.03,32.55,31.88,32.43,31014.0,233.0
2012-08-14,NOW,NYSE,32.65,33.95,32.2,32.28,146237.0,791.0
2012-08-15,NOW,NYSE,32.11,32.11,29.47,29.68,121064.0,725.0
2012-08-16,NOW,NYSE,30.06,30.56,29.62,29.75,51510.0,322.0
2012-08-17,NOW,NYSE,30.0,30.04,29.44,29.6,35607.0,156.0
2012-08-20,NOW,NYSE,29.55,29.95,29.55,29.89,28307.0,195.0
2012-08-21,NOW,NYSE,30.19,30.57,30.0,30.26,35419.0,218.0
2012-08-22,NOW,NYSE,30.27,30.49,29.83,29.85,19963.0,107.0
2012-08-23,NOW,NYSE,29.93,30.52,28.82,29.03,38005.0,269.0
2012-08-24,NOW,NYSE,28.79,29.93,28.79,29.7,21259.0,136.0
2012-08-27,NOW,NYSE,29.7,30.49,29.14,29.27,23313.0,157.0
2012-08-28,NOW,NYSE,29.27,29.7,29.07,29.32,18783.0,134.0
2012-08-29,NOW,NYSE,29.39,29.75,29.29,29.47,16768.0,118.0
2012-08-30,NOW,NYSE,29.24,31.0,29.24,29.78,42059.0,288.0
2012-08-31,NOW,NYSE,30.24,31.5,30.19,31.1,57954.0,292.0
2012-09-04,NOW,NYSE,31.11,33.78,31.11,33.67,91367.0,564.0
2012-09-05,NOW,NYSE,33.66,34.31,33.03,34.19,57283.0,392.0
2012-09-06,NOW,NYSE,34.22,36.08,34.11,36.06,73470.0,479.0
2012-09-07,NOW,NYSE,36.5,37.31,35.75,36.55,48048.0,287.0
2012-09-10,NOW,NYSE,37.0,37.0,34.25,34.39,82016.0,625.0
2012-09-11,NOW,NYSE,34.8,35.06,32.86,33.01,32892.0,229.0
2012-09-12,NOW,NYSE,34.38,35.43,33.65,35.05,48756.0,276.0
2012-09-13,NOW,NYSE,35.13,38.14,34.77,37.51,47161.0,331.0
2012-09-14,NOW,NYSE,37.88,39.33,37.88,39.06,129280.0,863.0
2012-09-17,NOW,NYSE,39.0,39.77,38.06,38.19,126734.0,792.0
2012-09-18,NOW,NYSE,38.65,38.65,36.48,36.8,136236.0,992.0
2012-09-19,NOW,NYSE,36.88,38.73,36.84,38.65,91714.0,673.0
2012-09-20,NOW,NYSE,38.5,38.63,37.18,38.0,95797.0,705.0
2012-09-21,NOW,NYSE,38.48,39.83,38.23,39.63,121986.0,421.0
2012-09-24,NOW,NYSE,39.9,40.58,38.66,40.37,89008.0,459.0
2012-09-25,NOW,NYSE,40.9,41.77,39.61,39.99,93617.0,462.0
2012-09-26,NOW,NYSE,39.85,39.85,36.77,38.08,97869.0,715.0
2012-09-27,NOW,NYSE,38.4,40.33,38.4,40.04,129859.0,446.0
2012-09-28,NOW,NYSE,39.99,39.99,36.16,38.68,511419.0,1343.0
2012-10-01,NOW,NYSE,37.98,38.04,34.68,36.48,163947.0,844.0
2012-10-02,NOW,NYSE,36.07,36.75,35.65,36.5,84640.0,512.0
2012-10-03,NOW,NYSE,36.53,37.68,36.53,37.03,31187.0,184.0
2012-10-04,NOW,NYSE,36.7,37.15,36.7,37.15,27755.0,136.0
2012-10-05,NOW,NYSE,37.2,37.45,36.5,37.0,50803.0,287.0
2012-10-08,NOW,NYSE,36.6,36.64,35.97,36.53,39912.0,226.0
2012-10-09,NOW,NYSE,36.61,36.76,35.9,36.0,20051.0,148.0
2012-10-10,NOW,NYSE,35.95,36.03,34.65,34.78,44531.0,295.0
2012-10-11,NOW,NYSE,35.01,35.18,34.36,34.5,44594.0,290.0
2012-10-12,NOW,NYSE,34.83,34.83,32.91,33.32,42602.0,345.0
2012-10-15,NOW,NYSE,32.88,34.89,32.87,34.51,144691.0,905.0
2012-10-16,NOW,NYSE,34.64,34.64,33.7,34.31,43372.0,231.0
2012-10-17,NOW,NYSE,34.33,35.45,34.05,34.77,106607.0,736.0
2012-10-18,NOW,NYSE,34.77,34.88,34.5,34.79,35017.0,193.0
2012-10-19,NOW,NYSE,34.8,35.44,34.02,34.35,74726.0,411.0
2012-10-22,NOW,NYSE,34.45,34.47,32.6,33.44,68547.0,475.0
2012-10-23,NOW,NYSE,33.26,34.73,32.65,34.56,67938.0,455.0
2012-10-24,NOW,NYSE,34.79,35.76,34.04,35.65,139160.0,688.0
2012-10-25,NOW,NYSE,37.0,37.3,30.75,31.39,299736.0,1677.0
2012-10-26,NOW,NYSE,31.68,32.96,31.39,31.89,108467.0,565.0
2012-10-31,NOW,NYSE,32.11,32.74,30.12,30.65,84562.0,538.0
2012-11-01,NOW,NYSE,31.0,31.48,30.0,31.04,138505.0,827.0
2012-11-02,NOW,NYSE,31.23,32.68,30.79,32.14,65709.0,453.0
2012-11-05,NOW,NYSE,32.15,32.58,31.18,32.28,74550.0,488.0
2012-11-06,NOW,NYSE,32.18,33.53,32.18,32.95,57280.0,431.0
2012-11-07,NOW,NYSE,32.53,32.73,31.0,31.25,68547.0,404.0
2012-11-08,NOW,NYSE,30.87,31.59,30.68,30.9,49533.0,299.0
2012-11-09,NOW,NYSE,30.91,31.55,29.79,30.07,41766.0,290.0
2012-11-12,NOW,NYSE,30.0,30.89,29.61,29.66,21190.0,113.0
2012-11-13,NOW,NYSE,29.59,29.67,28.53,29.48,71895.0,478.0
2012-11-14,NOW,NYSE,30.6,30.6,28.24,28.71,97884.0,469.0
2012-11-15,NOW,NYSE,28.36,31.98,28.36,31.79,1188525.0,4040.0
2012-11-16,NOW,NYSE,34.5,34.5,29.46,30.35,504559.0,2211.0
