date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,OI,NYSE,24.625,24.875,23.125,23.6875,294600.0,
2000-01-04,OI,NYSE,23.8125,23.875,22.75,22.75,336800.0,
2000-01-05,OI,NYSE,22.75,23.0,22.625,23.0,776600.0,
2000-01-06,OI,NYSE,22.875,24.5,22.875,24.5,276800.0,
2000-01-07,OI,NYSE,24.5,24.5,23.5,23.75,225000.0,
2000-01-10,OI,NYSE,23.6875,24.0,23.5,23.6875,230700.0,
2000-01-11,OI,NYSE,23.5,23.5625,22.8125,23.0,379700.0,
2000-01-12,OI,NYSE,22.875,23.0,21.9375,21.9375,369100.0,
2000-01-13,OI,NYSE,22.1875,22.875,22.0,22.0625,406900.0,
2000-01-14,OI,NYSE,22.0,22.125,21.4375,21.8125,387300.0,
2000-01-18,OI,NYSE,21.5,21.6875,21.125,21.25,233300.0,
2000-01-19,OI,NYSE,21.0,21.4375,20.875,21.0,435600.0,
2000-01-20,OI,NYSE,21.1875,21.1875,20.6875,20.8125,400900.0,
2000-01-21,OI,NYSE,21.0,21.0,20.125,20.1875,644600.0,
2000-01-24,OI,NYSE,20.25,20.3125,19.25,19.5,483200.0,
2000-01-25,OI,NYSE,19.625,19.6875,19.0,19.0625,396800.0,
2000-01-26,OI,NYSE,19.5,19.5,18.75,18.8125,804200.0,
2000-01-27,OI,NYSE,18.75,18.9375,18.5,18.75,422500.0,
2000-01-28,OI,NYSE,18.625,19.25,18.625,18.8125,459300.0,
2000-01-31,OI,NYSE,18.75,18.8125,18.125,18.3125,334400.0,
2000-02-01,OI,NYSE,18.4375,18.6875,18.3125,18.625,362800.0,
2000-02-02,OI,NYSE,18.4375,18.5625,18.0625,18.125,361400.0,
2000-02-03,OI,NYSE,18.25,18.3125,17.9375,18.0,402900.0,
2000-02-04,OI,NYSE,18.0,18.0,16.9375,17.125,635200.0,
2000-02-07,OI,NYSE,17.125,17.125,16.25,16.5,551100.0,
2000-02-08,OI,NYSE,16.625,17.125,16.375,16.9375,605600.0,
2000-02-09,OI,NYSE,17.0,17.375,16.5625,16.6875,466700.0,
2000-02-10,OI,NYSE,16.75,17.75,16.625,16.6875,1037500.0,
2000-02-11,OI,NYSE,17.0,17.0625,16.25,16.3125,592300.0,
2000-02-14,OI,NYSE,16.25,16.375,15.9375,16.1875,412000.0,
2000-02-15,OI,NYSE,16.0625,16.625,16.0625,16.3125,395300.0,
2000-02-16,OI,NYSE,16.25,16.5,15.75,15.8125,225600.0,
2000-02-17,OI,NYSE,16.0,16.0625,15.5,15.5,383000.0,
2000-02-18,OI,NYSE,15.5,15.5,14.875,15.0625,1637200.0,
2000-02-22,OI,NYSE,15.0625,15.1875,15.0,15.0625,371300.0,
2000-02-23,OI,NYSE,15.3125,15.5625,14.5625,14.75,571200.0,
2000-02-24,OI,NYSE,14.5625,14.875,14.4375,14.5625,674500.0,
2000-02-25,OI,NYSE,14.5625,14.8125,14.3125,14.4375,152800.0,
2000-02-28,OI,NYSE,14.3125,14.3125,13.8125,13.875,864600.0,
2000-02-29,OI,NYSE,13.875,14.0,13.75,13.8125,599200.0,
2000-03-01,OI,NYSE,13.75,13.875,13.375,13.6875,467100.0,
2000-03-02,OI,NYSE,13.625,13.875,13.25,13.625,795300.0,
2000-03-03,OI,NYSE,13.5625,14.4375,13.5625,14.3125,424900.0,
2000-03-06,OI,NYSE,14.0,14.375,13.6875,13.8125,694000.0,
2000-03-07,OI,NYSE,13.8125,14.0625,13.75,13.875,416000.0,
2000-03-08,OI,NYSE,14.125,14.5625,14.0625,14.375,484000.0,
2000-03-09,OI,NYSE,14.375,15.125,14.3125,15.125,450300.0,
2000-03-10,OI,NYSE,15.25,16.3125,15.25,16.25,783800.0,
2000-03-13,OI,NYSE,16.125,16.9375,15.9375,16.875,658000.0,
2000-03-14,OI,NYSE,16.875,17.0625,16.25,16.5,798600.0,
2000-03-15,OI,NYSE,16.375,18.25,16.375,18.0625,361300.0,
2000-03-16,OI,NYSE,18.3125,19.3125,18.0,19.3125,405600.0,
2000-03-17,OI,NYSE,19.1875,19.625,19.0,19.125,506500.0,
2000-03-20,OI,NYSE,19.0,19.125,18.4375,18.9375,247100.0,
2000-03-21,OI,NYSE,18.6875,19.125,18.5625,18.875,252900.0,
2000-03-22,OI,NYSE,19.0,19.0,18.25,18.5,201300.0,
2000-03-23,OI,NYSE,18.4375,18.75,18.0,18.1875,430800.0,
2000-03-24,OI,NYSE,18.0,18.25,17.625,18.0625,229300.0,
2000-03-27,OI,NYSE,17.9375,17.9375,17.3125,17.5,269400.0,
2000-03-28,OI,NYSE,17.25,17.75,16.875,17.0625,849700.0,
2000-03-29,OI,NYSE,17.1875,17.375,16.8125,16.875,500600.0,
2000-03-30,OI,NYSE,16.875,18.125,16.875,17.25,666000.0,
2000-03-31,OI,NYSE,17.5,18.0,16.875,16.875,549100.0,
2000-04-03,OI,NYSE,17.125,17.75,16.9375,16.9375,470400.0,
2000-04-04,OI,NYSE,17.25,17.625,15.5,16.9375,671400.0,
2000-04-05,OI,NYSE,17.0,17.25,16.625,16.6875,315400.0,
2000-04-06,OI,NYSE,15.875,16.6875,15.875,16.1875,682700.0,
2000-04-07,OI,NYSE,16.375,16.5,15.8125,15.9375,749100.0,
2000-04-10,OI,NYSE,15.8125,16.5,15.8125,16.4375,495600.0,
2000-04-11,OI,NYSE,16.4375,17.0,16.3125,16.5,230100.0,
2000-04-12,OI,NYSE,16.625,17.125,16.4375,16.8125,380700.0,
2000-04-13,OI,NYSE,16.75,17.3125,16.625,17.0,193100.0,
2000-04-14,OI,NYSE,16.75,17.0,15.75,16.125,362600.0,
2000-04-17,OI,NYSE,16.375,16.375,15.625,15.9375,227000.0,
2000-04-18,OI,NYSE,15.875,16.0625,15.5,15.9375,303500.0,
2000-04-19,OI,NYSE,15.9375,16.4375,15.75,16.0625,343700.0,
2000-04-20,OI,NYSE,15.75,15.8125,15.0,15.25,421500.0,
2000-04-24,OI,NYSE,14.625,14.875,13.6875,14.25,1003900.0,
2000-04-25,OI,NYSE,14.3125,14.3125,13.75,14.0,554400.0,
2000-04-26,OI,NYSE,14.125,14.125,13.625,13.6875,286600.0,
2000-04-27,OI,NYSE,13.5625,13.75,13.5,13.5625,395700.0,
2000-04-28,OI,NYSE,13.5,13.5625,13.25,13.5,408700.0,
2000-05-01,OI,NYSE,13.5,13.9375,13.4375,13.5625,344500.0,
2000-05-02,OI,NYSE,13.4375,13.6875,13.3125,13.4375,249400.0,
2000-05-03,OI,NYSE,13.375,13.5,13.1875,13.375,255900.0,
2000-05-04,OI,NYSE,13.3125,13.375,12.75,12.875,263400.0,
2000-05-05,OI,NYSE,12.8125,12.9375,12.5625,12.625,220600.0,
2000-05-08,OI,NYSE,12.5,13.0,12.375,12.9375,453300.0,
2000-05-09,OI,NYSE,12.4375,13.0,12.4375,12.9375,301500.0,
2000-05-10,OI,NYSE,12.75,13.125,12.5625,12.8125,280200.0,
2000-05-11,OI,NYSE,12.6875,13.3125,12.6875,13.1875,211400.0,
