date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,OKE,NYSE,5.526316,5.526316,5.389526,5.430563,721200.0,
2000-01-04,OKE,NYSE,5.403205,5.4716,5.33481,5.362168,321600.0,
2000-01-05,OKE,NYSE,5.403205,5.444242,5.375847,5.416884,864000.0,
2000-01-06,OKE,NYSE,5.430563,5.498958,5.375847,5.416884,452400.0,
2000-01-07,OKE,NYSE,5.444242,5.622069,5.444242,5.622069,386800.0,
2000-01-10,OKE,NYSE,5.60839,5.649427,5.581032,5.60839,315200.0,
2000-01-11,OKE,NYSE,5.594711,5.635748,5.539995,5.539995,331200.0,
2000-01-12,OKE,NYSE,5.581032,5.690464,5.581032,5.676785,574400.0,
2000-01-13,OKE,NYSE,5.676785,5.813575,5.676785,5.799896,378000.0,
2000-01-14,OKE,NYSE,5.786217,5.854612,5.663106,5.74518,344400.0,
2000-01-18,OKE,NYSE,5.690464,5.74518,5.635748,5.649427,194800.0,
2000-01-19,OKE,NYSE,5.690464,5.88197,5.690464,5.717822,240800.0,
2000-01-20,OKE,NYSE,5.74518,5.772538,5.690464,5.758859,162000.0,
2000-01-21,OKE,NYSE,5.758859,6.059797,5.717822,6.032439,358000.0,
2000-01-24,OKE,NYSE,6.032439,6.182908,5.977723,6.032439,357600.0,
2000-01-25,OKE,NYSE,6.032439,6.128192,5.923007,5.923007,256800.0,
2000-01-26,OKE,NYSE,5.977723,6.059797,5.909328,5.909328,249600.0,
2000-01-27,OKE,NYSE,5.840933,5.854612,5.704143,5.704143,211600.0,
2000-01-28,OKE,NYSE,5.704143,5.772538,5.676785,5.704143,218800.0,
2000-01-31,OKE,NYSE,5.717822,5.813575,5.581032,5.717822,280000.0,
2000-02-01,OKE,NYSE,5.690464,5.799896,5.526316,5.74518,198400.0,
2000-02-02,OKE,NYSE,5.799896,5.840933,5.717822,5.799896,204400.0,
2000-02-03,OKE,NYSE,5.772538,5.840933,5.60839,5.799896,218400.0,
2000-02-04,OKE,NYSE,5.799896,5.799896,5.594711,5.649427,219600.0,
2000-02-07,OKE,NYSE,5.649427,5.649427,5.512637,5.526316,432000.0,
2000-02-08,OKE,NYSE,5.526316,5.526316,5.266415,5.457921,757600.0,
2000-02-09,OKE,NYSE,5.389526,5.430563,5.293773,5.348489,424000.0,
2000-02-10,OKE,NYSE,5.321131,5.444242,5.321131,5.403205,152000.0,
2000-02-11,OKE,NYSE,5.362168,5.416884,5.143304,5.19802,295200.0,
2000-02-14,OKE,NYSE,5.252736,5.389526,5.129625,5.321131,222800.0,
2000-02-15,OKE,NYSE,5.33481,5.4716,5.33481,5.444242,350800.0,
2000-02-16,OKE,NYSE,5.444242,5.457921,5.266415,5.293773,327600.0,
2000-02-17,OKE,NYSE,5.321131,5.430563,5.307452,5.321131,220400.0,
2000-02-18,OKE,NYSE,5.321131,5.33481,5.239057,5.239057,235600.0,
2000-02-22,OKE,NYSE,5.211699,5.211699,5.06123,5.143304,149600.0,
2000-02-23,OKE,NYSE,5.143304,5.143304,5.033872,5.074909,121200.0,
2000-02-24,OKE,NYSE,5.033872,5.074909,4.869724,4.910761,396000.0,
2000-02-25,OKE,NYSE,4.910761,4.979156,4.760292,4.760292,320000.0,
2000-02-28,OKE,NYSE,4.78765,4.92444,4.78765,4.897082,240000.0,
2000-02-29,OKE,NYSE,4.856045,4.992835,4.842366,4.965477,278000.0,
2000-03-01,OKE,NYSE,4.965477,5.033872,4.965477,5.033872,329200.0,
