date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,PEG,NYSE,17.5,17.5,17.03125,17.03125,5261200.0,
2000-01-04,PEG,NYSE,17.0625,17.3125,17.03125,17.15625,1693400.0,
2000-01-05,PEG,NYSE,17.15625,17.625,17.15625,17.59375,1405200.0,
2000-01-06,PEG,NYSE,17.59375,17.8125,17.5625,17.65625,909800.0,
2000-01-07,PEG,NYSE,17.65625,17.6875,17.5625,17.625,940800.0,
2000-01-10,PEG,NYSE,17.59375,17.6875,17.46875,17.5,1161800.0,
2000-01-11,PEG,NYSE,17.5,17.78125,17.5,17.71875,1429200.0,
2000-01-12,PEG,NYSE,17.71875,17.96875,17.71875,17.75,816400.0,
2000-01-13,PEG,NYSE,17.71875,17.90625,17.65625,17.65625,4134000.0,
2000-01-14,PEG,NYSE,17.53125,17.59375,17.34375,17.375,1229600.0,
2000-01-18,PEG,NYSE,17.25,17.28125,17.0625,17.09375,783800.0,
2000-01-19,PEG,NYSE,17.21875,17.625,17.21875,17.40625,913400.0,
2000-01-20,PEG,NYSE,17.375,17.53125,17.25,17.4375,1120000.0,
2000-01-21,PEG,NYSE,17.5,17.8125,17.375,17.78125,787000.0,
2000-01-24,PEG,NYSE,17.8125,18.0,17.5625,17.625,909000.0,
2000-01-25,PEG,NYSE,17.65625,17.65625,16.96875,17.34375,1294800.0,
2000-01-26,PEG,NYSE,17.0625,17.25,16.96875,17.25,1393200.0,
2000-01-27,PEG,NYSE,17.1875,17.375,16.96875,17.15625,761200.0,
2000-01-28,PEG,NYSE,17.0625,17.1875,16.6875,16.75,1224400.0,
2000-01-31,PEG,NYSE,16.75,17.1875,16.71875,17.1875,749200.0,
2000-02-01,PEG,NYSE,17.21875,17.28125,16.9375,17.21875,679200.0,
2000-02-02,PEG,NYSE,17.15625,17.21875,16.90625,16.96875,520000.0,
2000-02-03,PEG,NYSE,16.9375,17.375,16.9375,17.21875,1016000.0,
2000-02-04,PEG,NYSE,17.1875,17.21875,16.65625,16.84375,713600.0,
2000-02-07,PEG,NYSE,16.625,16.84375,16.59375,16.75,856800.0,
2000-02-08,PEG,NYSE,16.71875,16.9375,16.6875,16.75,455200.0,
2000-02-09,PEG,NYSE,16.625,16.8125,16.46875,16.5625,973200.0,
2000-02-10,PEG,NYSE,16.5625,16.625,16.21875,16.34375,479400.0,
2000-02-11,PEG,NYSE,16.28125,16.4375,16.15625,16.28125,438800.0,
2000-02-14,PEG,NYSE,16.3125,16.65625,16.25,16.3125,1010800.0,
2000-02-15,PEG,NYSE,16.25,16.34375,16.03125,16.125,561200.0,
2000-02-16,PEG,NYSE,16.09375,16.15625,16.0,16.03125,435000.0,
2000-02-17,PEG,NYSE,16.21875,16.21875,15.71875,15.8125,586800.0,
2000-02-18,PEG,NYSE,15.5625,15.6875,15.3125,15.34375,1332400.0,
2000-02-22,PEG,NYSE,15.28125,15.5,15.25,15.28125,1095400.0,
2000-02-23,PEG,NYSE,15.15625,15.15625,14.9375,14.96875,1409400.0,
2000-02-24,PEG,NYSE,14.9375,14.9375,14.25,14.53125,2339600.0,
2000-02-25,PEG,NYSE,14.53125,14.5625,14.15625,14.25,594400.0,
2000-02-28,PEG,NYSE,14.25,14.5,14.25,14.46875,1296600.0,
2000-02-29,PEG,NYSE,14.46875,14.5625,14.4375,14.5,1274200.0,
2000-03-01,PEG,NYSE,14.46875,14.5,14.1875,14.28125,812000.0,
2000-03-02,PEG,NYSE,14.25,14.53125,14.21875,14.40625,757400.0,
2000-03-03,PEG,NYSE,14.4375,14.5625,14.34375,14.46875,1388400.0,
2000-03-06,PEG,NYSE,14.3125,14.3125,13.375,13.53125,1345600.0,
2000-03-07,PEG,NYSE,13.53125,13.8125,13.5,13.625,836200.0,
2000-03-08,PEG,NYSE,13.21875,13.59375,13.15625,13.375,1270200.0,
2000-03-09,PEG,NYSE,13.25,13.3125,13.03125,13.1875,633800.0,
2000-03-10,PEG,NYSE,13.1875,13.21875,13.0625,13.0625,597800.0,
2000-03-13,PEG,NYSE,13.0,13.15625,12.875,12.9375,588600.0,
2000-03-14,PEG,NYSE,12.9375,13.09375,12.84375,12.96875,740600.0,
2000-03-15,PEG,NYSE,12.90625,13.84375,12.90625,13.78125,1537200.0,
2000-03-16,PEG,NYSE,13.8125,14.90625,13.78125,14.8125,1475200.0,
2000-03-17,PEG,NYSE,14.5,14.75,14.3125,14.34375,1329400.0,
2000-03-20,PEG,NYSE,14.4375,14.65625,14.25,14.28125,793200.0,
2000-03-21,PEG,NYSE,14.40625,14.4375,14.125,14.25,751200.0,
2000-03-22,PEG,NYSE,14.125,14.1875,13.75,13.8125,749200.0,
2000-03-23,PEG,NYSE,13.6875,14.40625,13.6875,14.21875,816200.0,
2000-03-24,PEG,NYSE,14.0,14.125,13.9375,13.96875,842000.0,
2000-03-27,PEG,NYSE,13.96875,14.21875,13.96875,14.03125,386600.0,
2000-03-28,PEG,NYSE,14.0625,14.75,14.03125,14.0625,917800.0,
2000-03-29,PEG,NYSE,14.125,14.75,14.125,14.71875,1097800.0,
2000-03-30,PEG,NYSE,14.71875,14.96875,14.71875,14.875,1223800.0,
2000-03-31,PEG,NYSE,14.78125,15.0625,14.5625,14.8125,1170800.0,
2000-04-03,PEG,NYSE,14.84375,14.9375,14.75,14.84375,911800.0,
2000-04-04,PEG,NYSE,14.8125,15.375,14.625,15.03125,1584800.0,
2000-04-05,PEG,NYSE,15.03125,15.5625,15.03125,15.0625,930600.0,
2000-04-06,PEG,NYSE,15.09375,15.21875,14.8125,15.0,683600.0,
2000-04-07,PEG,NYSE,14.9375,15.03125,14.625,14.71875,1534000.0,
2000-04-10,PEG,NYSE,14.78125,15.40625,14.6875,15.375,937200.0,
2000-04-11,PEG,NYSE,15.3125,15.78125,15.3125,15.625,1090200.0,
2000-04-12,PEG,NYSE,15.75,16.3125,15.75,16.03125,904400.0,
2000-04-13,PEG,NYSE,15.9375,16.84375,15.84375,16.75,1327200.0,
2000-04-14,PEG,NYSE,16.75,17.1875,16.5,16.65625,1550800.0,
2000-04-17,PEG,NYSE,16.5625,16.8125,16.125,16.8125,1569200.0,
2000-04-18,PEG,NYSE,16.75,16.9375,16.65625,16.75,1012600.0,
2000-04-19,PEG,NYSE,16.65625,16.84375,16.53125,16.8125,1150800.0,
2000-04-20,PEG,NYSE,16.84375,17.09375,16.75,17.09375,780000.0,
2000-04-24,PEG,NYSE,17.03125,17.71875,17.03125,17.53125,858800.0,
2000-04-25,PEG,NYSE,17.5,18.28125,17.375,18.125,1173200.0,
2000-04-26,PEG,NYSE,18.125,18.84375,18.03125,18.8125,1307400.0,
2000-04-27,PEG,NYSE,18.78125,18.875,18.3125,18.40625,1564400.0,
2000-04-28,PEG,NYSE,18.3125,18.375,17.84375,17.9375,1178800.0,
2000-05-01,PEG,NYSE,17.90625,17.9375,17.5625,17.65625,1210200.0,
2000-05-02,PEG,NYSE,17.65625,17.875,17.40625,17.40625,1159000.0,
2000-05-03,PEG,NYSE,17.34375,17.5625,17.3125,17.34375,749600.0,
2000-05-04,PEG,NYSE,17.25,17.75,16.875,17.5625,1466600.0,
2000-05-05,PEG,NYSE,17.5,17.53125,17.09375,17.1875,778400.0,
2000-05-08,PEG,NYSE,17.125,17.84375,17.125,17.625,1314600.0,
2000-05-09,PEG,NYSE,17.53125,17.65625,17.34375,17.5,942200.0,
2000-05-10,PEG,NYSE,17.46875,17.8125,17.46875,17.625,1059400.0,
2000-05-11,PEG,NYSE,17.59375,18.1875,17.59375,18.125,1325800.0,
2000-05-12,PEG,NYSE,18.125,18.1875,17.84375,18.0,959200.0,
2000-05-15,PEG,NYSE,17.90625,18.375,17.90625,18.25,793800.0,
2000-05-16,PEG,NYSE,18.1875,18.1875,17.84375,18.0625,840000.0,
2000-05-17,PEG,NYSE,18.1875,18.21875,17.6875,17.8125,880600.0,
2000-05-18,PEG,NYSE,17.8125,18.5,17.78125,18.1875,834400.0,
2000-05-19,PEG,NYSE,18.0625,18.46875,18.0,18.375,1396200.0,
2000-05-22,PEG,NYSE,18.40625,19.09375,18.40625,18.71875,1297000.0,
2000-05-23,PEG,NYSE,18.625,18.625,18.28125,18.4375,1904000.0,
2000-05-24,PEG,NYSE,18.5,18.78125,18.4375,18.53125,1505000.0,
2000-05-25,PEG,NYSE,18.59375,18.59375,18.25,18.5625,1077200.0,
2000-05-26,PEG,NYSE,18.59375,18.875,18.5625,18.71875,800400.0,
2000-05-30,PEG,NYSE,18.71875,18.71875,18.375,18.53125,1299600.0,
2000-05-31,PEG,NYSE,18.625,18.8125,18.5625,18.625,1097600.0,
2000-06-01,PEG,NYSE,18.5625,18.625,18.3125,18.625,965800.0,
2000-06-02,PEG,NYSE,18.59375,18.75,18.28125,18.3125,819800.0,
2000-06-05,PEG,NYSE,18.21875,18.21875,17.5,17.65625,662200.0,
2000-06-06,PEG,NYSE,17.5625,18.09375,17.4375,18.0,910600.0,
2000-06-07,PEG,NYSE,17.78125,17.96875,17.6875,17.8125,629400.0,
2000-06-08,PEG,NYSE,17.59375,17.875,17.40625,17.84375,1022200.0,
2000-06-09,PEG,NYSE,17.78125,18.1875,17.78125,18.09375,602600.0,
2000-06-12,PEG,NYSE,18.15625,18.28125,18.125,18.1875,581200.0,
2000-06-13,PEG,NYSE,18.1875,18.4375,18.09375,18.15625,653600.0,
2000-06-14,PEG,NYSE,18.09375,18.09375,17.75,17.75,646400.0,
2000-06-15,PEG,NYSE,17.71875,18.3125,17.71875,18.25,858200.0,
2000-06-16,PEG,NYSE,18.125,18.4375,17.84375,18.0,1152800.0,
2000-06-19,PEG,NYSE,17.90625,18.0625,17.78125,17.9375,776800.0,
2000-06-20,PEG,NYSE,18.0,18.09375,17.6875,18.0,880000.0,
2000-06-21,PEG,NYSE,18.0,18.3125,18.0,18.0,871600.0,
2000-06-22,PEG,NYSE,18.0,18.0,17.5625,17.875,949200.0,
2000-06-23,PEG,NYSE,17.8125,18.21875,17.6875,18.125,1254600.0,
2000-06-26,PEG,NYSE,18.125,18.34375,17.875,18.3125,724800.0,
2000-06-27,PEG,NYSE,18.34375,18.4375,17.5,17.625,1420800.0,
2000-06-28,PEG,NYSE,17.5625,18.3125,17.34375,18.1875,1281400.0,
2000-06-29,PEG,NYSE,18.125,18.375,17.84375,17.90625,738000.0,
2000-06-30,PEG,NYSE,17.90625,18.40625,17.15625,17.3125,1727200.0,
2000-07-03,PEG,NYSE,17.40625,17.9375,17.40625,17.78125,661200.0,
2000-07-05,PEG,NYSE,18.09375,18.25,17.40625,17.625,918800.0,
2000-07-06,PEG,NYSE,17.4375,17.75,17.375,17.75,1064600.0,
2000-07-07,PEG,NYSE,17.6875,18.03125,17.6875,17.90625,588800.0,
2000-07-10,PEG,NYSE,17.84375,18.25,17.84375,18.1875,589200.0,
2000-07-11,PEG,NYSE,18.09375,18.34375,17.8125,18.34375,1145600.0,
2000-07-12,PEG,NYSE,18.28125,18.3125,18.03125,18.1875,450000.0,
2000-07-13,PEG,NYSE,18.0625,18.3125,18.0,18.25,572400.0,
2000-07-14,PEG,NYSE,18.3125,18.375,17.78125,17.875,1570600.0,
2000-07-17,PEG,NYSE,17.53125,17.625,17.40625,17.4375,1030000.0,
2000-07-18,PEG,NYSE,17.5,17.625,17.40625,17.5,1005400.0,
2000-07-19,PEG,NYSE,17.5,17.6875,17.46875,17.53125,1136400.0,
2000-07-20,PEG,NYSE,17.5625,17.6875,17.40625,17.6875,1045600.0,
2000-07-21,PEG,NYSE,17.4375,17.59375,17.1875,17.34375,1079200.0,
2000-07-24,PEG,NYSE,17.28125,17.28125,16.8125,17.0,940400.0,
2000-07-25,PEG,NYSE,17.0,17.0,16.8125,16.875,1278800.0,
2000-07-26,PEG,NYSE,16.96875,16.96875,16.4375,16.5,1583600.0,
2000-07-27,PEG,NYSE,16.5625,16.84375,16.5625,16.8125,1239800.0,
2000-07-28,PEG,NYSE,16.71875,17.15625,16.65625,16.75,884800.0,
2000-07-31,PEG,NYSE,16.875,17.25,16.5625,16.8125,1683800.0,
2000-08-01,PEG,NYSE,16.8125,17.375,16.8125,17.3125,743200.0,
2000-08-02,PEG,NYSE,17.28125,17.6875,17.25,17.4375,1286000.0,
2000-08-03,PEG,NYSE,17.5,18.0625,17.46875,17.65625,1032200.0,
2000-08-04,PEG,NYSE,17.5625,17.96875,17.34375,17.8125,1442200.0,
2000-08-07,PEG,NYSE,17.75,18.09375,17.6875,18.0625,954400.0,
2000-08-08,PEG,NYSE,18.15625,18.1875,17.875,18.125,645200.0,
