date,code,exchange,open,high,low,close,volume,count_trx
2014-07-21,PGN,NYSE,17.5,17.5,11.9,12.5,152253.0,235.0
2014-07-22,PGN,NYSE,12.65,12.85,12.06,12.49,40945.0,213.0
2014-07-23,PGN,NYSE,12.4,12.4,11.95,12.0,42620.0,280.0
2014-07-24,PGN,NYSE,12.0,12.0,11.5,11.85,146420.0,689.0
2014-07-25,PGN,NYSE,11.66,11.82,11.3,11.6,25307.0,181.0
2014-07-28,PGN,NYSE,11.67,11.91,11.35,11.7,117153.0,681.0
2014-07-29,PGN,NYSE,11.7,11.79,11.38,11.42,49254.0,316.0
2014-07-30,PGN,NYSE,11.3,11.65,11.21,11.27,80231.0,394.0
2014-07-31,PGN,NYSE,11.4,12.48,11.25,11.4,112452.0,731.0
2014-08-01,PGN,NYSE,11.55,12.0,11.28,11.78,7491901.0,2323.0
2014-08-04,PGN,NYSE,11.21,11.75,10.83,11.0,1513601.0,2591.0
2014-08-05,PGN,NYSE,10.8,10.97,10.08,10.1,871088.0,3244.0
2014-08-06,PGN,NYSE,10.05,10.3,10.01,10.09,1245354.0,1789.0
2014-08-07,PGN,NYSE,10.11,10.24,9.59,9.8,682241.0,2047.0
2014-08-08,PGN,NYSE,9.67,9.84,9.5,9.54,793281.0,2097.0
2014-08-11,PGN,NYSE,9.74,10.05,9.38,9.82,907371.0,3003.0
2014-08-12,PGN,NYSE,9.55,9.66,9.36,9.51,683268.0,1481.0
2014-08-13,PGN,NYSE,9.49,9.52,9.22,9.28,1046117.0,1589.0
2014-08-14,PGN,NYSE,9.15,9.48,9.11,9.43,421218.0,1070.0
2014-08-15,PGN,NYSE,9.26,9.49,9.26,9.46,433321.0,1083.0
2014-08-18,PGN,NYSE,9.36,9.56,9.32,9.5,330560.0,900.0
2014-08-19,PGN,NYSE,9.53,9.54,9.23,9.3,491807.0,1309.0
2014-08-20,PGN,NYSE,9.21,9.62,9.21,9.51,387263.0,1239.0
2014-08-21,PGN,NYSE,9.6,9.62,9.4,9.45,619964.0,1805.0
2014-08-22,PGN,NYSE,9.45,9.56,9.25,9.3,242119.0,948.0
2014-08-25,PGN,NYSE,9.43,9.43,9.12,9.29,215484.0,721.0
2014-08-26,PGN,NYSE,9.24,9.32,9.16,9.19,394118.0,1058.0
2014-08-27,PGN,NYSE,9.28,9.28,9.1,9.24,471788.0,1255.0
2014-08-28,PGN,NYSE,9.24,9.3,9.1,9.19,592517.0,1656.0
2014-08-29,PGN,NYSE,9.25,9.35,9.22,9.32,350049.0,636.0
2014-09-02,PGN,NYSE,9.4,9.45,9.2,9.32,553742.0,1185.0
2014-09-03,PGN,NYSE,9.32,9.41,8.71,8.77,1368756.0,2721.0
2014-09-04,PGN,NYSE,8.78,8.91,8.571,8.62,994011.0,1457.0
2014-09-05,PGN,NYSE,8.64,8.69,8.02,8.24,625949.0,1875.0
2014-09-08,PGN,NYSE,8.32,8.32,8.15,8.22,514189.0,1395.0
2014-09-09,PGN,NYSE,8.22,8.23,7.32,7.35,1001831.0,2309.0
2014-09-10,PGN,NYSE,7.38,7.41,6.86,7.2,771738.0,1895.0
2014-09-11,PGN,NYSE,7.18,7.56,7.13,7.4,609597.0,1900.0
2014-09-12,PGN,NYSE,7.31,7.41,7.16,7.16,439822.0,1403.0
2014-09-15,PGN,NYSE,7.18,7.39,7.081,7.15,433091.0,1152.0
2014-09-16,PGN,NYSE,7.0,7.22,6.9,6.97,566959.0,1402.0
2014-09-17,PGN,NYSE,6.92,7.09,6.92,6.94,731563.0,2085.0
2014-09-18,PGN,NYSE,6.97,7.06,6.61,6.73,846220.0,2712.0
2014-09-19,PGN,NYSE,6.7,6.95,6.1,6.22,1866699.0,3319.0
2014-09-22,PGN,NYSE,6.25,6.5,6.135,6.23,1137698.0,2100.0
2014-09-23,PGN,NYSE,6.31,6.66,6.28,6.33,611733.0,2156.0
2014-09-24,PGN,NYSE,6.43,6.74,6.27,6.66,399036.0,1276.0
2014-09-25,PGN,NYSE,6.61,6.673,6.41,6.42,264280.0,892.0
2014-09-26,PGN,NYSE,6.42,6.69,6.29,6.63,186803.0,648.0
2014-09-29,PGN,NYSE,6.51,6.55,6.17,6.18,324440.0,937.0
2014-09-30,PGN,NYSE,6.14,6.18,5.92,6.15,538063.0,1715.0
2014-10-01,PGN,NYSE,5.97,6.34,5.94,6.12,448824.0,1265.0
2014-10-02,PGN,NYSE,6.01,6.04,5.62,5.92,523910.0,1227.0
2014-10-03,PGN,NYSE,5.96,6.13,5.84,5.99,195618.0,565.0
2014-10-06,PGN,NYSE,5.97,6.15,5.93,5.96,417643.0,844.0
2014-10-07,PGN,NYSE,5.95,6.24,5.83,5.96,805925.0,1030.0
2014-10-08,PGN,NYSE,5.9,5.91,5.7,5.85,335296.0,856.0
2014-10-09,PGN,NYSE,5.82,5.84,4.92,4.99,394933.0,1281.0
2014-10-10,PGN,NYSE,4.83,5.15,4.75,5.12,572372.0,1474.0
2014-10-13,PGN,NYSE,5.23,5.8,5.08,5.63,318636.0,973.0
2014-10-14,PGN,NYSE,5.68,5.72,5.24,5.62,331313.0,1068.0
2014-10-15,PGN,NYSE,5.66,5.77,5.01,5.66,421553.0,1034.0
2014-10-16,PGN,NYSE,5.43,5.9,5.43,5.64,248688.0,742.0
2014-10-17,PGN,NYSE,5.75,5.86,5.13,5.37,267739.0,970.0
2014-10-20,PGN,NYSE,5.33,5.37,5.1,5.14,304013.0,916.0
2014-10-21,PGN,NYSE,5.2,5.44,5.2,5.3,170168.0,612.0
2014-10-22,PGN,NYSE,5.29,5.48,5.03,5.1,351937.0,643.0
