date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,PGR,NYSE,5.808039369,5.8380292453,5.653091675,5.653091675,4468804.468804469,
2000-01-04,PGR,NYSE,5.653091675,5.653091675,5.3481945997,5.4481608539,7384807.384807385,
2000-01-05,PGR,NYSE,5.4281676031,5.5931119225,5.3681878506,5.5781169844,5186405.186405187,
2000-01-06,PGR,NYSE,5.5481271081,5.6380967369,5.5181372319,5.5581237335,3298803.2988032987,
2000-01-07,PGR,NYSE,5.5981102352,5.6580899877,5.5581237335,5.653091675,4035604.035604036,
2000-01-10,PGR,NYSE,5.6380967369,5.6480933623,5.53313217,5.5431287954,1839601.8396018397,
2000-01-11,PGR,NYSE,5.5431287954,5.5781169844,5.5031422937,5.5281338573,1965601.9656019656,
2000-01-12,PGR,NYSE,5.5231355446,5.5931119225,5.5181372319,5.5531254208,1442401.4424014424,
2000-01-13,PGR,NYSE,5.5531254208,5.7180697403,5.5381304827,5.7080731148,1743601.7436017436,
2000-01-14,PGR,NYSE,5.7080731148,5.7080731148,5.5781169844,5.6131051733,2780402.7804027805,
2000-01-18,PGR,NYSE,5.5731186717,5.5931119225,5.53313217,5.568120359,1522801.5228015229,
2000-01-19,PGR,NYSE,5.5581237335,5.5981102352,5.4581574793,5.5031422937,2449202.449202449,
2000-01-20,PGR,NYSE,5.4881473556,5.5081406064,5.308208098,5.3182047235,2469602.46960247,
2000-01-21,PGR,NYSE,5.4581574793,5.4681541048,5.223236782,5.2382317201,3391203.3912033914,
2000-01-24,PGR,NYSE,5.2332334074,5.3331996616,5.1982452184,5.2732199091,19401619.4016194,
2000-01-25,PGR,NYSE,5.2932131599,5.2932131599,5.1132739023,5.1182722151,11067611.067611068,
2000-01-26,PGR,NYSE,4.8383667033,5.2082418438,4.7833852635,5.1082755896,13824013.824013824,
2000-01-27,PGR,NYSE,5.1282688405,5.2532266582,5.1082755896,5.1732536549,9108009.108009107,
2000-01-28,PGR,NYSE,5.1582587167,5.1582587167,4.8983464558,4.9683228338,4390804.390804391,
