date,code,exchange,open,high,low,close,volume,count_trx
2023-06-28,PHIN,NYSE,30.0,37.0,30.0,37.0,900.0,4.0
2023-06-29,PHIN,NYSE,34.0,34.0,31.01,31.01,364.0,8.0
2023-06-30,PHIN,NYSE,31.49,31.49,31.49,31.49,100.0,1.0
2023-07-03,PHIN,NYSE,32.0,32.0,30.05,30.05,304.0,7.0
2023-07-05,PHIN,NYSE,29.65,36.98,29.12,36.75,5673645.0,5610.0
2023-07-06,PHIN,NYSE,35.83,36.2,31.5,33.81,427168.0,3319.0
2023-07-07,PHIN,NYSE,33.1,34.89,32.59,33.25,366749.0,2537.0
2023-07-10,PHIN,NYSE,31.52,32.01,27.29,27.69,1149527.0,6073.0
2023-07-11,PHIN,NYSE,26.51,28.32,25.51,26.61,632079.0,3470.0
2023-07-12,PHIN,NYSE,26.26,26.83,24.49,25.54,703015.0,4708.0
2023-07-13,PHIN,NYSE,25.5,27.9,25.5,27.79,573517.0,3170.0
2023-07-14,PHIN,NYSE,27.3,28.65,27.11,28.31,298560.0,1935.0
2023-07-17,PHIN,NYSE,28.28,28.9,27.17,28.18,235776.0,1558.0
2023-07-18,PHIN,NYSE,26.78,28.23,26.78,27.42,314243.0,1554.0
2023-07-19,PHIN,NYSE,27.05,27.77,25.92,26.13,245584.0,1583.0
2023-07-20,PHIN,NYSE,25.98,26.91,25.89,26.55,119509.0,653.0
2023-07-21,PHIN,NYSE,26.71,27.7,26.65,27.3,525871.0,1389.0
2023-07-24,PHIN,NYSE,27.06,29.3,27.01,28.83,237900.0,808.0
2023-07-25,PHIN,NYSE,28.98,29.705,28.52,28.96,229790.0,886.0
2023-07-26,PHIN,NYSE,28.57,29.03,28.42,28.61,175040.0,972.0
2023-07-27,PHIN,NYSE,28.64,28.78,26.6,26.91,526765.0,1235.0
2023-07-28,PHIN,NYSE,27.3,28.21,26.93,27.34,238154.0,586.0
2023-07-31,PHIN,NYSE,27.34,28.5,26.83,28.37,362152.0,1081.0
2023-08-01,PHIN,NYSE,28.26,29.36,28.01,29.06,128790.0,786.0
2023-08-02,PHIN,NYSE,29.0,30.48,28.8,29.88,204285.0,1249.0
2023-08-03,PHIN,NYSE,29.8,30.29,28.82,28.84,207590.0,1144.0
2023-08-04,PHIN,NYSE,28.9,29.08,27.75,27.99,167743.0,938.0
2023-08-07,PHIN,NYSE,27.97,29.335,27.97,28.51,133362.0,1070.0
2023-08-08,PHIN,NYSE,28.1,28.43,27.8,27.92,129697.0,663.0
2023-08-09,PHIN,NYSE,27.11,28.47,26.97,28.21,169729.0,695.0
2023-08-10,PHIN,NYSE,28.23,29.04,28.12,28.69,169379.0,713.0
2023-08-11,PHIN,NYSE,28.48,29.51,28.46,29.11,164062.0,1042.0
2023-08-14,PHIN,NYSE,28.83,29.09,28.1,28.43,123209.0,979.0
2023-08-15,PHIN,NYSE,28.88,28.88,27.62,28.0,112083.0,760.0
2023-08-16,PHIN,NYSE,27.57,27.57,26.79,26.84,155657.0,1028.0
2023-08-17,PHIN,NYSE,26.86,27.05,26.57,26.62,122559.0,799.0
2023-08-18,PHIN,NYSE,26.5,26.93,26.5,26.52,170164.0,684.0
2023-08-21,PHIN,NYSE,26.58,26.67,25.75,25.9,152000.0,824.0
2023-08-22,PHIN,NYSE,25.69,26.58,25.69,26.34,96551.0,839.0
2023-08-23,PHIN,NYSE,25.81,26.68,25.81,26.54,104167.0,564.0
2023-08-24,PHIN,NYSE,26.52,26.7,26.27,26.46,132715.0,664.0
2023-08-25,PHIN,NYSE,26.32,27.28,26.32,27.04,93779.0,743.0
2023-08-28,PHIN,NYSE,27.08,27.71,27.08,27.13,129984.0,1134.0
2023-08-29,PHIN,NYSE,27.19,27.22,26.3,26.6,123797.0,1104.0
2023-08-30,PHIN,NYSE,26.46,27.08,26.45,26.8,88674.0,541.0
2023-08-31,PHIN,NYSE,27.65,28.49,27.65,27.8,283931.0,1040.0
2023-09-01,PHIN,NYSE,27.84,28.69,27.83,28.38,97308.0,775.0
2023-09-05,PHIN,NYSE,28.56,28.84,28.13,28.2,142698.0,994.0
2023-09-06,PHIN,NYSE,28.12,28.21,27.45,27.98,133255.0,972.0
2023-09-07,PHIN,NYSE,27.61,27.62,27.27,27.51,155728.0,921.0
2023-09-08,PHIN,NYSE,27.83,28.27,27.63,27.86,136650.0,1074.0
2023-09-11,PHIN,NYSE,27.6,28.04,26.42,26.54,178884.0,1221.0
2023-09-12,PHIN,NYSE,26.4,26.56,26.07,26.15,153443.0,1246.0
2023-09-13,PHIN,NYSE,26.15,27.07,26.01,26.49,279090.0,2241.0
2023-09-14,PHIN,NYSE,26.88,27.46,26.54,27.28,262056.0,1823.0
2023-09-15,PHIN,NYSE,27.59,29.09,27.59,28.55,2247717.0,3651.0
2023-09-18,PHIN,NYSE,28.38,28.38,27.1,27.17,175667.0,1140.0
2023-09-19,PHIN,NYSE,26.89,27.38,26.35,26.36,225164.0,1417.0
2023-09-20,PHIN,NYSE,26.37,26.75,26.15,26.39,183485.0,1061.0
2023-09-21,PHIN,NYSE,26.4,26.48,25.94,26.09,151792.0,1184.0
2023-09-22,PHIN,NYSE,25.9,26.15,25.72,25.86,155590.0,994.0
2023-09-25,PHIN,NYSE,25.76,26.16,25.49,25.71,115606.0,903.0
2023-09-26,PHIN,NYSE,25.3,25.68,24.51,24.6,233617.0,1194.0
2023-09-27,PHIN,NYSE,24.77,25.82,24.7,25.43,270470.0,1664.0
2023-09-28,PHIN,NYSE,25.3,26.18,25.3,25.92,193748.0,1027.0
2023-09-29,PHIN,NYSE,26.06,26.82,26.06,26.79,194245.0,910.0
2023-10-02,PHIN,NYSE,26.87,27.24,25.97,26.13,351260.0,1552.0
2023-10-03,PHIN,NYSE,26.16,26.7,25.9,25.96,166529.0,1330.0
2023-10-04,PHIN,NYSE,25.85,26.25,25.69,25.95,167306.0,872.0
2023-10-05,PHIN,NYSE,25.9,26.35,25.9,26.31,147125.0,913.0
2023-10-06,PHIN,NYSE,26.21,27.2,25.95,26.69,128492.0,890.0
2023-10-09,PHIN,NYSE,26.43,27.04,26.31,26.52,72456.0,558.0
2023-10-10,PHIN,NYSE,26.59,27.59,26.59,27.43,134553.0,780.0
2023-10-11,PHIN,NYSE,27.49,27.79,27.33,27.75,83472.0,707.0
2023-10-12,PHIN,NYSE,27.82,27.85,26.93,27.39,115433.0,803.0
2023-10-13,PHIN,NYSE,27.55,27.79,27.03,27.3,160672.0,868.0
2023-10-16,PHIN,NYSE,27.45,28.0,27.39,27.43,146890.0,949.0
2023-10-17,PHIN,NYSE,27.19,28.5,27.19,28.0,216669.0,1128.0
2023-10-18,PHIN,NYSE,27.73,27.73,27.4,27.5,74858.0,547.0
2023-10-19,PHIN,NYSE,27.33,27.33,26.25,26.29,129096.0,763.0
2023-10-20,PHIN,NYSE,26.27,26.45,25.74,26.41,139731.0,964.0
