date,code,exchange,open,high,low,close,volume,count_trx
2000-01-28,PKG,NYSE,12.0,12.1875,12.0,12.0,11003800.0,
2000-01-31,PKG,NYSE,12.0,12.0625,12.0,12.0625,1808700.0,
2000-02-01,PKG,NYSE,12.0,12.0625,12.0,12.0,351300.0,
2000-02-02,PKG,NYSE,12.0,12.0625,12.0,12.0625,673100.0,
2000-02-03,PKG,NYSE,12.0,12.0625,12.0,12.0,540200.0,
2000-02-04,PKG,NYSE,12.0,12.0625,11.25,11.25,1597400.0,
2000-02-07,PKG,NYSE,11.125,11.125,10.75,10.8125,903900.0,
2000-02-08,PKG,NYSE,10.75,10.875,9.75,9.875,767000.0,
2000-02-09,PKG,NYSE,9.875,10.25,9.75,10.125,1694200.0,
2000-02-10,PKG,NYSE,10.5,11.25,10.4375,10.625,484900.0,
2000-02-11,PKG,NYSE,10.75,10.9375,10.0,10.0625,997200.0,
2000-02-14,PKG,NYSE,10.1875,10.3125,9.75,9.8125,263800.0,
2000-02-15,PKG,NYSE,10.0,10.625,9.9375,10.4375,513400.0,
2000-02-16,PKG,NYSE,10.5625,10.625,10.25,10.5625,348200.0,
2000-02-17,PKG,NYSE,10.875,10.875,10.3125,10.375,282400.0,
2000-02-18,PKG,NYSE,10.5,10.75,10.3125,10.5625,281800.0,
2000-02-22,PKG,NYSE,10.25,10.625,9.875,10.3125,277800.0,
2000-02-23,PKG,NYSE,9.9375,10.25,9.8125,10.125,477100.0,
2000-02-24,PKG,NYSE,10.125,10.3125,9.875,10.3125,881200.0,
2000-02-25,PKG,NYSE,10.3125,10.625,10.0,10.4375,1090500.0,
2000-02-28,PKG,NYSE,10.25,10.3125,10.0,10.0625,328400.0,
2000-02-29,PKG,NYSE,10.125,11.25,10.0,10.875,1634500.0,
2000-03-01,PKG,NYSE,10.875,11.1875,10.875,11.0,251700.0,
2000-03-02,PKG,NYSE,10.875,11.9375,10.8125,11.375,860900.0,
2000-03-03,PKG,NYSE,11.5,11.5,10.875,10.9375,149300.0,
2000-03-06,PKG,NYSE,10.5,10.8125,10.375,10.75,234100.0,
2000-03-07,PKG,NYSE,10.625,10.75,10.0625,10.25,339600.0,
2000-03-08,PKG,NYSE,10.1875,10.5,9.875,10.375,416300.0,
2000-03-09,PKG,NYSE,10.3125,10.8125,10.25,10.5,264200.0,
2000-03-10,PKG,NYSE,10.5,10.5,10.0625,10.25,162100.0,
2000-03-13,PKG,NYSE,10.0,10.125,9.5625,9.75,1736900.0,
2000-03-14,PKG,NYSE,9.75,10.125,9.75,9.875,599100.0,
2000-03-15,PKG,NYSE,9.875,9.875,9.25,9.625,1225700.0,
2000-03-16,PKG,NYSE,9.8125,10.25,9.5,9.75,393400.0,
2000-03-17,PKG,NYSE,9.75,9.9375,9.3125,9.5625,803800.0,
2000-03-20,PKG,NYSE,9.6875,9.875,9.5,9.625,462500.0,
2000-03-21,PKG,NYSE,9.5625,9.8125,9.5,9.625,172900.0,
2000-03-22,PKG,NYSE,9.625,9.75,9.5,9.5625,421800.0,
2000-03-23,PKG,NYSE,9.5,9.8125,9.5,9.6875,466500.0,
2000-03-24,PKG,NYSE,9.5625,9.875,9.5625,9.75,225000.0,
2000-03-27,PKG,NYSE,9.75,10.0,9.75,9.875,63300.0,
2000-03-28,PKG,NYSE,9.875,10.0,9.75,9.8125,153200.0,
2000-03-29,PKG,NYSE,9.8125,9.9375,9.8125,9.875,167300.0,
2000-03-30,PKG,NYSE,9.8125,10.125,9.8125,9.8125,184500.0,
2000-03-31,PKG,NYSE,9.8125,10.5,9.75,10.5,604500.0,
2000-04-03,PKG,NYSE,10.375,10.375,10.125,10.3125,98600.0,
2000-04-04,PKG,NYSE,10.375,10.375,10.0,10.0625,393900.0,
2000-04-05,PKG,NYSE,9.9375,10.375,9.875,10.3125,112700.0,
2000-04-06,PKG,NYSE,10.25,11.125,10.25,10.75,265800.0,
2000-04-07,PKG,NYSE,10.5,10.625,10.3125,10.5,233500.0,
2000-04-10,PKG,NYSE,10.5,10.75,10.3125,10.3125,126200.0,
2000-04-11,PKG,NYSE,10.25,10.625,10.25,10.625,295300.0,
2000-04-12,PKG,NYSE,10.5625,11.0,10.5625,10.8125,379900.0,
2000-04-13,PKG,NYSE,10.6875,10.8125,10.625,10.625,220800.0,
2000-04-14,PKG,NYSE,10.5,10.625,10.0,10.125,252400.0,
