date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,PNC,NYSE,44.0,44.0,41.6875,42.1875,598400.0,
2000-01-04,PNC,NYSE,42.125,42.125,40.0,40.875,1155100.0,
2000-01-05,PNC,NYSE,40.8125,41.5,40.8125,41.0625,972900.0,
2000-01-06,PNC,NYSE,40.875,43.5,40.875,43.0,1405700.0,
2000-01-07,PNC,NYSE,43.0,43.5,42.5625,43.0625,1017400.0,
2000-01-10,PNC,NYSE,44.0,44.0,41.5,41.5625,794200.0,
2000-01-11,PNC,NYSE,41.5,41.625,40.875,41.125,464700.0,
2000-01-12,PNC,NYSE,41.25,42.25,41.125,42.0,779700.0,
2000-01-13,PNC,NYSE,43.5,46.0,43.0,45.8125,1579700.0,
2000-01-14,PNC,NYSE,47.25,47.25,45.75,46.75,1279900.0,
2000-01-18,PNC,NYSE,46.75,46.75,45.8125,45.9375,1003800.0,
2000-01-19,PNC,NYSE,45.9375,46.875,45.3125,45.3125,797600.0,
2000-01-20,PNC,NYSE,45.5,45.5,43.625,44.0,945000.0,
2000-01-21,PNC,NYSE,44.0625,44.125,42.9375,43.875,1105700.0,
2000-01-24,PNC,NYSE,44.0,44.125,43.25,43.4375,1269000.0,
2000-01-25,PNC,NYSE,43.6875,44.1875,43.625,44.0625,881100.0,
2000-01-26,PNC,NYSE,43.875,45.1875,43.75,45.1875,944900.0,
2000-01-27,PNC,NYSE,45.5,46.9375,45.0625,46.6875,1355600.0,
2000-01-28,PNC,NYSE,46.25,46.5,45.625,45.875,1314200.0,
2000-01-31,PNC,NYSE,45.875,48.0,45.8125,48.0,1045300.0,
2000-02-01,PNC,NYSE,48.0,48.5,47.5,48.25,742100.0,
2000-02-02,PNC,NYSE,48.0,48.1875,46.5625,46.6875,881300.0,
2000-02-03,PNC,NYSE,46.5,46.8125,45.25,45.5,987000.0,
2000-02-04,PNC,NYSE,45.625,45.9375,44.4375,44.5625,696400.0,
2000-02-07,PNC,NYSE,44.5625,44.5625,43.0625,44.125,561300.0,
2000-02-08,PNC,NYSE,44.375,45.9375,44.375,45.0625,707100.0,
2000-02-09,PNC,NYSE,44.875,45.1875,44.0625,44.0625,629000.0,
2000-02-10,PNC,NYSE,44.25,44.5,42.25,42.6875,608400.0,
2000-02-11,PNC,NYSE,42.6875,43.5,41.8125,42.125,501700.0,
2000-02-14,PNC,NYSE,42.125,42.3125,41.375,41.625,417500.0,
2000-02-15,PNC,NYSE,41.5625,43.25,41.5,43.125,508400.0,
2000-02-16,PNC,NYSE,43.0625,43.125,41.9375,42.1875,498000.0,
2000-02-17,PNC,NYSE,43.125,43.125,41.375,41.75,577200.0,
2000-02-18,PNC,NYSE,41.0,41.1875,39.0,40.0,901100.0,
2000-02-22,PNC,NYSE,39.625,39.9375,38.8125,39.5,740200.0,
2000-02-23,PNC,NYSE,39.5625,39.625,38.375,39.125,553800.0,
2000-02-24,PNC,NYSE,39.0625,39.125,38.0,38.0,641400.0,
2000-02-25,PNC,NYSE,38.25,39.25,37.75,37.875,759600.0,
2000-02-28,PNC,NYSE,38.125,39.6875,38.0625,39.0625,866200.0,
2000-02-29,PNC,NYSE,39.25,39.25,38.625,38.6875,851200.0,
2000-03-01,PNC,NYSE,38.625,39.0,37.875,38.75,685100.0,
2000-03-02,PNC,NYSE,38.6875,39.0,38.0,38.875,617900.0,
2000-03-03,PNC,NYSE,39.5,39.5,38.4375,38.9375,476400.0,
2000-03-06,PNC,NYSE,39.0,39.25,38.125,38.125,370600.0,
2000-03-07,PNC,NYSE,38.125,38.125,36.5,36.6875,584300.0,
2000-03-08,PNC,NYSE,36.9375,37.25,36.0,36.625,697600.0,
2000-03-09,PNC,NYSE,36.8125,37.375,36.6875,37.0,895800.0,
2000-03-10,PNC,NYSE,37.25,37.625,37.0,37.4375,934900.0,
2000-03-13,PNC,NYSE,36.875,37.9375,36.8125,37.125,563700.0,
2000-03-14,PNC,NYSE,37.0625,37.625,36.875,36.9375,554100.0,
2000-03-15,PNC,NYSE,37.0,40.5,37.0,40.0,1450400.0,
2000-03-16,PNC,NYSE,43.5,45.25,42.1875,44.9375,1799900.0,
2000-03-17,PNC,NYSE,43.875,44.875,42.9375,43.6875,1124900.0,
2000-03-20,PNC,NYSE,43.8125,43.875,41.5,42.0625,537200.0,
2000-03-21,PNC,NYSE,42.1875,44.75,41.9375,44.1875,1381800.0,
2000-03-22,PNC,NYSE,44.375,45.0,43.625,44.8125,513100.0,
2000-03-23,PNC,NYSE,44.3125,46.1875,43.75,45.9375,613600.0,
2000-03-24,PNC,NYSE,45.6875,46.625,44.625,45.3125,697900.0,
2000-03-27,PNC,NYSE,45.3125,45.4375,43.375,43.625,706600.0,
2000-03-28,PNC,NYSE,43.375,44.875,43.25,44.3125,725800.0,
2000-03-29,PNC,NYSE,44.5625,44.5625,43.875,44.125,690400.0,
2000-03-30,PNC,NYSE,45.5,45.5,43.5,44.125,831100.0,
2000-03-31,PNC,NYSE,45.0,46.375,43.8125,45.0625,783500.0,
2000-04-03,PNC,NYSE,45.5625,47.5,45.5625,47.125,930200.0,
2000-04-04,PNC,NYSE,47.375,47.9375,45.25,45.875,975300.0,
2000-04-05,PNC,NYSE,46.0,46.4375,45.3125,45.4375,838400.0,
2000-04-06,PNC,NYSE,45.5,46.0,45.1875,45.625,691600.0,
2000-04-07,PNC,NYSE,45.625,46.0,44.125,44.3125,694800.0,
2000-04-10,PNC,NYSE,44.1875,45.8125,44.0625,45.5,594100.0,
2000-04-11,PNC,NYSE,45.5,46.875,45.375,46.75,681200.0,
2000-04-12,PNC,NYSE,46.0,48.75,46.0,47.3125,1378800.0,
2000-04-13,PNC,NYSE,47.5625,47.5625,46.6875,46.875,585000.0,
2000-04-14,PNC,NYSE,45.5,46.0,44.75,44.75,1452300.0,
2000-04-17,PNC,NYSE,44.6875,45.25,43.5,44.4375,760000.0,
2000-04-18,PNC,NYSE,43.5,45.375,43.25,45.1875,780300.0,
2000-04-19,PNC,NYSE,45.0,45.0,43.625,43.75,580500.0,
2000-04-20,PNC,NYSE,44.25,44.8125,43.625,44.0625,463200.0,
2000-04-24,PNC,NYSE,44.875,46.0,44.625,45.75,924000.0,
2000-04-25,PNC,NYSE,46.25,47.875,45.75,47.5,722700.0,
2000-04-26,PNC,NYSE,47.5,47.5,45.8125,46.4375,774200.0,
2000-04-27,PNC,NYSE,45.0625,45.375,43.3125,44.875,910400.0,
2000-04-28,PNC,NYSE,44.5,44.75,42.0,43.625,1090900.0,
2000-05-01,PNC,NYSE,43.0,44.8125,42.5,43.9375,813900.0,
2000-05-02,PNC,NYSE,43.9375,44.25,42.9375,43.125,1143400.0,
2000-05-03,PNC,NYSE,43.375,43.75,42.375,42.4375,626000.0,
2000-05-04,PNC,NYSE,42.4375,42.4375,41.375,41.6875,397200.0,
2000-05-05,PNC,NYSE,41.125,42.0625,41.0,41.6875,339600.0,
2000-05-08,PNC,NYSE,41.625,43.625,41.625,43.1875,500400.0,
