date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,POM,NYSE,22.875,22.875,22.0,22.5625,388100.0,
2000-01-04,POM,NYSE,22.5625,22.9375,22.4375,22.5,212400.0,
2000-01-05,POM,NYSE,22.375,23.5,22.375,23.125,381100.0,
2000-01-06,POM,NYSE,23.1875,23.1875,22.9375,23.0625,222200.0,
2000-01-07,POM,NYSE,23.0,23.25,23.0,23.1875,182200.0,
2000-01-10,POM,NYSE,22.9375,23.375,22.9375,23.1875,213000.0,
2000-01-11,POM,NYSE,23.0625,23.125,23.0,23.125,266500.0,
2000-01-12,POM,NYSE,23.125,23.375,23.0,23.125,301500.0,
2000-01-13,POM,NYSE,23.125,23.4375,23.125,23.3125,103500.0,
2000-01-14,POM,NYSE,23.5625,23.5625,23.0,23.0,257600.0,
2000-01-18,POM,NYSE,22.8125,22.8125,22.0625,22.8125,174100.0,
2000-01-19,POM,NYSE,22.5625,22.75,22.3125,22.4375,375900.0,
2000-01-20,POM,NYSE,22.5,25.0,22.375,24.625,996400.0,
2000-01-21,POM,NYSE,24.5,25.9375,24.125,25.9375,639800.0,
2000-01-24,POM,NYSE,25.9375,27.6875,25.25,25.5625,627600.0,
2000-01-25,POM,NYSE,25.5,26.25,23.875,24.375,348600.0,
2000-01-26,POM,NYSE,24.375,25.0,24.25,24.9375,306900.0,
2000-01-27,POM,NYSE,25.0,25.0625,24.0625,24.3125,308000.0,
2000-01-28,POM,NYSE,24.3125,24.3125,23.375,23.6875,251600.0,
2000-01-31,POM,NYSE,23.6875,24.125,23.125,24.125,192400.0,
2000-02-01,POM,NYSE,24.125,24.125,22.75,23.0625,489300.0,
2000-02-02,POM,NYSE,23.3125,23.3125,22.5625,22.625,419500.0,
2000-02-03,POM,NYSE,22.875,23.0625,22.4375,22.6875,383200.0,
2000-02-04,POM,NYSE,22.6875,22.875,21.75,22.0625,374100.0,
2000-02-07,POM,NYSE,22.0625,22.375,21.875,21.875,487500.0,
2000-02-08,POM,NYSE,22.0,22.0,21.375,21.5625,496000.0,
2000-02-09,POM,NYSE,21.875,22.125,21.625,21.8125,554600.0,
2000-02-10,POM,NYSE,21.5,21.5625,20.4375,20.5,405500.0,
2000-02-11,POM,NYSE,20.75,22.0,20.5625,21.625,525600.0,
2000-02-14,POM,NYSE,21.625,21.625,21.0,21.0625,141800.0,
2000-02-15,POM,NYSE,20.8125,21.25,20.6875,20.875,257600.0,
