date,code,exchange,open,high,low,close,volume,count_trx
2000-01-04,PRU,LONDON,917.160146544,950.2535538935,867.5200355197,902.1893194097,6530500.058247902,
2000-01-05,PRU,LONDON,905.3410724906,912.4325169226,850.973331845,854.9130231961,4188123.0445346823,
2000-01-06,PRU,LONDON,854.1250849259,892.734060167,853.3371466556,861.2165293579,6236868.218279856,
2000-01-07,PRU,LONDON,858.8527145472,877.7632330327,843.0939491427,871.4597268709,3921104.255425376,
2000-01-10,PRU,LONDON,882.490862654,902.1893194097,868.3079737899,900.6134428692,4764054.386899214,
2000-01-11,PRU,LONDON,895.8858132479,895.8858132479,857.2768380068,862.7924058984,3580968.745839435,
2000-01-12,PRU,LONDON,874.6114799518,874.6114799518,843.8818874129,850.1853935747,4854484.256423911,
2000-01-13,PRU,LONDON,856.4888997365,862.7924058984,833.6386899,848.6095170343,1923840.8667287978,
2000-01-14,PRU,LONDON,803.6970356313,867.5200355197,803.6970356313,865.9441589793,2912547.014378911,
2000-01-17,PRU,LONDON,869.0959120602,880.9149861136,849.3974553045,861.2165293579,2093347.4653841031,
2000-01-18,PRU,LONDON,866.7320972495,904.5531342204,795.0297146589,803.6970356313,6941343.321461855,
2000-01-19,PRU,LONDON,798.96940601,880.1270478433,798.96940601,869.0959120602,7136460.274930102,
2000-01-20,PRU,LONDON,869.0959120602,882.490862654,844.8668102507,871.4597268709,9917748.760151777,
2000-01-21,PRU,LONDON,866.7320972495,878.1572021678,810.0005417932,868.3079737899,9027532.53561443,
2000-01-24,PRU,LONDON,879.3391095731,891.1581836265,856.4888997365,881.7029243838,3298937.599853548,
2000-01-25,PRU,LONDON,879.3391095731,879.3391095731,860.4285910877,866.7320972495,9942436.509785647,
2000-01-26,PRU,LONDON,872.2476651411,909.2807638417,867.5200355197,900.6134428692,7025469.935760884,
2000-01-27,PRU,LONDON,906.1290107608,940.0103563806,880.9149861136,934.494788489,6632682.482359206,
2000-01-28,PRU,LONDON,937.6465415699,953.4053069744,902.1893194097,925.8274675165,10835642.099920116,
2000-01-31,PRU,LONDON,906.5229798959,919.9179304898,894.3099367074,899.825504599,8029793.802423112,
2000-02-01,PRU,LONDON,895.0978749777,909.2807638417,884.8546774647,904.5531342204,6569535.514578618,
2000-02-02,PRU,LONDON,906.9169490311,912.4325169226,893.5219984372,901.4013811395,6498541.72214086,
2000-02-03,PRU,LONDON,907.7048873013,914.0083934631,873.8235416815,882.490862654,15706379.601584341,
2000-02-04,PRU,LONDON,884.8546774647,885.6426157349,811.5764183336,814.7281714145,11394821.969444813,
2000-02-07,PRU,LONDON,827.3351837381,828.1231220084,773.7553813627,775.3312579032,7329467.822194115,
2000-02-08,PRU,LONDON,797.3935294695,797.3935294695,769.4217208765,783.9985788757,17371036.022167485,
2000-02-09,PRU,LONDON,793.4538381184,811.5764183336,793.4538381184,797.3935294695,8801675.251298096,
2000-02-10,PRU,LONDON,827.3351837381,827.3351837381,779.2709492543,782.4227023352,4530862.027359872,
2000-02-11,PRU,LONDON,783.9985788757,785.5744554161,713.0841345553,743.0257888239,17254688.956197575,
2000-02-14,PRU,LONDON,803.6970356313,803.6970356313,687.870109908,702.8409370423,9028977.29163893,
2000-02-15,PRU,LONDON,701.2650605019,737.5102209323,692.5977395294,709.9323814744,9552086.107043004,
2000-02-16,PRU,LONDON,731.2067147705,791.8779615779,726.4790851491,788.726208497,13448619.10864066,
2000-02-17,PRU,LONDON,788.726208497,796.4086066317,764.30012212,780.0588875245,12464257.630475303,
2000-02-18,PRU,LONDON,780.0588875245,806.8487887123,748.5413567155,772.9674430925,6984691.202902409,
2000-02-21,PRU,LONDON,795.8176529291,807.6367269825,764.30012212,765.8759986605,10530869.308347756,
2000-02-22,PRU,LONDON,801.3332208207,801.3332208207,713.0841345553,739.874035743,5749640.1111702835,
2000-02-23,PRU,LONDON,757.9966159582,778.4830109841,717.0238259064,731.9946530407,20982964.56863267,
2000-02-24,PRU,LONDON,736.7222826621,740.6619740132,689.4459864485,693.3856777996,9153830.631740114,
2000-02-25,PRU,LONDON,725.6911468789,728.8428999598,696.5374308805,713.0841345553,8678655.680002663,
2000-02-28,PRU,LONDON,713.0841345553,724.9032086087,705.204751853,719.3876407171,7970548.404007455,
2000-02-29,PRU,LONDON,722.539393798,739.0860974727,718.2057333117,735.9343443918,6062813.082479031,
2000-03-01,PRU,LONDON,739.0860974727,803.6970356313,735.9343443918,781.634764065,7695792.005059246,
2000-03-02,PRU,LONDON,817.0919862252,817.0919862252,754.0569246071,771.391566552,3178186.5763546797,
