date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,PSA,NYSE,21.8024833125,22.0427310625,21.742421375,21.86254525,219900.0,
2000-01-04,PSA,NYSE,21.742421375,21.86254525,21.6823594375,21.86254525,130500.0,
2000-01-05,PSA,NYSE,21.8024833125,22.0427310625,21.8024833125,22.0427310625,181100.0,
2000-01-06,PSA,NYSE,21.9226071875,23.0037220625,21.86254525,23.0037220625,271500.0,
2000-01-07,PSA,NYSE,22.943660125,23.183907875,22.943660125,23.183907875,132100.0,
2000-01-10,PSA,NYSE,23.183907875,23.8445891875,23.063784,23.664403375,145800.0,
2000-01-11,PSA,NYSE,23.5442795,23.664403375,23.3640936875,23.424155625,138800.0,
2000-01-12,PSA,NYSE,23.2439698125,23.6043414375,23.2439698125,23.4842175625,115100.0,
2000-01-13,PSA,NYSE,23.424155625,23.5442795,23.1238459375,23.2439698125,177400.0,
2000-01-14,PSA,NYSE,23.30403175,23.424155625,23.063784,23.183907875,127300.0,
2000-01-18,PSA,NYSE,23.063784,23.063784,22.82353625,22.82353625,84400.0,
2000-01-19,PSA,NYSE,22.82353625,22.82353625,22.463164625,22.6433504375,119400.0,
2000-01-20,PSA,NYSE,22.463164625,22.6433504375,22.4031026875,22.463164625,106300.0,
2000-01-21,PSA,NYSE,22.34304075,22.4031026875,21.982669125,21.982669125,157900.0,
2000-01-24,PSA,NYSE,21.9226071875,22.34304075,21.9226071875,22.102793,105200.0,
2000-01-25,PSA,NYSE,22.0427310625,22.102793,21.86254525,21.982669125,254300.0,
2000-01-26,PSA,NYSE,21.86254525,22.222916875,21.86254525,22.222916875,85700.0,
2000-01-27,PSA,NYSE,22.1628549375,22.1628549375,21.9226071875,21.982669125,69400.0,
2000-01-28,PSA,NYSE,22.0427310625,22.0427310625,21.742421375,21.742421375,256400.0,
2000-01-31,PSA,NYSE,21.742421375,21.982669125,21.742421375,21.8024833125,147000.0,
2000-02-01,PSA,NYSE,21.8024833125,22.222916875,21.8024833125,22.1628549375,331700.0,
2000-02-02,PSA,NYSE,22.0427310625,22.1628549375,21.982669125,22.0427310625,93100.0,
2000-02-03,PSA,NYSE,22.0427310625,22.102793,21.86254525,21.982669125,121000.0,
2000-02-04,PSA,NYSE,21.9226071875,22.1628549375,21.9226071875,21.982669125,127500.0,
2000-02-07,PSA,NYSE,21.86254525,21.9226071875,21.6823594375,21.742421375,123500.0,
2000-02-08,PSA,NYSE,21.86254525,21.9226071875,21.742421375,21.8024833125,75400.0,
2000-02-09,PSA,NYSE,21.86254525,21.9226071875,21.742421375,21.8024833125,258600.0,
2000-02-10,PSA,NYSE,21.6823594375,22.0427310625,21.6823594375,21.742421375,94700.0,
2000-02-11,PSA,NYSE,21.742421375,21.8024833125,21.5622355625,21.6222975,97000.0,
2000-02-14,PSA,NYSE,21.6222975,21.742421375,21.6222975,21.6222975,167600.0,
2000-02-15,PSA,NYSE,21.6222975,21.742421375,21.6222975,21.742421375,96400.0,
2000-02-16,PSA,NYSE,21.6222975,21.8024833125,21.5622355625,21.742421375,77700.0,
2000-02-17,PSA,NYSE,21.5622355625,22.0427310625,21.502173625,22.0427310625,137600.0,
2000-02-18,PSA,NYSE,22.0427310625,22.0427310625,21.502173625,21.6222975,76600.0,
2000-02-22,PSA,NYSE,21.6222975,21.6222975,21.4421116875,21.4421116875,163800.0,
2000-02-23,PSA,NYSE,21.4421116875,21.5622355625,21.261925875,21.3219878125,328400.0,
2000-02-24,PSA,NYSE,21.3219878125,21.38204975,21.2018639375,21.3219878125,244400.0,
2000-02-25,PSA,NYSE,21.3219878125,21.3219878125,21.0817400625,21.141802,338000.0,
2000-02-28,PSA,NYSE,21.141802,21.2018639375,21.021678125,21.0817400625,338400.0,
2000-02-29,PSA,NYSE,21.0817400625,21.2018639375,21.021678125,21.2018639375,329300.0,
2000-03-01,PSA,NYSE,21.0817400625,21.261925875,20.9616161875,21.021678125,167200.0,
2000-03-02,PSA,NYSE,20.9616161875,21.021678125,20.8414923125,20.8414923125,100900.0,
2000-03-03,PSA,NYSE,20.8414923125,21.141802,20.8414923125,21.021678125,387000.0,
2000-03-06,PSA,NYSE,20.90155425,20.9616161875,20.8414923125,20.90155425,120900.0,
2000-03-07,PSA,NYSE,20.781430375,20.90155425,20.6613065,20.7213684375,165300.0,
2000-03-08,PSA,NYSE,20.6613065,20.781430375,20.42105875,20.42105875,194800.0,
2000-03-09,PSA,NYSE,20.3609968125,20.4811206875,20.180811,20.3609968125,163000.0,
2000-03-10,PSA,NYSE,20.2408729375,20.300934875,20.060687125,20.180811,216200.0,
2000-03-13,PSA,NYSE,20.1207490625,20.3609968125,20.1207490625,20.2408729375,149300.0,
2000-03-14,PSA,NYSE,20.2408729375,20.4811206875,20.180811,20.300934875,316500.0,
2000-03-15,PSA,NYSE,20.2408729375,20.4811206875,20.2408729375,20.3609968125,141900.0,
2000-03-16,PSA,NYSE,20.42105875,20.6012445625,20.2408729375,20.541182625,577400.0,
2000-03-17,PSA,NYSE,20.6012445625,20.8414923125,20.6012445625,20.7213684375,408800.0,
2000-03-20,PSA,NYSE,20.541182625,20.781430375,20.541182625,20.7213684375,108300.0,
2000-03-21,PSA,NYSE,20.6613065,21.021678125,20.6012445625,20.781430375,183300.0,
2000-03-22,PSA,NYSE,20.8414923125,20.90155425,20.7213684375,20.90155425,170900.0,
2000-03-23,PSA,NYSE,20.7213684375,21.0817400625,20.7213684375,21.0817400625,185000.0,
2000-03-24,PSA,NYSE,21.0817400625,21.0817400625,20.8414923125,20.90155425,83200.0,
2000-03-27,PSA,NYSE,20.90155425,21.0817400625,20.6012445625,20.6613065,93500.0,
2000-03-28,PSA,NYSE,20.6613065,20.90155425,20.6613065,20.8414923125,123300.0,
2000-03-29,PSA,NYSE,20.8414923125,20.90155425,20.7213684375,20.90155425,177000.0,
2000-03-30,PSA,NYSE,21.021678125,21.141802,20.6613065,20.9616161875,206900.0,
2000-03-31,PSA,NYSE,20.7213684375,20.90155425,20.180811,20.180811,200300.0,
2000-04-03,PSA,NYSE,20.42105875,20.90155425,20.42105875,20.8414923125,205200.0,
2000-04-04,PSA,NYSE,20.8414923125,20.90155425,20.7213684375,20.90155425,77500.0,
2000-04-05,PSA,NYSE,20.8414923125,21.2018639375,20.8414923125,21.141802,161400.0,
2000-04-06,PSA,NYSE,21.2018639375,21.4421116875,21.141802,21.38204975,253700.0,
2000-04-07,PSA,NYSE,21.3219878125,21.4421116875,21.261925875,21.38204975,465400.0,
2000-04-10,PSA,NYSE,21.3219878125,21.5622355625,21.3219878125,21.4421116875,128800.0,
2000-04-11,PSA,NYSE,21.5622355625,21.742421375,21.502173625,21.6222975,238900.0,
2000-04-12,PSA,NYSE,21.742421375,21.982669125,21.6222975,21.6823594375,350100.0,
2000-04-13,PSA,NYSE,21.8024833125,21.8024833125,21.6222975,21.742421375,178200.0,
2000-04-14,PSA,NYSE,21.742421375,21.8024833125,21.5622355625,21.6222975,179000.0,
2000-04-17,PSA,NYSE,21.502173625,21.9226071875,21.38204975,21.9226071875,175200.0,
2000-04-18,PSA,NYSE,21.8024833125,21.86254525,21.6823594375,21.742421375,172000.0,
2000-04-19,PSA,NYSE,21.742421375,21.742421375,21.6222975,21.6823594375,230500.0,
2000-04-20,PSA,NYSE,21.6222975,21.6823594375,21.502173625,21.502173625,62600.0,
2000-04-24,PSA,NYSE,21.502173625,21.5622355625,21.2018639375,21.38204975,449100.0,
2000-04-25,PSA,NYSE,21.38204975,21.38204975,21.141802,21.2018639375,175100.0,
2000-04-26,PSA,NYSE,21.2018639375,22.102793,21.2018639375,21.982669125,374100.0,
2000-04-27,PSA,NYSE,21.742421375,21.8024833125,21.6222975,21.6222975,30400.0,
2000-04-28,PSA,NYSE,21.6222975,21.6222975,21.502173625,21.502173625,200300.0,
