date,code,exchange,open,high,low,close,volume,count_trx
2012-04-12,PSX,NYSE,33.25,34.21,32.0,34.0,172015.0,
2012-04-13,PSX,NYSE,34.0,37.26,33.91,37.0,256513.0,
2012-04-16,PSX,NYSE,37.0,37.0,36.0,36.55,73801.0,
2012-04-17,PSX,NYSE,36.75,36.75,36.0,36.0,25448.0,
2012-04-18,PSX,NYSE,35.77,36.44,35.35,36.0,43639.0,
2012-04-19,PSX,NYSE,36.0,37.22,35.8,36.0,70599.0,
2012-04-20,PSX,NYSE,36.13,37.0,36.1,36.32,72754.0,
2012-04-23,PSX,NYSE,36.24,36.24,35.51,35.68,8065.0,
2012-04-24,PSX,NYSE,36.0,36.0,34.71,34.75,42383.0,
2012-04-25,PSX,NYSE,34.8,35.5,34.52,34.75,67550.0,
2012-04-26,PSX,NYSE,34.61,34.95,34.45,34.95,69795.0,
2012-04-27,PSX,NYSE,35.25,35.25,33.97,34.11,92973.0,
2012-04-30,PSX,NYSE,34.34,34.89,34.02,34.05,1572942.0,
2012-05-01,PSX,NYSE,33.4,34.1,32.71,32.76,1769923.0,
2012-05-02,PSX,NYSE,32.57,32.58,31.63,32.0,2633203.0,
2012-05-03,PSX,NYSE,31.6,31.98,31.05,31.39,1985555.0,
2012-05-04,PSX,NYSE,30.85,31.09,30.12,30.16,2200451.0,
2012-05-07,PSX,NYSE,30.05,30.53,29.25,29.35,2513187.0,7175.0
2012-05-08,PSX,NYSE,28.77,30.41,28.75,30.1,2902754.0,8387.0
2012-05-09,PSX,NYSE,29.82,32.89,29.75,32.49,3158574.0,10391.0
2012-05-10,PSX,NYSE,33.33,33.35,31.52,32.48,1922415.0,5959.0
2012-05-11,PSX,NYSE,31.73,32.13,31.41,31.83,1118603.0,3436.0
2012-05-14,PSX,NYSE,31.16,31.58,30.77,31.32,1448314.0,4863.0
2012-05-15,PSX,NYSE,31.37,32.3,31.15,31.67,1339453.0,4919.0
2012-05-16,PSX,NYSE,31.35,32.39,31.25,32.1,1270332.0,4529.0
2012-05-17,PSX,NYSE,31.78,32.0,31.2,31.26,1307170.0,4796.0
2012-05-18,PSX,NYSE,31.51,31.68,31.0,31.38,2027705.0,5061.0
2012-05-21,PSX,NYSE,31.3,32.34,30.96,32.19,956860.0,3327.0
2012-05-22,PSX,NYSE,31.85,32.27,31.33,31.63,1152887.0,3747.0
2012-05-23,PSX,NYSE,31.25,31.47,30.88,31.41,1046225.0,3288.0
2012-05-24,PSX,NYSE,31.44,31.44,30.75,31.13,755382.0,2348.0
2012-05-25,PSX,NYSE,31.07,31.4,31.0,31.3,750230.0,2455.0
2012-05-29,PSX,NYSE,31.26,31.71,30.87,31.01,688908.0,2058.0
2012-05-30,PSX,NYSE,30.5,30.81,30.18,30.44,1093607.0,3007.0
2012-05-31,PSX,NYSE,30.13,30.31,29.72,30.03,2174494.0,3026.0
2012-06-01,PSX,NYSE,29.68,30.16,29.38,29.92,1557164.0,3834.0
2012-06-04,PSX,NYSE,29.29,30.19,29.25,29.53,1078482.0,2946.0
2012-06-05,PSX,NYSE,29.37,30.1,29.37,29.9,776547.0,2675.0
2012-06-06,PSX,NYSE,30.25,32.0,30.08,31.53,1476617.0,5404.0
2012-06-07,PSX,NYSE,32.44,32.75,31.74,31.83,1494390.0,3828.0
2012-06-08,PSX,NYSE,31.6,32.35,31.52,32.12,974304.0,3437.0
2012-06-11,PSX,NYSE,32.45,33.05,32.23,32.6,1045449.0,3852.0
2012-06-12,PSX,NYSE,32.57,33.73,32.5,33.49,1139792.0,4201.0
2012-06-13,PSX,NYSE,33.13,33.48,32.55,32.77,605323.0,1904.0
2012-06-14,PSX,NYSE,32.77,33.64,32.31,33.53,1009233.0,3692.0
2012-06-15,PSX,NYSE,33.88,34.91,33.4,34.9,4646658.0,4469.0
2012-06-18,PSX,NYSE,34.4,34.5,33.83,33.86,834376.0,2623.0
2012-06-19,PSX,NYSE,34.04,34.53,33.74,33.86,797320.0,2806.0
2012-06-20,PSX,NYSE,34.0,34.83,33.71,34.66,1086633.0,3515.0
2012-06-21,PSX,NYSE,34.73,34.75,33.07,33.48,765352.0,2500.0
2012-06-22,PSX,NYSE,33.51,34.7,33.03,34.16,1303676.0,2862.0
2012-06-25,PSX,NYSE,33.55,33.55,32.76,32.87,877858.0,2404.0
2012-06-26,PSX,NYSE,32.81,33.97,32.4,32.58,817405.0,3191.0
2012-06-27,PSX,NYSE,32.71,33.4,31.42,31.89,839825.0,3370.0
2012-06-28,PSX,NYSE,31.5,32.4,31.29,32.31,1118437.0,3071.0
2012-06-29,PSX,NYSE,33.25,33.33,32.65,33.24,1533686.0,3260.0
2012-07-02,PSX,NYSE,33.65,34.3,33.65,34.0,767918.0,2825.0
2012-07-03,PSX,NYSE,34.02,34.62,33.83,34.24,771727.0,1754.0
2012-07-05,PSX,NYSE,33.97,34.24,33.6,33.8,618289.0,2337.0
2012-07-06,PSX,NYSE,33.26,33.66,32.92,33.37,465930.0,1980.0
2012-07-09,PSX,NYSE,33.08,33.76,32.66,33.25,605891.0,2136.0
2012-07-10,PSX,NYSE,33.11,33.37,32.5,32.68,872888.0,2854.0
2012-07-11,PSX,NYSE,32.58,33.64,32.41,33.48,641616.0,2264.0
2012-07-12,PSX,NYSE,32.93,33.19,32.56,33.01,606267.0,2549.0
2012-07-13,PSX,NYSE,33.57,35.08,33.51,34.94,1132172.0,4268.0
2012-07-16,PSX,NYSE,34.69,36.12,34.56,36.1,1364664.0,4777.0
2012-07-17,PSX,NYSE,36.16,36.8,35.86,36.69,855465.0,2966.0
2012-07-18,PSX,NYSE,36.93,37.67,36.6,37.1,653963.0,2160.0
2012-07-19,PSX,NYSE,36.92,37.0,35.5,35.6,866994.0,3036.0
2012-07-20,PSX,NYSE,35.2,35.43,34.91,35.32,1062831.0,2702.0
2012-07-23,PSX,NYSE,34.97,35.28,34.52,35.02,512218.0,1848.0
2012-07-24,PSX,NYSE,35.33,35.4,34.62,35.23,452257.0,2023.0
2012-07-25,PSX,NYSE,35.6,35.89,34.87,35.4,987484.0,2766.0
2012-07-26,PSX,NYSE,35.99,36.06,35.6,35.96,603602.0,2025.0
2012-07-27,PSX,NYSE,36.13,36.91,35.9,36.52,762028.0,2203.0
2012-07-30,PSX,NYSE,37.0,37.65,36.92,37.65,650774.0,1966.0
2012-07-31,PSX,NYSE,37.95,38.36,37.51,37.6,1394190.0,3186.0
2012-08-01,PSX,NYSE,39.08,40.18,37.83,38.27,1474916.0,6664.0
2012-08-02,PSX,NYSE,38.1,39.06,37.84,38.3,908024.0,3692.0
2012-08-03,PSX,NYSE,39.0,39.85,38.97,39.67,1022748.0,3189.0
2012-08-06,PSX,NYSE,39.95,40.35,39.77,40.07,856487.0,2835.0
2012-08-07,PSX,NYSE,40.5,40.82,39.59,39.77,677048.0,3007.0
2012-08-08,PSX,NYSE,39.6,40.19,39.46,40.15,810902.0,3203.0
2012-08-09,PSX,NYSE,39.9,40.6,39.9,40.32,805485.0,2312.0
2012-08-10,PSX,NYSE,40.26,40.42,39.76,40.0,539941.0,1548.0
2012-08-13,PSX,NYSE,39.86,40.34,39.77,40.15,655147.0,2062.0
2012-08-14,PSX,NYSE,40.16,40.45,39.8,39.93,518224.0,1869.0
2012-08-15,PSX,NYSE,40.5,40.55,39.93,40.36,1020418.0,3177.0
2012-08-16,PSX,NYSE,40.5,41.26,40.38,41.18,868395.0,2944.0
2012-08-17,PSX,NYSE,41.6,42.92,41.47,42.77,1319803.0,3890.0
2012-08-20,PSX,NYSE,43.1,43.44,42.75,43.07,984670.0,2602.0
2012-08-21,PSX,NYSE,43.33,43.33,41.49,41.55,830153.0,3223.0
2012-08-22,PSX,NYSE,41.2,41.53,40.42,41.48,750243.0,2693.0
2012-08-23,PSX,NYSE,41.48,41.63,41.05,41.33,461501.0,1729.0
2012-08-24,PSX,NYSE,41.22,41.54,40.75,41.36,764283.0,2222.0
2012-08-27,PSX,NYSE,41.43,42.35,40.97,41.07,585306.0,1955.0
2012-08-28,PSX,NYSE,40.95,42.47,40.94,41.96,775429.0,2602.0
2012-08-29,PSX,NYSE,41.9,42.38,41.66,41.98,590347.0,1909.0
2012-08-30,PSX,NYSE,41.79,42.69,41.65,42.48,563189.0,2077.0
2012-08-31,PSX,NYSE,42.7,43.0,41.11,42.0,2016200.0,3582.0
2012-09-04,PSX,NYSE,42.07,42.45,41.48,42.41,792560.0,2015.0
2012-09-05,PSX,NYSE,42.57,42.57,41.44,41.74,664538.0,1939.0
2012-09-06,PSX,NYSE,42.25,43.74,42.24,43.42,836307.0,3584.0
2012-09-07,PSX,NYSE,43.48,44.31,43.36,44.26,518018.0,2226.0
2012-09-10,PSX,NYSE,44.26,44.85,44.25,44.54,554195.0,2229.0
2012-09-11,PSX,NYSE,44.63,46.1,44.51,45.59,1388930.0,5553.0
2012-09-12,PSX,NYSE,46.29,47.39,46.05,46.28,866375.0,3817.0
2012-09-13,PSX,NYSE,46.3,46.85,45.37,46.64,844824.0,3495.0
