date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,PXD,NYSE,8.5625,8.625,8.25,8.4375,123700.0,
2000-01-04,PXD,NYSE,8.375,8.5625,8.125,8.5625,116300.0,
2000-01-05,PXD,NYSE,8.625,8.75,8.125,8.3125,178400.0,
2000-01-06,PXD,NYSE,8.3125,8.75,8.3125,8.5,186000.0,
2000-01-07,PXD,NYSE,8.5625,8.8125,8.5,8.75,133700.0,
2000-01-10,PXD,NYSE,8.625,8.625,8.375,8.5,77400.0,
2000-01-11,PXD,NYSE,8.375,8.6875,8.375,8.625,70400.0,
2000-01-12,PXD,NYSE,8.625,8.6875,8.25,8.3125,150000.0,
2000-01-13,PXD,NYSE,8.4375,8.4375,8.3125,8.4375,140400.0,
2000-01-14,PXD,NYSE,8.375,8.8125,8.375,8.6875,365500.0,
2000-01-18,PXD,NYSE,8.9375,9.3125,8.6875,9.3125,376400.0,
2000-01-19,PXD,NYSE,9.375,9.625,8.75,9.125,346700.0,
2000-01-20,PXD,NYSE,9.0,9.0,8.6875,9.0,204200.0,
2000-01-21,PXD,NYSE,9.0,9.4375,9.0,9.4375,352500.0,
2000-01-24,PXD,NYSE,9.4375,10.1875,9.4375,9.4375,314100.0,
2000-01-25,PXD,NYSE,9.625,9.875,9.375,9.75,168600.0,
2000-01-26,PXD,NYSE,10.125,10.1875,9.8125,9.8125,293900.0,
2000-01-27,PXD,NYSE,9.8125,9.875,8.8125,8.8125,158900.0,
2000-01-28,PXD,NYSE,8.875,9.125,8.625,8.625,122400.0,
2000-01-31,PXD,NYSE,8.625,8.8125,8.5625,8.5625,116100.0,
2000-02-01,PXD,NYSE,8.625,8.9375,8.4375,8.9375,114100.0,
2000-02-02,PXD,NYSE,9.0,9.5,9.0,9.3125,199800.0,
2000-02-03,PXD,NYSE,9.4375,9.4375,8.75,9.0,105900.0,
2000-02-04,PXD,NYSE,9.125,9.25,8.5625,8.875,73800.0,
2000-02-07,PXD,NYSE,8.9375,8.9375,8.3125,8.6875,105900.0,
2000-02-08,PXD,NYSE,8.6875,8.6875,8.3125,8.375,79400.0,
2000-02-09,PXD,NYSE,8.375,8.375,8.125,8.125,71500.0,
2000-02-10,PXD,NYSE,8.0625,8.3125,7.9375,8.3125,128400.0,
2000-02-11,PXD,NYSE,8.3125,8.3125,8.0,8.125,122300.0,
2000-02-14,PXD,NYSE,8.0,8.0625,7.75,7.875,159600.0,
2000-02-15,PXD,NYSE,8.0,8.125,7.75,8.0625,574300.0,
2000-02-16,PXD,NYSE,8.0,8.0,7.6875,7.75,525000.0,
2000-02-17,PXD,NYSE,7.8125,7.8125,7.5625,7.6875,171800.0,
2000-02-18,PXD,NYSE,7.75,7.8125,6.75,6.75,475900.0,
2000-02-22,PXD,NYSE,7.125,7.625,7.0625,7.4375,317800.0,
2000-02-23,PXD,NYSE,7.625,7.875,7.25,7.6875,270400.0,
2000-02-24,PXD,NYSE,7.5625,7.75,7.4375,7.75,227300.0,
2000-02-25,PXD,NYSE,7.6875,7.9375,7.375,7.4375,171300.0,
2000-02-28,PXD,NYSE,7.25,7.75,7.1875,7.6875,101300.0,
2000-02-29,PXD,NYSE,7.625,8.375,7.5,8.3125,229800.0,
2000-03-01,PXD,NYSE,8.1875,9.0,8.0,8.4375,323700.0,
2000-03-02,PXD,NYSE,8.3125,8.8125,8.3125,8.75,302100.0,
2000-03-03,PXD,NYSE,8.6875,8.6875,8.1875,8.1875,154800.0,
2000-03-06,PXD,NYSE,8.3125,8.4375,8.1875,8.375,175000.0,
2000-03-07,PXD,NYSE,8.3125,9.5625,8.3125,9.0625,401700.0,
2000-03-08,PXD,NYSE,9.0,9.125,8.75,9.125,292700.0,
2000-03-09,PXD,NYSE,9.125,9.5,8.875,9.4375,286200.0,
2000-03-10,PXD,NYSE,9.4375,9.6875,8.9375,8.9375,143300.0,
2000-03-13,PXD,NYSE,9.1875,9.1875,8.4375,8.4375,79900.0,
2000-03-14,PXD,NYSE,8.5625,9.125,8.5625,8.75,160200.0,
2000-03-15,PXD,NYSE,8.75,8.875,8.3125,8.5625,247900.0,
2000-03-16,PXD,NYSE,8.75,9.25,8.75,9.25,174000.0,
2000-03-17,PXD,NYSE,8.625,9.25,8.625,9.0,353000.0,
2000-03-20,PXD,NYSE,9.125,9.125,8.5625,8.8125,154900.0,
2000-03-21,PXD,NYSE,8.8125,9.125,8.6875,9.0,193100.0,
2000-03-22,PXD,NYSE,9.0,9.25,9.0,9.25,188300.0,
2000-03-23,PXD,NYSE,9.25,9.4375,9.0,9.125,96300.0,
2000-03-24,PXD,NYSE,9.0625,9.6875,9.0625,9.375,138600.0,
2000-03-27,PXD,NYSE,9.25,9.375,9.0625,9.25,55500.0,
2000-03-28,PXD,NYSE,9.25,9.375,8.875,8.9375,123800.0,
2000-03-29,PXD,NYSE,9.0625,9.3125,9.0,9.25,133800.0,
2000-03-30,PXD,NYSE,9.3125,10.3125,9.3125,10.0,289000.0,
2000-03-31,PXD,NYSE,10.125,10.75,10.0,10.625,402100.0,
2000-04-03,PXD,NYSE,10.625,10.8125,10.25,10.5,274200.0,
2000-04-04,PXD,NYSE,10.375,10.375,9.125,9.9375,222600.0,
