date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,R,NYSE,24.0625,24.375,23.3125,23.625,250300.0,
2000-01-04,R,NYSE,23.5,23.5625,21.375,22.3125,429000.0,
2000-01-05,R,NYSE,22.25,22.875,22.25,22.75,328100.0,
2000-01-06,R,NYSE,22.5625,24.75,22.5625,24.625,619600.0,
2000-01-07,R,NYSE,24.5,25.125,24.375,25.125,282600.0,
2000-01-10,R,NYSE,25.0625,25.125,23.8125,24.0,185800.0,
2000-01-11,R,NYSE,24.25,24.5625,24.125,24.5,162800.0,
2000-01-12,R,NYSE,24.375,24.8125,23.875,23.9375,364400.0,
2000-01-13,R,NYSE,23.9375,24.1875,23.625,23.6875,189600.0,
2000-01-14,R,NYSE,23.8125,23.875,23.6875,23.6875,215500.0,
2000-01-18,R,NYSE,23.4375,24.0625,23.3125,24.0,97400.0,
2000-01-19,R,NYSE,24.0,25.0,24.0,24.875,315600.0,
2000-01-20,R,NYSE,24.75,24.875,24.0,24.0625,121200.0,
2000-01-21,R,NYSE,23.625,23.625,22.375,23.4375,371700.0,
2000-01-24,R,NYSE,23.625,23.625,23.125,23.25,168400.0,
2000-01-25,R,NYSE,23.125,23.3125,22.3125,22.4375,362200.0,
2000-01-26,R,NYSE,22.4375,22.5625,22.25,22.3125,208900.0,
2000-01-27,R,NYSE,22.4375,22.4375,21.8125,22.125,256100.0,
2000-01-28,R,NYSE,22.0,22.0,21.5,21.5,159000.0,
2000-01-31,R,NYSE,21.5625,22.0625,21.5,22.0625,249200.0,
2000-02-01,R,NYSE,22.0,22.0625,21.5625,21.8125,122400.0,
2000-02-02,R,NYSE,22.0625,22.375,21.5,22.0625,929300.0,
2000-02-03,R,NYSE,22.0625,22.625,22.0625,22.625,237800.0,
2000-02-04,R,NYSE,22.625,24.0,22.625,22.625,295200.0,
2000-02-07,R,NYSE,22.75,23.125,21.5625,21.6875,283600.0,
2000-02-08,R,NYSE,21.3125,21.75,21.3125,21.5,145700.0,
2000-02-09,R,NYSE,21.5,21.625,20.6875,20.8125,163500.0,
2000-02-10,R,NYSE,20.8125,21.125,20.375,21.0,199200.0,
2000-02-11,R,NYSE,21.0,21.0,19.9375,20.125,355400.0,
2000-02-14,R,NYSE,20.375,20.4375,19.75,20.1875,485600.0,
2000-02-15,R,NYSE,20.3125,20.75,20.25,20.5625,191300.0,
2000-02-16,R,NYSE,20.6875,20.6875,19.9375,20.4375,237000.0,
2000-02-17,R,NYSE,20.375,20.6875,19.5625,19.75,223400.0,
2000-02-18,R,NYSE,19.75,19.75,18.875,19.125,263300.0,
2000-02-22,R,NYSE,19.125,19.25,18.875,19.125,132000.0,
2000-02-23,R,NYSE,18.9375,19.25,18.5,18.5625,314300.0,
2000-02-24,R,NYSE,18.625,19.0,18.5,18.8125,302500.0,
2000-02-25,R,NYSE,18.75,18.875,18.625,18.625,217900.0,
2000-02-28,R,NYSE,18.625,18.8125,18.5,18.625,189900.0,
2000-02-29,R,NYSE,18.6875,18.875,18.4375,18.625,332000.0,
2000-03-01,R,NYSE,18.5,18.75,18.5,18.5625,221900.0,
2000-03-02,R,NYSE,18.4375,18.6875,18.125,18.25,492900.0,
2000-03-03,R,NYSE,18.375,18.625,17.875,18.3125,314500.0,
2000-03-06,R,NYSE,18.4375,18.4375,17.75,17.8125,183900.0,
2000-03-07,R,NYSE,17.75,17.8125,17.4375,17.625,289900.0,
2000-03-08,R,NYSE,17.6875,17.75,17.4375,17.5,267300.0,
2000-03-09,R,NYSE,17.5,18.0625,17.4375,18.0625,1026600.0,
2000-03-10,R,NYSE,18.0625,19.8125,18.0625,18.8125,2497800.0,
2000-03-13,R,NYSE,18.9375,20.5,18.9375,19.625,761700.0,
2000-03-14,R,NYSE,19.375,20.5,19.25,19.8125,573800.0,
2000-03-15,R,NYSE,19.9375,20.8125,19.75,20.625,412100.0,
2000-03-16,R,NYSE,20.875,21.875,20.875,21.5,550600.0,
2000-03-17,R,NYSE,20.875,20.9375,19.8125,19.9375,652100.0,
2000-03-20,R,NYSE,20.0625,20.5,19.625,19.875,502800.0,
2000-03-21,R,NYSE,19.9375,22.4375,19.9375,21.625,997900.0,
2000-03-22,R,NYSE,21.5,24.75,21.5,24.125,1846200.0,
2000-03-23,R,NYSE,24.125,24.6875,23.75,23.875,645100.0,
2000-03-24,R,NYSE,23.875,24.375,23.3125,23.4375,664700.0,
2000-03-27,R,NYSE,22.5,23.0,22.375,22.4375,643300.0,
2000-03-28,R,NYSE,22.4375,22.75,22.0,22.25,410000.0,
2000-03-29,R,NYSE,22.4375,23.5,22.1875,22.9375,649000.0,
2000-03-30,R,NYSE,22.6875,23.625,22.375,22.75,491400.0,
2000-03-31,R,NYSE,22.875,22.875,22.5,22.6875,413200.0,
2000-04-03,R,NYSE,22.4375,22.875,21.3125,21.9375,566200.0,
2000-04-04,R,NYSE,22.0,22.5625,20.625,22.0,1009700.0,
2000-04-05,R,NYSE,21.875,23.25,21.875,22.0625,784400.0,
2000-04-06,R,NYSE,22.125,22.875,22.125,22.625,946900.0,
2000-04-07,R,NYSE,22.875,24.8125,22.8125,24.4375,1850300.0,
2000-04-10,R,NYSE,24.5,24.625,23.75,24.0,573200.0,
2000-04-11,R,NYSE,23.875,24.1875,23.1875,23.9375,438300.0,
2000-04-12,R,NYSE,24.125,24.8125,23.625,24.125,621600.0,
2000-04-13,R,NYSE,24.25,24.6875,23.5625,23.625,521700.0,
2000-04-14,R,NYSE,23.5,23.5,21.0,21.625,929700.0,
2000-04-17,R,NYSE,20.5,22.25,20.5,22.1875,526000.0,
2000-04-18,R,NYSE,22.25,22.25,21.0,21.25,319800.0,
2000-04-19,R,NYSE,21.3125,22.75,21.3125,22.625,859700.0,
2000-04-20,R,NYSE,22.625,22.875,21.875,22.1875,574200.0,
2000-04-24,R,NYSE,22.0,22.0,21.25,21.75,421600.0,
2000-04-25,R,NYSE,21.9375,22.625,21.8125,22.5625,526800.0,
2000-04-26,R,NYSE,22.625,23.0625,21.6875,21.875,471500.0,
2000-04-27,R,NYSE,21.5,22.75,21.5,22.5,799800.0,
2000-04-28,R,NYSE,22.75,23.125,21.875,22.1875,417000.0,
2000-05-01,R,NYSE,22.125,22.6875,21.625,22.25,675900.0,
2000-05-02,R,NYSE,22.0,22.125,21.5625,21.6875,381900.0,
2000-05-03,R,NYSE,21.75,21.8125,20.0,20.625,1011100.0,
2000-05-04,R,NYSE,20.5,21.25,20.5,20.75,435300.0,
2000-05-05,R,NYSE,20.5625,21.125,20.3125,20.8125,450100.0,
2000-05-08,R,NYSE,20.6875,21.8125,20.6875,21.4375,774300.0,
2000-05-09,R,NYSE,21.4375,22.125,21.0625,21.25,561700.0,
2000-05-10,R,NYSE,21.125,21.4375,20.375,20.875,492500.0,
2000-05-11,R,NYSE,21.0,21.375,20.5625,20.8125,188000.0,
2000-05-12,R,NYSE,20.75,21.1875,20.75,21.0625,199600.0,
2000-05-15,R,NYSE,20.9375,21.0625,20.8125,20.875,132000.0,
2000-05-16,R,NYSE,20.9375,21.0,20.125,20.5,306100.0,
2000-05-17,R,NYSE,20.5,20.5,19.8125,20.1875,212400.0,
2000-05-18,R,NYSE,20.125,20.4375,20.0,20.0,262600.0,
2000-05-19,R,NYSE,19.9375,19.9375,19.25,19.6875,355200.0,
2000-05-22,R,NYSE,19.625,19.6875,19.0625,19.5,326000.0,
2000-05-23,R,NYSE,19.625,19.8125,18.75,18.9375,386000.0,
2000-05-24,R,NYSE,18.875,19.125,18.375,18.5,472500.0,
2000-05-25,R,NYSE,18.4375,19.4375,18.3125,18.8125,564600.0,
2000-05-26,R,NYSE,19.0,19.375,18.6875,19.0,479300.0,
2000-05-30,R,NYSE,19.0,20.125,19.0,19.3125,456900.0,
2000-05-31,R,NYSE,19.0625,19.5,18.875,19.1875,527600.0,
2000-06-01,R,NYSE,19.375,20.25,19.375,19.875,574900.0,
2000-06-02,R,NYSE,20.25,20.5,19.9375,19.9375,849500.0,
2000-06-05,R,NYSE,19.8125,19.875,19.4375,19.6875,372800.0,
2000-06-06,R,NYSE,19.6875,19.9375,19.5,19.75,333800.0,
2000-06-07,R,NYSE,20.0,20.4375,19.75,20.1875,460200.0,
2000-06-08,R,NYSE,20.25,21.125,20.0625,20.375,593400.0,
2000-06-09,R,NYSE,20.125,20.1875,19.375,19.9375,329500.0,
2000-06-12,R,NYSE,19.9375,20.125,19.25,19.5,293100.0,
2000-06-13,R,NYSE,19.5,19.5625,19.0,19.5,201700.0,
2000-06-14,R,NYSE,19.5,19.75,19.0625,19.25,199700.0,
2000-06-15,R,NYSE,19.5,19.625,18.875,19.5625,505500.0,
2000-06-16,R,NYSE,19.25,19.3125,19.125,19.125,372500.0,
2000-06-19,R,NYSE,19.0,19.0,18.5625,18.6875,253400.0,
2000-06-20,R,NYSE,18.5,18.6875,18.0,18.0625,440400.0,
2000-06-21,R,NYSE,18.125,18.5625,17.9375,18.5,243000.0,
2000-06-22,R,NYSE,18.375,18.625,18.0,18.5,282100.0,
2000-06-23,R,NYSE,18.5,19.125,18.3125,18.8125,298300.0,
2000-06-26,R,NYSE,18.8125,19.125,18.375,18.625,189000.0,
2000-06-27,R,NYSE,18.4375,19.1875,18.375,18.9375,342500.0,
2000-06-28,R,NYSE,19.0,19.3125,18.0,19.0,945600.0,
2000-06-29,R,NYSE,18.8125,20.25,18.1875,20.25,918100.0,
2000-06-30,R,NYSE,20.0,20.125,18.875,18.9375,1234600.0,
2000-07-03,R,NYSE,18.9375,19.4375,18.8125,19.375,243600.0,
2000-07-05,R,NYSE,19.125,19.25,18.5625,19.1875,361600.0,
2000-07-06,R,NYSE,19.1875,19.375,18.3125,18.6875,457800.0,
2000-07-07,R,NYSE,18.8125,19.125,18.4375,18.9375,343900.0,
2000-07-10,R,NYSE,18.8125,19.5,18.75,19.125,275000.0,
2000-07-11,R,NYSE,18.9375,19.5625,18.75,19.5625,441500.0,
2000-07-12,R,NYSE,19.4375,20.375,19.375,19.625,390300.0,
2000-07-13,R,NYSE,19.5625,20.125,19.25,19.9375,555100.0,
2000-07-14,R,NYSE,20.0,20.25,19.625,19.8125,341100.0,
2000-07-17,R,NYSE,19.625,19.625,19.25,19.375,290300.0,
2000-07-18,R,NYSE,19.1875,19.375,18.875,19.1875,492100.0,
2000-07-19,R,NYSE,19.0,19.625,18.75,19.375,483900.0,
2000-07-20,R,NYSE,19.375,19.875,19.3125,19.8125,564200.0,
2000-07-21,R,NYSE,19.9375,19.9375,19.5,19.6875,680900.0,
2000-07-24,R,NYSE,19.625,21.0,19.5,20.6875,1085800.0,
2000-07-25,R,NYSE,20.6875,21.375,20.5,21.0,824100.0,
2000-07-26,R,NYSE,20.625,20.75,20.125,20.5625,649200.0,
2000-07-27,R,NYSE,20.5,22.0,20.5,21.4375,1008100.0,
2000-07-28,R,NYSE,21.0,21.25,20.5,21.125,541900.0,
2000-07-31,R,NYSE,20.625,21.0,20.3125,20.875,532000.0,
2000-08-01,R,NYSE,20.5,21.375,20.5,21.0625,363000.0,
2000-08-02,R,NYSE,20.9375,21.75,20.9375,21.125,583400.0,
2000-08-03,R,NYSE,20.875,20.875,20.625,20.75,296900.0,
2000-08-04,R,NYSE,20.875,21.25,20.4375,21.125,339800.0,
2000-08-07,R,NYSE,21.0,21.3125,20.625,21.0625,418800.0,
2000-08-08,R,NYSE,21.0625,23.0,20.8125,22.375,1015300.0,
2000-08-09,R,NYSE,22.1875,22.4375,21.25,21.5,340800.0,
2000-08-10,R,NYSE,21.375,22.0,21.25,21.5,157400.0,
2000-08-11,R,NYSE,21.5,22.0,21.3125,21.6875,160600.0,
2000-08-14,R,NYSE,21.6875,21.6875,20.875,21.375,289100.0,
2000-08-15,R,NYSE,21.5,21.625,20.875,21.0,226300.0,
2000-08-16,R,NYSE,21.0,22.5,21.0,22.1875,615300.0,
2000-08-17,R,NYSE,22.0,22.125,21.625,22.125,364700.0,
2000-08-18,R,NYSE,21.9375,22.375,21.125,21.3125,398800.0,
2000-08-21,R,NYSE,21.625,22.0,21.1875,21.8125,458700.0,
2000-08-22,R,NYSE,21.9375,21.9375,21.3125,21.5625,220900.0,
2000-08-23,R,NYSE,21.3125,21.375,19.375,20.375,581300.0,
2000-08-24,R,NYSE,20.1875,20.25,18.875,19.9375,724500.0,
2000-08-25,R,NYSE,20.1875,20.25,19.625,19.875,326300.0,
2000-08-28,R,NYSE,20.0625,20.1875,19.75,19.8125,398500.0,
2000-08-29,R,NYSE,19.8125,19.8125,19.375,19.625,214100.0,
2000-08-30,R,NYSE,19.3125,19.5,19.0625,19.1875,193800.0,
2000-08-31,R,NYSE,19.1875,19.375,18.8125,19.1875,270900.0,
2000-09-01,R,NYSE,19.0625,19.625,19.0625,19.25,224500.0,
2000-09-05,R,NYSE,19.375,19.9375,19.3125,19.625,398600.0,
2000-09-06,R,NYSE,19.875,20.8125,19.875,20.1875,693100.0,
2000-09-07,R,NYSE,20.25,20.25,19.8125,20.0,189900.0,
2000-09-08,R,NYSE,20.1875,20.1875,19.5625,19.8125,214400.0,
2000-09-11,R,NYSE,19.875,20.125,19.75,19.875,301900.0,
2000-09-12,R,NYSE,20.0,20.1875,19.75,19.9375,283800.0,
2000-09-13,R,NYSE,20.0625,20.5625,20.0,20.375,557900.0,
2000-09-14,R,NYSE,20.3125,20.625,20.0,20.1875,426700.0,
2000-09-15,R,NYSE,20.0625,20.1875,19.9375,20.0,476000.0,
2000-09-18,R,NYSE,20.0,20.0625,19.375,19.9375,413600.0,
2000-09-19,R,NYSE,19.6875,20.4375,19.0625,20.125,524200.0,
2000-09-20,R,NYSE,20.125,20.625,20.125,20.375,369500.0,
2000-09-21,R,NYSE,20.375,20.375,19.75,20.0625,278000.0,
2000-09-22,R,NYSE,20.0,20.0,19.4375,19.875,353900.0,
2000-09-25,R,NYSE,19.8125,20.25,19.6875,19.75,293100.0,
2000-09-26,R,NYSE,19.625,19.75,18.625,19.1875,665300.0,
2000-09-27,R,NYSE,19.3125,19.375,18.5625,18.8125,368600.0,
2000-09-28,R,NYSE,18.625,19.0625,18.5,18.5625,339100.0,
2000-09-29,R,NYSE,18.625,18.75,18.3125,18.4375,250900.0,
2000-10-02,R,NYSE,18.125,18.25,16.5,16.9375,916700.0,
2000-10-03,R,NYSE,17.125,17.125,16.3125,16.5,820900.0,
2000-10-04,R,NYSE,16.6875,17.1875,16.4375,16.9375,594900.0,
2000-10-05,R,NYSE,17.3125,17.3125,16.3125,16.625,592400.0,
2000-10-06,R,NYSE,16.3125,16.625,15.625,15.9375,1201700.0,
2000-10-09,R,NYSE,15.9375,16.0,15.6875,16.0,252800.0,
2000-10-10,R,NYSE,16.75,17.3125,16.5625,17.0,1131100.0,
2000-10-11,R,NYSE,16.5,16.75,16.4375,16.75,421800.0,
2000-10-12,R,NYSE,17.625,18.25,16.75,17.1875,1126300.0,
2000-10-13,R,NYSE,17.125,17.625,17.0625,17.375,738000.0,
2000-10-16,R,NYSE,17.5,17.5625,16.875,17.5,275100.0,
2000-10-17,R,NYSE,17.4375,17.5,16.5625,16.9375,327900.0,
2000-10-18,R,NYSE,16.75,17.0,16.5625,16.8125,198000.0,
2000-10-19,R,NYSE,16.6875,16.6875,14.8125,15.5,1364300.0,
2000-10-20,R,NYSE,15.6875,16.75,15.625,16.5625,775200.0,
2000-10-23,R,NYSE,16.125,16.125,15.0,15.3125,682900.0,
2000-10-24,R,NYSE,15.5,15.8125,15.375,15.75,405700.0,
2000-10-25,R,NYSE,15.625,16.25,15.3125,15.875,513800.0,
2000-10-26,R,NYSE,16.625,16.625,16.0,16.125,259500.0,
2000-10-27,R,NYSE,16.25,17.0,15.875,16.6875,416800.0,
2000-10-30,R,NYSE,16.5,19.25,16.5,18.8125,1704200.0,
2000-10-31,R,NYSE,18.8125,19.875,18.375,19.75,1281000.0,
2000-11-01,R,NYSE,19.375,20.3125,18.625,18.8125,450400.0,
2000-11-02,R,NYSE,18.8125,19.4375,18.75,19.0,402600.0,
2000-11-03,R,NYSE,19.0,19.25,18.75,18.75,232100.0,
2000-11-06,R,NYSE,18.625,19.5625,18.625,19.0,191200.0,
2000-11-07,R,NYSE,19.0625,19.1875,18.375,18.75,299900.0,
2000-11-08,R,NYSE,18.75,19.1875,18.75,18.875,179600.0,
2000-11-09,R,NYSE,18.9375,19.0,18.3125,18.8125,241100.0,
2000-11-10,R,NYSE,18.625,18.75,18.0,18.1875,357100.0,
2000-11-13,R,NYSE,18.0,19.25,18.0,18.8125,308100.0,
2000-11-14,R,NYSE,18.8125,19.1875,18.5625,18.8125,192900.0,
2000-11-15,R,NYSE,18.75,18.75,18.125,18.5,244400.0,
2000-11-16,R,NYSE,18.375,18.375,17.5,17.9375,285900.0,
2000-11-17,R,NYSE,17.6875,18.0,16.875,17.6875,339100.0,
2000-11-20,R,NYSE,17.6875,17.8125,17.0,17.375,444100.0,
2000-11-21,R,NYSE,17.5,17.5,17.25,17.375,221300.0,
2000-11-22,R,NYSE,17.0,17.1875,16.6875,16.9375,180500.0,
2000-11-24,R,NYSE,17.125,17.25,17.0,17.0,64800.0,
2000-11-27,R,NYSE,17.125,17.5625,16.8125,17.4375,214700.0,
2000-11-28,R,NYSE,17.1875,17.5,16.625,17.3125,377200.0,
2000-11-29,R,NYSE,17.3125,17.375,16.9375,17.125,159100.0,
2000-11-30,R,NYSE,17.0625,17.5,16.75,17.375,218600.0,
2000-12-01,R,NYSE,17.375,17.625,17.1875,17.375,121800.0,
2000-12-04,R,NYSE,17.25,17.625,17.0625,17.375,231900.0,
2000-12-05,R,NYSE,17.3125,18.875,17.1875,18.25,826600.0,
2000-12-06,R,NYSE,18.0,18.25,17.375,17.625,324400.0,
2000-12-07,R,NYSE,17.5625,18.0625,17.125,17.375,133000.0,
2000-12-08,R,NYSE,17.4375,17.5,16.5625,17.0,498400.0,
2000-12-11,R,NYSE,17.0,17.25,16.5625,16.6875,206400.0,
2000-12-12,R,NYSE,16.875,17.5,16.8125,17.1875,362800.0,
2000-12-13,R,NYSE,17.0,17.4375,16.4375,16.5,296300.0,
2000-12-14,R,NYSE,16.625,16.9375,16.3125,16.625,170000.0,
2000-12-15,R,NYSE,16.375,16.5,15.5,15.6875,413600.0,
2000-12-18,R,NYSE,15.9375,16.25,15.75,15.9375,432900.0,
2000-12-19,R,NYSE,15.8125,16.875,15.6875,16.25,280500.0,
2000-12-20,R,NYSE,16.0,16.3125,15.25,16.0,494100.0,
2000-12-21,R,NYSE,16.0,16.5,15.8125,16.375,466600.0,
2000-12-22,R,NYSE,16.0,16.5,15.9375,16.3125,154100.0,
2000-12-26,R,NYSE,15.75,16.0625,15.4375,15.75,435800.0,
2000-12-27,R,NYSE,15.75,16.3125,15.75,16.0,356900.0,
2000-12-28,R,NYSE,16.0,17.0,15.8125,16.75,380300.0,
2000-12-29,R,NYSE,16.75,16.9375,16.625,16.625,255400.0,
2001-01-02,R,NYSE,16.625,16.8125,16.1875,16.1875,179000.0,
2001-01-03,R,NYSE,16.0625,17.5,16.0625,17.4375,281900.0,
2001-01-04,R,NYSE,17.4375,17.8125,16.625,17.375,575500.0,
2001-01-05,R,NYSE,17.25,17.8125,17.125,17.25,230700.0,
2001-01-08,R,NYSE,17.125,17.9375,17.125,17.875,332800.0,
2001-01-09,R,NYSE,17.9375,18.5625,17.9375,18.0625,432600.0,
2001-01-10,R,NYSE,17.8125,18.875,16.3125,18.75,601800.0,
2001-01-11,R,NYSE,18.625,19.0625,18.0,18.625,409300.0,
2001-01-12,R,NYSE,18.625,18.625,18.0625,18.1875,221500.0,
2001-01-16,R,NYSE,18.1875,19.4375,17.8125,19.25,843300.0,
2001-01-17,R,NYSE,19.0625,19.1875,18.625,19.1875,365900.0,
2001-01-18,R,NYSE,18.875,19.0,18.0,18.5625,361200.0,
2001-01-19,R,NYSE,18.3125,18.6875,18.3125,18.625,169100.0,
2001-01-22,R,NYSE,18.625,19.1875,18.1875,19.0,258100.0,
2001-01-23,R,NYSE,18.875,19.9375,18.875,19.75,462800.0,
2001-01-24,R,NYSE,19.5,19.6875,19.0,19.3125,286500.0,
2001-01-25,R,NYSE,19.375,19.5,18.75,19.3125,256700.0,
2001-01-26,R,NYSE,19.5,20.0,19.375,19.5625,193000.0,
2001-01-29,R,NYSE,19.7,19.88,19.4,19.7,275500.0,
2001-01-30,R,NYSE,19.85,20.24,19.75,20.2,135800.0,
2001-01-31,R,NYSE,20.09,20.72,19.81,19.85,256700.0,
2001-02-01,R,NYSE,20.0,20.39,19.93,20.27,342200.0,
2001-02-02,R,NYSE,20.1,20.4,19.83,19.95,124900.0,
2001-02-05,R,NYSE,19.85,20.0,19.55,19.65,365800.0,
2001-02-06,R,NYSE,19.7,20.09,19.05,19.25,746400.0,
2001-02-07,R,NYSE,19.5,20.16,19.25,19.53,243100.0,
2001-02-08,R,NYSE,20.0,20.0,19.33,19.46,219800.0,
2001-02-09,R,NYSE,19.23,20.02,18.99,19.03,494100.0,
2001-02-12,R,NYSE,19.2,19.98,19.2,19.54,462900.0,
2001-02-13,R,NYSE,19.34,20.03,19.26,19.8,210300.0,
2001-02-14,R,NYSE,19.65,19.65,19.25,19.4,393000.0,
2001-02-15,R,NYSE,19.6,19.77,19.39,19.59,125000.0,
2001-02-16,R,NYSE,19.09,19.74,19.0,19.12,310000.0,
2001-02-20,R,NYSE,19.32,19.4,19.12,19.12,182900.0,
2001-02-21,R,NYSE,19.62,19.89,19.41,19.54,285600.0,
2001-02-22,R,NYSE,19.77,19.79,19.16,19.47,293500.0,
2001-02-23,R,NYSE,19.3,19.88,19.16,19.79,287200.0,
2001-02-26,R,NYSE,20.03,20.58,19.9,20.44,475400.0,
2001-02-27,R,NYSE,20.03,20.75,20.03,20.57,246400.0,
2001-02-28,R,NYSE,20.67,20.69,20.41,20.52,637500.0,
2001-03-01,R,NYSE,20.57,20.7,20.36,20.59,285100.0,
2001-03-02,R,NYSE,20.51,20.74,20.5,20.68,254500.0,
2001-03-05,R,NYSE,20.44,20.88,20.44,20.78,194100.0,
2001-03-06,R,NYSE,20.78,21.04,20.61,21.03,203700.0,
2001-03-07,R,NYSE,21.14,21.7,21.01,21.5,381800.0,
2001-03-08,R,NYSE,21.5,21.99,21.14,21.96,665100.0,
2001-03-09,R,NYSE,21.91,22.11,21.01,21.99,498500.0,
2001-03-12,R,NYSE,21.65,21.95,21.31,21.51,367500.0,
2001-03-13,R,NYSE,21.32,21.45,20.3,20.62,441500.0,
2001-03-14,R,NYSE,20.5,20.5,20.0,20.31,338100.0,
2001-03-15,R,NYSE,20.45,21.28,20.45,20.66,523100.0,
2001-03-16,R,NYSE,20.1,20.56,19.91,19.92,555200.0,
2001-03-19,R,NYSE,20.17,20.6,20.02,20.56,322900.0,
2001-03-20,R,NYSE,20.73,20.74,19.49,19.56,1117400.0,
2001-03-21,R,NYSE,19.32,19.6,19.12,19.44,201000.0,
2001-03-22,R,NYSE,19.3,19.7,18.25,18.66,912300.0,
2001-03-23,R,NYSE,18.66,19.39,18.6,18.9,267500.0,
2001-03-26,R,NYSE,18.9,19.3,18.9,19.2,244900.0,
2001-03-27,R,NYSE,19.44,19.6,19.01,19.25,316500.0,
2001-03-28,R,NYSE,19.03,19.18,18.73,18.85,290200.0,
2001-03-29,R,NYSE,18.9,18.9,18.45,18.6,429400.0,
2001-03-30,R,NYSE,17.5,18.2,17.4,17.99,1023700.0,
2001-04-02,R,NYSE,18.09,18.5,17.76,18.03,474600.0,
2001-04-03,R,NYSE,18.05,18.05,17.31,17.56,354100.0,
2001-04-04,R,NYSE,17.76,18.2,17.39,17.74,224100.0,
2001-04-05,R,NYSE,17.9,18.4,17.77,18.1,326600.0,
2001-04-06,R,NYSE,18.1,18.4,17.3,17.62,264900.0,
2001-04-09,R,NYSE,17.87,18.85,17.8,18.21,186700.0,
2001-04-10,R,NYSE,17.98,18.42,17.9,18.03,229900.0,
2001-04-11,R,NYSE,18.73,18.73,17.92,18.0,507100.0,
2001-04-12,R,NYSE,17.75,18.05,17.58,17.8,293500.0,
2001-04-16,R,NYSE,18.04,18.36,17.71,17.87,155400.0,
2001-04-17,R,NYSE,17.95,18.0,17.7,17.9,386500.0,
2001-04-18,R,NYSE,18.13,18.85,18.02,18.6,1593600.0,
2001-04-19,R,NYSE,19.4,19.98,19.18,19.38,544100.0,
2001-04-20,R,NYSE,19.39,19.52,19.0,19.16,369100.0,
