date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,RAI,NYSE,2.21875,2.273438,2.210938,2.21875,2272800.0,
2000-01-04,RAI,NYSE,2.242188,2.257813,2.21875,2.25,1677600.0,
2000-01-05,RAI,NYSE,2.265625,2.375,2.234375,2.304688,3295200.0,
2000-01-06,RAI,NYSE,2.320313,2.359375,2.289063,2.34375,1415200.0,
2000-01-07,RAI,NYSE,2.34375,2.4375,2.34375,2.429688,1348000.0,
2000-01-10,RAI,NYSE,2.445313,2.515625,2.445313,2.476563,1966400.0,
2000-01-11,RAI,NYSE,2.460938,2.523438,2.460938,2.5,3222400.0,
2000-01-12,RAI,NYSE,2.523438,2.53125,2.460938,2.460938,3368800.0,
2000-01-13,RAI,NYSE,2.460938,2.484375,2.460938,2.476563,3172800.0,
2000-01-14,RAI,NYSE,2.46875,2.515625,2.460938,2.476563,4988000.0,
2000-01-18,RAI,NYSE,2.46875,2.5625,2.445313,2.5625,4528800.0,
2000-01-19,RAI,NYSE,2.546875,2.554688,2.515625,2.523438,1023200.0,
2000-01-20,RAI,NYSE,2.5,2.507813,2.460938,2.460938,2301600.0,
2000-01-21,RAI,NYSE,2.492188,2.507813,2.484375,2.5,2240800.0,
2000-01-24,RAI,NYSE,2.523438,2.539063,2.453125,2.476563,4424000.0,
2000-01-25,RAI,NYSE,2.460938,2.476563,2.351563,2.40625,3563200.0,
2000-01-26,RAI,NYSE,2.40625,2.40625,2.296875,2.3125,1232800.0,
2000-01-27,RAI,NYSE,2.3125,2.359375,2.210938,2.320313,2698400.0,
2000-01-28,RAI,NYSE,2.351563,2.367188,2.15625,2.1875,3465600.0,
2000-01-31,RAI,NYSE,2.210938,2.21875,2.140625,2.148438,2165600.0,
2000-02-01,RAI,NYSE,2.171875,2.1875,2.140625,2.148438,2888000.0,
2000-02-02,RAI,NYSE,2.179688,2.1875,2.109375,2.125,3988800.0,
2000-02-03,RAI,NYSE,2.148438,2.21875,2.132813,2.203125,3827200.0,
2000-02-04,RAI,NYSE,2.234375,2.304688,2.226563,2.273438,2740800.0,
2000-02-07,RAI,NYSE,2.273438,2.335938,2.273438,2.320313,2106400.0,
2000-02-08,RAI,NYSE,2.320313,2.328125,2.234375,2.28125,3481600.0,
2000-02-09,RAI,NYSE,2.3125,2.492188,2.3125,2.453125,6720000.0,
2000-02-10,RAI,NYSE,2.476563,2.5,2.414063,2.445313,3638400.0,
2000-02-11,RAI,NYSE,2.46875,2.5,2.40625,2.414063,2912000.0,
2000-02-14,RAI,NYSE,2.445313,2.476563,2.445313,2.460938,1308800.0,
2000-02-15,RAI,NYSE,2.460938,2.492188,2.453125,2.492188,2098400.0,
2000-02-16,RAI,NYSE,2.476563,2.515625,2.46875,2.476563,3135200.0,
2000-02-17,RAI,NYSE,2.484375,2.5,2.445313,2.445313,1930400.0,
2000-02-18,RAI,NYSE,2.390625,2.4375,2.375,2.40625,1800000.0,
2000-02-22,RAI,NYSE,2.429688,2.4375,2.382813,2.390625,1931200.0,
2000-02-23,RAI,NYSE,2.375,2.421875,2.320313,2.34375,3810400.0,
2000-02-24,RAI,NYSE,2.3125,2.367188,2.3125,2.34375,1078400.0,
2000-02-25,RAI,NYSE,2.34375,2.34375,2.28125,2.289063,1626400.0,
2000-02-28,RAI,NYSE,2.25,2.25,2.1875,2.210938,2480800.0,
2000-02-29,RAI,NYSE,2.226563,2.25,2.21875,2.25,2787200.0,
2000-03-01,RAI,NYSE,2.25,2.3125,2.226563,2.257813,5839200.0,
2000-03-02,RAI,NYSE,2.265625,2.265625,2.226563,2.226563,1893600.0,
2000-03-03,RAI,NYSE,2.234375,2.25,2.21875,2.25,3947200.0,
2000-03-06,RAI,NYSE,2.25,2.265625,2.234375,2.242188,4516800.0,
2000-03-07,RAI,NYSE,2.242188,2.25,2.226563,2.25,2550400.0,
2000-03-08,RAI,NYSE,2.203125,2.234375,2.171875,2.1875,2662400.0,
2000-03-09,RAI,NYSE,2.195313,2.21875,2.171875,2.210938,2703200.0,
2000-03-10,RAI,NYSE,2.21875,2.21875,2.1875,2.195313,1137600.0,
2000-03-13,RAI,NYSE,2.125,2.140625,2.070313,2.085938,3209600.0,
2000-03-14,RAI,NYSE,2.109375,2.117188,2.085938,2.09375,2523200.0,
2000-03-15,RAI,NYSE,2.109375,2.117188,2.085938,2.09375,3077600.0,
2000-03-16,RAI,NYSE,2.09375,2.140625,2.085938,2.09375,3184800.0,
2000-03-17,RAI,NYSE,2.070313,2.125,2.0625,2.101563,12996000.0,
2000-03-20,RAI,NYSE,2.109375,2.109375,2.039063,2.0625,2032800.0,
2000-03-21,RAI,NYSE,2.03125,2.210938,2.0,2.132813,11808000.0,
2000-03-22,RAI,NYSE,2.132813,2.15625,2.101563,2.101563,3954400.0,
2000-03-23,RAI,NYSE,2.117188,2.148438,2.109375,2.140625,2360000.0,
2000-03-24,RAI,NYSE,2.140625,2.140625,2.125,2.140625,1825600.0,
2000-03-27,RAI,NYSE,2.132813,2.140625,2.101563,2.125,2015200.0,
2000-03-28,RAI,NYSE,2.09375,2.109375,2.0625,2.0625,1659200.0,
2000-03-29,RAI,NYSE,2.039063,2.054688,1.96875,1.96875,2664000.0,
2000-03-30,RAI,NYSE,2.046875,2.171875,2.046875,2.125,11584000.0,
2000-03-31,RAI,NYSE,2.15625,2.15625,2.09375,2.125,5376800.0,
2000-04-03,RAI,NYSE,2.125,2.453125,2.117188,2.421875,6969600.0,
2000-04-04,RAI,NYSE,2.390625,2.40625,2.171875,2.320313,6235200.0,
2000-04-05,RAI,NYSE,2.3125,2.429688,2.296875,2.421875,3822400.0,
2000-04-06,RAI,NYSE,2.40625,2.59375,2.40625,2.507813,4154400.0,
2000-04-07,RAI,NYSE,2.515625,2.609375,2.328125,2.5,4465600.0,
2000-04-10,RAI,NYSE,2.375,2.40625,2.25,2.351563,5681600.0,
2000-04-11,RAI,NYSE,2.367188,2.40625,2.25,2.382813,4380800.0,
2000-04-12,RAI,NYSE,2.359375,2.398438,2.328125,2.34375,1671200.0,
2000-04-13,RAI,NYSE,2.328125,2.429688,2.289063,2.414063,1597600.0,
2000-04-14,RAI,NYSE,2.382813,2.40625,2.25,2.257813,2209600.0,
2000-04-17,RAI,NYSE,2.359375,2.359375,2.25,2.335938,4566400.0,
2000-04-18,RAI,NYSE,2.351563,2.398438,2.335938,2.359375,5235200.0,
2000-04-19,RAI,NYSE,2.34375,2.398438,2.296875,2.351563,1944000.0,
2000-04-20,RAI,NYSE,2.34375,2.382813,2.320313,2.359375,3168000.0,
2000-04-24,RAI,NYSE,2.335938,2.34375,2.289063,2.328125,3500800.0,
2000-04-25,RAI,NYSE,2.328125,2.40625,2.296875,2.40625,5805600.0,
2000-04-26,RAI,NYSE,2.390625,2.515625,2.390625,2.5,4123200.0,
2000-04-27,RAI,NYSE,2.5,2.546875,2.46875,2.546875,1409600.0,
2000-04-28,RAI,NYSE,2.546875,2.609375,2.515625,2.59375,2676000.0,
2000-05-01,RAI,NYSE,2.578125,2.929688,2.578125,2.867188,5273600.0,
2000-05-02,RAI,NYSE,2.875,2.875,2.75,2.789063,4396000.0,
2000-05-03,RAI,NYSE,2.804688,2.921875,2.75,2.804688,3527200.0,
2000-05-04,RAI,NYSE,2.773438,2.867188,2.773438,2.851563,2539200.0,
2000-05-05,RAI,NYSE,2.867188,2.890625,2.789063,2.84375,3304800.0,
2000-05-08,RAI,NYSE,2.8125,2.859375,2.804688,2.820313,2027200.0,
2000-05-09,RAI,NYSE,2.789063,2.820313,2.703125,2.765625,3557600.0,
2000-05-10,RAI,NYSE,2.78125,3.007813,2.78125,2.992188,3020000.0,
