date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,RDC,NYSE,21.4375,21.5,19.8125,19.875,851800.0,
2000-01-04,RDC,NYSE,19.125,20.125,19.0625,19.8125,989100.0,
2000-01-05,RDC,NYSE,19.4375,19.875,19.0625,19.4375,601900.0,
2000-01-06,RDC,NYSE,19.8125,21.0625,19.8125,20.625,1256500.0,
2000-01-07,RDC,NYSE,20.8125,21.5,20.6875,21.0,957100.0,
2000-01-10,RDC,NYSE,21.0,21.1875,20.375,21.1875,922300.0,
2000-01-11,RDC,NYSE,21.4375,21.8125,21.125,21.75,642800.0,
2000-01-12,RDC,NYSE,21.75,22.1875,20.875,20.875,687300.0,
2000-01-13,RDC,NYSE,21.3125,22.75,21.25,22.5625,1173800.0,
2000-01-14,RDC,NYSE,23.1875,23.875,23.0625,23.375,1737200.0,
2000-01-18,RDC,NYSE,23.625,24.4375,23.625,24.125,1292400.0,
2000-01-19,RDC,NYSE,24.3125,24.4375,23.875,23.9375,827600.0,
2000-01-20,RDC,NYSE,23.8125,23.9375,23.0625,23.625,1062000.0,
2000-01-21,RDC,NYSE,23.9375,24.625,23.625,23.9375,1308000.0,
2000-01-24,RDC,NYSE,24.3125,24.3125,23.0625,23.375,853700.0,
2000-01-25,RDC,NYSE,23.125,24.1875,22.8125,23.0625,1171400.0,
2000-01-26,RDC,NYSE,23.4375,24.125,22.4375,22.6875,785000.0,
2000-01-27,RDC,NYSE,22.4375,23.4375,21.5625,21.8125,945700.0,
2000-01-28,RDC,NYSE,21.5625,22.5,21.0,21.0625,603700.0,
2000-01-31,RDC,NYSE,21.0,22.875,20.875,22.6875,1048700.0,
2000-02-01,RDC,NYSE,22.4375,23.25,22.375,22.6875,658900.0,
2000-02-02,RDC,NYSE,23.0625,24.0,22.125,22.4375,886500.0,
2000-02-03,RDC,NYSE,23.375,23.5,22.75,22.75,671900.0,
2000-02-04,RDC,NYSE,22.8125,23.3125,22.4375,22.8125,580500.0,
2000-02-07,RDC,NYSE,22.625,23.9375,22.625,23.1875,632500.0,
2000-02-08,RDC,NYSE,22.5,23.1875,21.5,21.75,600000.0,
2000-02-09,RDC,NYSE,22.125,22.25,20.75,21.0,636500.0,
2000-02-10,RDC,NYSE,20.8125,22.6875,20.8125,22.4375,640300.0,
2000-02-11,RDC,NYSE,22.9375,23.375,22.25,22.5,604800.0,
2000-02-14,RDC,NYSE,22.4375,23.75,21.625,23.75,885800.0,
2000-02-15,RDC,NYSE,23.9375,25.5,23.9375,25.3125,1564300.0,
2000-02-16,RDC,NYSE,24.5,25.0,24.5,24.5,4846200.0,
2000-02-17,RDC,NYSE,24.125,24.375,22.9375,24.0,1093500.0,
2000-02-18,RDC,NYSE,23.875,24.1875,22.9375,23.0625,799800.0,
2000-02-22,RDC,NYSE,22.5,23.4375,22.3125,22.8125,769900.0,
2000-02-23,RDC,NYSE,22.5625,22.9375,21.75,22.1875,714600.0,
2000-02-24,RDC,NYSE,22.125,24.125,21.8125,23.6875,1274800.0,
2000-02-25,RDC,NYSE,23.9375,24.0,22.625,22.6875,645500.0,
2000-02-28,RDC,NYSE,22.625,24.3125,22.5,24.0625,972600.0,
2000-02-29,RDC,NYSE,24.25,25.25,24.125,25.125,1427400.0,
2000-03-01,RDC,NYSE,24.9375,25.5625,24.75,25.5,1935600.0,
2000-03-02,RDC,NYSE,25.625,27.9375,25.375,26.9375,1793600.0,
2000-03-03,RDC,NYSE,26.9375,26.9375,25.4375,26.5625,995400.0,
2000-03-06,RDC,NYSE,26.9375,27.9375,26.5,27.625,827100.0,
2000-03-07,RDC,NYSE,27.9375,29.0,27.875,28.75,1335800.0,
2000-03-08,RDC,NYSE,27.0,27.1875,25.625,25.8125,1560900.0,
2000-03-09,RDC,NYSE,25.9375,26.3125,25.125,25.8125,682900.0,
2000-03-10,RDC,NYSE,25.6875,28.1875,25.375,26.3125,999900.0,
2000-03-13,RDC,NYSE,26.0625,28.5625,25.8125,26.6875,1321000.0,
2000-03-14,RDC,NYSE,26.5625,27.3125,25.6875,26.6875,778500.0,
2000-03-15,RDC,NYSE,26.375,27.0625,25.5,25.625,1205100.0,
2000-03-16,RDC,NYSE,25.625,28.0,25.0625,27.75,1123200.0,
2000-03-17,RDC,NYSE,27.9375,27.9375,26.3125,26.875,1078200.0,
2000-03-20,RDC,NYSE,26.875,26.875,24.75,25.75,532700.0,
2000-03-21,RDC,NYSE,26.125,27.6875,26.0,26.625,939700.0,
2000-03-22,RDC,NYSE,27.0625,29.25,27.0,28.3125,1443000.0,
2000-03-23,RDC,NYSE,28.1875,28.875,27.125,27.5,871300.0,
2000-03-24,RDC,NYSE,27.5,28.6875,27.5,28.3125,1053400.0,
2000-03-27,RDC,NYSE,28.125,30.375,27.0625,29.75,1183800.0,
2000-03-28,RDC,NYSE,29.25,30.5,28.4375,28.625,1055600.0,
2000-03-29,RDC,NYSE,28.0625,30.5,28.0,29.75,1028400.0,
2000-03-30,RDC,NYSE,29.625,30.6875,28.5,28.75,1011500.0,
2000-03-31,RDC,NYSE,29.0,30.0,28.5625,29.4375,759400.0,
2000-04-03,RDC,NYSE,29.1875,30.75,29.1875,30.0,1042000.0,
2000-04-04,RDC,NYSE,30.0,30.875,26.625,28.5625,1312000.0,
2000-04-05,RDC,NYSE,28.0,28.25,27.0,27.3125,1564400.0,
2000-04-06,RDC,NYSE,27.625,28.5,26.6875,28.0,1453200.0,
2000-04-07,RDC,NYSE,28.0625,29.0,27.8125,28.125,1120000.0,
2000-04-10,RDC,NYSE,27.625,27.625,26.0,26.0,1081100.0,
2000-04-11,RDC,NYSE,26.625,28.1875,26.25,27.3125,1186000.0,
2000-04-12,RDC,NYSE,27.25,28.125,26.875,27.6875,1032300.0,
2000-04-13,RDC,NYSE,28.25,28.625,26.1875,26.25,914000.0,
2000-04-14,RDC,NYSE,26.5,28.1875,25.5,25.8125,1108000.0,
2000-04-17,RDC,NYSE,25.4375,25.5625,24.0625,25.1875,1318500.0,
2000-04-18,RDC,NYSE,26.25,27.6875,25.4375,27.375,1063200.0,
2000-04-19,RDC,NYSE,27.8125,27.8125,26.125,27.0625,676600.0,
2000-04-20,RDC,NYSE,27.0625,28.125,26.875,27.625,634500.0,
2000-04-24,RDC,NYSE,27.625,28.1875,26.3125,27.125,889800.0,
2000-04-25,RDC,NYSE,26.9375,27.625,26.1875,26.625,644300.0,
2000-04-26,RDC,NYSE,26.375,27.3125,25.5,27.0,1342300.0,
2000-04-27,RDC,NYSE,27.4375,29.875,26.625,28.1875,1471800.0,
2000-04-28,RDC,NYSE,28.4375,28.6875,27.4375,27.9375,654200.0,
2000-05-01,RDC,NYSE,27.5625,29.5,27.375,28.5,1171400.0,
2000-05-02,RDC,NYSE,28.3125,29.875,28.3125,29.1875,1417100.0,
2000-05-03,RDC,NYSE,29.0,29.0,28.0,28.0625,979400.0,
2000-05-04,RDC,NYSE,28.0,29.5,28.0,29.3125,722600.0,
2000-05-05,RDC,NYSE,28.625,29.6875,28.4375,29.5,771200.0,
2000-05-08,RDC,NYSE,29.75,30.625,29.6875,30.5625,797700.0,
2000-05-09,RDC,NYSE,30.5625,30.9375,29.8125,30.5,944700.0,
2000-05-10,RDC,NYSE,30.3125,30.3125,29.125,30.0,902700.0,
2000-05-11,RDC,NYSE,29.875,30.5,29.875,30.1875,1562200.0,
2000-05-12,RDC,NYSE,30.375,30.8125,29.9375,30.625,602600.0,
2000-05-15,RDC,NYSE,30.625,32.375,30.1875,31.6875,873000.0,
2000-05-16,RDC,NYSE,31.75,32.0,30.375,31.1875,775800.0,
2000-05-17,RDC,NYSE,31.25,32.3125,30.75,32.0,1168500.0,
2000-05-18,RDC,NYSE,31.75,31.875,30.6875,31.125,903700.0,
2000-05-19,RDC,NYSE,31.5,31.875,30.5,30.5,713900.0,
2000-05-22,RDC,NYSE,30.5625,30.5625,28.625,28.9375,572500.0,
2000-05-23,RDC,NYSE,29.1875,30.125,28.8125,29.75,501500.0,
2000-05-24,RDC,NYSE,29.9375,30.1875,28.625,29.125,749800.0,
2000-05-25,RDC,NYSE,29.125,29.375,28.375,29.0625,955900.0,
2000-05-26,RDC,NYSE,29.4375,29.625,28.25,28.4375,645000.0,
2000-05-30,RDC,NYSE,28.5625,29.875,28.5625,29.0625,442600.0,
2000-05-31,RDC,NYSE,29.6875,31.625,29.5625,31.0625,1031700.0,
2000-06-01,RDC,NYSE,31.0625,31.6875,29.75,30.3125,766700.0,
2000-06-02,RDC,NYSE,30.375,30.375,28.0625,28.1875,837600.0,
2000-06-05,RDC,NYSE,29.0,29.5,26.8125,26.9375,1255700.0,
2000-06-06,RDC,NYSE,27.0,28.8125,27.0,28.5,1576800.0,
2000-06-07,RDC,NYSE,28.625,29.375,27.375,28.5,1184200.0,
2000-06-08,RDC,NYSE,28.75,30.1875,28.6875,29.875,1002700.0,
2000-06-09,RDC,NYSE,29.875,29.875,29.0625,29.125,803200.0,
2000-06-12,RDC,NYSE,30.0,31.625,30.0,31.1875,1154100.0,
2000-06-13,RDC,NYSE,31.1875,31.9375,30.5625,30.6875,692400.0,
2000-06-14,RDC,NYSE,30.6875,32.1875,30.25,30.4375,1154500.0,
2000-06-15,RDC,NYSE,30.5625,31.4375,28.75,29.75,1027100.0,
2000-06-16,RDC,NYSE,30.5625,31.9375,30.5625,31.4375,1202700.0,
2000-06-19,RDC,NYSE,31.25,31.25,29.9375,30.6875,947600.0,
2000-06-20,RDC,NYSE,30.0,31.0,29.125,30.6875,1184600.0,
2000-06-21,RDC,NYSE,30.9375,32.1875,30.5625,31.875,1082600.0,
2000-06-22,RDC,NYSE,31.625,33.0,30.375,30.8125,897300.0,
2000-06-23,RDC,NYSE,30.75,32.1875,30.375,30.6875,721000.0,
2000-06-26,RDC,NYSE,30.6875,31.8125,30.25,30.5,805100.0,
2000-06-27,RDC,NYSE,30.5,31.5,29.6875,31.1875,889900.0,
2000-06-28,RDC,NYSE,31.0625,31.0625,29.5625,29.875,1048500.0,
2000-06-29,RDC,NYSE,29.9375,31.4375,29.9375,31.1875,918500.0,
2000-06-30,RDC,NYSE,30.875,31.75,30.0625,30.375,1350800.0,
2000-07-03,RDC,NYSE,30.5,30.875,30.3125,30.5,186100.0,
2000-07-05,RDC,NYSE,29.5,29.5,28.0,28.0625,850000.0,
2000-07-06,RDC,NYSE,28.75,29.5,28.125,28.4375,815800.0,
2000-07-07,RDC,NYSE,28.1875,28.75,27.9375,28.5625,608600.0,
2000-07-10,RDC,NYSE,29.0625,29.3125,27.6875,27.8125,952000.0,
2000-07-11,RDC,NYSE,29.25,30.4375,29.125,30.125,1126400.0,
2000-07-12,RDC,NYSE,30.125,30.9375,29.5625,30.125,1331300.0,
2000-07-13,RDC,NYSE,28.0,29.1875,26.9375,29.0,2648500.0,
2000-07-14,RDC,NYSE,28.75,28.875,27.9375,28.875,1178000.0,
2000-07-17,RDC,NYSE,28.75,28.75,27.0625,27.625,1060500.0,
2000-07-18,RDC,NYSE,28.0,29.0,27.5625,28.625,1915900.0,
2000-07-19,RDC,NYSE,28.5,29.125,27.1875,28.1875,751600.0,
2000-07-20,RDC,NYSE,28.3125,28.5625,27.125,27.5,1272000.0,
2000-07-21,RDC,NYSE,27.0,27.25,25.875,26.0,1167900.0,
2000-07-24,RDC,NYSE,26.0625,26.375,24.1875,24.625,1080100.0,
2000-07-25,RDC,NYSE,25.1875,25.5,23.5,23.875,963800.0,
2000-07-26,RDC,NYSE,23.5,24.9375,23.375,24.5625,1538900.0,
2000-07-27,RDC,NYSE,25.125,25.625,25.0,25.3125,1014600.0,
2000-07-28,RDC,NYSE,25.5625,25.9375,24.8125,25.4375,1009100.0,
2000-07-31,RDC,NYSE,25.5625,26.1875,24.625,25.25,1115200.0,
2000-08-01,RDC,NYSE,25.25,26.3125,25.25,26.1875,792700.0,
2000-08-02,RDC,NYSE,27.0,27.375,25.8125,26.0,1118800.0,
2000-08-03,RDC,NYSE,26.75,26.8125,25.375,25.6875,804300.0,
2000-08-04,RDC,NYSE,25.0625,26.625,25.0625,26.0625,1468800.0,
2000-08-07,RDC,NYSE,26.0,26.6875,25.5,26.625,1016300.0,
2000-08-08,RDC,NYSE,26.75,27.8125,26.75,27.4375,1235800.0,
2000-08-09,RDC,NYSE,28.3125,28.6875,27.8125,28.4375,1431100.0,
2000-08-10,RDC,NYSE,28.1875,28.875,27.8125,28.0,1055600.0,
2000-08-11,RDC,NYSE,28.25,28.4375,27.4375,28.0,530800.0,
2000-08-14,RDC,NYSE,28.0,29.4375,28.0,29.25,878400.0,
2000-08-15,RDC,NYSE,30.0,30.1875,29.25,29.375,1607100.0,
2000-08-16,RDC,NYSE,29.125,30.0625,28.8125,30.0,1238900.0,
2000-08-17,RDC,NYSE,31.25,31.25,29.75,30.625,1689900.0,
2000-08-18,RDC,NYSE,30.875,30.9375,30.0,30.3125,852100.0,
2000-08-21,RDC,NYSE,30.5,30.8125,29.75,30.3125,790800.0,
2000-08-22,RDC,NYSE,30.375,30.8125,30.25,30.4375,497200.0,
2000-08-23,RDC,NYSE,30.9375,31.6875,30.9375,31.625,942600.0,
2000-08-24,RDC,NYSE,31.375,31.375,30.5,30.6875,694400.0,
2000-08-25,RDC,NYSE,30.875,31.125,30.0625,31.0625,1025200.0,
2000-08-28,RDC,NYSE,31.3125,32.5,30.6875,31.8125,1559200.0,
2000-08-29,RDC,NYSE,31.9375,32.4375,31.0625,31.4375,723700.0,
2000-08-30,RDC,NYSE,31.4375,31.9375,30.625,31.25,677300.0,
2000-08-31,RDC,NYSE,31.1875,31.6875,30.8125,31.0,499000.0,
2000-09-01,RDC,NYSE,31.0,31.5,31.0,31.3125,392800.0,
2000-09-05,RDC,NYSE,31.8125,31.875,31.1875,31.4375,488600.0,
2000-09-06,RDC,NYSE,32.0625,33.5,32.0,33.1875,1467000.0,
2000-09-07,RDC,NYSE,33.25,33.25,32.0,32.5,746000.0,
2000-09-08,RDC,NYSE,32.0625,32.0625,31.1875,31.75,543200.0,
2000-09-11,RDC,NYSE,31.875,33.625,31.875,33.375,883300.0,
2000-09-12,RDC,NYSE,33.9375,34.0,32.5,33.375,728900.0,
2000-09-13,RDC,NYSE,32.9375,33.0,32.0625,32.125,775300.0,
2000-09-14,RDC,NYSE,32.125,33.125,31.625,32.8125,831200.0,
2000-09-15,RDC,NYSE,32.9375,34.25,32.75,33.0,1382800.0,
2000-09-18,RDC,NYSE,33.375,33.4375,30.25,30.5,2191400.0,
2000-09-19,RDC,NYSE,30.8125,31.0625,29.3125,29.5625,1664800.0,
2000-09-20,RDC,NYSE,30.1875,30.625,28.375,28.625,1659800.0,
2000-09-21,RDC,NYSE,28.625,28.6875,27.5625,28.0,1197800.0,
2000-09-22,RDC,NYSE,27.75,28.875,26.8125,27.125,1427100.0,
2000-09-25,RDC,NYSE,26.75,27.9375,25.9375,27.9375,2273700.0,
2000-09-26,RDC,NYSE,27.9375,28.625,27.9375,28.25,932700.0,
