date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,RHI,NYSE,14.40625,14.40625,13.78125,13.96875,448800.0,
2000-01-04,RHI,NYSE,14.0,14.0,13.15625,13.21875,268400.0,
2000-01-05,RHI,NYSE,13.0,13.0,12.6875,12.96875,587800.0,
2000-01-06,RHI,NYSE,12.96875,12.96875,12.34375,12.96875,923200.0,
2000-01-07,RHI,NYSE,13.125,13.21875,12.8125,13.21875,617600.0,
2000-01-10,RHI,NYSE,13.21875,13.59375,13.21875,13.3125,1384800.0,
2000-01-11,RHI,NYSE,13.1875,13.3125,12.9375,13.15625,956800.0,
2000-01-12,RHI,NYSE,13.15625,13.15625,12.84375,13.125,294800.0,
2000-01-13,RHI,NYSE,13.0,13.15625,13.0,13.09375,522000.0,
2000-01-14,RHI,NYSE,13.09375,13.3125,12.75,12.84375,1053000.0,
2000-01-18,RHI,NYSE,12.71875,12.78125,12.53125,12.6875,596400.0,
2000-01-19,RHI,NYSE,12.6875,13.0625,12.5,12.96875,1337200.0,
2000-01-20,RHI,NYSE,12.9375,12.9375,12.46875,12.75,769000.0,
2000-01-21,RHI,NYSE,13.0,13.0,12.53125,12.78125,719800.0,
2000-01-24,RHI,NYSE,12.6875,13.5,12.6875,13.25,1436200.0,
2000-01-25,RHI,NYSE,13.6875,13.75,13.0625,13.4375,983800.0,
2000-01-26,RHI,NYSE,18.5,20.0625,17.53125,19.03125,5881400.0,
2000-01-27,RHI,NYSE,19.0,20.625,19.0,20.28125,3178800.0,
2000-01-28,RHI,NYSE,20.125,20.1875,19.71875,20.0,1751200.0,
2000-01-31,RHI,NYSE,19.78125,20.1875,19.3125,19.3125,1591000.0,
2000-02-01,RHI,NYSE,19.375,20.0,19.0,20.0,2105400.0,
2000-02-02,RHI,NYSE,19.96875,19.96875,19.53125,19.625,880600.0,
2000-02-03,RHI,NYSE,19.6875,20.4375,19.6875,20.28125,1887800.0,
2000-02-04,RHI,NYSE,20.3125,20.3125,19.84375,19.96875,493600.0,
2000-02-07,RHI,NYSE,20.0,20.625,19.84375,20.5625,689000.0,
2000-02-08,RHI,NYSE,21.25,22.0,21.0625,21.59375,766200.0,
2000-02-09,RHI,NYSE,21.5,23.78125,21.5,22.875,1556600.0,
2000-02-10,RHI,NYSE,22.875,23.0,22.375,22.40625,427200.0,
2000-02-11,RHI,NYSE,22.53125,22.71875,21.625,21.90625,680800.0,
2000-02-14,RHI,NYSE,22.0,22.21875,21.625,21.65625,612200.0,
