date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,ROK,NYSE,18.5403659591,19.0673531053,18.2768723861,18.9236293381,394100.0,
2000-01-04,ROK,NYSE,18.9475832993,19.3548006395,18.1810565413,18.2289644637,371400.0,
2000-01-05,ROK,NYSE,18.7559516098,18.9236293381,18.3247803084,18.3247803084,215000.0,
2000-01-06,ROK,NYSE,18.013378813,18.1331486189,17.7498852399,18.013378813,369500.0,
2000-01-07,ROK,NYSE,18.396642192,18.779905571,18.0612867354,18.5164119979,214000.0,
2000-01-10,ROK,NYSE,18.7319976486,19.0433991441,18.5164119979,18.5164119979,275100.0,
2000-01-11,ROK,NYSE,18.2289644637,18.4685040756,17.9175629683,18.1571025801,247300.0,
2000-01-12,ROK,NYSE,18.0852406966,18.396642192,17.9175629683,18.2050105025,238600.0,
2000-01-13,ROK,NYSE,18.0612867354,18.8517674546,17.8696550459,18.7559516098,437500.0,
2000-01-14,ROK,NYSE,18.6601357651,18.6601357651,18.1331486189,18.4685040756,277800.0,
2000-01-18,ROK,NYSE,19.16316895,19.4745704454,18.9236293381,19.4506164843,706600.0,
2000-01-19,ROK,NYSE,19.929695708,20.8878541555,19.7859719409,19.9057417468,1369300.0,
2000-01-20,ROK,NYSE,20.1213273975,20.1692353199,18.6361818039,18.779905571,430900.0,
2000-01-21,ROK,NYSE,19.5224783678,19.546432329,18.9236293381,19.0194451829,516300.0,
2000-01-24,ROK,NYSE,18.8278134934,18.9715372605,17.9175629683,17.9654708906,586200.0,
2000-01-25,ROK,NYSE,18.396642192,18.9475832993,18.3008263473,18.396642192,1001900.0,
2000-01-26,ROK,NYSE,18.5403659591,18.7319976486,18.3487342696,18.4924580368,620500.0,
2000-01-27,ROK,NYSE,18.4924580368,19.0673531053,18.4924580368,18.6840897263,546100.0,
2000-01-28,ROK,NYSE,18.779905571,19.1392149888,18.5882738815,18.5882738815,675900.0,
2000-01-31,ROK,NYSE,18.5882738815,19.0433991441,18.2289644637,18.9475832993,547500.0,
2000-02-01,ROK,NYSE,18.9475832993,19.0673531053,18.4685040756,18.9475832993,320000.0,
2000-02-02,ROK,NYSE,18.8996753769,19.1152610276,18.5403659591,18.5882738815,361600.0,
2000-02-03,ROK,NYSE,18.779905571,18.779905571,18.4205961532,18.5882738815,472100.0,
2000-02-04,ROK,NYSE,18.6601357651,18.779905571,18.2050105025,18.2768723861,543300.0,
2000-02-07,ROK,NYSE,18.2768723861,18.3487342696,17.6780233564,17.7498852399,377100.0,
2000-02-08,ROK,NYSE,18.013378813,18.1571025801,17.4863916669,17.630115434,444000.0,
2000-02-09,ROK,NYSE,17.6061614728,17.6061614728,16.7438188701,16.8875426372,528600.0,
2000-02-10,ROK,NYSE,17.0073124431,17.3426678998,17.0073124431,17.3187139386,463000.0,
2000-02-11,ROK,NYSE,17.3187139386,17.3426678998,16.7917267924,17.0073124431,333300.0,
2000-02-14,ROK,NYSE,16.863588676,17.0312664043,16.5761411418,16.7677728313,240400.0,
2000-02-15,ROK,NYSE,16.7198649089,17.630115434,16.6240490641,17.5582535504,388900.0,
2000-02-16,ROK,NYSE,17.4624377057,17.8936090071,17.4624377057,17.8457010847,283100.0,
