date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,RTN,NYSE,26.625,26.6875,25.75,26.125,813600.0,
2000-01-04,RTN,NYSE,26.125,26.625,25.9375,25.9375,817100.0,
2000-01-05,RTN,NYSE,25.625,26.3125,25.5,26.25,885800.0,
2000-01-06,RTN,NYSE,26.25,26.5625,25.875,26.375,1150800.0,
2000-01-07,RTN,NYSE,26.625,28.375,26.5625,27.9375,1425700.0,
2000-01-10,RTN,NYSE,28.3125,28.375,27.5625,27.625,676700.0,
2000-01-11,RTN,NYSE,27.5625,27.875,27.1875,27.5625,720800.0,
2000-01-12,RTN,NYSE,27.5625,27.625,26.3125,26.5,1253000.0,
2000-01-13,RTN,NYSE,26.5625,26.6875,26.0,26.1875,947200.0,
2000-01-14,RTN,NYSE,25.9375,26.0625,25.1875,25.375,973700.0,
2000-01-18,RTN,NYSE,23.0,23.0,18.8125,19.0,6805100.0,
2000-01-19,RTN,NYSE,19.0,19.6875,18.875,19.6875,7721500.0,
2000-01-20,RTN,NYSE,19.9375,20.1875,18.5,18.5,5999300.0,
2000-01-21,RTN,NYSE,19.0,19.5,18.625,19.5,5272200.0,
2000-01-24,RTN,NYSE,19.9375,20.125,18.1875,18.1875,4107700.0,
2000-01-25,RTN,NYSE,19.5,20.25,18.75,20.0,2920700.0,
2000-01-26,RTN,NYSE,20.5,21.9375,20.3125,21.5,2541700.0,
2000-01-27,RTN,NYSE,22.0,23.375,21.9375,23.0625,2654900.0,
2000-01-28,RTN,NYSE,23.125,24.5625,22.8125,24.0625,1469600.0,
2000-01-31,RTN,NYSE,24.125,24.125,22.1875,22.8125,1862800.0,
2000-02-01,RTN,NYSE,22.75,22.75,21.4375,21.9375,1707000.0,
2000-02-02,RTN,NYSE,21.9375,22.5625,21.5,22.5,740800.0,
2000-02-03,RTN,NYSE,22.375,22.4375,21.4375,22.1875,1210400.0,
2000-02-04,RTN,NYSE,22.1875,22.1875,21.625,22.0,1313000.0,
2000-02-07,RTN,NYSE,22.75,22.75,21.3125,21.75,1032800.0,
2000-02-08,RTN,NYSE,21.75,22.3125,21.25,21.5625,1687400.0,
2000-02-09,RTN,NYSE,21.5,22.0,21.125,21.25,2050600.0,
2000-02-10,RTN,NYSE,21.3125,21.375,20.9375,20.9375,834200.0,
2000-02-11,RTN,NYSE,20.9375,21.0,20.75,20.875,489300.0,
2000-02-14,RTN,NYSE,20.9375,21.0,20.3125,20.375,905500.0,
2000-02-15,RTN,NYSE,20.5,20.75,20.25,20.4375,1398700.0,
2000-02-16,RTN,NYSE,20.375,20.5,20.1875,20.25,611900.0,
2000-02-17,RTN,NYSE,20.3125,20.4375,19.875,19.875,689500.0,
2000-02-18,RTN,NYSE,19.875,20.125,19.4375,19.6875,865000.0,
2000-02-22,RTN,NYSE,19.5,21.0625,19.125,20.9375,890800.0,
2000-02-23,RTN,NYSE,20.125,20.3125,19.125,19.1875,932400.0,
2000-02-24,RTN,NYSE,19.3125,19.5625,18.875,19.375,1265300.0,
2000-02-25,RTN,NYSE,19.375,19.625,19.125,19.3125,1217000.0,
2000-02-28,RTN,NYSE,19.3125,19.5,19.0625,19.125,837300.0,
2000-02-29,RTN,NYSE,18.9375,18.9375,18.375,18.5,1636500.0,
2000-03-01,RTN,NYSE,18.5,18.6875,18.375,18.6875,708000.0,
2000-03-02,RTN,NYSE,18.75,18.75,18.1875,18.25,865100.0,
2000-03-03,RTN,NYSE,18.125,18.1875,17.8125,18.0,1525200.0,
2000-03-06,RTN,NYSE,18.0,18.0,17.625,17.875,1171000.0,
2000-03-07,RTN,NYSE,17.8125,17.875,17.5625,17.875,1567100.0,
2000-03-08,RTN,NYSE,17.9375,18.1875,17.875,18.0,2169000.0,
2000-03-09,RTN,NYSE,18.0,18.3125,17.75,18.1875,1208900.0,
2000-03-10,RTN,NYSE,18.25,18.25,17.625,17.75,1530100.0,
2000-03-13,RTN,NYSE,17.625,18.4375,17.5,18.4375,1381200.0,
2000-03-14,RTN,NYSE,18.5625,18.5625,18.0625,18.125,918000.0,
2000-03-15,RTN,NYSE,18.125,19.375,18.125,19.125,1125500.0,
2000-03-16,RTN,NYSE,19.5,19.875,18.875,19.5,1285300.0,
2000-03-17,RTN,NYSE,19.25,20.625,19.25,20.0,1812300.0,
2000-03-20,RTN,NYSE,20.125,20.125,19.625,19.875,650500.0,
2000-03-21,RTN,NYSE,19.625,19.8125,19.1875,19.375,939400.0,
2000-03-22,RTN,NYSE,19.4375,19.4375,18.9375,19.0,594700.0,
2000-03-23,RTN,NYSE,19.0625,19.25,18.4375,18.8125,852500.0,
2000-03-24,RTN,NYSE,18.625,19.375,18.25,18.3125,2160200.0,
2000-03-27,RTN,NYSE,18.375,18.9375,18.125,18.9375,1964700.0,
2000-03-28,RTN,NYSE,18.25,19.0,18.25,18.875,1495900.0,
2000-03-29,RTN,NYSE,18.9375,19.1875,18.6875,19.0,1613600.0,
2000-03-30,RTN,NYSE,18.875,18.875,18.25,18.3125,2003200.0,
2000-03-31,RTN,NYSE,18.5625,18.5625,17.6875,17.75,2221400.0,
2000-04-03,RTN,NYSE,18.125,18.3125,18.0625,18.25,1066700.0,
2000-04-04,RTN,NYSE,18.25,18.8125,18.0625,18.4375,1891900.0,
