date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,SID,NYSE,1.5520817812,1.6380191953,1.5520817812,1.6380191953,48328848.32884833,
2000-01-04,SID,NYSE,1.624998375,1.7057274609,1.5989567344,1.6770816563,763200.7632007633,
2000-01-05,SID,NYSE,1.6458316875,1.791664875,1.6458316875,1.7708315625,504000.504000504,
2000-01-06,SID,NYSE,1.8333315,1.8437481563,1.8229148438,1.8437481563,1432801.432801433,
2000-01-07,SID,NYSE,1.8593731406,1.874998125,1.8437481563,1.8437481563,6876006.876006876,
2000-01-10,SID,NYSE,1.874998125,1.874998125,1.874998125,1.874998125,1970401.9704019704,
2000-01-11,SID,NYSE,1.8437481563,1.8437481563,1.791664875,1.8072898594,494400.4944004944,
2000-01-12,SID,NYSE,1.7604149062,1.7604149062,1.708331625,1.708331625,410400.4104004104,
2000-01-13,SID,NYSE,1.7031232969,1.7031232969,1.666665,1.6796858203,74400.0744000744,
2000-01-14,SID,NYSE,1.5729150938,1.5729150938,1.5390609609,1.5572901094,2695202.695202695,
2000-01-18,SID,NYSE,1.5572901094,1.6093733906,1.5572901094,1.58333175,189600.1896001896,
2000-01-19,SID,NYSE,1.5520817812,1.5520817812,1.5520817812,1.5520817812,513600.5136005136,
2000-01-20,SID,NYSE,1.5312484687,1.5312484687,1.5052068281,1.5156234844,1262401.2624012625,
2000-01-21,SID,NYSE,1.458331875,1.458331875,1.41666525,1.4531235469,3148803.148803149,
2000-01-24,SID,NYSE,1.5104151563,1.5104151563,1.4687485313,1.4687485313,1015201.0152010153,
2000-01-25,SID,NYSE,1.458331875,1.4687485313,1.4479152188,1.4687485313,650400.6504006505,
2000-01-27,SID,NYSE,1.4218735781,1.4218735781,1.4062485938,1.4062485938,847200.8472008472,
2000-01-28,SID,NYSE,1.3854152813,1.3854152813,1.3645819688,1.3645819688,206400.2064002064,
2000-01-31,SID,NYSE,1.3541653125,1.3541653125,1.333332,1.333332,86400.0864000864,
2000-02-01,SID,NYSE,1.333332,1.333332,1.3072903594,1.3072903594,602400.6024006024,
2000-02-02,SID,NYSE,1.291665375,1.291665375,1.2708320625,1.2812487188,276000.276000276,
2000-02-03,SID,NYSE,1.3645819688,1.374998625,1.3541653125,1.3671861328,465600.4656004656,
2000-02-04,SID,NYSE,1.3854152813,1.3854152813,1.333332,1.3385403281,782400.7824007825,
2000-02-07,SID,NYSE,1.3385403281,1.3645819688,1.3385403281,1.3541653125,1058401.0584010584,
2000-02-08,SID,NYSE,1.4062485938,1.4062485938,1.3958319375,1.3958319375,612000.6120006121,
2000-02-09,SID,NYSE,1.3776027891,1.3906236094,1.3645819688,1.3645819688,835200.8352008353,
2000-02-14,SID,NYSE,1.3229153437,1.3281236719,1.3229153437,1.3281236719,19200.0192000192,
2000-02-15,SID,NYSE,1.2187487813,1.2395820938,1.2187487813,1.2395820938,115200.1152001152,
2000-02-16,SID,NYSE,1.2708320625,1.3020820312,1.2708320625,1.3020820312,3633603.633603634,
2000-02-17,SID,NYSE,1.3020820312,1.333332,1.3020820312,1.333332,105600.1056001056,
2000-02-18,SID,NYSE,1.333332,1.333332,1.333332,1.333332,31200.0312000312,
2000-02-22,SID,NYSE,1.3124986875,1.3307278359,1.3124986875,1.3307278359,355200.3552003552,
2000-02-23,SID,NYSE,1.3124986875,1.3124986875,1.3124986875,1.3124986875,57600.0576000576,
2000-02-24,SID,NYSE,1.291665375,1.3072903594,1.2864570469,1.291665375,141600.1416001416,
2000-02-25,SID,NYSE,1.2708320625,1.2708320625,1.24999875,1.2708320625,1341601.3416013417,
2000-02-28,SID,NYSE,1.2604154063,1.2708320625,1.24999875,1.2708320625,194400.1944001944,
2000-03-01,SID,NYSE,1.291665375,1.3177070156,1.291665375,1.3177070156,48000.048000048,
2000-03-02,SID,NYSE,1.3437486563,1.3906236094,1.3385403281,1.3645819688,549600.5496005496,
2000-03-03,SID,NYSE,1.333332,1.3645819688,1.333332,1.3593736406,194400.1944001944,
2000-03-06,SID,NYSE,1.4322902344,1.4322902344,1.4218735781,1.4218735781,134400.1344001344,
2000-03-07,SID,NYSE,1.4270819063,1.4270819063,1.374998625,1.374998625,844800.8448008448,
2000-03-08,SID,NYSE,1.3229153437,1.333332,1.3124986875,1.333332,1612801.6128016128,
2000-03-09,SID,NYSE,1.333332,1.333332,1.3124986875,1.3307278359,1855201.8552018553,
2000-03-10,SID,NYSE,1.3307278359,1.3307278359,1.2187487813,1.2187487813,432000.432000432,
2000-03-13,SID,NYSE,1.2291654375,1.2708320625,1.2291654375,1.2604154063,170400.1704001704,
2000-03-14,SID,NYSE,1.291665375,1.3124986875,1.291665375,1.3020820312,129600.1296001296,
2000-03-15,SID,NYSE,1.3020820312,1.3098945234,1.3020820312,1.3098945234,21600.0216000216,
2000-03-16,SID,NYSE,1.2994778672,1.3307278359,1.2994778672,1.3255195078,2601602.601602602,
2000-03-17,SID,NYSE,1.3020820312,1.3124986875,1.3020820312,1.3124986875,391200.3912003912,
2000-03-20,SID,NYSE,1.3177070156,1.3177070156,1.3072903594,1.3072903594,31200.0312000312,
2000-03-21,SID,NYSE,1.2968737031,1.3046861953,1.2812487188,1.3020820312,163200.1632001632,
2000-03-22,SID,NYSE,1.3020820312,1.333332,1.3020820312,1.333332,2256002.256002256,
2000-03-23,SID,NYSE,1.333332,1.374998625,1.333332,1.3645819688,1046401.0464010464,
2000-03-24,SID,NYSE,1.3593736406,1.3697902969,1.3489569844,1.3489569844,86400.0864000864,
