date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,SLB,NYSE,27.8125,27.84375,26.84375,27.46875,6553200.0,
2000-01-04,SLB,NYSE,26.96875,27.78125,26.875,27.09375,7297800.0,
2000-01-05,SLB,NYSE,27.03125,27.5,26.75,27.03125,4374800.0,
2000-01-06,SLB,NYSE,27.1875,29.03125,27.03125,28.875,6926200.0,
2000-01-07,SLB,NYSE,29.21875,30.03125,29.0625,29.40625,6420400.0,
2000-01-10,SLB,NYSE,29.375,29.78125,28.9375,29.78125,4691000.0,
2000-01-11,SLB,NYSE,29.78125,30.4375,29.21875,30.34375,4948600.0,
2000-01-12,SLB,NYSE,30.03125,30.53125,29.53125,29.59375,4338400.0,
2000-01-13,SLB,NYSE,29.6875,30.75,29.6875,30.40625,3996800.0,
2000-01-14,SLB,NYSE,30.59375,31.1875,30.125,30.75,3794800.0,
2000-01-18,SLB,NYSE,31.0,33.375,30.875,33.125,9174800.0,
2000-01-19,SLB,NYSE,33.0,33.25,32.53125,32.90625,5939000.0,
2000-01-20,SLB,NYSE,32.40625,32.625,31.625,32.28125,4453000.0,
2000-01-21,SLB,NYSE,32.46875,33.8125,32.4375,33.0625,8242600.0,
2000-01-24,SLB,NYSE,33.125,33.46875,32.0,32.15625,4784000.0,
2000-01-25,SLB,NYSE,31.65625,32.375,31.25,31.75,4929400.0,
2000-01-26,SLB,NYSE,32.125,32.5,30.78125,31.4375,6364600.0,
2000-01-27,SLB,NYSE,31.3125,32.25,30.65625,31.25,7665000.0,
2000-01-28,SLB,NYSE,31.0625,31.625,29.875,30.0,6224800.0,
2000-01-31,SLB,NYSE,30.1875,30.78125,29.875,30.53125,4480400.0,
2000-02-01,SLB,NYSE,30.96875,32.03125,30.875,31.96875,3567000.0,
2000-02-02,SLB,NYSE,32.25,32.5625,30.625,30.84375,5687000.0,
2000-02-03,SLB,NYSE,31.0,31.125,30.375,30.65625,4325200.0,
2000-02-04,SLB,NYSE,30.375,30.65625,29.375,29.75,5545200.0,
2000-02-07,SLB,NYSE,29.5625,30.75,29.5625,30.34375,4142400.0,
2000-02-08,SLB,NYSE,30.5625,30.84375,29.375,29.75,2764400.0,
2000-02-09,SLB,NYSE,29.75,30.15625,28.46875,28.53125,5301200.0,
2000-02-10,SLB,NYSE,29.0,29.78125,28.75,29.53125,6697200.0,
2000-02-11,SLB,NYSE,29.75,30.09375,29.15625,29.21875,4765600.0,
2000-02-14,SLB,NYSE,29.21875,30.25,28.78125,30.25,4372800.0,
2000-02-15,SLB,NYSE,30.75,32.625,30.65625,32.5,9736400.0,
2000-02-16,SLB,NYSE,32.90625,33.1875,32.53125,32.875,10423000.0,
2000-02-17,SLB,NYSE,32.75,33.84375,32.375,33.4375,9413400.0,
2000-02-18,SLB,NYSE,33.59375,33.875,32.9375,33.25,5184200.0,
2000-02-22,SLB,NYSE,32.9375,33.375,32.125,32.59375,4487200.0,
2000-02-23,SLB,NYSE,32.25,32.5625,31.875,32.25,3598200.0,
2000-02-24,SLB,NYSE,32.25,34.34375,32.1875,34.21875,10997400.0,
2000-02-25,SLB,NYSE,34.125,34.625,33.4375,33.5,6818200.0,
2000-02-28,SLB,NYSE,33.3125,35.09375,33.28125,34.75,6482200.0,
2000-02-29,SLB,NYSE,35.25,36.9375,35.15625,36.9375,7976200.0,
2000-03-01,SLB,NYSE,37.90625,41.0,37.53125,40.96875,12712200.0,
2000-03-02,SLB,NYSE,40.5,42.1875,40.34375,40.84375,17524400.0,
2000-03-03,SLB,NYSE,40.4375,40.4375,38.3125,39.34375,11301000.0,
2000-03-06,SLB,NYSE,38.875,39.5625,38.625,38.65625,6508800.0,
2000-03-07,SLB,NYSE,39.0,42.1875,39.0,41.09375,8808000.0,
2000-03-08,SLB,NYSE,38.5,39.4375,38.03125,38.53125,8561200.0,
2000-03-09,SLB,NYSE,38.0,38.65625,37.1875,38.4375,6815200.0,
2000-03-10,SLB,NYSE,38.125,40.375,38.0625,38.6875,5934000.0,
2000-03-13,SLB,NYSE,38.0,40.21875,37.78125,38.90625,6246200.0,
2000-03-14,SLB,NYSE,38.4375,38.84375,37.28125,38.125,5781200.0,
2000-03-15,SLB,NYSE,37.6875,38.09375,36.6875,36.9375,5234400.0,
2000-03-16,SLB,NYSE,36.8125,37.96875,36.125,37.75,7964800.0,
2000-03-17,SLB,NYSE,37.375,38.25,37.09375,37.15625,6372000.0,
2000-03-20,SLB,NYSE,37.1875,37.1875,34.71875,35.28125,7129200.0,
2000-03-21,SLB,NYSE,35.75,37.09375,35.5,36.0,6415800.0,
2000-03-22,SLB,NYSE,36.625,39.3125,36.5,38.3125,7623000.0,
2000-03-23,SLB,NYSE,38.75,39.6875,37.90625,38.65625,5678400.0,
2000-03-24,SLB,NYSE,39.75,40.40625,38.71875,39.09375,5407000.0,
2000-03-27,SLB,NYSE,38.625,40.65625,37.90625,39.8125,6994000.0,
2000-03-28,SLB,NYSE,39.125,40.21875,38.15625,38.4375,6050600.0,
2000-03-29,SLB,NYSE,37.84375,40.96875,37.84375,40.65625,7127000.0,
2000-03-30,SLB,NYSE,41.375,41.9375,38.875,38.875,5993000.0,
2000-03-31,SLB,NYSE,39.5,40.15625,38.25,38.25,4133000.0,
2000-04-03,SLB,NYSE,39.0,40.9375,39.0,40.59375,5362600.0,
2000-04-04,SLB,NYSE,40.5,41.375,38.375,39.59375,9891800.0,
2000-04-05,SLB,NYSE,39.5,39.96875,36.5,37.0,8106400.0,
2000-04-06,SLB,NYSE,37.46875,38.09375,36.25,37.5,6702000.0,
2000-04-07,SLB,NYSE,37.53125,39.0,36.71875,36.8125,5776200.0,
2000-04-10,SLB,NYSE,36.0625,36.1875,35.15625,35.15625,6014600.0,
2000-04-11,SLB,NYSE,35.53125,36.625,35.25,36.46875,6147600.0,
2000-04-12,SLB,NYSE,36.75,37.46875,36.15625,36.625,5789800.0,
2000-04-13,SLB,NYSE,36.5,37.21875,35.875,35.875,4297200.0,
2000-04-14,SLB,NYSE,35.6875,37.3125,34.625,35.09375,5338200.0,
2000-04-17,SLB,NYSE,35.09375,35.1875,33.40625,34.21875,4875200.0,
2000-04-18,SLB,NYSE,34.8125,36.9375,34.75,36.9375,5286600.0,
2000-04-19,SLB,NYSE,36.84375,37.21875,35.8125,36.90625,4515400.0,
2000-04-20,SLB,NYSE,37.0,37.3125,36.65625,36.78125,4937200.0,
2000-04-24,SLB,NYSE,37.25,37.5625,36.625,37.15625,4750400.0,
2000-04-25,SLB,NYSE,37.46875,37.875,36.84375,37.46875,4724600.0,
2000-04-26,SLB,NYSE,37.40625,38.8125,36.71875,38.65625,6407800.0,
2000-04-27,SLB,NYSE,38.78125,39.9375,38.0,39.25,6766200.0,
2000-04-28,SLB,NYSE,38.8125,39.375,38.125,38.28125,3091000.0,
2000-05-01,SLB,NYSE,38.15625,38.3125,36.9375,37.5,8468800.0,
