date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,SLG,NYSE,21.5123494177,21.5748853171,21.0120622219,21.5748853171,82590.2408661175,
2000-01-04,SLG,NYSE,21.5123494177,21.5123494177,21.1371340208,21.2622058198,61505.438197944,
2000-01-05,SLG,NYSE,21.2622058198,21.3247417192,21.0120622219,21.0745981214,30995.6315721076,
2000-01-06,SLG,NYSE,21.0120622219,21.6999571161,21.0120622219,21.4498135182,108241.7980292411,
2000-01-07,SLG,NYSE,21.2622058198,22.2002443118,21.2622058198,22.2002443118,168386.9263776254,
2000-01-10,SLG,NYSE,22.3253161108,22.7005315076,22.3253161108,22.5754597086,63448.7379830291,
2000-01-11,SLG,NYSE,22.5754597086,22.888139206,22.5754597086,22.7005315076,80938.4360487952,
2000-01-12,SLG,NYSE,22.5754597086,22.7630674071,22.5754597086,22.7630674071,32841.7663679385,
2000-01-13,SLG,NYSE,23.0132110049,23.2008187033,22.888139206,23.2008187033,86768.3354040505,
2000-01-14,SLG,NYSE,23.2008187033,23.2008187033,22.3878520102,22.3878520102,24096.9173350555,
2000-01-18,SLG,NYSE,22.2627802113,22.6379956081,22.2627802113,22.5129238092,36339.7059810917,
2000-01-19,SLG,NYSE,22.2627802113,22.2627802113,22.1377084124,22.2002443118,42655.4302826183,
2000-01-20,SLG,NYSE,22.2627802113,22.5129238092,22.2002443118,22.4503879097,23708.2573780384,
2000-01-21,SLG,NYSE,22.2002443118,22.4503879097,22.2002443118,22.3253161108,19335.8328615969,
2000-01-24,SLG,NYSE,22.3253161108,22.3253161108,22.0126366134,22.0751725129,56161.3637889599,
2000-01-25,SLG,NYSE,22.2002443118,22.2002443118,21.9501007139,21.9501007139,10007.9938931884,
2000-01-26,SLG,NYSE,21.9501007139,22.1377084124,21.9501007139,22.0751725129,6995.8792263064,
2000-01-27,SLG,NYSE,22.0126366134,22.2627802113,21.7624930155,22.0751725129,29246.661765531,
2000-01-28,SLG,NYSE,22.0751725129,22.1377084124,21.8875648145,22.0126366134,10299.4888609511,
2000-01-31,SLG,NYSE,22.0126366134,22.2002443118,21.7624930155,21.7624930155,12145.623656782,
2000-02-01,SLG,NYSE,21.8875648145,21.9501007139,21.6374212166,21.825028915,10979.6437857309,
2000-02-02,SLG,NYSE,21.825028915,21.825028915,21.6374212166,21.7624930155,17392.5330765118,
2000-02-03,SLG,NYSE,21.7624930155,22.1377084124,21.7624930155,22.0126366134,14671.9133773926,
2000-02-04,SLG,NYSE,22.0126366134,22.3253161108,22.0126366134,22.3253161108,29538.1567332938,
2000-02-07,SLG,NYSE,22.2627802113,22.3878520102,22.0126366134,22.2627802113,61796.9331657067,
2000-02-08,SLG,NYSE,22.2627802113,22.7005315076,22.2627802113,22.6379956081,44890.2250354662,
2000-02-09,SLG,NYSE,22.6379956081,22.9506751055,22.6379956081,22.7005315076,108533.2929970038,
2000-02-10,SLG,NYSE,22.8256033065,22.9506751055,22.4503879097,22.5129238092,57133.0136815025,
2000-02-11,SLG,NYSE,22.5129238092,22.7005315076,21.9501007139,22.3253161108,42461.1003041098,
2000-02-14,SLG,NYSE,22.0751725129,22.2002443118,21.6374212166,21.6374212166,70833.2771663526,
2000-02-15,SLG,NYSE,21.6374212166,22.0126366134,21.6374212166,21.825028915,99205.4540285953,
2000-02-16,SLG,NYSE,21.5748853171,21.7624930155,21.4498135182,21.5748853171,41100.7904545502,
2000-02-17,SLG,NYSE,21.5123494177,22.0751725129,21.1371340208,22.0751725129,87351.325339576,
2000-02-18,SLG,NYSE,22.0126366134,22.3878520102,21.8875648145,22.1377084124,29926.8166903108,
2000-02-22,SLG,NYSE,22.1377084124,22.6379956081,22.0126366134,22.6379956081,193844.1535622405,
2000-02-23,SLG,NYSE,22.5129238092,22.6379956081,22.2627802113,22.6379956081,50137.134455196,
2000-02-24,SLG,NYSE,22.6379956081,22.9506751055,22.6379956081,22.8256033065,123885.3612991763,
2000-02-25,SLG,NYSE,22.7630674071,23.2633546028,22.7630674071,23.0757469044,148856.76353752,
2000-02-28,SLG,NYSE,22.6379956081,23.2008187033,22.6379956081,23.0757469044,66752.3476176738,
2000-02-29,SLG,NYSE,23.0132110049,23.2633546028,23.0132110049,23.2633546028,95027.3594906623,
2000-03-01,SLG,NYSE,23.2008187033,23.4509623012,22.9506751055,23.4509623012,53732.2390576035,
2000-03-02,SLG,NYSE,23.3258905023,23.3884264018,23.0757469044,23.1382828039,56258.5287782142,
2000-03-03,SLG,NYSE,23.2633546028,23.2633546028,22.6379956081,23.1382828039,70736.1121770983,
2000-03-06,SLG,NYSE,23.1382828039,23.2008187033,23.0132110049,23.1382828039,58590.4885203163,
2000-03-07,SLG,NYSE,23.0132110049,23.0132110049,22.3253161108,22.3253161108,84436.3756619484,
2000-03-08,SLG,NYSE,22.4503879097,22.5754597086,22.0751725129,22.4503879097,31481.4565183789,
