date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,SRE,NYSE,8.625,8.78125,8.4375,8.65625,661600.0,
2000-01-04,SRE,NYSE,8.625,8.875,8.625,8.75,1261800.0,
2000-01-05,SRE,NYSE,8.875,9.09375,8.84375,8.9375,988200.0,
2000-01-06,SRE,NYSE,9.0,9.25,8.875,9.1875,667200.0,
2000-01-07,SRE,NYSE,9.21875,9.25,8.96875,9.0,726600.0,
2000-01-10,SRE,NYSE,9.0625,9.09375,8.875,8.90625,555800.0,
2000-01-11,SRE,NYSE,8.53125,8.53125,8.125,8.4375,3119200.0,
2000-01-12,SRE,NYSE,8.40625,8.8125,8.375,8.8125,1372200.0,
2000-01-13,SRE,NYSE,8.71875,8.84375,8.59375,8.75,693800.0,
2000-01-14,SRE,NYSE,8.6875,8.71875,8.4375,8.71875,1162200.0,
2000-01-18,SRE,NYSE,8.65625,8.71875,8.53125,8.65625,1198000.0,
2000-01-19,SRE,NYSE,8.6875,8.6875,8.5,8.625,3374000.0,
2000-01-20,SRE,NYSE,8.53125,8.59375,8.53125,8.59375,783800.0,
2000-01-21,SRE,NYSE,8.59375,8.71875,8.5,8.71875,1278400.0,
2000-01-24,SRE,NYSE,8.59375,8.6875,8.5625,8.59375,945200.0,
2000-01-25,SRE,NYSE,8.5625,8.71875,8.46875,8.65625,942600.0,
2000-01-26,SRE,NYSE,9.40625,9.5625,9.0,9.21875,7823000.0,
2000-01-27,SRE,NYSE,9.25,9.25,9.03125,9.15625,1964800.0,
2000-01-28,SRE,NYSE,9.125,9.15625,8.96875,9.0625,1467400.0,
2000-01-31,SRE,NYSE,9.0625,9.34375,9.03125,9.28125,1112000.0,
2000-02-01,SRE,NYSE,9.21875,9.34375,9.21875,9.34375,821000.0,
2000-02-02,SRE,NYSE,9.28125,9.5,9.28125,9.375,1082800.0,
2000-02-03,SRE,NYSE,9.4375,9.625,9.40625,9.5,1236600.0,
2000-02-04,SRE,NYSE,9.5,9.53125,9.4375,9.5,1631400.0,
2000-02-07,SRE,NYSE,9.5,9.59375,9.46875,9.53125,1634200.0,
2000-02-08,SRE,NYSE,9.5,9.5625,9.5,9.53125,1474400.0,
2000-02-09,SRE,NYSE,9.53125,9.59375,9.4375,9.4375,1427600.0,
2000-02-10,SRE,NYSE,9.4375,9.5,9.3125,9.375,1749000.0,
