date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,STT,NYSE,36.5,36.5,34.21875,34.875,1192400.0,
2000-01-04,STT,NYSE,34.75,34.75,32.5625,33.03125,1214600.0,
2000-01-05,STT,NYSE,32.9375,34.0625,32.625,33.53125,959000.0,
2000-01-06,STT,NYSE,33.5,35.1875,33.40625,34.9375,1297000.0,
2000-01-07,STT,NYSE,35.3125,36.34375,35.0625,36.1875,1101000.0,
2000-01-10,STT,NYSE,35.875,36.40625,35.8125,35.96875,891400.0,
2000-01-11,STT,NYSE,36.0,37.09375,35.90625,36.6875,1270800.0,
2000-01-12,STT,NYSE,36.1875,37.5,36.1875,37.28125,1228800.0,
2000-01-13,STT,NYSE,37.875,38.40625,37.59375,38.1875,1339400.0,
2000-01-14,STT,NYSE,38.625,39.6875,38.1875,39.53125,1136000.0,
2000-01-18,STT,NYSE,39.4375,39.4375,37.5,38.25,1888600.0,
2000-01-19,STT,NYSE,38.25,38.75,38.0,38.1875,964600.0,
2000-01-20,STT,NYSE,38.1875,38.1875,37.25,37.96875,895000.0,
2000-01-21,STT,NYSE,38.21875,38.625,37.625,38.53125,1243000.0,
2000-01-24,STT,NYSE,38.5,38.6875,37.375,37.59375,849000.0,
2000-01-25,STT,NYSE,37.59375,39.0,37.53125,38.96875,1112400.0,
2000-01-26,STT,NYSE,38.75,40.40625,38.5625,40.40625,743200.0,
2000-01-27,STT,NYSE,40.71875,41.375,40.375,41.375,1183800.0,
2000-01-28,STT,NYSE,40.4375,40.5625,39.25,39.375,1244200.0,
2000-01-31,STT,NYSE,38.9375,40.25,38.75,40.09375,1436200.0,
2000-02-01,STT,NYSE,40.0,41.21875,39.53125,41.0625,1003200.0,
2000-02-02,STT,NYSE,40.9375,41.28125,40.15625,41.125,1128400.0,
2000-02-03,STT,NYSE,41.125,41.84375,40.28125,41.84375,937400.0,
2000-02-04,STT,NYSE,41.875,42.21875,40.03125,40.40625,1067000.0,
2000-02-07,STT,NYSE,40.53125,40.625,39.84375,40.03125,439600.0,
2000-02-08,STT,NYSE,40.5,42.09375,40.3125,42.09375,1111400.0,
2000-02-09,STT,NYSE,41.375,41.375,40.1875,40.25,599800.0,
2000-02-10,STT,NYSE,40.125,40.34375,39.125,39.5625,596400.0,
2000-02-11,STT,NYSE,39.6875,40.375,39.0625,39.28125,559000.0,
2000-02-14,STT,NYSE,39.15625,39.5,38.4375,39.46875,885000.0,
2000-02-15,STT,NYSE,39.5,40.21875,39.0625,40.09375,925200.0,
2000-02-16,STT,NYSE,39.75,40.0,39.375,39.6875,537400.0,
2000-02-17,STT,NYSE,39.8125,40.09375,38.4375,38.84375,616800.0,
2000-02-18,STT,NYSE,38.5,38.59375,36.75,37.03125,1376800.0,
2000-02-22,STT,NYSE,37.0,38.375,36.875,38.3125,1313400.0,
2000-02-23,STT,NYSE,37.75,37.84375,37.0625,37.0625,983800.0,
2000-02-24,STT,NYSE,36.5,36.75,35.5,36.3125,1072000.0,
2000-02-25,STT,NYSE,36.3125,37.25,35.5,35.875,1485600.0,
2000-02-28,STT,NYSE,35.875,37.71875,35.875,36.84375,1185000.0,
2000-02-29,STT,NYSE,36.71875,37.0,35.875,36.4375,924000.0,
2000-03-01,STT,NYSE,36.3125,36.375,35.625,36.125,767400.0,
2000-03-02,STT,NYSE,36.1875,36.3125,35.71875,36.09375,376200.0,
2000-03-03,STT,NYSE,36.6875,36.96875,36.03125,36.0625,889400.0,
2000-03-06,STT,NYSE,35.25,36.0625,35.125,35.21875,729200.0,
2000-03-07,STT,NYSE,34.625,34.8125,32.9375,32.9375,1432000.0,
2000-03-08,STT,NYSE,32.8125,32.84375,31.21875,31.6875,2633200.0,
2000-03-09,STT,NYSE,31.6875,33.34375,31.6875,33.3125,996800.0,
2000-03-10,STT,NYSE,33.5625,34.0,33.09375,33.8125,1140400.0,
2000-03-13,STT,NYSE,32.9375,35.125,32.78125,33.65625,1193800.0,
2000-03-14,STT,NYSE,33.5625,34.21875,32.84375,33.15625,563200.0,
2000-03-15,STT,NYSE,33.625,37.3125,33.625,36.40625,2397800.0,
2000-03-16,STT,NYSE,37.5,43.0,37.46875,42.90625,4595400.0,
2000-03-17,STT,NYSE,42.78125,44.15625,42.1875,43.1875,3270600.0,
2000-03-20,STT,NYSE,43.0,43.0,40.40625,41.0625,2140000.0,
2000-03-21,STT,NYSE,41.1875,44.375,41.0625,43.625,2028600.0,
2000-03-22,STT,NYSE,44.125,46.625,43.75,46.34375,1337000.0,
2000-03-23,STT,NYSE,45.59375,50.75,45.3125,50.21875,2566200.0,
2000-03-24,STT,NYSE,49.625,49.625,46.0,46.8125,3035000.0,
2000-03-27,STT,NYSE,47.3125,47.34375,44.65625,46.03125,1267400.0,
2000-03-28,STT,NYSE,47.0,49.75,47.0,47.28125,1666200.0,
2000-03-29,STT,NYSE,48.4375,49.46875,47.78125,48.375,1278000.0,
2000-03-30,STT,NYSE,48.3125,49.0,46.65625,46.65625,1136800.0,
2000-03-31,STT,NYSE,47.5,49.84375,47.5,48.4375,1499400.0,
2000-04-03,STT,NYSE,48.625,54.3125,48.625,53.0625,2219400.0,
2000-04-04,STT,NYSE,51.5,53.125,48.75,51.125,2930200.0,
2000-04-05,STT,NYSE,50.96875,51.4375,49.40625,50.4375,1275600.0,
2000-04-06,STT,NYSE,50.46875,50.625,47.53125,48.46875,1282400.0,
2000-04-07,STT,NYSE,48.25,48.28125,46.03125,46.71875,1207200.0,
2000-04-10,STT,NYSE,46.8125,49.375,46.3125,48.75,1487200.0,
2000-04-11,STT,NYSE,48.875,49.71875,48.09375,48.9375,851800.0,
2000-04-12,STT,NYSE,49.75,53.25,49.75,50.6875,1815800.0,
2000-04-13,STT,NYSE,50.6875,50.6875,48.40625,48.53125,1141800.0,
2000-04-14,STT,NYSE,48.40625,48.40625,42.59375,43.5625,2545000.0,
2000-04-17,STT,NYSE,44.0625,46.1875,44.0625,45.09375,2033200.0,
2000-04-18,STT,NYSE,46.0,48.96875,45.8125,48.75,1778400.0,
