date,code,exchange,open,high,low,close,volume,count_trx
2012-09-20,SUN,NYSE,23.4,23.81,22.52,22.91,2795094.0,5974.0
2012-09-21,SUN,NYSE,23.33,23.4,22.8,23.08,228149.0,984.0
2012-09-24,SUN,NYSE,23.25,23.36,22.89,23.03,39092.0,161.0
2012-09-25,SUN,NYSE,23.0,23.14,22.89,23.05,47120.0,180.0
2012-09-26,SUN,NYSE,23.16,23.31,22.89,23.31,32473.0,56.0
2012-09-27,SUN,NYSE,23.3,23.5,23.25,23.4,24255.0,103.0
2012-09-28,SUN,NYSE,23.39,24.1,23.39,23.99,23542.0,93.0
2012-10-01,SUN,NYSE,24.24,24.43,23.62,23.9,28005.0,79.0
2012-10-02,SUN,NYSE,23.9,23.9,23.65,23.77,12512.0,75.0
2012-10-03,SUN,NYSE,23.99,23.99,23.09,23.45,20643.0,78.0
2012-10-04,SUN,NYSE,23.43,23.97,23.4,23.84,12835.0,65.0
2012-10-05,SUN,NYSE,23.86,25.03,23.86,24.32,38712.0,112.0
2012-10-08,SUN,NYSE,24.36,24.49,23.7,23.81,15691.0,97.0
2012-10-09,SUN,NYSE,23.95,24.17,23.55,23.81,15683.0,80.0
2012-10-10,SUN,NYSE,24.0,24.19,23.89,24.1,28453.0,172.0
2012-10-11,SUN,NYSE,24.34,24.38,24.2,24.32,12015.0,99.0
2012-10-12,SUN,NYSE,24.95,25.42,24.6,24.94,71978.0,403.0
2012-10-15,SUN,NYSE,25.77,25.77,25.2,25.28,29690.0,196.0
2012-10-16,SUN,NYSE,25.57,26.09,24.921,25.26,28114.0,211.0
2012-10-17,SUN,NYSE,25.4,25.46,24.97,25.01,26889.0,198.0
2012-10-18,SUN,NYSE,24.91,25.5,24.81,25.21,46274.0,313.0
2012-10-19,SUN,NYSE,25.35,25.43,25.02,25.11,32740.0,201.0
2012-10-22,SUN,NYSE,25.2,25.46,25.09,25.1,42118.0,259.0
2012-10-23,SUN,NYSE,24.85,25.24,24.81,24.9,27930.0,133.0
2012-10-24,SUN,NYSE,24.9,25.25,24.5,24.5,28120.0,215.0
2012-10-25,SUN,NYSE,24.61,24.95,24.33,24.35,23450.0,150.0
2012-10-26,SUN,NYSE,24.48,24.69,24.22,24.4,31355.0,176.0
2012-10-31,SUN,NYSE,25.24,25.7,24.36,24.58,44568.0,253.0
2012-11-01,SUN,NYSE,24.93,25.0,24.45,24.61,24973.0,175.0
2012-11-02,SUN,NYSE,24.79,24.79,23.92,24.08,16759.0,116.0
2012-11-05,SUN,NYSE,24.25,24.43,23.8,23.92,19590.0,113.0
2012-11-06,SUN,NYSE,23.91,24.24,23.81,23.81,14359.0,122.0
2012-11-07,SUN,NYSE,23.65,24.33,23.65,24.22,5550.0,29.0
2012-11-08,SUN,NYSE,24.36,24.64,24.08,24.34,9518.0,75.0
2012-11-09,SUN,NYSE,24.21,24.79,24.21,24.76,5400.0,37.0
2012-11-12,SUN,NYSE,24.97,25.62,24.95,25.61,6400.0,30.0
2012-11-13,SUN,NYSE,25.7,25.77,25.3,25.31,9486.0,62.0
2012-11-14,SUN,NYSE,25.44,25.44,24.49,24.66,22428.0,138.0
2012-11-15,SUN,NYSE,24.6,24.91,23.81,24.15,12810.0,83.0
2012-11-16,SUN,NYSE,24.15,25.04,24.15,24.47,6254.0,43.0
2012-11-19,SUN,NYSE,24.7,25.09,24.35,24.41,7331.0,32.0
2012-11-20,SUN,NYSE,24.5,24.5,24.09,24.11,7311.0,54.0
2012-11-21,SUN,NYSE,24.26,24.42,24.11,24.35,4600.0,37.0
2012-11-23,SUN,NYSE,24.3,24.35,24.17,24.35,2787.0,13.0
2012-11-26,SUN,NYSE,24.19,24.28,23.95,24.22,3400.0,22.0
2012-11-27,SUN,NYSE,24.27,24.381,24.16,24.2,10034.0,22.0
2012-11-28,SUN,NYSE,24.3,24.56,24.13,24.55,2489.0,16.0
2012-11-29,SUN,NYSE,24.75,24.859,24.32,24.49,3000.0,12.0
2012-11-30,SUN,NYSE,24.38,25.16,24.38,24.97,4893.0,32.0
2012-12-03,SUN,NYSE,25.29,25.48,25.13,25.25,6800.0,41.0
2012-12-04,SUN,NYSE,25.15,25.25,24.78,24.85,67651.0,156.0
2012-12-05,SUN,NYSE,25.22,25.39,25.1,25.23,7559.0,47.0
2012-12-06,SUN,NYSE,25.18,25.18,24.71,24.75,8566.0,75.0
2012-12-07,SUN,NYSE,24.73,25.08,24.73,24.98,4263.0,23.0
2012-12-10,SUN,NYSE,25.15,25.15,24.85,24.85,3975.0,21.0
2012-12-11,SUN,NYSE,25.0,25.0,24.88,24.88,5939.0,49.0
2012-12-12,SUN,NYSE,24.88,25.3,24.38,24.48,7141.0,38.0
2012-12-13,SUN,NYSE,24.44,24.77,24.32,24.5,5076.0,29.0
2012-12-14,SUN,NYSE,25.0,25.0,24.57,24.58,9615.0,48.0
2012-12-17,SUN,NYSE,24.8,25.09,24.76,24.9,4548.0,27.0
2012-12-18,SUN,NYSE,24.95,25.28,24.8,24.91,2926.0,24.0
2012-12-19,SUN,NYSE,25.06,25.31,24.85,25.1,3957.0,25.0
2012-12-20,SUN,NYSE,24.84,25.53,24.84,24.97,4831.0,33.0
2012-12-21,SUN,NYSE,25.03,25.2,24.79,24.9,12780.0,69.0
2012-12-24,SUN,NYSE,25.27,25.27,24.76,25.17,4009.0,23.0
2012-12-26,SUN,NYSE,25.04,25.06,24.89,24.93,3161.0,21.0
2012-12-27,SUN,NYSE,24.91,25.03,24.79,24.91,3351.0,22.0
2012-12-28,SUN,NYSE,24.93,25.09,24.75,24.87,7487.0,39.0
2012-12-31,SUN,NYSE,24.99,25.18,24.9,25.16,4756.0,28.0
2013-01-02,SUN,NYSE,25.42,26.0,25.42,25.99,19102.0,34.0
2013-01-03,SUN,NYSE,25.95,26.86,25.95,26.86,3038.0,25.0
2013-01-04,SUN,NYSE,26.1,26.76,26.04,26.76,10701.0,46.0
2013-01-07,SUN,NYSE,26.97,26.97,26.53,26.69,8373.0,12.0
2013-01-08,SUN,NYSE,26.9,27.45,26.89,27.22,3849.0,23.0
2013-01-09,SUN,NYSE,27.47,28.3,27.43,28.3,2795.0,19.0
2013-01-10,SUN,NYSE,28.27,28.79,27.91,28.64,11700.0,37.0
2013-01-11,SUN,NYSE,28.64,28.93,28.4,28.71,11427.0,39.0
2013-01-14,SUN,NYSE,28.95,28.95,28.13,28.79,6618.0,42.0
2013-01-15,SUN,NYSE,28.46,28.88,28.46,28.68,5602.0,36.0
2013-01-16,SUN,NYSE,28.81,29.19,28.8,29.11,20340.0,195.0
2013-01-17,SUN,NYSE,29.25,29.94,28.71,28.72,9042.0,45.0
2013-01-18,SUN,NYSE,28.62,29.19,28.62,28.97,5243.0,22.0
2013-01-22,SUN,NYSE,28.96,29.33,28.96,28.99,3012.0,22.0
2013-01-23,SUN,NYSE,28.93,29.11,28.88,28.88,1072.0,6.0
2013-01-24,SUN,NYSE,29.01,29.11,28.93,28.93,1735.0,15.0
2013-01-25,SUN,NYSE,29.06,29.06,28.75,28.95,4204.0,22.0
2013-01-28,SUN,NYSE,29.05,29.05,28.83,28.93,2003.0,12.0
2013-01-29,SUN,NYSE,29.06,29.07,28.89,29.0,3607.0,20.0
2013-01-30,SUN,NYSE,28.83,29.05,28.75,28.75,4729.0,22.0
2013-01-31,SUN,NYSE,28.65,29.12,28.65,29.0,9757.0,24.0
2013-02-01,SUN,NYSE,28.99,29.08,27.52,27.98,65409.0,291.0
2013-02-04,SUN,NYSE,28.0,28.13,27.9,27.93,3167.0,15.0
2013-02-05,SUN,NYSE,27.97,28.46,27.97,28.44,6708.0,25.0
2013-02-06,SUN,NYSE,28.33,28.81,28.33,28.81,3054.0,25.0
2013-02-07,SUN,NYSE,28.56,28.94,28.56,28.71,2000.0,6.0
2013-02-08,SUN,NYSE,28.5,29.13,28.5,29.13,1775.0,9.0
2013-02-11,SUN,NYSE,29.13,29.13,28.97,29.0,7553.0,28.0
2013-02-12,SUN,NYSE,29.29,29.29,28.39,28.43,10612.0,25.0
2013-02-13,SUN,NYSE,28.68,29.0,28.04,28.3,23010.0,85.0
2013-02-14,SUN,NYSE,27.67,28.44,27.61,27.8,14578.0,80.0
2013-02-15,SUN,NYSE,27.98,27.98,26.59,26.71,24195.0,102.0
2013-02-19,SUN,NYSE,26.78,28.48,25.87,28.37,33755.0,163.0
2013-02-20,SUN,NYSE,28.37,28.71,27.56,27.71,10012.0,89.0
2013-02-21,SUN,NYSE,27.37,27.55,26.96,27.45,9395.0,47.0
2013-02-22,SUN,NYSE,27.42,27.99,27.42,27.95,4009.0,22.0
2013-02-25,SUN,NYSE,28.44,29.02,27.89,28.31,18825.0,70.0
2013-02-26,SUN,NYSE,28.4,29.25,28.15,29.25,73846.0,59.0
2013-02-27,SUN,NYSE,29.05,29.59,28.45,28.7,14419.0,112.0
2013-02-28,SUN,NYSE,28.85,29.22,28.85,29.14,15208.0,118.0
2013-03-01,SUN,NYSE,29.08,29.42,29.0,29.38,7497.0,51.0
2013-03-04,SUN,NYSE,29.55,29.65,29.27,29.63,18811.0,61.0
2013-03-05,SUN,NYSE,29.6,30.13,29.6,30.1,17511.0,151.0
2013-03-06,SUN,NYSE,30.42,30.95,30.42,30.89,4273.0,28.0
2013-03-07,SUN,NYSE,30.86,30.86,30.18,30.79,3500.0,12.0
2013-03-08,SUN,NYSE,30.89,30.96,30.72,30.82,3761.0,27.0
2013-03-11,SUN,NYSE,30.96,30.98,30.7,30.98,1974.0,11.0
2013-03-12,SUN,NYSE,30.95,31.26,30.88,31.26,3510.0,18.0
2013-03-13,SUN,NYSE,31.2,31.47,31.0,31.42,7020.0,41.0
2013-03-14,SUN,NYSE,31.32,31.75,31.26,31.66,3567.0,19.0
2013-03-15,SUN,NYSE,31.66,31.93,31.66,31.8,2607.0,18.0
2013-03-18,SUN,NYSE,31.44,31.65,31.11,31.3,11971.0,32.0
2013-03-19,SUN,NYSE,31.4,31.68,31.4,31.65,3398.0,26.0
2013-03-20,SUN,NYSE,31.77,32.48,31.77,32.04,4850.0,26.0
