date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,SVU,NYSE,140.0,140.0,132.5625,136.0625,56257.142857,
2000-01-04,SVU,NYSE,134.75,136.0625,131.6875,133.0,66714.285714,
2000-01-05,SVU,NYSE,134.75,139.5625,133.0,138.6875,62828.571429,
2000-01-06,SVU,NYSE,138.6875,139.5625,136.5,137.375,62800.0,
2000-01-07,SVU,NYSE,135.625,139.5625,134.3125,136.9375,57042.857143,
2000-01-10,SVU,NYSE,136.9375,141.3125,133.0,133.4375,49814.285714,
2000-01-11,SVU,NYSE,130.375,135.1875,130.375,132.125,130800.0,
2000-01-12,SVU,NYSE,133.0,136.5,133.0,136.5,64828.571429,
2000-01-13,SVU,NYSE,135.625,139.5625,135.1875,138.25,38814.285714,
2000-01-14,SVU,NYSE,138.25,138.6875,132.125,136.5,71014.285714,
2000-01-18,SVU,NYSE,136.0625,139.5625,135.1875,139.5625,54028.571429,
2000-01-19,SVU,NYSE,136.0625,136.5,132.5625,136.5,74014.285714,
2000-01-20,SVU,NYSE,135.1875,135.1875,131.25,131.25,62871.428571,
2000-01-21,SVU,NYSE,132.5625,133.4375,125.125,125.5625,219714.285714,
2000-01-24,SVU,NYSE,125.125,125.5625,119.875,120.3125,148614.285714,
2000-01-25,SVU,NYSE,121.1875,126.4375,121.1875,126.4375,103871.428571,
2000-01-26,SVU,NYSE,126.0,126.875,124.25,126.0,79457.142857,
2000-01-27,SVU,NYSE,126.0,126.875,124.25,126.4375,64542.857143,
2000-01-28,SVU,NYSE,126.875,126.875,119.0,120.3125,90600.0,
2000-01-31,SVU,NYSE,122.9375,126.875,121.625,126.0,50085.714286,
2000-02-01,SVU,NYSE,126.0,126.875,120.3125,121.1875,132042.857143,
2000-02-02,SVU,NYSE,121.625,121.625,116.8125,119.0,107000.0,
2000-02-03,SVU,NYSE,119.0,119.0,116.375,117.6875,98914.285714,
2000-02-04,SVU,NYSE,117.6875,120.3125,115.0625,117.25,81357.142857,
2000-02-07,SVU,NYSE,119.875,119.875,116.375,118.125,58800.0,
2000-02-08,SVU,NYSE,118.125,120.75,118.125,119.875,52657.142857,
2000-02-09,SVU,NYSE,121.625,121.625,116.375,117.6875,55857.142857,
2000-02-10,SVU,NYSE,118.5625,121.1875,118.125,119.0,92728.571429,
2000-02-11,SVU,NYSE,120.3125,121.1875,117.25,119.4375,64385.714286,
2000-02-14,SVU,NYSE,119.875,121.1875,111.125,115.0625,65414.285714,
2000-02-15,SVU,NYSE,116.8125,122.5,115.9375,121.625,89671.428571,
2000-02-16,SVU,NYSE,119.875,121.1875,119.4375,119.4375,36142.857143,
2000-02-17,SVU,NYSE,119.4375,122.5,118.5625,120.75,54285.714286,
2000-02-18,SVU,NYSE,120.3125,120.75,117.25,117.6875,57471.428571,
2000-02-22,SVU,NYSE,115.0625,122.0625,115.0625,120.3125,61414.285714,
2000-02-23,SVU,NYSE,121.625,122.0625,118.5625,118.5625,88542.857143,
2000-02-24,SVU,NYSE,118.5625,120.75,110.25,113.3125,134971.428571,
2000-02-25,SVU,NYSE,113.3125,115.0625,111.5625,115.0625,88400.0,
2000-02-28,SVU,NYSE,118.5625,121.625,116.8125,119.875,73342.857143,
2000-02-29,SVU,NYSE,119.4375,121.625,119.4375,120.3125,155828.571429,
2000-03-01,SVU,NYSE,119.4375,122.9375,117.25,119.0,103614.285714,
2000-03-02,SVU,NYSE,119.875,119.875,111.125,112.0,109200.0,
2000-03-03,SVU,NYSE,112.0,114.1875,109.375,112.4375,90028.571429,
2000-03-06,SVU,NYSE,111.5625,112.0,105.875,106.3125,107442.857143,
2000-03-07,SVU,NYSE,106.3125,107.1875,102.8125,102.8125,99885.714286,
2000-03-08,SVU,NYSE,102.8125,106.75,102.375,105.875,93328.571429,
2000-03-09,SVU,NYSE,105.0,105.875,101.0625,105.875,76257.142857,
2000-03-10,SVU,NYSE,105.875,105.875,98.4375,101.0625,97271.428571,
2000-03-13,SVU,NYSE,102.8125,105.875,102.375,105.4375,41014.285714,
2000-03-14,SVU,NYSE,103.25,103.25,98.4375,99.3125,75957.142857,
2000-03-15,SVU,NYSE,100.625,109.8125,100.1875,108.5,96214.285714,
2000-03-16,SVU,NYSE,111.5625,117.6875,108.9375,116.8125,68228.571429,
2000-03-17,SVU,NYSE,113.75,121.625,113.75,117.25,121428.571429,
2000-03-20,SVU,NYSE,115.9375,117.6875,112.875,114.625,25228.571429,
2000-03-21,SVU,NYSE,115.9375,120.3125,115.5,119.0,58128.571429,
2000-03-22,SVU,NYSE,119.0,120.3125,114.625,115.9375,48571.428571,
2000-03-23,SVU,NYSE,115.9375,116.8125,110.25,116.8125,75442.857143,
2000-03-24,SVU,NYSE,115.9375,118.125,113.3125,116.8125,40185.714286,
