date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,TAP,NYSE,26.25,26.3125,25.28125,25.34375,189600.0,
2000-01-04,TAP,NYSE,25.21875,25.625,25.0,25.03125,168800.0,
2000-01-05,TAP,NYSE,25.03125,26.46875,25.03125,26.21875,456400.0,
2000-01-06,TAP,NYSE,26.09375,26.875,25.90625,25.90625,189000.0,
2000-01-07,TAP,NYSE,25.78125,26.8125,25.78125,26.46875,220400.0,
2000-01-10,TAP,NYSE,26.34375,26.34375,25.28125,25.4375,304800.0,
2000-01-11,TAP,NYSE,25.375,25.40625,24.875,25.09375,225000.0,
2000-01-12,TAP,NYSE,25.125,25.375,25.0625,25.34375,303200.0,
2000-01-13,TAP,NYSE,25.625,26.4375,25.625,26.34375,307200.0,
2000-01-14,TAP,NYSE,26.21875,26.25,25.59375,25.59375,225000.0,
2000-01-18,TAP,NYSE,25.46875,25.46875,24.65625,24.8125,310000.0,
2000-01-19,TAP,NYSE,24.9375,25.71875,24.9375,25.125,190800.0,
2000-01-20,TAP,NYSE,25.09375,25.21875,24.75,24.90625,94400.0,
2000-01-21,TAP,NYSE,25.0625,25.0625,24.1875,24.375,225800.0,
2000-01-24,TAP,NYSE,24.40625,24.65625,23.5625,23.75,226600.0,
2000-01-25,TAP,NYSE,23.875,24.1875,23.5625,23.5625,169000.0,
2000-01-26,TAP,NYSE,23.5625,23.59375,22.875,23.25,242000.0,
2000-01-27,TAP,NYSE,23.25,23.59375,23.1875,23.53125,202000.0,
2000-01-28,TAP,NYSE,23.53125,23.75,23.46875,23.5,281400.0,
2000-01-31,TAP,NYSE,23.40625,24.25,23.375,24.25,195800.0,
2000-02-01,TAP,NYSE,24.15625,24.375,24.0625,24.3125,184000.0,
2000-02-02,TAP,NYSE,24.375,24.5625,24.25,24.25,218400.0,
2000-02-03,TAP,NYSE,24.25,25.0625,24.25,24.65625,464800.0,
2000-02-04,TAP,NYSE,24.59375,24.59375,23.5,23.75,406400.0,
2000-02-07,TAP,NYSE,23.75,25.0,23.75,24.625,375400.0,
