date,code,exchange,open,high,low,close,volume,count_trx
2007-09-12,TDC,NYSE,30.0,30.0,25.9,25.9,230700.0,
2007-09-13,TDC,NYSE,24.9,25.8,24.9,25.7,68400.0,
2007-09-14,TDC,NYSE,25.25,25.89,25.25,25.89,2800.0,
2007-09-17,TDC,NYSE,26.5,26.5,25.95,25.95,30400.0,
2007-09-18,TDC,NYSE,26.0,26.0,25.2,25.35,156300.0,
2007-09-19,TDC,NYSE,24.85,25.4,24.69,24.9,42500.0,
2007-09-20,TDC,NYSE,25.1,25.75,25.1,25.75,6000.0,
2007-09-21,TDC,NYSE,25.5,26.1,25.49,25.5,21500.0,
2007-09-24,TDC,NYSE,25.2,25.7,22.75,25.65,169300.0,
2007-09-25,TDC,NYSE,25.85,26.09,25.75,25.8,409700.0,
2007-09-26,TDC,NYSE,26.3,26.3,25.5,25.75,1036100.0,
2007-09-27,TDC,NYSE,25.5,26.1,25.5,25.85,175200.0,
2007-09-28,TDC,NYSE,25.85,26.25,25.62,26.08,3043800.0,
2007-10-01,TDC,NYSE,26.45,28.4,26.1,27.98,942500.0,
2007-10-02,TDC,NYSE,28.3,29.5,27.2,27.55,1292400.0,
2007-10-03,TDC,NYSE,27.55,27.55,26.23,26.55,649800.0,
2007-10-04,TDC,NYSE,26.81,27.0,26.14,27.0,1053100.0,
2007-10-05,TDC,NYSE,27.2,27.4,26.79,27.15,982300.0,
2007-10-08,TDC,NYSE,27.04,27.45,27.0,27.27,1238100.0,
2007-10-09,TDC,NYSE,27.3,27.45,27.02,27.35,491300.0,
2007-10-10,TDC,NYSE,27.8,28.13,26.82,26.97,758700.0,
2007-10-11,TDC,NYSE,26.86,27.42,26.71,26.82,582200.0,
2007-10-12,TDC,NYSE,27.0,28.5,26.5,28.4,1139600.0,
2007-10-15,TDC,NYSE,28.96,29.25,28.6,29.08,998100.0,
2007-10-16,TDC,NYSE,30.08,30.08,28.61,29.03,793000.0,
2007-10-17,TDC,NYSE,29.4,29.4,28.4,28.84,637700.0,
2007-10-18,TDC,NYSE,27.75,28.94,27.51,28.82,510400.0,
2007-10-19,TDC,NYSE,28.72,28.87,27.51,27.53,1048500.0,
2007-10-22,TDC,NYSE,27.5,28.09,27.17,27.81,538900.0,
2007-10-23,TDC,NYSE,28.05,28.24,27.56,27.89,417500.0,
2007-10-24,TDC,NYSE,27.7,28.26,27.5,28.26,635200.0,
2007-10-25,TDC,NYSE,28.18,28.63,27.94,28.45,549500.0,
2007-10-26,TDC,NYSE,28.7,29.69,28.5,28.9,825200.0,
2007-10-29,TDC,NYSE,28.5,28.82,27.63,27.83,453800.0,
2007-10-30,TDC,NYSE,28.5,28.76,28.13,28.34,589900.0,
2007-10-31,TDC,NYSE,28.5,28.64,27.71,28.53,705700.0,
2007-11-01,TDC,NYSE,27.83,28.13,27.46,27.67,664300.0,
2007-11-02,TDC,NYSE,27.7,28.0,27.46,27.94,394800.0,
