date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,TDY,NYSE,9.5625,9.625,9.3125,9.375,270400.0,
2000-01-04,TDY,NYSE,9.375,9.375,8.9375,9.125,403200.0,
2000-01-05,TDY,NYSE,9.0625,9.6875,9.0625,9.6875,86700.0,
2000-01-06,TDY,NYSE,9.625,9.625,9.125,9.25,114900.0,
2000-01-07,TDY,NYSE,9.5625,9.5625,9.375,9.5625,167900.0,
2000-01-10,TDY,NYSE,9.5625,9.8125,9.5,9.75,81300.0,
2000-01-11,TDY,NYSE,9.5,9.5625,9.125,9.375,259900.0,
2000-01-12,TDY,NYSE,9.375,9.5,9.3125,9.375,37400.0,
2000-01-13,TDY,NYSE,9.25,9.375,9.1875,9.25,48800.0,
2000-01-14,TDY,NYSE,9.25,9.625,9.1875,9.5625,33600.0,
2000-01-18,TDY,NYSE,9.5625,9.8125,9.4375,9.625,63200.0,
2000-01-19,TDY,NYSE,9.75,10.0,9.5625,9.6875,265300.0,
2000-01-20,TDY,NYSE,9.6875,9.75,9.3125,9.4375,14700.0,
2000-01-21,TDY,NYSE,9.375,9.75,9.375,9.75,8800.0,
2000-01-24,TDY,NYSE,9.9375,10.0,9.625,9.625,91100.0,
2000-01-25,TDY,NYSE,9.75,9.8125,9.5,9.5625,32100.0,
2000-01-26,TDY,NYSE,9.6875,9.875,9.5625,9.5625,38300.0,
2000-01-27,TDY,NYSE,9.6875,10.0625,9.6875,9.6875,95000.0,
2000-01-28,TDY,NYSE,9.8125,9.875,9.25,9.25,190300.0,
2000-01-31,TDY,NYSE,9.375,9.4375,9.1875,9.25,90400.0,
2000-02-01,TDY,NYSE,9.1875,9.375,9.1875,9.25,58400.0,
2000-02-02,TDY,NYSE,9.375,9.4375,9.1875,9.1875,119100.0,
2000-02-03,TDY,NYSE,9.1875,9.1875,9.0625,9.1875,80900.0,
2000-02-04,TDY,NYSE,9.4375,9.4375,9.0,9.0,48600.0,
2000-02-07,TDY,NYSE,9.1875,9.1875,8.9375,8.9375,18700.0,
2000-02-08,TDY,NYSE,8.9375,9.125,8.875,9.0,47100.0,
2000-02-09,TDY,NYSE,9.0,9.125,8.9375,8.9375,100000.0,
2000-02-10,TDY,NYSE,9.0625,9.0625,8.75,8.75,63500.0,
2000-02-11,TDY,NYSE,8.875,8.9375,8.6875,8.6875,20200.0,
2000-02-14,TDY,NYSE,8.8125,8.8125,8.625,8.625,30200.0,
2000-02-15,TDY,NYSE,8.625,8.9375,8.625,8.9375,66200.0,
2000-02-16,TDY,NYSE,8.875,9.0,8.8125,8.8125,76700.0,
2000-02-17,TDY,NYSE,8.9375,9.125,8.875,9.0,52200.0,
2000-02-18,TDY,NYSE,8.9375,10.125,8.75,9.1875,161300.0,
2000-02-22,TDY,NYSE,9.375,9.75,9.3125,9.5,142000.0,
2000-02-23,TDY,NYSE,9.625,9.625,8.75,8.875,171200.0,
2000-02-24,TDY,NYSE,9.125,9.375,8.875,8.875,88700.0,
2000-02-25,TDY,NYSE,9.125,9.125,8.8125,8.8125,69500.0,
2000-02-28,TDY,NYSE,8.9375,9.4375,8.75,8.875,111600.0,
2000-02-29,TDY,NYSE,9.0,9.0,8.6875,8.6875,96900.0,
2000-03-01,TDY,NYSE,8.6875,8.9375,8.5625,8.5625,46400.0,
2000-03-02,TDY,NYSE,8.5,8.6875,8.5,8.5,68100.0,
2000-03-03,TDY,NYSE,8.625,8.875,8.625,8.875,14200.0,
2000-03-06,TDY,NYSE,8.8125,9.125,8.8125,9.0,56900.0,
2000-03-07,TDY,NYSE,9.0625,9.125,8.625,8.625,29600.0,
2000-03-08,TDY,NYSE,8.625,8.8125,8.375,8.8125,146900.0,
2000-03-09,TDY,NYSE,8.9375,9.0,8.625,9.0,116300.0,
2000-03-10,TDY,NYSE,9.125,9.375,8.75,9.3125,609400.0,
2000-03-13,TDY,NYSE,9.4375,10.4375,8.875,10.1875,193800.0,
2000-03-14,TDY,NYSE,10.5,11.5,10.5,10.8125,308800.0,
2000-03-15,TDY,NYSE,10.9375,11.0,10.625,10.625,91900.0,
2000-03-16,TDY,NYSE,11.0,11.0625,10.75,10.9375,362200.0,
2000-03-17,TDY,NYSE,11.0,12.75,11.0,12.375,627700.0,
2000-03-20,TDY,NYSE,13.0,13.375,12.625,13.0625,505800.0,
2000-03-21,TDY,NYSE,13.4375,13.875,12.8125,13.625,316100.0,
2000-03-22,TDY,NYSE,13.625,13.75,12.5625,13.5625,316900.0,
2000-03-23,TDY,NYSE,13.5,13.6875,13.0,13.625,336800.0,
2000-03-24,TDY,NYSE,13.9375,15.9375,13.8125,15.5,387200.0,
2000-03-27,TDY,NYSE,16.5,18.5625,16.1875,18.375,631000.0,
2000-03-28,TDY,NYSE,19.5625,21.1875,18.5,21.1875,992000.0,
2000-03-29,TDY,NYSE,24.9375,24.9375,18.9375,18.9375,1073100.0,
2000-03-30,TDY,NYSE,18.25,18.625,16.125,17.875,428300.0,
2000-03-31,TDY,NYSE,18.25,19.125,16.5,17.375,346100.0,
2000-04-03,TDY,NYSE,17.5,17.5,15.5,15.8125,232400.0,
2000-04-04,TDY,NYSE,15.75,15.75,13.375,14.875,480500.0,
2000-04-05,TDY,NYSE,14.875,16.875,14.375,15.875,178700.0,
2000-04-06,TDY,NYSE,16.25,16.625,15.125,16.0625,174300.0,
2000-04-07,TDY,NYSE,16.1875,16.5,15.875,16.125,136700.0,
2000-04-10,TDY,NYSE,16.4375,16.4375,15.75,15.875,95400.0,
2000-04-11,TDY,NYSE,15.8125,16.0625,15.625,15.8125,62200.0,
2000-04-12,TDY,NYSE,15.8125,15.9375,15.3125,15.5625,140800.0,
2000-04-13,TDY,NYSE,15.625,16.8125,15.625,16.1875,77400.0,
2000-04-14,TDY,NYSE,16.3125,16.3125,13.75,13.875,126600.0,
2000-04-17,TDY,NYSE,13.75,14.9375,13.375,14.625,151200.0,
2000-04-18,TDY,NYSE,15.125,17.25,15.125,16.5625,138200.0,
2000-04-19,TDY,NYSE,16.5625,17.25,16.5625,17.125,121300.0,
2000-04-20,TDY,NYSE,17.0,17.125,16.5625,17.0625,51600.0,
2000-04-24,TDY,NYSE,17.0625,18.0,16.5,17.8125,120100.0,
2000-04-25,TDY,NYSE,17.9375,19.8125,17.9375,19.1875,120900.0,
2000-04-26,TDY,NYSE,19.1875,20.0,18.8125,19.625,74000.0,
2000-04-27,TDY,NYSE,19.1875,19.1875,17.5,18.0,183800.0,
2000-04-28,TDY,NYSE,18.25,18.375,16.625,17.5,126100.0,
2000-05-01,TDY,NYSE,17.4375,18.1875,17.4375,18.0625,72900.0,
2000-05-02,TDY,NYSE,18.0,18.5,17.9375,18.125,69500.0,
2000-05-03,TDY,NYSE,17.875,18.0,17.0,18.0,130700.0,
2000-05-04,TDY,NYSE,17.5,18.125,17.3125,18.125,72900.0,
2000-05-05,TDY,NYSE,18.375,18.8125,18.25,18.6875,72700.0,
2000-05-08,TDY,NYSE,18.6875,18.6875,18.125,18.3125,45300.0,
2000-05-09,TDY,NYSE,18.5625,19.0625,18.5,18.875,191000.0,
2000-05-10,TDY,NYSE,18.625,18.75,17.375,17.625,65500.0,
2000-05-11,TDY,NYSE,17.875,18.0,17.5,17.6875,25800.0,
2000-05-12,TDY,NYSE,17.5625,18.0,17.5,17.5,26400.0,
2000-05-15,TDY,NYSE,17.5,17.5,16.25,16.375,72100.0,
2000-05-16,TDY,NYSE,16.5,16.625,15.75,16.0,112500.0,
2000-05-17,TDY,NYSE,16.0,16.125,15.0,15.125,152100.0,
2000-05-18,TDY,NYSE,15.125,15.125,14.1875,14.25,114500.0,
2000-05-19,TDY,NYSE,14.3125,14.5,13.625,13.875,304000.0,
2000-05-22,TDY,NYSE,13.875,13.875,12.75,13.125,59100.0,
2000-05-23,TDY,NYSE,13.25,13.625,13.0,13.0625,35800.0,
2000-05-24,TDY,NYSE,12.5,12.5,10.875,11.5,235300.0,
2000-05-25,TDY,NYSE,11.875,13.25,11.875,12.875,98400.0,
2000-05-26,TDY,NYSE,13.0,13.125,12.25,12.6875,63300.0,
2000-05-30,TDY,NYSE,13.0,14.1875,13.0,14.0625,52300.0,
2000-05-31,TDY,NYSE,13.6875,14.8125,13.6875,14.5625,35100.0,
2000-06-01,TDY,NYSE,14.5625,15.0,14.5625,14.875,72000.0,
2000-06-02,TDY,NYSE,14.875,15.125,14.5,14.5,47200.0,
2000-06-05,TDY,NYSE,14.625,14.625,14.125,14.3125,42300.0,
2000-06-06,TDY,NYSE,14.0,14.4375,13.25,13.4375,74000.0,
2000-06-07,TDY,NYSE,13.375,15.625,13.375,14.4375,86500.0,
2000-06-08,TDY,NYSE,14.4375,14.4375,13.5625,13.6875,54200.0,
2000-06-09,TDY,NYSE,13.8125,13.9375,13.4375,13.5,50800.0,
2000-06-12,TDY,NYSE,13.625,14.0,13.4375,13.5,117600.0,
2000-06-13,TDY,NYSE,13.75,13.8125,13.5,13.75,120400.0,
2000-06-14,TDY,NYSE,13.75,13.75,13.3125,13.3125,43500.0,
2000-06-15,TDY,NYSE,13.3125,13.5,13.0625,13.1875,22900.0,
2000-06-16,TDY,NYSE,13.0625,13.5625,13.0625,13.5,58200.0,
2000-06-19,TDY,NYSE,13.8125,13.875,13.5,13.625,33000.0,
2000-06-20,TDY,NYSE,13.75,13.75,13.5,13.5625,26000.0,
2000-06-21,TDY,NYSE,14.0,14.0,13.625,13.875,82300.0,
2000-06-22,TDY,NYSE,14.125,16.5,14.0625,16.0,165500.0,
2000-06-23,TDY,NYSE,16.0,16.375,15.5,15.9375,86700.0,
2000-06-26,TDY,NYSE,15.5,16.5625,15.5,16.1875,84000.0,
2000-06-27,TDY,NYSE,16.3125,18.375,16.3125,17.625,130700.0,
2000-06-28,TDY,NYSE,17.5,18.25,17.375,17.8125,100900.0,
2000-06-29,TDY,NYSE,17.4375,19.125,17.4375,19.0625,253100.0,
2000-06-30,TDY,NYSE,19.0625,19.5,16.75,16.75,402000.0,
2000-07-03,TDY,NYSE,17.125,17.875,17.125,17.5625,41700.0,
2000-07-05,TDY,NYSE,17.5,17.75,17.1875,17.1875,65100.0,
2000-07-06,TDY,NYSE,16.8125,17.0,16.5,16.875,45900.0,
2000-07-07,TDY,NYSE,16.8125,17.1875,16.8125,17.0625,33600.0,
2000-07-10,TDY,NYSE,16.9375,17.5,16.9375,17.125,22400.0,
2000-07-11,TDY,NYSE,17.125,17.4375,17.0,17.25,62700.0,
2000-07-12,TDY,NYSE,17.3125,17.625,17.3125,17.5,61600.0,
2000-07-13,TDY,NYSE,17.5,17.6875,17.3125,17.5625,82100.0,
2000-07-14,TDY,NYSE,17.75,17.75,17.25,17.375,77200.0,
2000-07-17,TDY,NYSE,17.4375,17.4375,17.1875,17.3125,35600.0,
2000-07-18,TDY,NYSE,17.25,18.125,17.25,17.9375,55000.0,
2000-07-19,TDY,NYSE,17.9375,18.0,17.625,17.625,50000.0,
2000-07-20,TDY,NYSE,17.625,19.25,17.625,18.8125,106600.0,
2000-07-21,TDY,NYSE,18.5625,19.0625,18.5,18.9375,66700.0,
2000-07-24,TDY,NYSE,19.0,19.125,18.8125,18.9375,56600.0,
2000-07-25,TDY,NYSE,18.875,18.9375,18.625,18.9375,24100.0,
2000-07-26,TDY,NYSE,18.875,21.0,18.6875,21.0,159900.0,
2000-07-27,TDY,NYSE,20.875,20.875,19.8125,19.9375,66300.0,
2000-07-28,TDY,NYSE,20.0,20.25,19.875,19.9375,74800.0,
2000-07-31,TDY,NYSE,20.0,20.0,19.5625,19.9375,89400.0,
2000-08-01,TDY,NYSE,19.9375,19.9375,18.25,18.8125,66400.0,
2000-08-02,TDY,NYSE,18.75,19.25,18.375,19.25,30100.0,
2000-08-03,TDY,NYSE,19.25,19.25,17.9375,18.25,135800.0,
2000-08-04,TDY,NYSE,15.5,16.125,14.6875,15.25,412200.0,
2000-08-07,TDY,NYSE,15.25,16.9375,14.875,16.625,213300.0,
2000-08-08,TDY,NYSE,16.6875,16.75,16.25,16.625,56300.0,
2000-08-09,TDY,NYSE,16.75,19.75,16.75,19.25,664300.0,
2000-08-10,TDY,NYSE,19.0,20.5,18.5,19.25,313300.0,
2000-08-11,TDY,NYSE,19.0,20.25,19.0,19.375,243300.0,
2000-08-14,TDY,NYSE,19.375,20.0,19.375,19.5625,30600.0,
2000-08-15,TDY,NYSE,19.5625,19.5625,18.5,18.5,71400.0,
2000-08-16,TDY,NYSE,18.625,19.875,18.1875,19.75,49700.0,
2000-08-17,TDY,NYSE,20.75,20.9375,20.3125,20.4375,2159000.0,
2000-08-18,TDY,NYSE,20.25,20.25,19.625,19.9375,495900.0,
2000-08-21,TDY,NYSE,20.375,20.375,19.875,19.9375,300000.0,
2000-08-22,TDY,NYSE,19.9375,19.9375,19.5,19.75,379500.0,
2000-08-23,TDY,NYSE,19.75,19.75,19.5,19.5,169400.0,
2000-08-24,TDY,NYSE,19.5,20.375,19.5,20.1875,275600.0,
2000-08-25,TDY,NYSE,20.1875,20.25,19.625,19.625,146800.0,
2000-08-28,TDY,NYSE,19.5625,19.6875,19.0,19.0,178300.0,
2000-08-29,TDY,NYSE,19.0,20.125,19.0,19.0625,186800.0,
2000-08-30,TDY,NYSE,19.125,20.25,19.125,20.0625,110400.0,
2000-08-31,TDY,NYSE,20.125,20.25,19.875,20.125,247000.0,
2000-09-01,TDY,NYSE,20.0,23.25,19.9375,22.4375,317200.0,
2000-09-05,TDY,NYSE,22.1875,22.1875,21.25,21.9375,199500.0,
2000-09-06,TDY,NYSE,22.1875,22.1875,21.125,21.3125,116200.0,
2000-09-07,TDY,NYSE,21.3125,23.125,21.125,23.125,189800.0,
2000-09-08,TDY,NYSE,23.0,27.0,22.625,25.875,853700.0,
2000-09-11,TDY,NYSE,26.375,30.0,25.9375,27.75,1238100.0,
2000-09-12,TDY,NYSE,29.0,30.5,28.75,29.375,730100.0,
2000-09-13,TDY,NYSE,29.375,29.9375,28.3125,28.5,317500.0,
2000-09-14,TDY,NYSE,28.75,30.0,27.875,28.875,395200.0,
2000-09-15,TDY,NYSE,28.75,28.9375,28.125,28.875,165000.0,
2000-09-18,TDY,NYSE,28.875,28.875,25.5,26.0625,419800.0,
2000-09-19,TDY,NYSE,26.0625,26.0625,23.875,24.4375,325600.0,
2000-09-20,TDY,NYSE,24.1875,26.25,24.125,25.875,255000.0,
2000-09-21,TDY,NYSE,26.0,27.5,26.0,27.1875,333100.0,
2000-09-22,TDY,NYSE,26.6875,26.75,23.5,25.5625,370000.0,
2000-09-25,TDY,NYSE,25.75,27.0,25.375,26.1875,173000.0,
2000-09-26,TDY,NYSE,27.0,28.25,26.75,27.625,227300.0,
2000-09-27,TDY,NYSE,28.125,28.75,27.5,27.75,183900.0,
2000-09-28,TDY,NYSE,27.5,28.5,26.75,28.5,151700.0,
2000-09-29,TDY,NYSE,28.625,29.125,28.25,29.125,211300.0,
2000-10-02,TDY,NYSE,29.0,29.0625,25.3125,25.3125,128400.0,
2000-10-03,TDY,NYSE,25.4375,25.625,24.0,24.5,160400.0,
2000-10-04,TDY,NYSE,24.625,25.3125,23.625,24.9375,308500.0,
2000-10-05,TDY,NYSE,25.0625,25.75,24.125,24.375,239000.0,
2000-10-06,TDY,NYSE,24.25,24.375,22.25,23.4375,190400.0,
2000-10-09,TDY,NYSE,23.4375,23.4375,22.625,23.4375,50400.0,
2000-10-10,TDY,NYSE,23.4375,24.75,23.0,23.1875,116900.0,
2000-10-11,TDY,NYSE,22.8125,22.8125,19.875,21.25,503400.0,
2000-10-12,TDY,NYSE,22.0,22.375,20.625,21.1875,231800.0,
2000-10-13,TDY,NYSE,21.125,23.625,21.125,23.625,153400.0,
2000-10-16,TDY,NYSE,23.75,24.875,23.0,23.25,122200.0,
2000-10-17,TDY,NYSE,23.5,23.8125,21.875,22.1875,154700.0,
2000-10-18,TDY,NYSE,22.1875,24.25,22.0,22.6875,273000.0,
2000-10-19,TDY,NYSE,23.0625,25.0,22.75,25.0,89200.0,
2000-10-20,TDY,NYSE,25.0,28.25,24.875,27.5,440600.0,
2000-10-23,TDY,NYSE,28.125,28.625,26.3125,26.3125,169200.0,
2000-10-24,TDY,NYSE,26.3125,26.6875,25.25,25.25,26800.0,
2000-10-25,TDY,NYSE,24.5,24.875,22.75,23.5,251600.0,
2000-10-26,TDY,NYSE,23.75,24.375,22.0,23.0,200200.0,
2000-10-27,TDY,NYSE,23.0,23.6875,22.75,23.125,58800.0,
2000-10-30,TDY,NYSE,22.875,23.5,22.375,23.125,73400.0,
2000-10-31,TDY,NYSE,23.125,25.375,23.125,25.0625,115000.0,
2000-11-01,TDY,NYSE,24.625,26.75,24.625,25.75,88500.0,
2000-11-02,TDY,NYSE,25.6875,26.5,25.25,25.8125,116200.0,
2000-11-03,TDY,NYSE,26.0,26.875,26.0,26.5,126000.0,
2000-11-06,TDY,NYSE,26.5,26.625,26.0,26.0,58800.0,
2000-11-07,TDY,NYSE,26.25,27.125,25.875,26.9375,84700.0,
2000-11-08,TDY,NYSE,26.875,27.125,25.25,25.25,88200.0,
2000-11-09,TDY,NYSE,25.0,25.5,23.875,24.5,66300.0,
2000-11-10,TDY,NYSE,24.25,24.5,23.125,23.75,78100.0,
2000-11-13,TDY,NYSE,23.5,23.9375,22.6875,23.9375,63800.0,
2000-11-14,TDY,NYSE,24.0,25.0,24.0,25.0,56300.0,
2000-11-15,TDY,NYSE,24.9375,25.6875,24.9375,25.625,71800.0,
2000-11-16,TDY,NYSE,25.875,26.375,25.875,26.1875,163600.0,
2000-11-17,TDY,NYSE,26.4375,26.4375,25.8125,25.9375,100600.0,
2000-11-20,TDY,NYSE,25.6875,25.875,24.75,25.0,72200.0,
2000-11-21,TDY,NYSE,24.875,24.875,24.25,24.6875,38800.0,
2000-11-22,TDY,NYSE,24.6875,24.6875,24.0,24.25,42700.0,
2000-11-24,TDY,NYSE,24.5,24.625,24.3125,24.375,42400.0,
2000-11-27,TDY,NYSE,24.5,24.75,22.375,22.375,61600.0,
2000-11-28,TDY,NYSE,22.125,22.125,20.625,21.125,139000.0,
2000-11-29,TDY,NYSE,21.375,21.5,20.8125,20.8125,37200.0,
2000-11-30,TDY,NYSE,20.8125,20.8125,17.625,19.25,244900.0,
2000-12-01,TDY,NYSE,19.25,20.5,18.75,19.75,133900.0,
2000-12-04,TDY,NYSE,19.875,20.0,19.3125,19.5,59300.0,
2000-12-05,TDY,NYSE,19.5,21.875,19.5,21.875,238400.0,
2000-12-06,TDY,NYSE,21.625,21.875,20.125,20.375,160900.0,
2000-12-07,TDY,NYSE,20.5,21.125,20.125,20.75,68700.0,
2000-12-08,TDY,NYSE,21.0,22.375,21.0,21.875,84700.0,
2000-12-11,TDY,NYSE,21.75,23.625,21.75,23.25,112000.0,
2000-12-12,TDY,NYSE,23.0,24.0625,23.0,23.3125,97300.0,
2000-12-13,TDY,NYSE,23.375,23.75,23.1875,23.5625,89800.0,
2000-12-14,TDY,NYSE,23.4375,23.875,22.9375,23.875,51500.0,
2000-12-15,TDY,NYSE,23.625,23.625,21.4375,22.9375,87800.0,
2000-12-18,TDY,NYSE,22.5625,23.0,22.3125,22.875,55000.0,
2000-12-19,TDY,NYSE,23.0,23.0,20.75,20.75,76500.0,
2000-12-20,TDY,NYSE,20.25,20.25,18.0625,18.25,70400.0,
2000-12-21,TDY,NYSE,18.0,19.5,17.0,19.25,132100.0,
2000-12-22,TDY,NYSE,19.25,20.125,19.25,19.9375,54100.0,
2000-12-26,TDY,NYSE,19.9375,20.4375,18.1875,19.1875,77400.0,
2000-12-27,TDY,NYSE,19.3125,19.375,18.75,18.8125,128900.0,
2000-12-28,TDY,NYSE,19.1875,21.75,19.1875,21.125,68500.0,
2000-12-29,TDY,NYSE,21.1875,23.75,21.1875,23.625,205900.0,
2001-01-02,TDY,NYSE,23.25,23.25,19.6875,19.75,102200.0,
2001-01-03,TDY,NYSE,19.75,21.125,19.3125,20.75,219400.0,
2001-01-04,TDY,NYSE,20.5,21.75,20.3125,20.75,166600.0,
2001-01-05,TDY,NYSE,20.875,20.875,17.75,18.4375,150300.0,
2001-01-08,TDY,NYSE,18.6875,18.8125,15.625,17.0,320300.0,
2001-01-09,TDY,NYSE,17.0,17.25,16.0,16.875,123700.0,
2001-01-10,TDY,NYSE,16.875,18.125,16.1875,18.0,216100.0,
2001-01-11,TDY,NYSE,17.875,18.25,17.3125,18.125,245300.0,
2001-01-12,TDY,NYSE,18.0,18.1875,17.75,18.0625,237300.0,
2001-01-16,TDY,NYSE,18.125,18.625,17.875,18.125,215700.0,
2001-01-17,TDY,NYSE,18.625,20.125,18.625,19.875,501800.0,
2001-01-18,TDY,NYSE,19.875,19.875,18.5,18.5625,100900.0,
2001-01-19,TDY,NYSE,18.6875,19.125,17.5,18.75,315000.0,
2001-01-22,TDY,NYSE,19.125,19.375,18.75,18.875,121100.0,
2001-01-23,TDY,NYSE,18.625,19.0,18.4375,19.0,62700.0,
2001-01-24,TDY,NYSE,19.125,20.3125,19.125,20.0,215200.0,
2001-01-25,TDY,NYSE,20.5,20.5,18.9375,19.1875,80500.0,
2001-01-26,TDY,NYSE,19.5625,19.5625,18.5,18.625,49900.0,
2001-01-29,TDY,NYSE,17.75,18.5,17.75,18.4,132400.0,
2001-01-30,TDY,NYSE,18.8,19.24,18.66,19.0,108200.0,
2001-01-31,TDY,NYSE,19.1,19.75,19.0,19.0,189000.0,
2001-02-01,TDY,NYSE,18.8,19.32,18.75,18.98,168100.0,
2001-02-02,TDY,NYSE,18.75,19.28,18.75,18.99,106800.0,
