date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,TE,NYSE,18.5625,18.6875,18.0625,18.3125,245900.0,
2000-01-04,TE,NYSE,18.25,18.5,18.125,18.1875,123100.0,
2000-01-05,TE,NYSE,18.25,19.25,18.1875,19.0,357100.0,
2000-01-06,TE,NYSE,19.125,19.125,18.75,18.875,480600.0,
2000-01-07,TE,NYSE,19.0,19.375,18.9375,19.25,169900.0,
2000-01-10,TE,NYSE,19.375,19.4375,19.0,19.375,404700.0,
2000-01-11,TE,NYSE,19.25,19.25,19.0,19.0625,118800.0,
2000-01-12,TE,NYSE,19.0625,19.1875,18.875,19.125,261900.0,
2000-01-13,TE,NYSE,19.125,19.5,19.0,19.5,523200.0,
2000-01-14,TE,NYSE,19.4375,19.5,19.0,19.1875,253700.0,
2000-01-18,TE,NYSE,19.1875,19.25,18.625,18.9375,273700.0,
2000-01-19,TE,NYSE,18.9375,19.5,18.875,19.4375,385100.0,
2000-01-20,TE,NYSE,19.375,19.4375,19.0,19.1875,137600.0,
2000-01-21,TE,NYSE,19.125,19.4375,19.0,19.375,161500.0,
2000-01-24,TE,NYSE,19.5,20.625,19.375,20.4375,2270800.0,
2000-01-25,TE,NYSE,20.4375,20.4375,19.875,20.125,210400.0,
2000-01-26,TE,NYSE,20.125,20.3125,20.0,20.0625,276400.0,
2000-01-27,TE,NYSE,20.125,20.375,20.0625,20.25,1328000.0,
2000-01-28,TE,NYSE,19.9375,19.9375,19.375,19.625,1494200.0,
2000-01-31,TE,NYSE,19.5625,19.875,19.5625,19.625,1755100.0,
2000-02-01,TE,NYSE,19.6875,19.75,19.125,19.5,472700.0,
2000-02-02,TE,NYSE,19.4375,19.6875,19.375,19.4375,101700.0,
2000-02-03,TE,NYSE,19.5,20.125,19.4375,20.0,249500.0,
2000-02-04,TE,NYSE,20.0,20.0625,19.25,19.375,127700.0,
2000-02-07,TE,NYSE,19.25,19.375,19.0,19.1875,103500.0,
2000-02-08,TE,NYSE,19.125,19.625,19.0625,19.3125,144100.0,
2000-02-09,TE,NYSE,19.1875,19.5625,19.125,19.1875,174500.0,
2000-02-10,TE,NYSE,19.3125,19.3125,18.9375,19.125,128500.0,
2000-02-11,TE,NYSE,19.125,19.125,18.75,18.9375,189700.0,
2000-02-14,TE,NYSE,19.0,19.4375,18.875,19.25,292800.0,
2000-02-15,TE,NYSE,19.3125,19.375,19.0,19.1875,155700.0,
2000-02-16,TE,NYSE,19.0625,19.1875,18.875,19.0,145300.0,
2000-02-17,TE,NYSE,19.0625,19.0625,18.875,18.9375,135000.0,
2000-02-18,TE,NYSE,18.9375,19.0625,18.875,19.0,640300.0,
2000-02-22,TE,NYSE,18.9375,19.0,18.8125,18.875,302300.0,
2000-02-23,TE,NYSE,18.9375,18.9375,18.75,18.875,254900.0,
2000-02-24,TE,NYSE,18.875,18.9375,18.125,18.1875,201500.0,
2000-02-25,TE,NYSE,18.125,18.1875,18.0625,18.125,162000.0,
2000-02-28,TE,NYSE,18.125,18.1875,17.9375,18.1875,229400.0,
