date,code,exchange,open,high,low,close,volume,count_trx
2007-06-14,TEL,NYSE,37.0,39.26,37.0,38.85,439300.0,
2007-06-15,TEL,NYSE,39.1,39.1,38.25,38.8,689700.0,
2007-06-18,TEL,NYSE,39.05,39.1,37.15,37.15,506300.0,
2007-06-19,TEL,NYSE,37.15,37.7,36.1,36.7,698400.0,
2007-06-20,TEL,NYSE,36.83,36.83,35.35,35.95,1011200.0,
2007-06-21,TEL,NYSE,36.0,36.7,35.75,36.7,501200.0,
2007-06-22,TEL,NYSE,37.0,39.5,36.8,38.95,210300.0,
2007-06-25,TEL,NYSE,39.1,40.0,38.25,39.25,194300.0,
2007-06-26,TEL,NYSE,39.31,39.8,39.2,39.5,116600.0,
2007-06-27,TEL,NYSE,39.5,39.8,39.0,39.75,270300.0,
2007-06-28,TEL,NYSE,39.75,39.95,39.5,39.6,148400.0,
2007-06-29,TEL,NYSE,39.83,39.85,38.75,39.06,1576300.0,
2007-07-02,TEL,NYSE,39.2,40.25,38.98,39.97,1360800.0,
2007-07-03,TEL,NYSE,39.98,40.47,39.08,39.66,2187500.0,
2007-07-05,TEL,NYSE,39.6,40.0,39.28,39.45,2614100.0,
2007-07-06,TEL,NYSE,39.4,39.92,39.0,39.82,1504700.0,
2007-07-09,TEL,NYSE,39.55,40.4,38.48,40.2,1981400.0,
2007-07-10,TEL,NYSE,38.7,39.5,38.5,39.0,2464400.0,
2007-07-11,TEL,NYSE,38.7,39.25,38.7,39.06,2097800.0,
2007-07-12,TEL,NYSE,38.95,39.01,38.33,39.01,1573700.0,
2007-07-13,TEL,NYSE,38.3,39.88,38.0,39.47,972400.0,
2007-07-16,TEL,NYSE,39.0,39.85,38.8,39.3,1155800.0,
2007-07-17,TEL,NYSE,39.02,39.5,38.27,38.86,1161000.0,
2007-07-18,TEL,NYSE,36.95,38.29,36.6,37.94,1983400.0,
2007-07-19,TEL,NYSE,38.04,38.33,37.63,38.1,807500.0,
2007-07-20,TEL,NYSE,38.05,38.18,37.87,38.03,1438800.0,
2007-07-23,TEL,NYSE,38.29,39.0,37.76,38.91,896600.0,
2007-07-24,TEL,NYSE,38.72,39.22,38.27,38.4,1071900.0,
2007-07-25,TEL,NYSE,38.25,38.57,38.0,38.47,1081200.0,
2007-07-26,TEL,NYSE,38.0,38.29,36.72,37.56,1644100.0,
2007-07-27,TEL,NYSE,36.0,38.13,35.73,36.95,1547100.0,
2007-07-30,TEL,NYSE,36.4,36.45,35.6,36.05,1386700.0,
2007-07-31,TEL,NYSE,36.05,36.08,35.7,35.82,1149600.0,
2007-08-01,TEL,NYSE,34.92,36.0,34.76,35.22,1336100.0,
2007-08-02,TEL,NYSE,34.61,35.5,34.09,35.27,987300.0,
2007-08-03,TEL,NYSE,35.1,35.4,35.0,35.09,889400.0,
2007-08-06,TEL,NYSE,35.2,35.32,34.98,35.15,1525100.0,
2007-08-07,TEL,NYSE,34.85,35.34,34.37,34.85,1104000.0,
2007-08-08,TEL,NYSE,34.5,35.4,33.68,34.74,1102700.0,
2007-08-09,TEL,NYSE,34.3,34.77,33.62,33.73,943500.0,
2007-08-10,TEL,NYSE,33.73,33.73,32.38,32.81,1014600.0,
2007-08-13,TEL,NYSE,32.96,33.25,32.86,32.99,1306100.0,
2007-08-14,TEL,NYSE,33.13,33.25,32.12,32.45,1174900.0,
2007-08-15,TEL,NYSE,32.53,33.24,32.5,32.96,885600.0,
2007-08-16,TEL,NYSE,32.06,33.25,32.04,33.04,1588800.0,
2007-08-17,TEL,NYSE,33.9,35.23,33.5,35.1,1278000.0,
2007-08-20,TEL,NYSE,34.87,35.98,34.6,34.95,941400.0,
2007-08-21,TEL,NYSE,33.9,34.71,33.85,34.67,981500.0,
2007-08-22,TEL,NYSE,34.75,35.0,34.3,34.86,679500.0,
2007-08-23,TEL,NYSE,35.25,35.53,34.87,35.36,976400.0,
2007-08-24,TEL,NYSE,35.28,36.9,35.1,36.27,934500.0,
