date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,TIF,NYSE,44.5,44.5,41.5,42.46875,777800.0,
2000-01-04,TIF,NYSE,41.9375,42.25,39.9375,41.21875,933000.0,
2000-01-05,TIF,NYSE,41.1875,41.1875,39.78125,40.125,618200.0,
2000-01-06,TIF,NYSE,41.625,41.96875,37.75,38.5,2525400.0,
2000-01-07,TIF,NYSE,41.0,41.6875,40.125,41.21875,3546800.0,
2000-01-10,TIF,NYSE,41.75,44.40625,41.53125,44.0,1140400.0,
2000-01-11,TIF,NYSE,44.03125,44.03125,42.6875,43.59375,1621800.0,
2000-01-12,TIF,NYSE,43.875,43.875,42.40625,42.875,734600.0,
2000-01-13,TIF,NYSE,42.75,43.875,42.4375,43.15625,431600.0,
2000-01-14,TIF,NYSE,43.5,44.0,43.21875,43.8125,425800.0,
2000-01-18,TIF,NYSE,43.3125,44.0625,42.8125,43.59375,541600.0,
2000-01-19,TIF,NYSE,43.375,43.6875,43.09375,43.34375,385200.0,
2000-01-20,TIF,NYSE,43.375,43.375,40.75,41.46875,1055200.0,
2000-01-21,TIF,NYSE,41.46875,41.46875,38.875,39.75,1450600.0,
2000-01-24,TIF,NYSE,39.75,40.21875,35.75,37.25,2316600.0,
2000-01-25,TIF,NYSE,37.25,38.125,36.375,37.5,1075800.0,
2000-01-26,TIF,NYSE,37.875,38.875,37.875,38.34375,984200.0,
2000-01-27,TIF,NYSE,38.34375,38.875,37.03125,37.5,587200.0,
2000-01-28,TIF,NYSE,36.6875,36.71875,35.9375,36.1875,781200.0,
2000-01-31,TIF,NYSE,36.25,37.1875,35.21875,37.0,688600.0,
2000-02-01,TIF,NYSE,36.1875,36.6875,35.71875,36.09375,2085200.0,
2000-02-02,TIF,NYSE,35.96875,36.25,34.5625,34.5625,1359000.0,
2000-02-03,TIF,NYSE,34.9375,36.125,34.78125,35.875,1600000.0,
2000-02-04,TIF,NYSE,36.8125,36.875,35.5,35.8125,693200.0,
2000-02-07,TIF,NYSE,35.46875,35.46875,33.78125,34.96875,807400.0,
2000-02-08,TIF,NYSE,35.375,35.5625,34.0,34.625,878400.0,
2000-02-09,TIF,NYSE,34.625,34.625,33.03125,33.15625,577800.0,
2000-02-10,TIF,NYSE,33.25,34.3125,33.1875,33.71875,1075200.0,
2000-02-11,TIF,NYSE,34.0625,34.21875,32.03125,32.4375,1250000.0,
