date,code,exchange,open,high,low,close,volume,count_trx
2010-12-07,TRGP,NYSE,24.1,25.2,23.62,24.7,5188316.0,
2010-12-08,TRGP,NYSE,24.41,26.0,24.4,25.65,460663.0,
2010-12-09,TRGP,NYSE,25.35,26.25,25.34,25.57,303126.0,
2010-12-10,TRGP,NYSE,25.37,25.79,25.29,25.65,147826.0,
2010-12-13,TRGP,NYSE,25.5,26.69,25.5,26.52,131446.0,
2010-12-14,TRGP,NYSE,26.4,26.6,25.79,26.54,86729.0,
2010-12-15,TRGP,NYSE,26.56,27.14,25.53,26.06,110309.0,
2010-12-16,TRGP,NYSE,25.96,26.93,25.95,26.81,38298.0,
2010-12-17,TRGP,NYSE,26.99,27.55,26.9,27.31,101502.0,
2010-12-20,TRGP,NYSE,27.21,28.4,27.19,27.53,63948.0,
2010-12-21,TRGP,NYSE,27.63,27.67,26.6,27.05,51498.0,
2010-12-22,TRGP,NYSE,26.85,26.88,26.22,26.88,40017.0,
2010-12-23,TRGP,NYSE,26.73,26.86,26.71,26.86,14659.0,
2010-12-27,TRGP,NYSE,26.75,26.75,26.44,26.51,12091.0,
2010-12-28,TRGP,NYSE,26.45,26.85,26.41,26.8,13964.0,
2010-12-29,TRGP,NYSE,26.89,27.15,26.57,27.15,20556.0,
2010-12-30,TRGP,NYSE,27.01,27.17,26.88,27.03,19259.0,
2010-12-31,TRGP,NYSE,27.0,27.04,26.79,26.81,8543.0,
2011-01-03,TRGP,NYSE,26.92,27.02,26.62,27.0,67812.0,
2011-01-04,TRGP,NYSE,27.0,27.19,26.63,27.16,25241.0,
2011-01-05,TRGP,NYSE,27.01,27.37,26.93,27.37,23687.0,
2011-01-06,TRGP,NYSE,27.28,28.14,26.95,27.99,53162.0,
2011-01-07,TRGP,NYSE,27.9,28.13,27.44,27.8,25053.0,
2011-01-10,TRGP,NYSE,27.5,27.96,27.07,27.4,27832.0,
2011-01-11,TRGP,NYSE,27.43,27.64,27.12,27.59,32050.0,
2011-01-12,TRGP,NYSE,27.68,28.47,27.43,28.35,32548.0,
2011-01-13,TRGP,NYSE,28.11,28.45,27.9,28.03,17680.0,
2011-01-14,TRGP,NYSE,28.09,28.47,27.98,28.31,31253.0,
2011-01-18,TRGP,NYSE,28.6,30.22,28.42,29.34,134086.0,
2011-01-19,TRGP,NYSE,29.69,29.82,28.8,28.87,65074.0,
2011-01-20,TRGP,NYSE,28.89,29.99,27.27,29.41,62463.0,
2011-01-21,TRGP,NYSE,29.5,29.51,28.23,29.41,28216.0,
2011-01-24,TRGP,NYSE,29.4,30.21,28.53,30.1,24422.0,
2011-01-25,TRGP,NYSE,30.04,30.87,29.9,30.19,39850.0,
2011-01-26,TRGP,NYSE,30.23,30.78,29.62,30.4,27100.0,
2011-01-27,TRGP,NYSE,30.24,30.53,30.24,30.39,5010.0,
2011-01-28,TRGP,NYSE,30.21,30.76,28.98,30.58,40148.0,
2011-01-31,TRGP,NYSE,31.54,31.56,30.34,30.73,24839.0,
2011-02-01,TRGP,NYSE,31.17,31.17,30.13,30.65,10926.0,
2011-02-02,TRGP,NYSE,30.44,31.37,30.04,30.16,16044.0,
2011-02-03,TRGP,NYSE,30.35,30.54,29.32,29.38,31866.0,
2011-02-04,TRGP,NYSE,29.57,30.07,29.38,30.02,21308.0,
2011-02-07,TRGP,NYSE,30.21,30.74,30.0,30.0,16280.0,
2011-02-08,TRGP,NYSE,30.04,31.54,29.95,31.2,53243.0,
2011-02-09,TRGP,NYSE,31.39,31.5,31.16,31.36,11930.0,
2011-02-10,TRGP,NYSE,31.24,31.69,30.53,30.98,18133.0,
2011-02-11,TRGP,NYSE,31.16,31.16,30.79,31.02,13700.0,
2011-02-14,TRGP,NYSE,31.34,32.14,31.3,31.44,24099.0,
2011-02-15,TRGP,NYSE,31.6,31.91,31.5,31.88,23840.0,
2011-02-16,TRGP,NYSE,32.07,32.39,32.0,32.22,16835.0,
2011-02-17,TRGP,NYSE,32.25,32.25,31.62,32.1,15120.0,
2011-02-18,TRGP,NYSE,32.21,32.95,32.09,32.34,69346.0,
2011-02-22,TRGP,NYSE,32.53,32.53,31.5,31.91,41768.0,
2011-02-23,TRGP,NYSE,32.0,32.1,31.51,31.94,10767.0,
2011-02-24,TRGP,NYSE,32.23,32.24,31.64,32.04,45500.0,
2011-02-25,TRGP,NYSE,32.0,32.71,32.0,32.6,23913.0,
2011-02-28,TRGP,NYSE,32.71,32.84,32.4,32.77,7545.0,
2011-03-01,TRGP,NYSE,32.98,33.21,32.01,32.6,17781.0,
2011-03-02,TRGP,NYSE,32.6,33.42,32.31,32.98,28473.0,
2011-03-03,TRGP,NYSE,33.13,33.39,32.71,32.73,55937.0,
2011-03-04,TRGP,NYSE,32.72,33.64,32.7,33.22,13713.0,
2011-03-07,TRGP,NYSE,33.18,33.99,33.18,33.95,47532.0,
2011-03-08,TRGP,NYSE,33.78,33.85,33.31,33.58,48743.0,
2011-03-09,TRGP,NYSE,33.64,33.8,32.7,33.17,131069.0,
2011-03-10,TRGP,NYSE,32.98,33.04,31.8,32.2,78003.0,
2011-03-11,TRGP,NYSE,32.01,32.69,30.8,32.35,80997.0,
2011-03-14,TRGP,NYSE,32.24,32.56,31.94,32.05,44695.0,
2011-03-15,TRGP,NYSE,31.52,32.46,31.35,31.94,102227.0,
2011-03-16,TRGP,NYSE,32.15,33.51,31.82,32.2,145375.0,
2011-03-17,TRGP,NYSE,32.5,33.38,32.42,33.35,38985.0,
2011-03-18,TRGP,NYSE,33.5,35.43,33.5,34.82,267740.0,
2011-03-21,TRGP,NYSE,34.92,35.69,34.43,35.49,30947.0,
2011-03-22,TRGP,NYSE,35.61,36.43,34.86,36.25,35415.0,
2011-03-23,TRGP,NYSE,36.7,36.7,34.51,34.96,54872.0,
2011-03-24,TRGP,NYSE,34.97,34.97,34.21,34.75,43090.0,
2011-03-25,TRGP,NYSE,34.83,35.61,34.81,35.35,33366.0,
2011-03-28,TRGP,NYSE,35.35,35.41,34.87,35.18,51061.0,
2011-03-29,TRGP,NYSE,35.18,35.62,34.94,35.36,22057.0,
2011-03-30,TRGP,NYSE,35.49,35.87,35.07,35.5,39335.0,
2011-03-31,TRGP,NYSE,35.44,36.34,34.94,36.24,1182435.0,
2011-04-01,TRGP,NYSE,36.18,36.73,35.7,36.04,145595.0,
2011-04-04,TRGP,NYSE,36.5,36.5,33.57,33.88,142533.0,
2011-04-05,TRGP,NYSE,33.81,34.13,32.95,33.95,63113.0,
2011-04-06,TRGP,NYSE,34.06,34.51,33.44,33.77,48339.0,
2011-04-07,TRGP,NYSE,33.68,33.68,33.31,33.6,26414.0,
2011-04-08,TRGP,NYSE,33.81,33.81,33.18,33.49,31814.0,
2011-04-11,TRGP,NYSE,33.39,33.54,32.86,33.06,25580.0,
2011-04-12,TRGP,NYSE,32.96,33.27,31.7,32.78,43121.0,
2011-04-13,TRGP,NYSE,32.82,33.72,32.8,33.53,41177.0,
2011-04-14,TRGP,NYSE,33.22,33.58,32.01,33.27,52395.0,
2011-04-15,TRGP,NYSE,33.19,33.79,33.18,33.77,43943.0,
2011-04-18,TRGP,NYSE,33.58,33.75,33.18,33.74,62261.0,
2011-04-19,TRGP,NYSE,33.48,33.49,32.62,32.73,70199.0,
2011-04-20,TRGP,NYSE,32.8,35.31,32.8,35.0,1327067.0,
2011-04-21,TRGP,NYSE,35.2,35.2,34.16,34.64,71662.0,
2011-04-25,TRGP,NYSE,34.5,34.96,33.71,34.54,72838.0,
2011-04-26,TRGP,NYSE,34.47,35.7,33.95,35.52,116887.0,
2011-04-27,TRGP,NYSE,35.52,36.02,35.39,35.98,89345.0,
2011-04-28,TRGP,NYSE,35.79,36.04,35.01,35.75,86315.0,
2011-04-29,TRGP,NYSE,35.78,35.78,34.89,35.02,88657.0,
2011-05-02,TRGP,NYSE,35.16,35.22,34.11,34.34,51573.0,
2011-05-03,TRGP,NYSE,34.22,34.62,33.85,34.34,58083.0,
2011-05-04,TRGP,NYSE,34.34,34.53,33.13,33.75,47094.0,
2011-05-05,TRGP,NYSE,33.6,33.6,32.6,33.09,97400.0,
2011-05-06,TRGP,NYSE,33.21,34.21,32.79,33.96,169073.0,
2011-05-09,TRGP,NYSE,33.88,35.01,33.62,34.83,63949.0,
2011-05-10,TRGP,NYSE,34.63,35.16,33.62,34.45,71698.0,
2011-05-11,TRGP,NYSE,34.39,34.39,33.37,33.6,122264.0,
2011-05-12,TRGP,NYSE,33.41,33.41,32.51,33.16,36171.0,
2011-05-13,TRGP,NYSE,33.11,33.41,32.69,33.15,42157.0,
2011-05-16,TRGP,NYSE,32.9,33.29,32.31,32.5,44272.0,
2011-05-17,TRGP,NYSE,32.41,32.81,31.84,32.01,97542.0,
2011-05-18,TRGP,NYSE,32.15,32.56,31.91,32.07,55200.0,
2011-05-19,TRGP,NYSE,32.23,32.59,32.09,32.33,83342.0,
2011-05-20,TRGP,NYSE,32.31,32.76,32.0,32.04,99537.0,
2011-05-23,TRGP,NYSE,31.83,32.57,31.52,32.18,73903.0,
2011-05-24,TRGP,NYSE,32.26,32.68,31.54,32.46,57457.0,
2011-05-25,TRGP,NYSE,32.31,33.74,32.31,33.2,58973.0,
2011-05-26,TRGP,NYSE,33.17,33.7,32.24,33.41,66749.0,
2011-05-27,TRGP,NYSE,33.61,34.59,33.61,34.4,83830.0,
2011-05-31,TRGP,NYSE,34.64,35.47,34.3,34.92,677035.0,
2011-06-01,TRGP,NYSE,34.74,34.95,33.71,34.19,74442.0,
2011-06-02,TRGP,NYSE,34.09,34.21,33.06,33.2,136358.0,
2011-06-03,TRGP,NYSE,32.81,33.5,32.69,33.2,52280.0,
2011-06-06,TRGP,NYSE,33.24,33.42,32.56,32.59,64952.0,
2011-06-07,TRGP,NYSE,32.86,32.86,32.31,32.37,65187.0,
2011-06-08,TRGP,NYSE,32.39,33.0,31.74,32.67,61565.0,
2011-06-09,TRGP,NYSE,32.78,33.89,32.71,33.59,34490.0,
2011-06-10,TRGP,NYSE,33.48,33.67,33.13,33.35,53629.0,
2011-06-13,TRGP,NYSE,33.42,33.44,32.15,32.23,106110.0,
2011-06-14,TRGP,NYSE,32.63,32.71,32.18,32.29,40168.0,
2011-06-15,TRGP,NYSE,31.79,32.21,30.87,31.3,78843.0,
2011-06-16,TRGP,NYSE,30.8,31.23,30.51,30.66,119852.0,
2011-06-17,TRGP,NYSE,30.77,30.92,30.31,30.57,134480.0,
2011-06-20,TRGP,NYSE,30.74,30.92,30.34,30.71,82833.0,
2011-06-21,TRGP,NYSE,30.88,31.39,30.7,31.05,52012.0,
2011-06-22,TRGP,NYSE,30.91,31.55,30.57,30.85,55673.0,
2011-06-23,TRGP,NYSE,30.34,31.47,29.58,31.34,75396.0,
2011-06-24,TRGP,NYSE,31.25,31.67,30.65,31.49,199756.0,
2011-06-27,TRGP,NYSE,31.35,31.87,31.25,31.58,31436.0,
2011-06-28,TRGP,NYSE,31.76,32.78,31.65,32.7,58347.0,
2011-06-29,TRGP,NYSE,32.94,33.49,32.77,33.34,34024.0,
2011-06-30,TRGP,NYSE,33.48,33.82,33.13,33.46,34643.0,
2011-07-01,TRGP,NYSE,33.32,33.32,32.12,33.03,74315.0,
2011-07-05,TRGP,NYSE,33.07,33.32,32.77,32.95,30390.0,
2011-07-06,TRGP,NYSE,32.9,32.98,32.72,32.91,40107.0,
2011-07-07,TRGP,NYSE,33.5,34.0,33.45,33.79,35393.0,
2011-07-08,TRGP,NYSE,33.5,34.35,33.44,34.23,103297.0,
2011-07-11,TRGP,NYSE,33.95,34.17,33.44,33.48,47161.0,
2011-07-12,TRGP,NYSE,33.33,33.58,32.97,33.24,53941.0,
2011-07-13,TRGP,NYSE,33.32,33.41,33.07,33.24,34638.0,
2011-07-14,TRGP,NYSE,33.24,33.76,33.15,33.45,54778.0,
2011-07-15,TRGP,NYSE,33.51,34.29,33.19,33.94,54559.0,
2011-07-18,TRGP,NYSE,33.84,34.17,33.6,34.03,64008.0,
2011-07-19,TRGP,NYSE,34.0,34.14,33.21,34.02,40307.0,
2011-07-20,TRGP,NYSE,34.04,34.04,33.39,33.56,61036.0,
2011-07-21,TRGP,NYSE,33.73,34.9,33.53,33.91,60961.0,
2011-07-22,TRGP,NYSE,33.96,34.6,33.52,34.19,49301.0,
2011-07-25,TRGP,NYSE,33.98,34.71,33.6,33.79,69595.0,
2011-07-26,TRGP,NYSE,33.7,33.79,33.02,33.5,46512.0,
2011-07-27,TRGP,NYSE,33.48,33.83,33.23,33.55,72648.0,
2011-07-28,TRGP,NYSE,33.55,34.58,33.55,34.36,42242.0,
2011-07-29,TRGP,NYSE,33.97,34.11,33.47,33.76,28009.0,
2011-08-01,TRGP,NYSE,34.19,34.87,33.48,34.55,72897.0,
2011-08-02,TRGP,NYSE,34.31,34.41,33.64,33.64,34561.0,
2011-08-03,TRGP,NYSE,33.78,33.84,33.02,33.5,92997.0,
2011-08-04,TRGP,NYSE,33.15,33.39,31.05,31.23,94323.0,
2011-08-05,TRGP,NYSE,31.47,31.56,29.75,30.73,76310.0,
2011-08-08,TRGP,NYSE,30.25,30.4,26.36,26.68,103554.0,
2011-08-09,TRGP,NYSE,27.24,30.19,26.01,30.12,160562.0,
2011-08-10,TRGP,NYSE,29.79,32.01,29.39,30.44,92119.0,
2011-08-11,TRGP,NYSE,30.69,33.1,30.69,32.54,108352.0,
2011-08-12,TRGP,NYSE,32.97,33.31,31.27,31.98,73589.0,
2011-08-15,TRGP,NYSE,32.4,33.65,32.22,32.69,75209.0,
2011-08-16,TRGP,NYSE,32.3,32.3,31.59,31.82,42055.0,
2011-08-17,TRGP,NYSE,32.11,32.42,31.61,31.92,38710.0,
2011-08-18,TRGP,NYSE,31.07,31.07,29.69,30.35,82001.0,
2011-08-19,TRGP,NYSE,29.98,30.54,29.77,30.2,65735.0,
2011-08-22,TRGP,NYSE,31.0,31.08,28.48,28.84,100662.0,
2011-08-23,TRGP,NYSE,29.06,29.13,28.1,29.11,159438.0,
2011-08-24,TRGP,NYSE,29.06,29.98,28.89,29.15,137396.0,
2011-08-25,TRGP,NYSE,29.42,29.46,28.79,28.93,83162.0,
2011-08-26,TRGP,NYSE,28.79,29.64,28.59,29.12,100424.0,
2011-08-29,TRGP,NYSE,29.51,30.0,29.03,29.42,138271.0,
2011-08-30,TRGP,NYSE,29.32,29.91,29.22,29.54,235772.0,
2011-08-31,TRGP,NYSE,29.82,30.53,29.74,29.84,149612.0,
2011-09-01,TRGP,NYSE,29.96,30.75,29.52,30.14,87824.0,
2011-09-02,TRGP,NYSE,29.37,30.63,29.37,30.6,208030.0,
2011-09-06,TRGP,NYSE,29.55,30.57,29.32,30.55,114653.0,
2011-09-07,TRGP,NYSE,30.89,30.9,30.4,30.6,115887.0,
2011-09-08,TRGP,NYSE,30.51,31.04,30.51,30.8,61600.0,
2011-09-09,TRGP,NYSE,30.53,30.53,29.95,30.16,57805.0,
2011-09-12,TRGP,NYSE,29.7,30.57,29.21,30.51,61006.0,
2011-09-13,TRGP,NYSE,30.66,31.58,30.64,31.51,54522.0,
2011-09-14,TRGP,NYSE,31.75,31.91,31.25,31.56,65169.0,
2011-09-15,TRGP,NYSE,31.88,31.88,31.31,31.49,41587.0,
2011-09-16,TRGP,NYSE,31.73,31.75,30.57,31.58,185476.0,
2011-09-19,TRGP,NYSE,31.02,32.08,30.69,31.84,71322.0,
2011-09-20,TRGP,NYSE,32.1,32.53,31.41,31.49,74719.0,
2011-09-21,TRGP,NYSE,31.58,32.15,30.65,30.83,107168.0,
2011-09-22,TRGP,NYSE,30.0,30.65,29.5,30.14,105112.0,
2011-09-23,TRGP,NYSE,30.03,30.29,29.41,30.29,50572.0,
2011-09-26,TRGP,NYSE,30.63,30.63,29.88,30.24,57214.0,
2011-09-27,TRGP,NYSE,30.94,31.05,30.4,30.67,71339.0,
2011-09-28,TRGP,NYSE,30.79,30.9,30.05,30.4,77508.0,
2011-09-29,TRGP,NYSE,30.78,30.78,29.33,30.23,64938.0,
2011-09-30,TRGP,NYSE,29.81,30.14,29.66,29.75,89916.0,
2011-10-03,TRGP,NYSE,29.69,30.0,28.09,28.11,85566.0,
2011-10-04,TRGP,NYSE,27.89,28.93,26.77,28.83,100756.0,
2011-10-05,TRGP,NYSE,29.02,29.77,28.43,29.73,40963.0,
2011-10-06,TRGP,NYSE,29.76,30.0,29.45,29.87,90403.0,
2011-10-07,TRGP,NYSE,29.92,30.74,29.77,30.07,97851.0,
