date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,TRV,NYSE,33.25,33.25,32.625,33.0,292100.0,
2000-01-04,TRV,NYSE,32.5,33.0,32.1875,32.5625,438700.0,
2000-01-05,TRV,NYSE,32.5625,33.3125,32.25,32.3125,714100.0,
2000-01-06,TRV,NYSE,32.3125,33.375,31.8125,32.9375,636000.0,
2000-01-07,TRV,NYSE,33.4375,34.75,33.3125,34.25,558100.0,
2000-01-10,TRV,NYSE,34.75,34.75,33.125,33.625,369200.0,
2000-01-11,TRV,NYSE,33.375,33.75,32.875,33.25,754200.0,
2000-01-12,TRV,NYSE,33.0,33.625,32.75,33.3125,527900.0,
2000-01-13,TRV,NYSE,33.3125,34.1875,33.3125,34.0,552600.0,
2000-01-14,TRV,NYSE,33.9375,34.6875,33.625,34.0,544000.0,
2000-01-18,TRV,NYSE,33.75,33.75,32.5,32.75,829900.0,
2000-01-19,TRV,NYSE,32.5,33.25,32.375,32.8125,878800.0,
2000-01-20,TRV,NYSE,32.75,32.8125,32.375,32.625,546200.0,
2000-01-21,TRV,NYSE,32.0,32.0625,31.125,31.5,947700.0,
2000-01-24,TRV,NYSE,31.625,32.4375,31.3125,32.125,553700.0,
2000-01-25,TRV,NYSE,32.125,32.8125,31.25,31.375,498800.0,
2000-01-26,TRV,NYSE,31.4375,32.4375,31.1875,32.375,425700.0,
2000-01-27,TRV,NYSE,32.0,32.375,29.8125,30.5,1050000.0,
2000-01-28,TRV,NYSE,30.0625,30.1875,29.3125,30.0,763200.0,
2000-01-31,TRV,NYSE,29.8125,30.1875,29.125,30.1875,533900.0,
2000-02-01,TRV,NYSE,30.0,30.0,27.5,29.3125,960900.0,
2000-02-02,TRV,NYSE,29.375,29.375,27.5,27.875,1079600.0,
2000-02-03,TRV,NYSE,27.875,27.875,26.375,26.75,1233600.0,
2000-02-04,TRV,NYSE,26.75,27.1875,25.75,26.75,1428000.0,
2000-02-07,TRV,NYSE,26.75,27.0,26.25,26.625,1068200.0,
