date,code,exchange,open,high,low,close,volume,count_trx
2007-03-01,TWC,NYSE,115.2,116.88,114.0,116.79,189600.0,
2007-03-02,TWC,NYSE,116.7,117.03,112.8,112.8,236933.333333,
2007-03-05,TWC,NYSE,112.05,112.95,107.79,108.0,258166.666667,
2007-03-06,TWC,NYSE,110.55,111.54,108.78,109.17,440500.0,
2007-03-07,TWC,NYSE,109.5,111.9,109.5,110.7,359633.333333,
2007-03-08,TWC,NYSE,112.05,112.35,109.86,110.22,745766.666667,
2007-03-09,TWC,NYSE,110.85,111.3,110.07,110.4,391500.0,
2007-03-12,TWC,NYSE,110.1,111.03,109.35,109.44,332166.666667,
2007-03-13,TWC,NYSE,109.65,110.55,108.6,109.38,581566.666667,
2007-03-14,TWC,NYSE,109.65,110.37,109.2,109.5,510333.333333,
2007-03-15,TWC,NYSE,109.32,110.7,109.2,110.34,400800.0,
2007-03-16,TWC,NYSE,110.58,113.7,110.58,112.95,925100.0,
2007-03-19,TWC,NYSE,115.35,115.35,113.13,114.0,323466.666667,
2007-03-20,TWC,NYSE,114.75,115.68,113.55,114.9,198033.333333,
2007-03-21,TWC,NYSE,115.02,115.62,114.45,114.78,139633.333333,
2007-03-22,TWC,NYSE,114.9,115.05,113.34,114.45,79933.333333,
2007-03-23,TWC,NYSE,114.15,116.64,114.03,114.6,126500.0,
2007-03-26,TWC,NYSE,114.45,114.45,112.35,113.4,127833.333333,
2007-03-27,TWC,NYSE,113.1,113.22,111.48,112.32,85300.0,
2007-03-28,TWC,NYSE,112.26,112.32,109.65,112.05,128933.333333,
2007-03-29,TWC,NYSE,112.5,112.65,110.43,111.15,97266.666667,
2007-03-30,TWC,NYSE,111.0,113.52,111.0,112.41,107400.0,
2007-04-02,TWC,NYSE,112.2,112.41,110.7,111.15,107133.333333,
2007-04-03,TWC,NYSE,111.3,111.96,111.21,111.66,153800.0,
2007-04-04,TWC,NYSE,111.66,111.66,110.1,111.3,133866.666667,
2007-04-05,TWC,NYSE,110.85,112.05,110.73,111.0,69100.0,
2007-04-09,TWC,NYSE,111.42,111.6,109.95,110.85,53666.666667,
2007-04-10,TWC,NYSE,111.0,112.5,110.16,112.05,74633.333333,
2007-04-11,TWC,NYSE,112.44,115.02,112.44,114.12,265666.666667,
2007-04-12,TWC,NYSE,114.6,116.13,114.0,115.95,158433.333333,
2007-04-13,TWC,NYSE,116.25,117.99,115.95,117.96,144700.0,
2007-04-16,TWC,NYSE,117.9,118.5,117.54,118.35,143766.666667,
2007-04-17,TWC,NYSE,118.05,118.59,115.86,116.07,113866.666667,
2007-04-18,TWC,NYSE,115.5,117.24,115.2,116.28,53066.666667,
2007-04-19,TWC,NYSE,116.4,116.4,115.53,115.59,39533.333333,
2007-04-20,TWC,NYSE,115.95,116.16,115.35,115.65,62566.666667,
2007-04-23,TWC,NYSE,115.2,115.2,113.1,113.61,117166.666667,
2007-04-24,TWC,NYSE,113.61,113.7,111.69,111.9,243233.333333,
2007-04-25,TWC,NYSE,112.35,112.59,111.12,111.57,254300.0,
2007-04-26,TWC,NYSE,111.3,111.39,109.17,110.31,273066.666667,
2007-04-27,TWC,NYSE,109.92,110.85,109.2,109.56,156466.666667,
2007-04-30,TWC,NYSE,109.5,110.94,108.36,110.46,191066.666667,
2007-05-01,TWC,NYSE,110.46,110.49,108.3,108.66,305400.0,
2007-05-02,TWC,NYSE,111.15,112.8,109.95,110.85,670333.333333,
2007-05-03,TWC,NYSE,111.0,114.24,111.0,113.58,379066.666667,
2007-05-04,TWC,NYSE,114.0,114.84,113.1,113.34,130366.666667,
2007-05-07,TWC,NYSE,113.4,114.84,112.56,114.0,146800.0,
2007-05-08,TWC,NYSE,113.7,113.73,111.78,112.05,134833.333333,
2007-05-09,TWC,NYSE,112.35,112.47,110.43,110.94,78166.666667,
2007-05-10,TWC,NYSE,110.91,111.87,110.04,110.55,113833.333333,
2007-05-11,TWC,NYSE,110.85,112.65,110.43,111.21,150666.666667,
2007-05-14,TWC,NYSE,111.33,111.84,109.98,110.04,130700.0,
2007-05-15,TWC,NYSE,110.4,111.48,109.77,110.76,232933.333333,
2007-05-16,TWC,NYSE,112.35,113.85,111.9,112.77,224500.0,
2007-05-17,TWC,NYSE,112.95,113.22,112.26,112.98,117466.666667,
2007-05-18,TWC,NYSE,113.25,114.0,112.44,113.7,178366.666667,
2007-05-21,TWC,NYSE,116.55,116.55,114.3,114.93,214500.0,
2007-05-22,TWC,NYSE,115.5,115.95,114.87,115.56,184766.666667,
2007-05-23,TWC,NYSE,115.86,115.86,114.81,115.23,213033.333333,
2007-05-24,TWC,NYSE,115.23,115.8,114.63,114.72,152600.0,
2007-05-25,TWC,NYSE,115.08,116.1,114.69,115.65,166900.0,
2007-05-29,TWC,NYSE,115.47,118.5,115.47,116.34,391433.333333,
2007-05-30,TWC,NYSE,116.1,117.15,114.81,116.55,155300.0,
2007-05-31,TWC,NYSE,117.0,117.36,114.84,115.23,125100.0,
2007-06-01,TWC,NYSE,114.6,116.91,114.57,116.04,96200.0,
2007-06-04,TWC,NYSE,116.07,116.07,114.54,115.35,88700.0,
2007-06-05,TWC,NYSE,115.2,115.26,113.55,114.75,216966.666667,
2007-06-06,TWC,NYSE,113.7,114.63,113.61,114.42,164000.0,
2007-06-07,TWC,NYSE,114.0,114.12,112.71,113.04,114466.666667,
2007-06-08,TWC,NYSE,113.04,114.63,112.65,114.39,136366.666667,
2007-06-11,TWC,NYSE,114.0,114.93,114.0,114.75,112100.0,
2007-06-12,TWC,NYSE,114.51,114.66,112.17,112.86,286600.0,
2007-06-13,TWC,NYSE,113.22,114.24,112.95,114.21,266233.333333,
2007-06-14,TWC,NYSE,114.03,114.9,113.28,114.57,401633.333333,
2007-06-15,TWC,NYSE,114.84,116.04,114.84,115.83,382433.333333,
2007-06-18,TWC,NYSE,116.55,117.54,115.83,117.3,305366.666667,
2007-06-19,TWC,NYSE,116.4,118.53,116.25,117.36,176100.0,
2007-06-20,TWC,NYSE,120.06,120.09,117.72,117.9,542466.666667,
2007-06-21,TWC,NYSE,117.9,119.07,117.15,118.86,389766.666667,
2007-06-22,TWC,NYSE,119.1,119.1,117.18,118.5,1551400.0,
2007-06-25,TWC,NYSE,117.6,118.62,117.12,118.2,398100.0,
2007-06-26,TWC,NYSE,118.5,118.5,117.81,118.29,231366.666667,
2007-06-27,TWC,NYSE,118.38,119.1,117.96,119.1,228666.666667,
2007-06-28,TWC,NYSE,118.83,118.95,118.17,118.71,103400.0,
2007-06-29,TWC,NYSE,118.65,118.98,117.09,117.51,210000.0,
2007-07-02,TWC,NYSE,117.54,120.36,117.21,119.25,192266.666667,
2007-07-03,TWC,NYSE,120.0,120.21,119.49,120.21,156966.666667,
2007-07-05,TWC,NYSE,120.81,121.35,119.7,120.33,141333.333333,
2007-07-06,TWC,NYSE,120.3,121.11,119.52,120.81,72066.666667,
2007-07-09,TWC,NYSE,121.08,121.14,119.82,120.0,91266.666667,
2007-07-10,TWC,NYSE,120.0,120.3,118.95,119.67,209233.333333,
2007-07-11,TWC,NYSE,119.16,119.67,118.83,119.4,72833.333333,
2007-07-12,TWC,NYSE,119.7,120.33,119.16,119.82,157600.0,
2007-07-13,TWC,NYSE,120.0,120.45,119.46,120.39,68666.666667,
2007-07-16,TWC,NYSE,120.96,121.02,119.58,120.06,161166.666667,
2007-07-17,TWC,NYSE,119.97,121.74,119.82,121.35,259300.0,
2007-07-18,TWC,NYSE,121.2,123.45,120.93,123.21,243166.666667,
2007-07-19,TWC,NYSE,123.75,126.0,123.3,124.95,174233.333333,
2007-07-20,TWC,NYSE,125.01,125.16,123.36,124.65,194400.0,
2007-07-23,TWC,NYSE,124.95,126.3,124.11,125.55,153800.0,
2007-07-24,TWC,NYSE,125.1,125.58,123.9,124.65,452400.0,
2007-07-25,TWC,NYSE,125.1,125.1,123.48,123.9,302000.0,
2007-07-26,TWC,NYSE,123.06,123.3,116.01,118.59,593900.0,
2007-07-27,TWC,NYSE,118.95,118.95,116.55,117.06,208966.666667,
2007-07-30,TWC,NYSE,117.06,117.06,113.61,114.0,494233.333333,
2007-07-31,TWC,NYSE,114.75,116.55,113.94,114.66,338833.333333,
2007-08-01,TWC,NYSE,108.75,110.94,108.45,110.34,562400.0,
2007-08-02,TWC,NYSE,111.3,111.9,108.57,109.65,337166.666667,
2007-08-03,TWC,NYSE,109.92,110.01,107.1,107.16,406600.0,
2007-08-06,TWC,NYSE,107.22,109.17,103.29,107.43,346300.0,
2007-08-07,TWC,NYSE,107.94,108.06,104.25,105.45,325333.333333,
2007-08-08,TWC,NYSE,105.15,107.61,102.66,104.94,222466.666667,
2007-08-09,TWC,NYSE,104.16,104.31,99.81,102.36,218500.0,
2007-08-10,TWC,NYSE,100.74,105.0,97.92,103.8,514166.666667,
2007-08-13,TWC,NYSE,105.15,109.74,104.64,106.05,410600.0,
2007-08-14,TWC,NYSE,106.5,106.98,104.25,106.26,165733.333333,
2007-08-15,TWC,NYSE,106.41,107.22,102.42,103.26,212466.666667,
2007-08-16,TWC,NYSE,103.38,103.65,100.05,102.09,349366.666667,
2007-08-17,TWC,NYSE,102.9,104.1,100.77,101.19,183300.0,
2007-08-20,TWC,NYSE,102.0,103.02,100.71,100.92,283000.0,
2007-08-21,TWC,NYSE,101.1,101.52,98.16,99.0,289733.333333,
2007-08-22,TWC,NYSE,99.99,101.61,99.33,101.61,151900.0,
2007-08-23,TWC,NYSE,102.51,104.7,102.24,103.95,255133.333333,
2007-08-24,TWC,NYSE,103.59,105.93,102.75,105.66,66533.333333,
2007-08-27,TWC,NYSE,105.9,106.35,105.18,106.11,145233.333333,
2007-08-28,TWC,NYSE,105.6,106.14,104.34,105.0,222933.333333,
2007-08-29,TWC,NYSE,105.6,108.6,104.88,108.48,223133.333333,
2007-08-30,TWC,NYSE,108.9,109.08,107.04,108.96,289033.333333,
2007-08-31,TWC,NYSE,110.25,110.67,109.05,110.1,520733.333333,
2007-09-04,TWC,NYSE,109.41,111.09,109.26,109.8,131733.333333,
2007-09-05,TWC,NYSE,109.5,109.5,105.99,106.95,102600.0,
2007-09-06,TWC,NYSE,106.71,108.18,106.29,107.94,119266.666667,
2007-09-07,TWC,NYSE,106.5,107.37,105.6,106.11,89600.0,
2007-09-10,TWC,NYSE,105.96,106.05,104.85,105.21,66000.0,
2007-09-11,TWC,NYSE,105.6,106.95,104.7,106.56,54733.333333,
2007-09-12,TWC,NYSE,106.8,107.19,102.63,103.11,132266.666667,
2007-09-13,TWC,NYSE,103.5,105.03,103.5,104.22,194966.666667,
2007-09-14,TWC,NYSE,103.5,104.34,103.26,104.22,62233.333333,
2007-09-17,TWC,NYSE,103.95,104.1,101.58,102.36,63000.0,
2007-09-18,TWC,NYSE,101.91,102.9,101.1,102.54,118866.666667,
2007-09-19,TWC,NYSE,102.6,103.68,100.05,100.35,147733.333333,
2007-09-20,TWC,NYSE,100.71,100.83,95.88,96.75,307033.333333,
2007-09-21,TWC,NYSE,96.9,96.9,93.45,94.71,426600.0,
2007-09-24,TWC,NYSE,95.16,95.79,94.41,95.28,211466.666667,
2007-09-25,TWC,NYSE,93.33,96.42,92.31,96.39,275066.666667,
2007-09-26,TWC,NYSE,97.5,99.42,96.63,98.76,225500.0,
2007-09-27,TWC,NYSE,98.88,99.0,97.38,97.65,152200.0,
2007-09-28,TWC,NYSE,97.95,98.94,97.74,98.4,135166.666667,
2007-10-01,TWC,NYSE,98.7,98.73,95.7,98.25,119900.0,
2007-10-02,TWC,NYSE,98.04,99.42,97.74,99.42,87400.0,
2007-10-03,TWC,NYSE,99.0,99.96,98.82,99.72,116800.0,
2007-10-04,TWC,NYSE,99.63,100.65,98.91,100.23,98133.333333,
2007-10-05,TWC,NYSE,101.1,101.19,98.73,99.93,117033.333333,
2007-10-08,TWC,NYSE,99.93,100.26,98.85,99.12,29766.666667,
2007-10-09,TWC,NYSE,99.09,99.9,98.64,99.66,84733.333333,
2007-10-10,TWC,NYSE,99.0,99.78,98.76,99.6,51733.333333,
2007-10-11,TWC,NYSE,99.45,99.93,98.19,98.64,90733.333333,
2007-10-12,TWC,NYSE,99.0,99.27,98.52,99.09,32700.0,
2007-10-15,TWC,NYSE,99.0,99.66,98.49,99.66,62533.333333,
2007-10-16,TWC,NYSE,99.3,99.6,99.06,99.45,43433.333333,
