date,code,exchange,open,high,low,close,volume,count_trx
2016-03-23,UA,NYSE,41.4060984,41.4060984,41.207508,41.207508,201.4196053787,2.0
2016-03-24,UA,NYSE,40.58194824,40.58194824,40.58194824,40.58194824,100.7098026894,1.0
2016-03-30,UA,NYSE,41.18764896,41.703984,41.17771944,41.703984,3247.8911367317,20.0
2016-03-31,UA,NYSE,41.703984,41.703984,41.42595744,41.42595744,604.2588161361,4.0
2016-04-01,UA,NYSE,40.80039768,40.80039768,40.80039768,40.80039768,100.7098026894,1.0
2016-04-04,UA,NYSE,41.4060984,41.86285632,40.462794,40.462794,755.3235201702,6.0
2016-04-05,UA,NYSE,41.06849472,41.73377256,40.80039768,40.80039768,1309.2274349616,12.0
2016-04-06,UA,NYSE,41.0585652,41.703984,41.0585652,41.703984,409.8888969457,6.0
2016-04-07,UA,NYSE,41.26708512,41.26708512,41.26708512,41.26708512,4813.9285685511,1.0
2016-04-08,UA,NYSE,41.31673272,43.82890128,41.18764896,43.70974704,809397.6345281545,4345.0
2016-04-11,UA,NYSE,43.33242528,43.37214336,40.69117296,41.16778992,540705.8951490102,3380.0
2016-04-12,UA,NYSE,40.95927,41.36638032,39.94645896,41.3564508,649089.7848032936,3175.0
2016-04-13,UA,NYSE,41.03870616,42.33947328,41.03870616,41.5053936,963226.8226460092,5889.0
2016-04-14,UA,NYSE,41.63447736,42.52813416,41.61461832,41.93236296,479633.4566021318,2242.0
2016-04-15,UA,NYSE,41.27701464,41.7536316,40.9096224,41.703984,486820.1081220442,1578.0
2016-04-18,UA,NYSE,41.44581648,42.24017808,41.44581648,42.12102384,453976.6272689919,2211.0
2016-04-19,UA,NYSE,42.2501076,43.0444692,41.952222,42.696936,272865.1536025911,1400.0
2016-04-20,UA,NYSE,42.4983456,43.25298912,42.45862752,42.45862752,379342.606691965,2071.0
2016-04-21,UA,NYSE,45.675792,45.99353664,43.67995848,45.40769496,673897.6304997624,3405.0
2016-04-22,UA,NYSE,45.1296684,45.85452336,43.77925368,44.74241712,484038.5033717642,2288.0
2016-04-25,UA,NYSE,44.24594112,44.56368576,43.80904224,43.94805552,332757.2732619502,1881.0
2016-04-26,UA,NYSE,43.89840792,44.5338972,43.57073376,43.6402404,267069.3044578187,1645.0
2016-04-27,UA,NYSE,43.69981752,43.69981752,41.47560504,41.86285632,272427.0659608924,1867.0
2016-04-28,UA,NYSE,41.92243344,42.76644264,41.54511168,41.59475928,203624.1429595791,1188.0
2016-04-29,UA,NYSE,41.36638032,41.38623936,40.19469696,40.5124416,326656.2734150292,1537.0
2016-05-02,UA,NYSE,40.13511984,40.53230064,39.59892576,39.98617704,219499.0291575021,1752.0
2016-05-03,UA,NYSE,39.58899624,40.15497888,39.35068776,39.83723424,279737.5905381126,2044.0
2016-05-04,UA,NYSE,38.3279472,38.43717192,36.77894208,37.12647528,457125.822799088,2452.0
2016-05-05,UA,NYSE,37.1364048,37.89104832,36.987462,37.22577048,194247.0532311733,842.0
2016-05-06,UA,NYSE,36.739224,37.01725056,36.02429856,36.12359376,258781.8947945117,1465.0
2016-05-09,UA,NYSE,36.05408712,36.40162032,35.73634248,36.05408712,666666.6666666667,931.0
2016-05-10,UA,NYSE,36.16331184,37.01725056,36.15338232,36.2923956,197703.413659472,1150.0
2016-05-11,UA,NYSE,35.746272,35.746272,34.59444768,34.98169896,226787.3975781307,1199.0
2016-05-12,UA,NYSE,35.31930264,35.40866832,34.57458864,34.94198088,214187.5941636655,1022.0
2016-05-13,UA,NYSE,34.68381336,34.98169896,34.23698496,34.46536392,347657.2885698403,1546.0
2016-05-16,UA,NYSE,34.26677352,34.6540248,34.21712592,34.29656208,306578.7671508794,1534.0
2016-05-17,UA,NYSE,34.26677352,34.47529344,33.8596632,34.22705544,512580.6685519542,1704.0
2016-05-18,UA,NYSE,33.93909936,34.1575488,33.4624824,33.97881744,213884.4576575706,1061.0
2016-05-19,UA,NYSE,33.87952224,34.72353144,33.87952224,34.6043772,150380.8844737712,815.0
2016-05-20,UA,NYSE,34.64409528,35.3987388,34.52494104,35.32923216,263163.7783095256,1303.0
2016-05-23,UA,NYSE,35.32923216,35.746272,34.505082,34.58451816,136842.4656982412,863.0
2016-05-24,UA,NYSE,34.76324952,35.82570816,34.76324952,35.32923216,166844.9230174268,1032.0
2016-05-25,UA,NYSE,35.67676536,35.746272,35.11078272,35.22993696,208011.0619647274,1219.0
2016-05-26,UA,NYSE,35.18028936,35.22000744,34.66395432,34.67388384,210207.5427613822,826.0
2016-05-27,UA,NYSE,34.75332,34.9519104,34.59444768,34.81289712,171174.4374350422,1093.0
2016-05-31,UA,NYSE,34.99162848,35.14057128,34.43557536,34.72353144,378231.7775683014,1040.0
2016-06-01,UA,NYSE,32.89649976,33.51213,32.40002376,33.48234144,362288.4087045497,1853.0
2016-06-02,UA,NYSE,33.47241192,34.07811264,33.47241192,33.97881744,206704.8558238465,1154.0
2016-06-03,UA,NYSE,34.06818312,34.06818312,33.63128424,33.91924032,212133.1141888027,1534.0
2016-06-06,UA,NYSE,33.92916984,34.31642112,33.91924032,34.1575488,351705.8226379523,942.0
2016-06-07,UA,NYSE,34.38592776,35.03134656,33.96888792,34.9519104,251651.6407641054,1186.0
2016-06-08,UA,NYSE,35.40866832,36.27253656,35.04127608,36.18317088,452174.9288988793,2522.0
2016-06-09,UA,NYSE,35.81577864,36.0441576,35.58739968,35.88528528,184352.3151169442,881.0
2016-06-10,UA,NYSE,35.498034,36.15338232,35.4483864,35.53775208,178797.1624005994,1206.0
2016-06-13,UA,NYSE,35.48,35.73,34.63,34.68,357671.0,1338.0
2016-06-14,UA,NYSE,34.58,34.75,34.01,34.4,145939.0,761.0
2016-06-15,UA,NYSE,34.51,35.46,34.51,34.77,249768.0,1702.0
2016-06-16,UA,NYSE,34.17,34.17,33.17,33.48,179733.0,932.0
2016-06-17,UA,NYSE,33.64,34.25,33.64,34.14,527835.0,1046.0
2016-06-20,UA,NYSE,34.92,35.17,34.75,34.77,189406.0,1007.0
2016-06-21,UA,NYSE,34.75,35.48,34.75,34.92,130372.0,994.0
2016-06-22,UA,NYSE,34.95,35.0,34.26,34.32,151628.0,520.0
