date,code,exchange,open,high,low,close,volume,count_trx
2019-05-10,UBER,NYSE,42.0,44.85,41.06,41.57,76581167.0,108015.0
2019-05-13,UBER,NYSE,38.9,39.24,36.09,37.1,16033432.0,39780.0
2019-05-14,UBER,NYSE,38.4,39.96,36.85,39.96,10338267.0,22261.0
2019-05-15,UBER,NYSE,39.4,41.88,38.95,41.29,6105711.0,18154.0
2019-05-16,UBER,NYSE,41.5,44.05,41.25,43.0,11141146.0,17060.0
2019-05-17,UBER,NYSE,42.2,43.29,41.28,41.91,3853415.0,12053.0
2019-05-20,UBER,NYSE,41.08,41.68,39.46,41.59,12079053.0,12955.0
2019-05-21,UBER,NYSE,42.0,42.229,41.25,41.5,1763363.0,6471.0
2019-05-22,UBER,NYSE,41.0,41.28,40.5,41.25,1508669.0,5372.0
2019-05-23,UBER,NYSE,40.84,41.09,40.02,40.47,2089921.0,5131.0
2019-05-24,UBER,NYSE,41.28,41.51,40.5,41.51,2297557.0,3974.0
2019-05-28,UBER,NYSE,41.63,41.77,40.61,40.95,5567868.0,5847.0
2019-05-29,UBER,NYSE,40.5,40.71,39.16,39.94,2834753.0,7669.0
2019-05-30,UBER,NYSE,39.95,40.38,39.5,39.8,4573316.0,9065.0
2019-05-31,UBER,NYSE,41.0,41.57,39.41,40.41,4122405.0,13657.0
2019-06-03,UBER,NYSE,40.81,41.85,40.25,41.25,3664305.0,9424.0
2019-06-04,UBER,NYSE,42.5,42.88,40.7,42.75,4823040.0,13225.0
2019-06-05,UBER,NYSE,42.97,45.64,42.5,45.0,4778721.0,16114.0
2019-06-06,UBER,NYSE,45.04,45.75,44.29,44.92,2821525.0,9715.0
2019-06-07,UBER,NYSE,44.92,45.66,44.13,44.16,2308149.0,6497.0
2019-06-10,UBER,NYSE,44.01,44.58,42.535,42.61,2303983.0,7908.0
2019-06-11,UBER,NYSE,43.22,43.65,41.81,42.45,1919532.0,7215.0
2019-06-12,UBER,NYSE,42.48,42.65,41.71,42.17,1181608.0,4014.0
2019-06-13,UBER,NYSE,43.05,44.35,42.8,44.31,1889156.0,6781.0
2019-06-14,UBER,NYSE,44.73,44.74,43.12,43.23,1639966.0,5266.0
2019-06-17,UBER,NYSE,43.2,44.079,42.931,43.78,1852198.0,3947.0
2019-06-18,UBER,NYSE,44.31,44.89,43.76,43.86,1344183.0,4933.0
2019-06-19,UBER,NYSE,44.5,45.5,43.95,44.86,1789768.0,6827.0
2019-06-20,UBER,NYSE,45.06,45.29,43.51,43.86,1552758.0,6041.0
2019-06-21,UBER,NYSE,43.85,44.14,43.39,44.0,1126190.0,2949.0
2019-06-24,UBER,NYSE,44.0,44.07,42.825,43.09,1034323.0,3875.0
2019-06-25,UBER,NYSE,43.23,43.79,42.445,43.09,1162497.0,5653.0
2019-06-26,UBER,NYSE,43.25,43.4,42.37,42.5,1361433.0,6091.0
2019-06-27,UBER,NYSE,43.4,45.3,43.2,45.13,3323849.0,12568.0
2019-06-28,UBER,NYSE,45.15,47.08,45.14,46.38,10236496.0,17528.0
2019-07-01,UBER,NYSE,47.0,47.04,44.12,44.27,3576127.0,15219.0
2019-07-02,UBER,NYSE,44.55,44.68,43.75,44.0,3217034.0,13264.0
2019-07-03,UBER,NYSE,44.0,44.455,43.8,44.23,630869.0,2139.0
2019-07-05,UBER,NYSE,44.36,44.55,43.01,43.53,1614804.0,6501.0
2019-07-08,UBER,NYSE,43.59,43.85,42.75,42.95,2049444.0,4959.0
2019-07-09,UBER,NYSE,43.25,44.23,42.99,44.2,992763.0,2728.0
2019-07-10,UBER,NYSE,44.48,44.79,43.57,43.7,3045711.0,8285.0
2019-07-11,UBER,NYSE,44.04,44.28,43.32,43.99,1999643.0,5605.0
2019-07-12,UBER,NYSE,44.16,44.23,43.39,43.99,2237245.0,6039.0
2019-07-15,UBER,NYSE,44.19,44.69,43.98,44.53,991145.0,4710.0
2019-07-16,UBER,NYSE,44.6,44.98,44.03,44.13,1047275.0,4859.0
2019-07-17,UBER,NYSE,44.0,44.33,43.53,43.62,1191023.0,3996.0
2019-07-18,UBER,NYSE,43.5,43.85,43.2,43.71,932617.0,3971.0
2019-07-19,UBER,NYSE,43.9,44.06,43.16,43.18,772874.0,4828.0
2019-07-22,UBER,NYSE,43.25,43.715,43.02,43.69,690485.0,2731.0
2019-07-23,UBER,NYSE,43.75,44.3,43.11,43.36,845118.0,3230.0
2019-07-24,UBER,NYSE,43.36,43.87,43.36,43.76,689356.0,2800.0
2019-07-25,UBER,NYSE,43.72,43.95,43.21,43.4,722884.0,3026.0
2019-07-26,UBER,NYSE,43.39,44.95,43.39,44.52,1094747.0,3797.0
2019-07-29,UBER,NYSE,44.98,45.62,43.49,43.88,1426350.0,6634.0
2019-07-30,UBER,NYSE,43.71,43.71,42.5,42.59,1243648.0,4408.0
2019-07-31,UBER,NYSE,42.6,42.98,41.85,42.14,1282792.0,4958.0
2019-08-01,UBER,NYSE,42.14,42.53,41.0,41.31,1302490.0,5323.0
2019-08-02,UBER,NYSE,41.03,41.05,39.96,40.4,1656566.0,6135.0
2019-08-05,UBER,NYSE,39.4,39.41,38.44,39.05,1902565.0,8051.0
2019-08-06,UBER,NYSE,39.65,40.8,38.37,39.15,1504396.0,6302.0
2019-08-07,UBER,NYSE,39.0,39.98,38.33,39.7,1497414.0,7023.0
2019-08-08,UBER,NYSE,41.98,43.0,41.25,42.97,3549015.0,13102.0
2019-08-09,UBER,NYSE,39.3,40.68,38.72,40.05,4995919.0,20433.0
2019-08-12,UBER,NYSE,39.84,39.94,37.0,37.0,3439785.0,13467.0
2019-08-13,UBER,NYSE,37.0,37.46,36.12,36.45,3258343.0,12891.0
2019-08-14,UBER,NYSE,36.0,36.29,33.37,33.96,4056340.0,15803.0
2019-08-15,UBER,NYSE,34.5,34.53,32.92,33.22,2160596.0,8759.0
