date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,UNP,NYSE,11.03125,11.03125,10.734375,10.765625,2941200.0,
2000-01-04,UNP,NYSE,10.765625,10.84375,10.671875,10.75,4325200.0,
2000-01-05,UNP,NYSE,10.75,10.90625,10.734375,10.75,3147600.0,
2000-01-06,UNP,NYSE,10.75,11.5,10.75,11.40625,5184000.0,
2000-01-07,UNP,NYSE,11.40625,11.421875,11.15625,11.328125,2842000.0,
2000-01-10,UNP,NYSE,11.59375,11.6875,11.375,11.59375,2937200.0,
2000-01-11,UNP,NYSE,11.5625,11.796875,11.5625,11.6875,2140800.0,
2000-01-12,UNP,NYSE,11.625,11.703125,11.40625,11.453125,1898000.0,
2000-01-13,UNP,NYSE,11.453125,11.90625,11.34375,11.65625,2759600.0,
2000-01-14,UNP,NYSE,11.6875,11.734375,11.421875,11.515625,2043200.0,
2000-01-18,UNP,NYSE,11.390625,11.46875,11.0625,11.09375,2658800.0,
2000-01-19,UNP,NYSE,10.78125,10.90625,10.5625,10.90625,4967200.0,
2000-01-20,UNP,NYSE,11.0625,11.1875,10.21875,10.5,7096400.0,
2000-01-21,UNP,NYSE,10.640625,11.046875,10.625,10.9375,4274800.0,
2000-01-24,UNP,NYSE,10.953125,11.0625,10.59375,10.609375,2657600.0,
2000-01-25,UNP,NYSE,10.609375,10.671875,10.0,10.234375,4656800.0,
2000-01-26,UNP,NYSE,10.25,10.453125,9.984375,10.453125,3010800.0,
2000-01-27,UNP,NYSE,10.5,10.5,10.015625,10.0625,3142000.0,
2000-01-28,UNP,NYSE,10.078125,10.328125,9.9375,10.15625,2577200.0,
2000-01-31,UNP,NYSE,10.15625,10.28125,9.953125,10.0,3013600.0,
2000-02-01,UNP,NYSE,10.0,10.09375,9.875,10.078125,2361200.0,
2000-02-02,UNP,NYSE,10.03125,10.0625,9.65625,9.6875,3238800.0,
2000-02-03,UNP,NYSE,9.8125,9.875,9.75,9.828125,3006800.0,
2000-02-04,UNP,NYSE,9.9375,10.21875,9.921875,10.078125,2888400.0,
2000-02-07,UNP,NYSE,10.0625,10.125,9.875,9.921875,2343200.0,
2000-02-08,UNP,NYSE,9.984375,10.0,9.65625,9.671875,2617600.0,
2000-02-09,UNP,NYSE,9.8125,10.125,9.71875,9.734375,4157600.0,
2000-02-10,UNP,NYSE,9.734375,9.734375,8.96875,9.265625,7303600.0,
2000-02-11,UNP,NYSE,9.28125,9.34375,9.15625,9.1875,2816400.0,
2000-02-14,UNP,NYSE,9.3125,9.5,9.234375,9.5,4022800.0,
2000-02-15,UNP,NYSE,9.625,9.703125,9.453125,9.703125,5917200.0,
2000-02-16,UNP,NYSE,9.75,9.84375,9.25,9.34375,4619600.0,
2000-02-17,UNP,NYSE,9.375,9.5,9.1875,9.46875,2698800.0,
2000-02-18,UNP,NYSE,9.5,9.5625,9.359375,9.4375,3111200.0,
2000-02-22,UNP,NYSE,9.484375,9.84375,9.484375,9.703125,2551200.0,
2000-02-23,UNP,NYSE,9.703125,9.859375,9.703125,9.828125,3502000.0,
2000-02-24,UNP,NYSE,9.875,9.875,9.0625,9.3125,6046800.0,
2000-02-25,UNP,NYSE,9.3125,9.375,9.140625,9.359375,2520000.0,
2000-02-28,UNP,NYSE,9.359375,9.6875,9.21875,9.625,2879200.0,
2000-02-29,UNP,NYSE,9.609375,9.703125,9.484375,9.5,2968400.0,
2000-03-01,UNP,NYSE,9.53125,9.65625,9.515625,9.5625,6135600.0,
2000-03-02,UNP,NYSE,9.546875,9.546875,9.359375,9.453125,3130400.0,
2000-03-03,UNP,NYSE,9.4375,9.875,9.390625,9.84375,4506000.0,
2000-03-06,UNP,NYSE,9.78125,9.78125,9.328125,9.390625,2847200.0,
2000-03-07,UNP,NYSE,9.3125,9.375,8.921875,9.0,4144400.0,
2000-03-08,UNP,NYSE,9.125,9.265625,9.0625,9.078125,4076800.0,
2000-03-09,UNP,NYSE,9.125,9.125,8.640625,8.984375,5696400.0,
2000-03-10,UNP,NYSE,8.921875,9.046875,8.71875,8.765625,5392000.0,
2000-03-13,UNP,NYSE,8.734375,8.8125,8.5625,8.8125,3102800.0,
2000-03-14,UNP,NYSE,8.875,8.875,8.71875,8.8125,3056000.0,
2000-03-15,UNP,NYSE,8.78125,9.34375,8.78125,9.34375,3323200.0,
2000-03-16,UNP,NYSE,9.453125,9.9375,9.296875,9.9375,5863200.0,
2000-03-17,UNP,NYSE,10.0,10.15625,9.9375,10.109375,3820000.0,
2000-03-20,UNP,NYSE,10.109375,10.15625,9.421875,9.5625,3449600.0,
2000-03-21,UNP,NYSE,9.4375,10.03125,9.4375,10.03125,4253200.0,
2000-03-22,UNP,NYSE,10.0625,10.09375,9.578125,9.65625,3249600.0,
2000-03-23,UNP,NYSE,9.5,9.6875,9.421875,9.671875,2506000.0,
2000-03-24,UNP,NYSE,9.640625,9.71875,9.4375,9.53125,2188000.0,
2000-03-27,UNP,NYSE,9.5,9.71875,9.5,9.671875,1901600.0,
2000-03-28,UNP,NYSE,9.59375,9.671875,9.25,9.296875,2496000.0,
2000-03-29,UNP,NYSE,9.296875,9.46875,9.265625,9.453125,2587600.0,
2000-03-30,UNP,NYSE,9.5,9.5,9.25,9.296875,2512400.0,
2000-03-31,UNP,NYSE,9.359375,9.78125,9.3125,9.78125,3214000.0,
2000-04-03,UNP,NYSE,9.78125,9.78125,9.65625,9.6875,4236400.0,
2000-04-04,UNP,NYSE,9.71875,9.828125,9.390625,9.671875,2893600.0,
2000-04-05,UNP,NYSE,9.6875,10.25,9.671875,10.25,4116800.0,
2000-04-06,UNP,NYSE,10.25,10.59375,10.21875,10.3125,4076800.0,
2000-04-07,UNP,NYSE,10.28125,10.28125,9.921875,10.1875,2385600.0,
2000-04-10,UNP,NYSE,10.125,10.578125,10.125,10.40625,2791600.0,
2000-04-11,UNP,NYSE,10.40625,10.796875,10.40625,10.78125,2933600.0,
2000-04-12,UNP,NYSE,10.78125,11.015625,10.609375,10.953125,4544800.0,
2000-04-13,UNP,NYSE,10.921875,10.9375,10.515625,10.703125,3025600.0,
2000-04-14,UNP,NYSE,10.671875,10.671875,10.1875,10.265625,2874800.0,
