date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,UPS,NYSE,69.6875,69.75,67.0,67.0625,763800.0,
2000-01-04,UPS,NYSE,67.0,67.0,64.75,64.9375,850000.0,
2000-01-05,UPS,NYSE,64.875,66.5,64.8125,66.25,874400.0,
2000-01-06,UPS,NYSE,65.875,68.0,65.0,68.0,1427800.0,
2000-01-07,UPS,NYSE,67.625,67.625,66.3125,66.375,658700.0,
2000-01-10,UPS,NYSE,66.875,67.4375,66.4375,67.0,771100.0,
2000-01-11,UPS,NYSE,67.125,67.375,66.375,66.4375,657700.0,
2000-01-12,UPS,NYSE,66.125,67.5,65.4375,67.3125,689200.0,
2000-01-13,UPS,NYSE,67.625,68.5,67.4375,68.5,635800.0,
2000-01-14,UPS,NYSE,68.875,69.25,68.3125,69.0,650800.0,
2000-01-18,UPS,NYSE,69.0,69.0,67.4375,68.6875,630900.0,
2000-01-19,UPS,NYSE,68.5,68.5625,67.5,68.125,838100.0,
2000-01-20,UPS,NYSE,68.125,69.125,68.125,68.875,1509300.0,
2000-01-21,UPS,NYSE,68.875,68.875,66.75,67.1875,909700.0,
2000-01-24,UPS,NYSE,67.875,68.25,66.0,66.1875,470700.0,
2000-01-25,UPS,NYSE,65.625,65.75,64.75,65.6875,786300.0,
2000-01-26,UPS,NYSE,65.25,65.5,64.5,65.125,583600.0,
2000-01-27,UPS,NYSE,65.3125,65.3125,64.0,65.125,795500.0,
2000-01-28,UPS,NYSE,65.125,65.875,64.5,64.9375,995600.0,
2000-01-31,UPS,NYSE,63.0,63.125,59.0,59.5,4154900.0,
2000-02-01,UPS,NYSE,59.6875,60.5,58.3125,60.5,3847300.0,
2000-02-02,UPS,NYSE,59.75,59.8125,57.1875,58.25,3580900.0,
2000-02-03,UPS,NYSE,59.25,59.5,57.375,57.4375,1307800.0,
2000-02-04,UPS,NYSE,58.1875,58.1875,56.125,56.3125,1033500.0,
2000-02-07,UPS,NYSE,56.625,56.8125,55.5,55.75,844400.0,
2000-02-08,UPS,NYSE,56.25,59.125,55.75,58.8125,1212000.0,
2000-02-09,UPS,NYSE,59.5,59.5625,58.125,58.125,784300.0,
2000-02-10,UPS,NYSE,58.0625,58.5,56.5,57.0625,734400.0,
2000-02-11,UPS,NYSE,56.8125,57.0,55.125,55.125,633000.0,
2000-02-14,UPS,NYSE,55.3125,55.4375,54.125,54.5625,1417100.0,
2000-02-15,UPS,NYSE,54.4375,55.0,53.5625,54.9375,757900.0,
2000-02-16,UPS,NYSE,55.1875,56.4375,54.5,55.875,1217600.0,
2000-02-17,UPS,NYSE,56.5,58.25,56.25,58.0,706200.0,
2000-02-18,UPS,NYSE,58.0,59.4375,55.25,56.9375,1178800.0,
2000-02-22,UPS,NYSE,56.9375,56.9375,54.625,54.9375,773200.0,
2000-02-23,UPS,NYSE,55.0625,56.1875,54.0625,54.9375,585400.0,
2000-02-24,UPS,NYSE,55.0,55.0,53.8125,54.1875,756500.0,
2000-02-25,UPS,NYSE,54.9375,55.75,54.0625,55.5,655700.0,
2000-02-28,UPS,NYSE,55.5625,55.625,54.5,55.0,349100.0,
2000-02-29,UPS,NYSE,55.0,55.3125,54.5,54.625,503500.0,
2000-03-01,UPS,NYSE,54.625,54.6875,51.875,52.5,892500.0,
2000-03-02,UPS,NYSE,52.125,53.625,52.125,53.3125,730600.0,
2000-03-03,UPS,NYSE,53.3125,53.375,52.5625,52.6875,670400.0,
2000-03-06,UPS,NYSE,54.375,54.375,52.5,52.5,1023200.0,
2000-03-07,UPS,NYSE,52.75,52.8125,49.5,50.0625,1575100.0,
2000-03-08,UPS,NYSE,52.75,54.5,51.3125,54.5,1643300.0,
2000-03-09,UPS,NYSE,54.5,54.5,52.5,54.1875,895600.0,
2000-03-10,UPS,NYSE,53.75,54.375,53.125,53.3125,554200.0,
2000-03-13,UPS,NYSE,52.25,54.0625,52.25,52.875,439400.0,
2000-03-14,UPS,NYSE,52.5,53.5,52.375,52.5625,809400.0,
2000-03-15,UPS,NYSE,52.9375,55.25,51.625,54.9375,1912100.0,
2000-03-16,UPS,NYSE,55.875,57.625,55.125,56.25,1255400.0,
2000-03-17,UPS,NYSE,57.0625,57.0625,55.5625,55.625,350500.0,
2000-03-20,UPS,NYSE,56.5,56.875,55.3125,56.5625,536400.0,
2000-03-21,UPS,NYSE,56.3125,58.375,55.3125,58.1875,602800.0,
2000-03-22,UPS,NYSE,58.1875,59.0625,56.8125,56.8125,534100.0,
2000-03-23,UPS,NYSE,56.8125,59.9375,56.0625,59.625,1111300.0,
2000-03-24,UPS,NYSE,60.0,64.0,59.8125,63.5,1491000.0,
2000-03-27,UPS,NYSE,63.0,64.0,62.625,63.1875,651500.0,
2000-03-28,UPS,NYSE,62.5,63.0,60.0625,60.25,427400.0,
2000-03-29,UPS,NYSE,61.25,61.25,58.3125,59.0625,654700.0,
2000-03-30,UPS,NYSE,58.8125,60.125,58.3125,58.5625,423000.0,
2000-03-31,UPS,NYSE,59.5625,63.0,58.375,63.0,479300.0,
2000-04-03,UPS,NYSE,62.0,62.0,59.0,59.375,669500.0,
2000-04-04,UPS,NYSE,59.375,59.75,55.4375,57.8125,1022100.0,
2000-04-05,UPS,NYSE,56.8125,58.25,56.8125,58.1875,285500.0,
