date,code,exchange,open,high,low,close,volume,count_trx
2018-02-01,VICI,NYSE,21.08,21.33,20.67,20.89,10890374.0,8922.0
2018-02-02,VICI,NYSE,20.75,21.1,20.4,21.01,652444.0,2062.0
2018-02-05,VICI,NYSE,20.78,21.08,18.49,20.61,359280.0,1349.0
2018-02-06,VICI,NYSE,20.24,20.91,19.5,20.5,408421.0,1685.0
2018-02-07,VICI,NYSE,20.31,20.93,20.31,20.76,7295768.0,2658.0
2018-02-08,VICI,NYSE,20.55,20.69,19.9,20.0,509426.0,1521.0
2018-02-09,VICI,NYSE,20.0,20.3,19.02,19.91,542115.0,2119.0
2018-02-12,VICI,NYSE,19.96,20.0,19.38,19.58,369573.0,1015.0
2018-02-13,VICI,NYSE,19.7,19.74,19.42,19.7,232089.0,681.0
2018-02-14,VICI,NYSE,19.67,19.75,19.4,19.65,404688.0,795.0
2018-02-15,VICI,NYSE,19.81,19.95,19.5,19.85,201912.0,882.0
2018-02-16,VICI,NYSE,19.9,20.0,19.65,19.99,132710.0,669.0
2018-02-20,VICI,NYSE,19.85,20.07,19.85,20.0,216439.0,654.0
2018-02-21,VICI,NYSE,19.99,20.0,19.6,19.67,238275.0,666.0
2018-02-22,VICI,NYSE,19.72,20.0,19.68,19.84,824667.0,948.0
2018-02-23,VICI,NYSE,19.85,19.91,19.67,19.82,424258.0,1256.0
2018-02-26,VICI,NYSE,19.79,19.79,19.53,19.7,300368.0,1002.0
2018-02-27,VICI,NYSE,19.76,19.82,19.39,19.46,334528.0,898.0
2018-02-28,VICI,NYSE,19.43,19.71,19.31,19.55,335961.0,1161.0
2018-03-01,VICI,NYSE,19.55,19.7,19.36,19.49,337094.0,1580.0
2018-03-02,VICI,NYSE,19.49,19.52,19.16,19.4,205509.0,1079.0
2018-03-05,VICI,NYSE,19.36,19.51,19.31,19.47,160530.0,617.0
2018-03-06,VICI,NYSE,19.6,19.71,19.5,19.61,225764.0,881.0
2018-03-07,VICI,NYSE,19.54,19.7,19.4,19.61,223567.0,857.0
2018-03-08,VICI,NYSE,19.59,19.64,19.2,19.29,322637.0,1313.0
2018-03-09,VICI,NYSE,19.08,19.65,19.08,19.6,450336.0,1634.0
2018-03-12,VICI,NYSE,19.6,19.65,19.24,19.39,231851.0,1039.0
2018-03-13,VICI,NYSE,19.4,19.65,19.4,19.6,446678.0,920.0
2018-03-14,VICI,NYSE,19.63,19.72,19.59,19.63,1065914.0,639.0
2018-03-15,VICI,NYSE,19.65,19.75,19.21,19.42,1229362.0,1420.0
2018-03-16,VICI,NYSE,19.25,19.5,19.25,19.42,11449011.0,869.0
2018-03-19,VICI,NYSE,19.43,19.43,19.16,19.23,1191360.0,952.0
2018-03-20,VICI,NYSE,19.34,19.34,18.86,19.03,1187527.0,1101.0
2018-03-21,VICI,NYSE,18.99,19.02,18.77,18.97,271831.0,1239.0
2018-03-22,VICI,NYSE,18.85,19.0,18.76,18.8,200112.0,849.0
2018-03-23,VICI,NYSE,18.85,18.93,18.28,18.47,686749.0,1234.0
2018-03-26,VICI,NYSE,18.67,18.93,18.51,18.66,847162.0,841.0
2018-03-27,VICI,NYSE,18.75,18.75,18.33,18.48,398366.0,1138.0
2018-03-28,VICI,NYSE,18.37,18.41,18.16,18.27,427685.0,1323.0
2018-03-29,VICI,NYSE,18.13,18.41,17.94,18.32,492894.0,1396.0
2018-04-02,VICI,NYSE,18.35,18.38,18.15,18.29,301362.0,963.0
2018-04-03,VICI,NYSE,18.33,18.34,18.14,18.27,527600.0,813.0
2018-04-04,VICI,NYSE,18.16,18.34,18.02,18.13,534499.0,1443.0
2018-04-05,VICI,NYSE,18.17,18.29,18.05,18.18,447652.0,791.0
2018-04-06,VICI,NYSE,18.17,18.34,18.08,18.28,345367.0,1014.0
2018-04-09,VICI,NYSE,18.29,18.33,18.1,18.14,280356.0,1042.0
2018-04-10,VICI,NYSE,18.29,18.29,18.01,18.16,399652.0,1042.0
2018-04-11,VICI,NYSE,18.05,18.21,17.98,18.17,306327.0,858.0
2018-04-12,VICI,NYSE,18.17,18.18,17.91,18.17,206735.0,535.0
2018-04-13,VICI,NYSE,18.2,18.24,18.03,18.2,144592.0,568.0
2018-04-16,VICI,NYSE,18.2,18.34,18.14,18.23,163549.0,614.0
2018-04-17,VICI,NYSE,18.27,18.35,18.25,18.27,342095.0,605.0
2018-04-18,VICI,NYSE,18.29,18.41,18.26,18.38,130220.0,527.0
2018-04-19,VICI,NYSE,18.38,18.39,18.21,18.23,157563.0,636.0
2018-04-20,VICI,NYSE,18.25,18.25,18.09,18.18,196758.0,654.0
2018-04-23,VICI,NYSE,18.24,18.24,17.58,18.09,162127.0,499.0
2018-04-24,VICI,NYSE,18.08,18.23,17.955,18.04,401213.0,673.0
2018-04-25,VICI,NYSE,17.95,18.1,17.95,18.04,135383.0,566.0
2018-04-26,VICI,NYSE,18.03,18.11,17.98,18.01,226288.0,495.0
2018-04-27,VICI,NYSE,17.98,18.09,17.82,18.05,161658.0,605.0
2018-04-30,VICI,NYSE,18.06,18.2,17.99,18.18,330053.0,903.0
2018-05-01,VICI,NYSE,18.1,18.225,17.9,18.21,484593.0,836.0
2018-05-02,VICI,NYSE,18.12,18.16,17.83,17.87,349007.0,1013.0
2018-05-03,VICI,NYSE,17.83,18.045,17.82,17.85,402894.0,1183.0
2018-05-04,VICI,NYSE,17.85,18.27,17.8,18.02,380781.0,1255.0
2018-05-07,VICI,NYSE,18.0,18.27,17.98,18.16,444999.0,1567.0
2018-05-08,VICI,NYSE,18.14,18.59,18.13,18.41,1146227.0,1500.0
2018-05-09,VICI,NYSE,18.75,19.44,18.75,18.89,635464.0,2041.0
2018-05-10,VICI,NYSE,19.0,19.15,18.99,19.12,267063.0,911.0
2018-05-11,VICI,NYSE,19.08,19.1,18.86,19.0,329658.0,1224.0
2018-05-14,VICI,NYSE,19.1,19.315,19.08,19.3,418497.0,1067.0
2018-05-15,VICI,NYSE,19.28,19.52,19.25,19.35,1309419.0,1533.0
2018-05-16,VICI,NYSE,19.31,19.77,19.31,19.65,508686.0,1080.0
2018-05-17,VICI,NYSE,19.79,20.03,19.7,19.7,458655.0,1166.0
2018-05-18,VICI,NYSE,19.76,19.79,19.46,19.56,279286.0,1162.0
2018-05-21,VICI,NYSE,19.64,19.95,19.6,19.76,491996.0,1328.0
2018-05-22,VICI,NYSE,19.82,19.85,19.66,19.75,965656.0,887.0
2018-05-23,VICI,NYSE,19.73,19.92,19.73,19.9,446605.0,1184.0
2018-05-24,VICI,NYSE,19.92,19.94,19.76,19.85,281332.0,652.0
2018-05-25,VICI,NYSE,19.85,19.97,19.76,19.86,266962.0,808.0
2018-05-29,VICI,NYSE,19.88,20.0,19.8,19.94,509167.0,1187.0
2018-05-30,VICI,NYSE,20.03,20.03,19.86,19.95,625347.0,1394.0
2018-05-31,VICI,NYSE,19.88,20.02,19.32,19.37,8445889.0,2641.0
2018-06-01,VICI,NYSE,19.66,19.935,19.48,19.88,581772.0,1648.0
2018-06-04,VICI,NYSE,20.17,20.47,20.0,20.37,1091275.0,2460.0
2018-06-05,VICI,NYSE,20.38,20.48,19.97,20.11,1194096.0,1510.0
2018-06-06,VICI,NYSE,20.07,20.24,19.93,19.98,365842.0,772.0
2018-06-07,VICI,NYSE,20.07,20.17,19.92,20.01,1093158.0,1281.0
2018-06-08,VICI,NYSE,20.05,20.5,19.99,20.44,2184830.0,1710.0
2018-06-11,VICI,NYSE,20.5,20.62,20.42,20.53,348888.0,1192.0
2018-06-12,VICI,NYSE,20.49,20.665,20.44,20.6,1289404.0,986.0
2018-06-13,VICI,NYSE,20.61,20.72,20.52,20.6,2795090.0,1354.0
2018-06-14,VICI,NYSE,20.65,20.74,20.47,20.53,2975676.0,994.0
2018-06-15,VICI,NYSE,20.5,20.75,20.46,20.52,6045136.0,1296.0
2018-06-18,VICI,NYSE,20.43,20.75,20.43,20.6,3024423.0,1392.0
2018-06-19,VICI,NYSE,20.5,20.84,20.5,20.65,2690827.0,1333.0
2018-06-20,VICI,NYSE,20.67,21.01,20.64,20.94,578770.0,1736.0
2018-06-21,VICI,NYSE,20.98,21.0,20.86,20.97,359554.0,1024.0
2018-06-22,VICI,NYSE,21.09,21.09,20.85,20.98,1120563.0,873.0
2018-06-25,VICI,NYSE,20.95,20.95,20.69,20.84,374253.0,1036.0
2018-06-26,VICI,NYSE,20.77,20.89,20.69,20.79,1414484.0,1148.0
2018-06-27,VICI,NYSE,20.5,20.64,20.39,20.48,573496.0,1347.0
2018-06-28,VICI,NYSE,20.53,20.53,20.35,20.47,441002.0,915.0
2018-06-29,VICI,NYSE,20.34,20.76,20.19,20.64,523608.0,1053.0
2018-07-02,VICI,NYSE,20.57,20.72,20.48,20.7,330276.0,881.0
2018-07-03,VICI,NYSE,20.89,20.94,20.68,20.86,347794.0,834.0
2018-07-05,VICI,NYSE,20.97,21.0,20.81,20.99,334094.0,907.0
2018-07-06,VICI,NYSE,21.02,21.115,20.93,21.1,415184.0,1162.0
2018-07-09,VICI,NYSE,21.13,21.22,21.08,21.11,232329.0,770.0
2018-07-10,VICI,NYSE,21.18,21.21,21.05,21.14,560877.0,675.0
2018-07-11,VICI,NYSE,21.04,21.15,20.81,20.96,246376.0,1014.0
2018-07-12,VICI,NYSE,20.92,21.09,20.86,20.94,229669.0,752.0
2018-07-13,VICI,NYSE,20.99,21.18,20.99,21.17,255800.0,762.0
2018-07-16,VICI,NYSE,21.18,21.21,21.035,21.17,223574.0,646.0
2018-07-17,VICI,NYSE,21.17,21.25,20.95,20.95,656235.0,889.0
2018-07-18,VICI,NYSE,20.93,21.0,20.66,20.74,762349.0,908.0
2018-07-19,VICI,NYSE,20.75,20.88,20.56,20.77,617952.0,1586.0
2018-07-20,VICI,NYSE,20.87,20.87,20.605,20.73,460578.0,803.0
2018-07-23,VICI,NYSE,20.78,20.8,20.515,20.6,316997.0,1304.0
2018-07-24,VICI,NYSE,20.66,20.7,20.48,20.48,446773.0,1190.0
2018-07-25,VICI,NYSE,20.5,20.65,20.47,20.56,201257.0,862.0
2018-07-26,VICI,NYSE,20.51,20.735,20.48,20.5,346929.0,562.0
2018-07-27,VICI,NYSE,20.47,20.495,20.24,20.32,173056.0,821.0
2018-07-30,VICI,NYSE,20.34,20.545,20.26,20.41,175687.0,729.0
2018-07-31,VICI,NYSE,20.38,20.6,20.305,20.35,563541.0,1187.0
2018-08-01,VICI,NYSE,20.29,20.44,19.98,20.0,418683.0,1252.0
2018-08-02,VICI,NYSE,19.96,20.03,19.59,19.65,762243.0,2581.0
2018-08-03,VICI,NYSE,19.65,20.0,19.33,19.54,498102.0,1471.0
2018-08-06,VICI,NYSE,19.55,19.82,19.53,19.75,228083.0,821.0
2018-08-07,VICI,NYSE,19.74,19.93,19.64,19.86,318975.0,1185.0
2018-08-08,VICI,NYSE,19.93,20.325,19.8,20.27,322690.0,804.0
2018-08-09,VICI,NYSE,20.22,20.34,20.0,20.12,192586.0,647.0
2018-08-10,VICI,NYSE,19.99,20.17,19.99,20.15,194971.0,637.0
2018-08-13,VICI,NYSE,20.19,20.25,19.99,20.08,206480.0,682.0
2018-08-14,VICI,NYSE,20.28,20.4,20.06,20.1,364387.0,708.0
2018-08-15,VICI,NYSE,20.08,20.41,20.08,20.41,262015.0,691.0
2018-08-16,VICI,NYSE,20.49,20.72,20.36,20.67,419117.0,852.0
2018-08-17,VICI,NYSE,20.67,20.88,20.635,20.67,220819.0,573.0
2018-08-20,VICI,NYSE,20.61,20.68,20.31,20.46,542200.0,938.0
2018-08-21,VICI,NYSE,20.41,20.79,20.39,20.67,218481.0,778.0
2018-08-22,VICI,NYSE,20.66,20.7,20.51,20.53,221728.0,545.0
2018-08-23,VICI,NYSE,20.51,20.75,20.5,20.69,161538.0,528.0
2018-08-24,VICI,NYSE,20.71,20.81,20.64,20.7,164456.0,464.0
2018-08-27,VICI,NYSE,20.74,20.81,20.7,20.81,411942.0,602.0
2018-08-28,VICI,NYSE,20.86,20.99,20.77,20.93,497198.0,1732.0
2018-08-29,VICI,NYSE,21.0,21.0,20.86,20.9,245480.0,704.0
2018-08-30,VICI,NYSE,20.85,20.88,20.635,20.64,340256.0,618.0
2018-08-31,VICI,NYSE,20.64,20.93,20.64,20.91,345073.0,691.0
2018-09-04,VICI,NYSE,20.85,21.0,20.76,20.93,243661.0,720.0
2018-09-05,VICI,NYSE,20.91,20.985,20.73,20.9,224634.0,725.0
2018-09-06,VICI,NYSE,20.89,20.99,20.8,20.81,350712.0,950.0
2018-09-07,VICI,NYSE,20.8,20.87,20.74,20.84,284689.0,841.0
2018-09-10,VICI,NYSE,20.95,21.055,20.93,21.01,586292.0,1409.0
2018-09-11,VICI,NYSE,21.0,21.04,20.82,20.97,733456.0,1080.0
2018-09-12,VICI,NYSE,20.94,21.17,20.9,20.97,292644.0,1227.0
2018-09-13,VICI,NYSE,21.05,21.16,21.025,21.11,684843.0,893.0
2018-09-14,VICI,NYSE,21.16,21.35,21.02,21.27,412896.0,1295.0
2018-09-17,VICI,NYSE,21.34,21.76,21.32,21.52,817898.0,1271.0
2018-09-18,VICI,NYSE,21.55,21.71,21.53,21.6,461417.0,1049.0
2018-09-19,VICI,NYSE,21.6,21.8,21.45,21.49,1572781.0,1670.0
2018-09-20,VICI,NYSE,21.57,21.6,21.36,21.42,1587082.0,1826.0
2018-09-21,VICI,NYSE,21.5,21.54,21.38,21.43,8534215.0,1648.0
2018-09-24,VICI,NYSE,21.51,21.51,21.09,21.27,1235941.0,1523.0
2018-09-25,VICI,NYSE,21.33,21.465,21.26,21.3,1372835.0,1211.0
2018-09-26,VICI,NYSE,21.29,21.49,21.055,21.09,734617.0,1365.0
2018-09-27,VICI,NYSE,21.09,21.29,20.89,21.15,514825.0,1080.0
2018-09-28,VICI,NYSE,21.13,21.63,21.12,21.62,1234390.0,1236.0
2018-10-01,VICI,NYSE,21.65,21.71,21.235,21.24,534331.0,1422.0
2018-10-02,VICI,NYSE,21.22,21.62,21.17,21.52,359364.0,1707.0
2018-10-03,VICI,NYSE,21.55,21.68,21.28,21.3,433589.0,1103.0
2018-10-04,VICI,NYSE,21.26,21.26,21.08,21.19,311900.0,810.0
2018-10-05,VICI,NYSE,21.24,21.29,20.91,20.97,365709.0,1036.0
2018-10-08,VICI,NYSE,21.05,21.435,20.95,21.37,617685.0,1630.0
2018-10-09,VICI,NYSE,21.32,21.61,21.25,21.5,504525.0,1076.0
2018-10-10,VICI,NYSE,21.52,21.52,21.21,21.21,395211.0,1050.0
2018-10-11,VICI,NYSE,21.16,21.16,20.59,20.63,582753.0,1286.0
2018-10-12,VICI,NYSE,20.76,20.84,20.43,20.64,341246.0,998.0
2018-10-15,VICI,NYSE,20.82,20.97,20.77,20.88,306359.0,1036.0
2018-10-16,VICI,NYSE,20.95,21.25,20.86,21.09,435751.0,1505.0
2018-10-17,VICI,NYSE,21.11,21.65,21.07,21.45,772396.0,1996.0
2018-10-18,VICI,NYSE,21.46,21.6,21.38,21.5,334977.0,1146.0
2018-10-19,VICI,NYSE,21.54,21.65,21.44,21.64,544283.0,1369.0
2018-10-22,VICI,NYSE,21.7,21.7,21.21,21.26,393733.0,1185.0
2018-10-23,VICI,NYSE,21.16,21.4,20.93,21.35,418744.0,1238.0
2018-10-24,VICI,NYSE,21.55,21.71,21.43,21.52,469714.0,1485.0
2018-10-25,VICI,NYSE,21.56,22.1,21.48,21.98,604013.0,2029.0
2018-10-26,VICI,NYSE,21.97,22.02,21.47,21.8,1116604.0,1980.0
2018-10-29,VICI,NYSE,21.93,22.15,21.53,21.55,776060.0,2544.0
2018-10-30,VICI,NYSE,21.65,21.82,21.41,21.51,768429.0,2758.0
2018-10-31,VICI,NYSE,21.6,21.9,21.45,21.59,854404.0,2188.0
2018-11-01,VICI,NYSE,21.57,21.865,21.55,21.82,950227.0,2110.0
2018-11-02,VICI,NYSE,21.83,22.21,21.2,21.43,812378.0,2378.0
2018-11-05,VICI,NYSE,21.34,21.78,21.34,21.52,872897.0,1496.0
2018-11-06,VICI,NYSE,21.54,21.87,21.48,21.8,1187977.0,1488.0
2018-11-07,VICI,NYSE,21.91,22.145,21.82,22.13,744339.0,1314.0
2018-11-08,VICI,NYSE,22.16,22.17,21.68,21.75,652442.0,1598.0
2018-11-09,VICI,NYSE,21.68,21.83,21.64,21.7,811909.0,1473.0
2018-11-12,VICI,NYSE,21.66,21.79,21.47,21.51,264619.0,1088.0
2018-11-13,VICI,NYSE,21.54,21.6,21.31,21.47,270264.0,958.0
2018-11-14,VICI,NYSE,21.23,21.69,21.1,21.44,965938.0,2803.0
2018-11-15,VICI,NYSE,21.3,21.385,21.05,21.13,3821311.0,4734.0
2018-11-16,VICI,NYSE,21.12,21.42,21.1,21.3,1171982.0,2650.0
2018-11-19,VICI,NYSE,21.34,21.52,21.34,21.42,2687407.0,2674.0
2018-11-20,VICI,NYSE,21.38,21.5,21.23,21.23,749978.0,2126.0
2018-11-21,VICI,NYSE,21.25,21.52,21.25,21.42,1367754.0,2577.0
2018-11-23,VICI,NYSE,21.36,21.7,21.33,21.65,12831415.0,2313.0
2018-11-26,VICI,NYSE,22.37,22.37,21.52,21.88,3265146.0,4025.0
2018-11-27,VICI,NYSE,22.0,22.17,21.91,22.08,2271853.0,2524.0
2018-11-28,VICI,NYSE,22.06,22.24,21.89,22.04,1034987.0,2502.0
2018-11-29,VICI,NYSE,22.07,22.235,22.0,22.07,744134.0,1745.0
2018-11-30,VICI,NYSE,22.16,22.24,21.77,21.77,7424761.0,2623.0
2018-12-03,VICI,NYSE,21.86,21.98,21.68,21.76,2217037.0,1639.0
2018-12-04,VICI,NYSE,21.82,21.87,21.41,21.41,907683.0,2108.0
2018-12-06,VICI,NYSE,21.31,21.89,21.155,21.89,1490490.0,2357.0
2018-12-07,VICI,NYSE,22.07,22.07,21.425,21.53,1008553.0,2242.0
2018-12-10,VICI,NYSE,21.47,21.53,20.7,20.92,2487811.0,3177.0
2018-12-11,VICI,NYSE,21.05,21.27,20.85,20.94,870765.0,1912.0
2018-12-12,VICI,NYSE,21.08,21.1,20.63,20.65,1380076.0,1541.0
2018-12-13,VICI,NYSE,20.64,20.91,20.575,20.66,1317812.0,1553.0
2018-12-14,VICI,NYSE,20.53,20.789,20.49,20.64,671288.0,1871.0
2018-12-17,VICI,NYSE,20.61,20.76,19.72,19.74,943331.0,2801.0
2018-12-18,VICI,NYSE,19.82,19.93,19.61,19.8,631684.0,1595.0
2018-12-19,VICI,NYSE,19.84,19.96,19.54,19.6,831221.0,2005.0
2018-12-20,VICI,NYSE,19.6,19.66,18.86,19.1,2329951.0,3002.0
2018-12-21,VICI,NYSE,19.08,19.22,18.59,18.65,2411608.0,2603.0
2018-12-24,VICI,NYSE,18.5,18.6,17.93,18.02,378818.0,1228.0
2018-12-26,VICI,NYSE,18.1,18.6,17.89,18.59,2973674.0,2321.0
2018-12-27,VICI,NYSE,18.15,18.35,17.64,18.35,1914661.0,2256.0
2018-12-28,VICI,NYSE,18.41,18.6,18.235,18.57,966916.0,1907.0
2018-12-31,VICI,NYSE,18.56,18.78,18.385,18.78,1024787.0,2104.0
2019-01-02,VICI,NYSE,18.61,18.64,18.33,18.48,1431536.0,1597.0
2019-01-03,VICI,NYSE,18.49,19.0,18.475,18.77,1134716.0,2540.0
2019-01-04,VICI,NYSE,18.92,19.18,18.9,18.98,974651.0,2085.0
2019-01-07,VICI,NYSE,19.09,19.24,18.94,19.03,1332451.0,1546.0
2019-01-08,VICI,NYSE,19.25,19.65,19.23,19.61,921121.0,1559.0
2019-01-09,VICI,NYSE,19.69,19.9,19.58,19.87,872187.0,1326.0
2019-01-10,VICI,NYSE,20.05,20.23,19.94,20.07,950955.0,1569.0
