date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,VMC,NYSE,39.4375,39.875,39.3125,39.375,237200.0,
2000-01-04,VMC,NYSE,39.125,39.625,39.0,39.25,249500.0,
2000-01-05,VMC,NYSE,39.25,43.0,39.0625,41.875,377200.0,
2000-01-06,VMC,NYSE,41.625,42.0,40.9375,41.9375,298400.0,
2000-01-07,VMC,NYSE,42.125,42.375,41.75,42.0625,162000.0,
2000-01-10,VMC,NYSE,42.3125,44.1875,42.3125,43.75,289400.0,
2000-01-11,VMC,NYSE,43.5625,43.5625,42.5,42.8125,300000.0,
2000-01-12,VMC,NYSE,43.0,43.3125,41.8125,42.1875,205100.0,
2000-01-13,VMC,NYSE,42.4375,43.1875,42.0,42.875,265100.0,
2000-01-14,VMC,NYSE,42.9375,43.0,42.25,43.0,215000.0,
2000-01-18,VMC,NYSE,43.0,44.4375,42.25,44.1875,220600.0,
2000-01-19,VMC,NYSE,42.75,44.5625,42.75,44.125,246000.0,
2000-01-20,VMC,NYSE,44.125,44.375,43.25,43.5625,203400.0,
2000-01-21,VMC,NYSE,44.0,44.0,42.5625,42.75,226700.0,
2000-01-24,VMC,NYSE,43.0,43.25,42.0,42.1875,166500.0,
2000-01-25,VMC,NYSE,44.125,47.75,41.875,42.0625,730100.0,
2000-01-26,VMC,NYSE,42.125,42.875,42.0,42.875,460500.0,
2000-01-27,VMC,NYSE,42.625,43.625,42.625,43.0625,272700.0,
2000-01-28,VMC,NYSE,43.0,43.0,41.625,41.9375,209600.0,
2000-01-31,VMC,NYSE,41.8125,42.875,41.8125,42.3125,166300.0,
2000-02-01,VMC,NYSE,42.125,42.375,42.0,42.3125,151300.0,
2000-02-02,VMC,NYSE,42.1875,42.75,42.0625,42.25,84500.0,
2000-02-03,VMC,NYSE,42.625,43.0,41.5,42.875,136700.0,
2000-02-04,VMC,NYSE,42.625,43.5,42.375,42.5625,127300.0,
2000-02-07,VMC,NYSE,42.5,42.75,42.0,42.0625,109200.0,
2000-02-08,VMC,NYSE,42.0625,42.3125,42.0,42.125,191800.0,
2000-02-09,VMC,NYSE,42.0625,42.25,41.875,41.875,224800.0,
2000-02-10,VMC,NYSE,42.0,42.75,41.9375,42.0625,117700.0,
2000-02-11,VMC,NYSE,42.0625,42.25,41.0,41.125,305000.0,
2000-02-14,VMC,NYSE,41.125,41.375,40.5,41.25,176000.0,
2000-02-15,VMC,NYSE,41.3125,42.375,41.25,42.0625,177800.0,
2000-02-16,VMC,NYSE,42.1875,42.25,42.0,42.0625,153400.0,
2000-02-17,VMC,NYSE,42.0,43.0,42.0,42.4375,134700.0,
2000-02-18,VMC,NYSE,42.1875,42.4375,41.75,42.0,310900.0,
2000-02-22,VMC,NYSE,42.0,42.75,41.875,42.25,115200.0,
2000-02-23,VMC,NYSE,41.8125,41.8125,40.4375,40.625,183500.0,
2000-02-24,VMC,NYSE,40.625,40.6875,39.25,39.3125,253400.0,
2000-02-25,VMC,NYSE,39.4375,40.375,39.375,40.125,261600.0,
2000-02-28,VMC,NYSE,40.125,40.4375,39.25,40.0,204400.0,
2000-02-29,VMC,NYSE,40.0,40.125,39.25,40.0,150000.0,
2000-03-01,VMC,NYSE,39.8125,40.25,39.3125,40.25,107800.0,
2000-03-02,VMC,NYSE,40.0,40.125,39.0,39.25,153300.0,
2000-03-03,VMC,NYSE,39.375,40.75,39.125,40.5,171300.0,
2000-03-06,VMC,NYSE,40.375,40.4375,39.25,39.375,137200.0,
2000-03-07,VMC,NYSE,39.375,39.375,38.125,38.1875,184300.0,
2000-03-08,VMC,NYSE,38.0,38.75,37.6875,38.4375,109100.0,
2000-03-09,VMC,NYSE,39.0,39.0,38.5625,38.875,107300.0,
2000-03-10,VMC,NYSE,38.75,39.375,38.625,38.6875,109300.0,
2000-03-13,VMC,NYSE,38.5,39.8125,38.0,39.4375,196800.0,
2000-03-14,VMC,NYSE,39.0625,39.9375,39.0,39.375,149900.0,
2000-03-15,VMC,NYSE,39.125,41.1875,39.125,40.6875,174400.0,
2000-03-16,VMC,NYSE,40.875,44.25,40.625,44.1875,254100.0,
2000-03-17,VMC,NYSE,44.0,44.125,42.5,43.75,287100.0,
2000-03-20,VMC,NYSE,43.875,44.4375,42.8125,42.9375,135000.0,
2000-03-21,VMC,NYSE,42.875,44.1875,42.75,43.9375,157300.0,
2000-03-22,VMC,NYSE,43.9375,44.5625,42.1875,42.9375,256000.0,
2000-03-23,VMC,NYSE,43.0625,45.25,43.0,45.125,233200.0,
2000-03-24,VMC,NYSE,45.0,45.5,44.0,44.375,257900.0,
2000-03-27,VMC,NYSE,44.125,45.0,43.4375,44.25,167500.0,
2000-03-28,VMC,NYSE,44.0,45.375,43.875,44.25,164200.0,
2000-03-29,VMC,NYSE,44.375,44.9375,44.375,44.8125,84800.0,
2000-03-30,VMC,NYSE,44.9375,46.25,44.8125,45.5,284900.0,
2000-03-31,VMC,NYSE,45.5625,45.9375,45.1875,45.8125,171200.0,
2000-04-03,VMC,NYSE,45.8125,47.0625,45.75,46.875,302600.0,
2000-04-04,VMC,NYSE,46.9375,47.0625,45.3125,46.1875,363600.0,
2000-04-05,VMC,NYSE,46.1875,47.25,46.125,46.75,130900.0,
2000-04-06,VMC,NYSE,46.9375,46.9375,46.0,46.25,95700.0,
2000-04-07,VMC,NYSE,46.125,46.5625,45.0625,45.375,125400.0,
2000-04-10,VMC,NYSE,45.375,46.0,45.125,45.25,173900.0,
2000-04-11,VMC,NYSE,45.375,46.0625,45.3125,45.625,226900.0,
2000-04-12,VMC,NYSE,45.5625,47.75,45.5625,46.75,269700.0,
2000-04-13,VMC,NYSE,47.375,47.375,46.75,46.9375,190100.0,
2000-04-14,VMC,NYSE,46.5,47.125,45.0625,46.0,261700.0,
2000-04-17,VMC,NYSE,45.875,46.625,45.5625,46.25,275400.0,
2000-04-18,VMC,NYSE,44.25,44.5,42.125,43.3125,619700.0,
2000-04-19,VMC,NYSE,43.3125,44.125,42.0625,42.375,473000.0,
