date,code,exchange,open,high,low,close,volume,count_trx
2017-05-10,VST,NYSE,15.15,15.3,15.0,15.15,519095.0,555.0
2017-05-11,VST,NYSE,15.1,15.34,15.0,15.32,249840.0,673.0
2017-05-12,VST,NYSE,15.35,15.8,15.33,15.58,215465.0,452.0
2017-05-15,VST,NYSE,15.54,15.77,15.53,15.73,82062.0,411.0
2017-05-16,VST,NYSE,15.77,15.99,15.39,15.42,415002.0,534.0
2017-05-17,VST,NYSE,15.47,15.66,15.03,15.09,482680.0,606.0
2017-05-18,VST,NYSE,15.15,15.15,14.69,14.8,156478.0,733.0
2017-05-19,VST,NYSE,15.25,15.25,14.5,15.04,540556.0,1886.0
2017-05-22,VST,NYSE,15.0,15.08,14.89,14.96,250654.0,853.0
2017-05-23,VST,NYSE,14.95,15.0,14.85,15.0,214322.0,881.0
2017-05-24,VST,NYSE,14.96,15.09,14.81,15.0,216399.0,1024.0
2017-05-25,VST,NYSE,14.97,14.99,14.81,14.85,186253.0,723.0
2017-05-26,VST,NYSE,14.89,15.05,14.79,14.99,138611.0,608.0
2017-05-30,VST,NYSE,14.95,14.98,14.76,14.92,385435.0,1582.0
2017-05-31,VST,NYSE,14.86,14.92,14.7,14.77,165611.0,570.0
2017-06-01,VST,NYSE,14.75,14.95,14.75,14.91,86589.0,433.0
2017-06-02,VST,NYSE,14.95,15.02,14.81,14.99,268832.0,864.0
2017-06-05,VST,NYSE,15.4,15.52,15.11,15.26,589399.0,1924.0
2017-06-06,VST,NYSE,15.17,15.57,15.08,15.52,262562.0,1474.0
2017-06-07,VST,NYSE,15.5,15.78,15.41,15.68,327470.0,1549.0
2017-06-08,VST,NYSE,15.6,15.85,15.56,15.72,201872.0,1131.0
2017-06-09,VST,NYSE,15.79,15.98,15.67,15.8,282901.0,1379.0
2017-06-12,VST,NYSE,15.6,16.06,15.6,16.0,468534.0,2474.0
2017-06-13,VST,NYSE,15.99,16.47,15.99,16.35,286396.0,1744.0
2017-06-14,VST,NYSE,16.3,16.8,16.3,16.79,457933.0,2152.0
2017-06-15,VST,NYSE,16.68,16.83,16.52,16.6,278677.0,1515.0
2017-06-16,VST,NYSE,16.6,16.87,16.45,16.7,18816527.0,2907.0
2017-06-19,VST,NYSE,16.64,16.78,16.63,16.7,511580.0,1761.0
2017-06-20,VST,NYSE,16.66,16.78,16.65,16.72,1000357.0,1449.0
2017-06-21,VST,NYSE,16.72,16.74,16.605,16.7,697394.0,1030.0
2017-06-22,VST,NYSE,16.75,16.75,16.485,16.65,861958.0,1281.0
2017-06-23,VST,NYSE,16.74,16.91,16.615,16.75,11218191.0,2588.0
2017-06-26,VST,NYSE,16.75,16.86,16.62,16.7,699539.0,1084.0
2017-06-27,VST,NYSE,16.7,16.84,16.67,16.7,437609.0,1281.0
2017-06-28,VST,NYSE,16.75,16.9,16.65,16.86,395368.0,1306.0
2017-06-29,VST,NYSE,16.85,16.88,16.69,16.7,929239.0,1250.0
2017-06-30,VST,NYSE,16.69,16.815,16.61,16.79,469195.0,1300.0
2017-07-03,VST,NYSE,16.86,17.04,16.79,17.01,203888.0,811.0
2017-07-05,VST,NYSE,17.0,17.0,16.65,16.74,210974.0,1004.0
