date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,WAB,NYSE,8.78125,8.78125,8.34375,8.59375,165000.0,
2000-01-04,WAB,NYSE,8.5,8.5,8.3125,8.46875,182600.0,
2000-01-05,WAB,NYSE,8.375,8.4375,8.25,8.4375,267800.0,
2000-01-06,WAB,NYSE,8.40625,8.40625,7.9375,8.09375,176000.0,
2000-01-07,WAB,NYSE,8.09375,8.09375,7.75,7.96875,199200.0,
2000-01-10,WAB,NYSE,7.9375,7.96875,7.625,7.875,308200.0,
2000-01-11,WAB,NYSE,7.8125,7.8125,7.53125,7.65625,220600.0,
2000-01-12,WAB,NYSE,7.65625,7.65625,7.21875,7.25,170000.0,
2000-01-13,WAB,NYSE,7.3125,7.34375,7.25,7.3125,82000.0,
2000-01-14,WAB,NYSE,7.4375,7.4375,6.75,6.90625,704800.0,
2000-01-18,WAB,NYSE,6.84375,6.875,6.6875,6.875,370600.0,
2000-01-19,WAB,NYSE,6.875,7.09375,6.875,7.0,208800.0,
2000-01-20,WAB,NYSE,7.03125,7.28125,6.9375,7.0,495600.0,
2000-01-21,WAB,NYSE,6.90625,7.0,6.90625,6.90625,488800.0,
2000-01-24,WAB,NYSE,6.9375,7.0,6.75,6.78125,188200.0,
2000-01-25,WAB,NYSE,6.6875,6.6875,6.0625,6.21875,583000.0,
2000-01-26,WAB,NYSE,6.1875,6.1875,5.78125,5.875,443800.0,
2000-01-27,WAB,NYSE,5.875,5.96875,5.78125,5.78125,191400.0,
2000-01-28,WAB,NYSE,5.78125,5.8125,5.625,5.65625,76400.0,
2000-01-31,WAB,NYSE,5.59375,5.6875,5.53125,5.5625,280000.0,
2000-02-01,WAB,NYSE,5.625,5.625,5.4375,5.5625,230800.0,
2000-02-02,WAB,NYSE,5.65625,5.78125,5.625,5.71875,169400.0,
2000-02-03,WAB,NYSE,5.71875,5.78125,5.71875,5.75,168200.0,
2000-02-04,WAB,NYSE,5.78125,5.84375,5.75,5.78125,398400.0,
2000-02-07,WAB,NYSE,5.8125,6.0625,5.75,5.875,108200.0,
2000-02-08,WAB,NYSE,6.03125,6.03125,5.78125,5.8125,114000.0,
2000-02-09,WAB,NYSE,5.875,6.09375,5.75,5.9375,263600.0,
2000-02-10,WAB,NYSE,6.0,6.375,5.9375,6.3125,117000.0,
2000-02-11,WAB,NYSE,6.25,6.53125,6.09375,6.4375,88800.0,
2000-02-14,WAB,NYSE,6.4375,6.4375,6.0625,6.21875,170400.0,
2000-02-15,WAB,NYSE,6.0,6.03125,5.78125,5.78125,174800.0,
2000-02-16,WAB,NYSE,5.84375,5.84375,5.5625,5.6875,312800.0,
2000-02-17,WAB,NYSE,5.75,6.0625,5.65625,5.75,231600.0,
2000-02-18,WAB,NYSE,5.75,5.78125,5.625,5.625,315600.0,
2000-02-22,WAB,NYSE,5.59375,5.625,5.5625,5.59375,97400.0,
2000-02-23,WAB,NYSE,5.65625,5.6875,5.40625,5.46875,137800.0,
2000-02-24,WAB,NYSE,5.4375,5.46875,5.25,5.25,176800.0,
2000-02-25,WAB,NYSE,5.21875,5.21875,4.5,4.75,871600.0,
2000-02-28,WAB,NYSE,4.75,4.84375,4.59375,4.65625,571000.0,
2000-02-29,WAB,NYSE,4.71875,4.75,4.65625,4.75,535200.0,
2000-03-01,WAB,NYSE,4.8125,4.96875,4.8125,4.875,353400.0,
2000-03-02,WAB,NYSE,4.9375,4.9375,4.8125,4.875,252400.0,
2000-03-03,WAB,NYSE,4.84375,4.875,4.78125,4.8125,208000.0,
2000-03-06,WAB,NYSE,4.75,4.75,4.375,4.40625,442200.0,
2000-03-07,WAB,NYSE,4.40625,4.4375,4.21875,4.25,790200.0,
2000-03-08,WAB,NYSE,4.375,4.53125,4.375,4.4375,497400.0,
2000-03-09,WAB,NYSE,4.4375,4.625,4.4375,4.5,1026200.0,
2000-03-10,WAB,NYSE,4.5,4.625,4.5,4.5,291200.0,
2000-03-13,WAB,NYSE,4.5,4.8125,4.5,4.65625,221400.0,
2000-03-14,WAB,NYSE,4.84375,5.21875,4.78125,4.96875,315000.0,
2000-03-15,WAB,NYSE,5.1875,5.53125,5.15625,5.46875,323400.0,
2000-03-16,WAB,NYSE,5.46875,5.75,5.34375,5.75,115400.0,
2000-03-17,WAB,NYSE,5.625,5.71875,5.46875,5.5,92800.0,
2000-03-20,WAB,NYSE,5.5,5.5,5.28125,5.34375,81000.0,
2000-03-21,WAB,NYSE,5.40625,5.40625,5.125,5.25,126200.0,
2000-03-22,WAB,NYSE,5.15625,5.96875,5.03125,5.25,565800.0,
2000-03-23,WAB,NYSE,5.25,5.3125,5.09375,5.09375,417200.0,
2000-03-24,WAB,NYSE,5.125,5.3125,5.09375,5.15625,345200.0,
2000-03-27,WAB,NYSE,5.15625,5.25,5.125,5.1875,89000.0,
2000-03-28,WAB,NYSE,5.1875,5.25,5.125,5.125,106800.0,
2000-03-29,WAB,NYSE,5.125,5.28125,5.125,5.15625,72800.0,
2000-03-30,WAB,NYSE,5.21875,5.4375,5.15625,5.3125,132400.0,
2000-03-31,WAB,NYSE,5.375,5.84375,5.28125,5.3125,335000.0,
2000-04-03,WAB,NYSE,5.28125,5.6875,5.28125,5.625,114600.0,
2000-04-04,WAB,NYSE,5.5625,5.5625,5.375,5.4375,167400.0,
2000-04-05,WAB,NYSE,5.46875,5.46875,5.375,5.46875,118200.0,
2000-04-06,WAB,NYSE,5.5,5.78125,5.5,5.5,60000.0,
2000-04-07,WAB,NYSE,5.71875,5.71875,5.625,5.65625,134200.0,
2000-04-10,WAB,NYSE,5.59375,5.59375,5.3125,5.3125,137800.0,
2000-04-11,WAB,NYSE,5.3125,5.4375,5.3125,5.40625,133200.0,
2000-04-12,WAB,NYSE,5.40625,5.875,5.34375,5.71875,242600.0,
2000-04-13,WAB,NYSE,5.59375,5.6875,5.5,5.53125,100000.0,
2000-04-14,WAB,NYSE,5.5,5.65625,5.40625,5.59375,174000.0,
2000-04-17,WAB,NYSE,5.53125,5.78125,5.4375,5.78125,102000.0,
2000-04-18,WAB,NYSE,5.75,6.125,5.75,6.125,151800.0,
2000-04-19,WAB,NYSE,6.09375,6.09375,5.90625,6.0,125600.0,
2000-04-20,WAB,NYSE,6.0,6.0,5.3125,5.34375,293800.0,
2000-04-24,WAB,NYSE,5.3125,5.53125,5.0625,5.4375,274400.0,
2000-04-25,WAB,NYSE,5.5625,5.8125,5.5625,5.78125,110600.0,
2000-04-26,WAB,NYSE,5.71875,5.71875,5.5625,5.59375,34800.0,
2000-04-27,WAB,NYSE,5.3125,5.46875,5.3125,5.46875,209800.0,
2000-04-28,WAB,NYSE,5.375,5.65625,5.3125,5.65625,122200.0,
2000-05-01,WAB,NYSE,5.59375,5.9375,5.59375,5.9375,58800.0,
2000-05-02,WAB,NYSE,5.875,5.9375,5.8125,5.84375,158800.0,
2000-05-03,WAB,NYSE,5.84375,5.9375,5.84375,5.9375,61600.0,
2000-05-04,WAB,NYSE,5.9375,6.25,5.9375,6.25,107000.0,
2000-05-05,WAB,NYSE,6.28125,6.375,6.28125,6.28125,48800.0,
2000-05-08,WAB,NYSE,6.21875,6.21875,5.875,6.0,137200.0,
2000-05-09,WAB,NYSE,5.9375,6.0625,5.65625,6.0,78600.0,
2000-05-10,WAB,NYSE,5.9375,6.0625,5.84375,6.03125,161800.0,
2000-05-11,WAB,NYSE,6.0,6.3125,5.96875,6.0625,142800.0,
2000-05-12,WAB,NYSE,6.0625,6.09375,5.8125,5.8125,98000.0,
2000-05-15,WAB,NYSE,5.8125,6.0,5.65625,6.0,199000.0,
2000-05-16,WAB,NYSE,6.0,6.125,5.9375,5.96875,46800.0,
2000-05-17,WAB,NYSE,5.96875,6.0,5.5,5.5,135400.0,
2000-05-18,WAB,NYSE,5.5625,5.65625,5.5,5.5625,117600.0,
2000-05-19,WAB,NYSE,5.5,5.625,5.5,5.625,35000.0,
2000-05-22,WAB,NYSE,5.59375,5.59375,5.5,5.53125,122800.0,
2000-05-23,WAB,NYSE,5.53125,5.59375,5.46875,5.46875,93800.0,
2000-05-24,WAB,NYSE,5.46875,5.59375,5.46875,5.5625,100800.0,
2000-05-25,WAB,NYSE,5.5625,5.5625,5.5,5.5,69600.0,
2000-05-26,WAB,NYSE,5.5,5.59375,5.5,5.59375,140600.0,
2000-05-30,WAB,NYSE,5.65625,5.65625,5.53125,5.59375,51800.0,
2000-05-31,WAB,NYSE,5.53125,5.625,5.53125,5.625,66600.0,
2000-06-01,WAB,NYSE,5.6875,5.71875,5.65625,5.6875,30000.0,
2000-06-02,WAB,NYSE,5.75,5.75,5.6875,5.71875,153000.0,
