date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,WAT,NYSE,26.625,26.6875,25.25,25.75,650800.0,
2000-01-04,WAT,NYSE,25.75,25.75,24.4375,24.875,768600.0,
2000-01-05,WAT,NYSE,25.25,26.125,25.03125,26.03125,1285400.0,
2000-01-06,WAT,NYSE,25.875,26.375,25.15625,25.25,1275200.0,
2000-01-07,WAT,NYSE,25.125,26.40625,25.0625,26.03125,385000.0,
2000-01-10,WAT,NYSE,26.0625,26.4375,25.0,25.15625,1701400.0,
2000-01-11,WAT,NYSE,25.09375,25.09375,24.375,24.65625,746600.0,
2000-01-12,WAT,NYSE,24.75,24.75,24.25,24.53125,277600.0,
2000-01-13,WAT,NYSE,24.5625,24.6875,24.3125,24.5625,534000.0,
2000-01-14,WAT,NYSE,24.625,24.6875,24.0625,24.25,1560600.0,
2000-01-18,WAT,NYSE,24.125,24.125,22.96875,23.8125,1690800.0,
2000-01-19,WAT,NYSE,23.9375,23.9375,22.5,23.15625,2050800.0,
2000-01-20,WAT,NYSE,22.65625,22.9375,21.96875,22.0,1157000.0,
2000-01-21,WAT,NYSE,22.1875,24.0,22.0,24.0,2107400.0,
2000-01-24,WAT,NYSE,24.75,25.25,24.25,25.0,2003000.0,
2000-01-25,WAT,NYSE,31.5,34.625,30.8125,34.53125,5997000.0,
2000-01-26,WAT,NYSE,34.25,34.28125,32.625,34.25,2864400.0,
2000-01-27,WAT,NYSE,33.75,34.3125,32.5,32.875,1560600.0,
2000-01-28,WAT,NYSE,32.875,33.78125,32.5,33.375,2472600.0,
2000-01-31,WAT,NYSE,33.375,38.5,33.375,36.9375,2774200.0,
2000-02-01,WAT,NYSE,36.9375,37.625,35.4375,37.46875,874600.0,
2000-02-02,WAT,NYSE,37.375,37.5,35.9375,37.5,999600.0,
2000-02-03,WAT,NYSE,37.375,38.75,36.90625,37.5,715800.0,
2000-02-04,WAT,NYSE,39.0,43.5,39.0,42.875,2282000.0,
2000-02-07,WAT,NYSE,42.90625,42.90625,39.0,42.21875,1997200.0,
2000-02-08,WAT,NYSE,42.5,43.25,40.0,40.9375,1374800.0,
2000-02-09,WAT,NYSE,40.8125,40.84375,39.3125,39.8125,637400.0,
2000-02-10,WAT,NYSE,40.125,42.25,39.8125,41.59375,956600.0,
2000-02-11,WAT,NYSE,41.71875,44.8125,40.25,41.40625,1000200.0,
2000-02-14,WAT,NYSE,41.625,42.25,40.25,41.5625,348800.0,
2000-02-15,WAT,NYSE,41.6875,45.34375,41.6875,45.0,1342600.0,
2000-02-16,WAT,NYSE,45.5,45.5625,43.125,44.5,872800.0,
2000-02-17,WAT,NYSE,45.25,49.25,45.0625,48.1875,1294200.0,
