date,code,exchange,open,high,low,close,volume,count_trx
2004-07-01,WCG,NYSE,19.3,20.19,18.89,19.53,4831900.0,
2004-07-02,WCG,NYSE,19.48,20.84,19.2,20.45,528000.0,
2004-07-06,WCG,NYSE,20.35,20.4,19.9,20.0,251500.0,
2004-07-07,WCG,NYSE,19.95,20.3,19.9,20.1,307600.0,
2004-07-08,WCG,NYSE,20.0,20.64,20.0,20.25,127500.0,
2004-07-09,WCG,NYSE,20.2,20.26,20.05,20.26,42200.0,
2004-07-12,WCG,NYSE,20.2,20.64,20.0,20.55,123100.0,
2004-07-13,WCG,NYSE,20.5,20.7,20.05,20.17,158200.0,
2004-07-14,WCG,NYSE,20.05,20.15,19.44,19.48,128700.0,
2004-07-15,WCG,NYSE,19.48,19.78,19.47,19.6,168000.0,
2004-07-16,WCG,NYSE,19.59,19.7,19.15,19.67,94000.0,
2004-07-19,WCG,NYSE,19.67,19.75,19.1,19.35,37500.0,
2004-07-20,WCG,NYSE,19.3,19.3,18.75,19.25,161800.0,
2004-07-21,WCG,NYSE,19.25,19.3,19.19,19.2,71100.0,
2004-07-22,WCG,NYSE,19.25,19.7,19.2,19.7,79800.0,
2004-07-23,WCG,NYSE,19.65,20.0,19.65,19.8,63500.0,
2004-07-26,WCG,NYSE,19.75,19.9,19.75,19.77,50500.0,
2004-07-27,WCG,NYSE,19.7,19.7,19.37,19.5,144700.0,
2004-07-28,WCG,NYSE,19.35,19.35,19.05,19.35,72100.0,
2004-07-29,WCG,NYSE,19.35,19.7,19.34,19.7,39200.0,
2004-07-30,WCG,NYSE,19.65,19.65,19.5,19.6,29800.0,
2004-08-02,WCG,NYSE,19.5,19.6,19.0,19.01,84800.0,
2004-08-03,WCG,NYSE,19.0,19.16,19.0,19.05,70800.0,
2004-08-04,WCG,NYSE,19.1,19.1,19.0,19.08,138100.0,
2004-08-05,WCG,NYSE,19.05,19.14,19.01,19.1,20900.0,
2004-08-06,WCG,NYSE,19.1,19.12,19.0,19.02,135400.0,
2004-08-09,WCG,NYSE,19.0,19.01,18.3,18.48,81600.0,
2004-08-10,WCG,NYSE,18.51,18.55,17.3,17.92,191500.0,
2004-08-11,WCG,NYSE,17.9,18.15,17.59,17.91,227700.0,
2004-08-12,WCG,NYSE,18.7,19.1,18.45,18.67,128500.0,
2004-08-13,WCG,NYSE,19.21,19.42,18.85,19.02,39700.0,
