date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,WEC,NYSE,9.75,9.75,9.46875,9.53125,356000.0,
2000-01-04,WEC,NYSE,9.5,9.625,9.46875,9.59375,406800.0,
2000-01-05,WEC,NYSE,9.625,10.125,9.59375,10.03125,531000.0,
2000-01-06,WEC,NYSE,10.15625,10.15625,9.9375,10.0,513000.0,
2000-01-07,WEC,NYSE,10.03125,10.15625,10.0,10.125,255800.0,
2000-01-10,WEC,NYSE,10.25,10.25,10.0625,10.125,561400.0,
2000-01-11,WEC,NYSE,10.1875,10.1875,10.0,10.0,758600.0,
2000-01-12,WEC,NYSE,10.0625,10.21875,10.0625,10.21875,368800.0,
2000-01-13,WEC,NYSE,10.25,10.25,10.09375,10.09375,316800.0,
2000-01-14,WEC,NYSE,10.15625,10.15625,9.9375,9.9375,440800.0,
2000-01-18,WEC,NYSE,9.9375,9.96875,9.65625,9.78125,432600.0,
2000-01-19,WEC,NYSE,9.8125,10.0,9.75,10.0,201200.0,
2000-01-20,WEC,NYSE,9.9375,10.0,9.875,9.9375,329400.0,
2000-01-21,WEC,NYSE,9.96875,10.21875,9.9375,10.15625,478000.0,
2000-01-24,WEC,NYSE,10.1875,10.28125,10.15625,10.15625,647200.0,
2000-01-25,WEC,NYSE,10.15625,10.1875,10.03125,10.09375,621200.0,
2000-01-26,WEC,NYSE,10.0625,10.15625,10.03125,10.0625,370000.0,
2000-01-27,WEC,NYSE,10.09375,10.125,9.90625,10.0,439600.0,
2000-01-28,WEC,NYSE,10.125,10.125,9.8125,9.90625,555200.0,
2000-01-31,WEC,NYSE,9.9375,9.96875,9.875,9.875,651400.0,
2000-02-01,WEC,NYSE,9.9375,9.96875,9.84375,9.9375,336400.0,
2000-02-02,WEC,NYSE,10.0625,10.21875,10.0,10.09375,376600.0,
2000-02-03,WEC,NYSE,10.125,10.59375,10.09375,10.46875,667600.0,
2000-02-04,WEC,NYSE,10.375,10.40625,10.0625,10.1875,358400.0,
2000-02-07,WEC,NYSE,10.1875,10.1875,9.875,9.9375,648400.0,
2000-02-08,WEC,NYSE,10.0625,10.21875,10.0,10.03125,267200.0,
2000-02-09,WEC,NYSE,10.0,10.125,9.96875,10.0,393400.0,
2000-02-10,WEC,NYSE,9.8125,9.96875,9.5625,9.65625,727800.0,
2000-02-11,WEC,NYSE,9.6875,9.75,9.40625,9.4375,654600.0,
2000-02-14,WEC,NYSE,9.46875,9.5,9.4375,9.5,419000.0,
2000-02-15,WEC,NYSE,9.5,9.5,9.4375,9.4375,442600.0,
2000-02-16,WEC,NYSE,9.40625,9.4375,9.375,9.4375,278800.0,
2000-02-17,WEC,NYSE,9.4375,9.46875,9.34375,9.4375,296800.0,
2000-02-18,WEC,NYSE,9.375,9.40625,9.21875,9.34375,213400.0,
2000-02-22,WEC,NYSE,9.40625,9.40625,9.28125,9.3125,345400.0,
2000-02-23,WEC,NYSE,9.3125,9.3125,9.125,9.21875,352200.0,
2000-02-24,WEC,NYSE,9.21875,9.21875,8.71875,8.84375,626800.0,
2000-02-25,WEC,NYSE,8.75,8.8125,8.6875,8.75,792400.0,
2000-02-28,WEC,NYSE,8.75,8.875,8.65625,8.84375,907200.0,
2000-02-29,WEC,NYSE,8.875,8.90625,8.78125,8.84375,533800.0,
2000-03-01,WEC,NYSE,8.84375,8.875,8.6875,8.71875,304000.0,
2000-03-02,WEC,NYSE,8.84375,8.96875,8.78125,8.9375,386000.0,
2000-03-03,WEC,NYSE,8.9375,8.96875,8.8125,8.84375,382200.0,
2000-03-06,WEC,NYSE,8.84375,8.875,8.5,8.53125,557400.0,
2000-03-07,WEC,NYSE,8.53125,8.65625,8.53125,8.5625,626600.0,
2000-03-08,WEC,NYSE,8.65625,8.6875,8.40625,8.40625,832000.0,
2000-03-09,WEC,NYSE,8.4375,8.65625,8.4375,8.59375,442000.0,
