date,code,exchange,open,high,low,close,volume,count_trx
2001-05-09,WRB,NYSE,2.0625318791,2.0655319255,2.0450316086,2.0450316086,1628289.8429382974,
2001-05-10,WRB,NYSE,2.048031655,2.0525317246,2.0115310908,2.0170311758,1964882.8115205057,
2001-05-11,WRB,NYSE,2.0170311758,2.0320314077,1.9970308667,1.9985308899,2142576.5614319257,
2001-05-14,WRB,NYSE,1.9750305267,2.0040309749,1.9735305035,1.9920307894,1544568.7492300326,
2001-05-15,WRB,NYSE,1.9795305962,1.9865307044,1.9715304726,1.9750305267,2362985.155072052,
2001-05-16,WRB,NYSE,1.9625303335,2.0000309131,1.9625303335,2.0000309131,2060564.061472809,
2001-05-17,WRB,NYSE,1.9975308744,2.0055309981,1.980030604,1.980030604,1554820.3117249222,
2001-05-18,WRB,NYSE,1.9775305653,1.9935308126,1.9760305421,1.9860306967,927766.4057875085,
2001-05-21,WRB,NYSE,1.9825306426,1.9990308976,1.9790305885,1.9895307508,1144757.8119293381,
2001-05-22,WRB,NYSE,1.9895307508,1.9895307508,1.9190296611,1.9200296766,1611203.9054468148,
2001-05-23,WRB,NYSE,1.910029522,1.9200296766,1.8450285173,1.9150295993,9604005.463962402,
2001-05-24,WRB,NYSE,1.9200296766,1.9975308744,1.9200296766,1.9975308744,2843099.998582715,
2001-05-25,WRB,NYSE,1.9975308744,1.9975308744,1.9825306426,1.9950308358,1442053.1242811366,
2001-05-29,WRB,NYSE,2.0275313381,2.1190327524,2.026031315,2.1150326906,4594408.591459687,
2001-05-30,WRB,NYSE,2.1115326365,2.1460331697,2.077532111,2.1225328065,3514577.341997983,
2001-05-31,WRB,NYSE,2.1230328142,2.1845337648,2.1155326983,2.175033618,2026392.1864898435,
2001-06-01,WRB,NYSE,2.1700335407,2.1850337725,2.1450331543,2.1650334634,5312017.966101959,
2001-06-04,WRB,NYSE,2.1665334866,2.2075341203,2.1650334634,2.2050340817,1749599.9991278246,
2001-06-05,WRB,NYSE,2.2050340817,2.2110341744,2.1950339271,2.2085341358,1411298.4367964682,
2001-06-06,WRB,NYSE,2.2050340817,2.2200343135,2.1850337725,2.2195343058,1001235.9370008839,
2001-06-07,WRB,NYSE,2.2125341976,2.2125341976,2.2000340044,2.2035340585,1045659.3744787386,
2001-06-08,WRB,NYSE,2.1985339812,2.1985339812,2.1725335793,2.1930338962,551875.78097489,
2001-06-11,WRB,NYSE,2.1890338344,2.1950339271,2.1825337339,2.1845337648,375890.6248126185,
2001-06-12,WRB,NYSE,2.1800336953,2.1800336953,2.1450331543,2.175033618,1792314.8428565308,
2001-06-13,WRB,NYSE,2.1675335021,2.1980339735,2.1580333552,2.1885338266,517703.9059919246,
2001-06-14,WRB,NYSE,2.1850337725,2.1850337725,2.1140326751,2.1375330384,956812.4995230288,
2001-06-15,WRB,NYSE,2.1350329997,2.1360330152,2.1200327679,2.1325329611,1086665.6244582974,
2001-06-18,WRB,NYSE,2.1275328838,2.1275328838,2.0975324201,2.0975324201,1011487.4994957733,
2001-06-19,WRB,NYSE,2.0925323428,2.105032536,2.0805321573,2.0875322655,1387378.124308392,
2001-06-20,WRB,NYSE,2.0725320337,2.0875322655,2.0300313768,2.0670319487,1541151.5617317362,
2001-06-21,WRB,NYSE,2.0570317941,2.0575318018,2.0105310754,2.048031655,852588.2808249848,
2001-06-22,WRB,NYSE,2.0550317632,2.0575318018,2.0150311449,2.0300313768,1592409.3742061842,
2001-06-25,WRB,NYSE,2.0250312995,2.0250312995,1.9400299857,1.9600302948,2486003.9050107277,
2001-06-26,WRB,NYSE,1.9550302175,1.9935308126,1.9550302175,1.9935308126,1489893.7492572882,
2001-06-27,WRB,NYSE,1.9935308126,2.0225312609,1.991030774,2.0225312609,2720081.248644039,
2001-06-28,WRB,NYSE,2.0200312222,2.1125326519,2.0175311836,2.077532111,1529191.4054876983,
2001-06-29,WRB,NYSE,2.0800321496,2.0825321883,2.0525317246,2.0710320105,2175039.8426657426,
2001-07-02,WRB,NYSE,2.0750320723,2.077532111,2.0415315545,2.0495316782,2239966.405133377,
2001-07-03,WRB,NYSE,2.0450316086,2.0500316859,2.04253157,2.04253157,299003.9061009465,
2001-07-05,WRB,NYSE,2.0475316473,2.0515317091,1.9990308976,2.0050309904,2981496.092263724,
2001-07-06,WRB,NYSE,2.0050309904,2.0050309904,1.9900307585,1.9930308049,1105460.155698928,
2001-07-09,WRB,NYSE,1.9830306503,2.007531029,1.9785305808,2.007531029,2702995.3111525574,
2001-07-10,WRB,NYSE,2.0050309904,2.0105310754,1.9750305267,1.980030604,1001235.9370008839,
2001-07-11,WRB,NYSE,1.9795305962,2.0150311449,1.9680304185,2.0090310522,2955867.186026501,
2001-07-12,WRB,NYSE,2.007531029,2.0300313768,2.0050309904,2.026031315,832085.1558352056,
2001-07-13,WRB,NYSE,2.0235312763,2.0345314463,2.0210312377,2.0270313304,1385669.5305592436,
2001-07-16,WRB,NYSE,2.0345314463,2.0600318405,2.0200312222,2.0200312222,1647084.3741789283,
2001-07-17,WRB,NYSE,2.0175311836,2.0450316086,2.0085310445,2.0420315623,1090082.8119565938,
2001-07-18,WRB,NYSE,2.0420315623,2.0625318791,2.0170311758,2.0170311758,876508.5933130605,
2001-07-19,WRB,NYSE,2.0175311836,2.0305313845,1.9600302948,1.9650303721,3027628.123490727,
2001-07-20,WRB,NYSE,1.9675304108,1.9675304108,1.926529777,1.9325298698,1944379.686530727,
2001-07-23,WRB,NYSE,1.9350299084,1.9630303412,1.9275297925,1.9550302175,1243856.2493799375,
2001-07-24,WRB,NYSE,1.9550302175,1.9690304339,1.9550302175,1.9575302562,644139.8434288963,
2001-07-25,WRB,NYSE,1.9475301016,1.9490301248,1.9355299161,1.9385299625,808164.8433471299,
2001-07-26,WRB,NYSE,1.9350299084,1.9640303567,1.9160296147,1.9435300398,801330.4683505368,
2001-07-27,WRB,NYSE,2.0125311063,2.077532111,2.0025309517,2.0710320105,3177984.3734157747,
2001-07-30,WRB,NYSE,2.0960323969,2.105032536,2.070031995,2.0750320723,3186527.342161516,
2001-07-31,WRB,NYSE,2.077532111,2.0950323815,2.0735320491,2.0950323815,3998109.373006942,
2001-08-01,WRB,NYSE,2.1075325747,2.118032737,2.0860322424,2.0975324201,2615857.029945995,
2001-08-02,WRB,NYSE,2.1000324587,2.1000324587,2.0750320723,2.0750320723,1076414.0619634076,
2001-08-03,WRB,NYSE,2.0755320801,2.0875322655,2.0690319796,2.0725320337,791078.9058556472,
2001-08-06,WRB,NYSE,2.0725320337,2.0745320646,2.0470316395,2.0470316395,589464.8434561518,
2001-08-07,WRB,NYSE,2.0470316395,2.0615318637,2.0200312222,2.0255313072,3253162.4983782982,
2001-08-08,WRB,NYSE,2.0250312995,2.0250312995,2.0090310522,2.0120310986,1746182.811629528,
2001-08-09,WRB,NYSE,2.0120310986,2.0140311295,1.9760305421,1.9775305653,1493310.9367555846,
2001-08-10,WRB,NYSE,1.9775305653,1.9775305653,1.9500301403,1.9525301789,2414242.9675465003,
2001-08-13,WRB,NYSE,1.9400299857,1.950530148,1.9175296379,1.9215296997,1621455.4679417044,
2001-08-14,WRB,NYSE,1.9250297538,1.9500301403,1.9250297538,1.9490301248,1120837.4994412623,
2001-08-15,WRB,NYSE,1.9490301248,1.9600302948,1.9490301248,1.956030233,891885.9370553951,
2001-08-16,WRB,NYSE,1.9575302562,1.9575302562,1.9460300784,1.9465300862,1166969.5306682657,
2001-08-17,WRB,NYSE,1.9465300862,1.956030233,1.9400299857,1.9400299857,1165260.9369191176,
2001-08-20,WRB,NYSE,1.9325298698,1.9540302021,1.9250297538,1.950530148,1223353.1243901586,
2001-08-21,WRB,NYSE,1.950530148,1.9690304339,1.9435300398,1.9640303567,428857.0310362147,
2001-08-22,WRB,NYSE,1.9690304339,2.0125311063,1.9685304262,2.0085310445,821833.5933403161,
2001-08-23,WRB,NYSE,2.007531029,2.0275313381,1.9890307431,1.9890307431,1600952.342951925,
2001-08-24,WRB,NYSE,2.0600318405,2.0600318405,1.9950308358,2.0010309285,1946088.280279875,
2001-08-27,WRB,NYSE,2.0010309285,2.0060310058,1.9875307199,1.9875307199,914097.6557943224,
2001-08-28,WRB,NYSE,1.980030604,1.980030604,1.9360299239,1.9360299239,876508.5933130605,
2001-08-29,WRB,NYSE,1.9360299239,1.9480301093,1.9250297538,1.9460300784,943143.7495298429,
2001-08-30,WRB,NYSE,1.9460300784,1.9480301093,1.9110295375,1.9140295838,1120837.4994412623,
2001-08-31,WRB,NYSE,1.9165296225,1.9300298311,1.9050294447,1.9050294447,1768394.5303684557,
2001-09-04,WRB,NYSE,1.9150295993,1.9510301557,1.9150295993,1.9425300243,1192598.4369054895,
2001-09-05,WRB,NYSE,1.945030063,1.9750305267,1.9410300012,1.9625303335,2038352.3427338814,
2001-09-06,WRB,NYSE,1.9600302948,1.9655303798,1.9400299857,1.9405299934,1105460.155698928,
2001-09-07,WRB,NYSE,1.9400299857,1.9575302562,1.9385299625,1.956030233,1807692.1865988653,
2001-09-10,WRB,NYSE,1.9510301557,1.9680304185,1.9425300243,1.945030063,867965.624567319,
2001-09-17,WRB,NYSE,1.9310298466,2.0190312068,1.915529607,2.0100310677,4966882.02877401,
2001-09-18,WRB,NYSE,2.0125311063,2.0350314541,2.0120310986,2.0330314232,2188708.5926589286,
2001-09-19,WRB,NYSE,2.0580318096,2.0580318096,2.0150311449,2.0475316473,2190417.1864080774,
2001-09-20,WRB,NYSE,2.04253157,2.04253157,2.0025309517,2.0170311758,1301948.4368509788,
2001-09-21,WRB,NYSE,1.9920307894,2.0150311449,1.9900307585,1.9905307663,1954631.2490256166,
2001-09-24,WRB,NYSE,1.9980308822,2.0210312377,1.9625303335,1.9890307431,2827722.6548403804,
2001-09-25,WRB,NYSE,1.9895307508,2.0265313227,1.9895307508,2.0265313227,1906790.6240494647,
2001-09-26,WRB,NYSE,2.0390315159,2.1550333089,2.0390315159,2.1470331852,2783299.2173625254,
2001-09-27,WRB,NYSE,2.1450331543,2.1910338653,2.1375330384,2.1850337725,2497964.0612547654,
2001-09-28,WRB,NYSE,2.1900338498,2.4800383322,2.1900338498,2.4000370957,7707466.402407828,
2001-10-01,WRB,NYSE,2.3900369411,2.4475378299,2.3525363615,2.3750367093,3312963.2795984885,
2001-10-02,WRB,NYSE,2.3675365934,2.381036802,2.342536207,2.3775367479,2147702.34267937,
2001-10-03,WRB,NYSE,2.3730366784,2.4750382549,2.3730366784,2.4555379535,4259524.216626626,
2001-10-04,WRB,NYSE,2.4775382936,2.4775382936,2.4480378376,2.4485378453,1165260.9369191176,
2001-10-05,WRB,NYSE,2.4375376753,2.4375376753,2.3760367247,2.3920369721,1363457.8118203161,
2001-10-08,WRB,NYSE,2.3650365547,2.3800367866,2.3265359597,2.3705366397,1693216.4054059316,
2001-10-09,WRB,NYSE,2.3830368329,2.4505378763,2.370036632,2.4500378685,1723971.0928906002,
2001-10-10,WRB,NYSE,2.4500378685,2.5600395688,2.4475378299,2.5525394528,2504798.436251358,
2001-10-11,WRB,NYSE,2.5525394528,2.5525394528,2.4555379535,2.4555379535,3063508.592222841,
2001-10-12,WRB,NYSE,2.5075387573,2.5075387573,2.4700381777,2.5000386414,2333939.0613365313,
2001-10-15,WRB,NYSE,2.5050387186,2.5925400711,2.4950385641,2.5800398779,2714955.4673965946,
2001-10-16,WRB,NYSE,2.5675396847,2.697541694,2.5670396769,2.6900415781,3125017.967192178,
2001-10-17,WRB,NYSE,2.7000417327,2.7000417327,2.600040187,2.6380407744,4859240.622577668,
2001-10-18,WRB,NYSE,2.6255405812,2.6255405812,2.600040187,2.6120403725,5657153.903429909,
2001-10-19,WRB,NYSE,2.6120403725,2.6505409676,2.6045402566,2.6400408053,5158244.528678615,
2001-10-22,WRB,NYSE,2.6150404189,2.7575426214,2.6150404189,2.7475424669,4216809.37289792,
2001-10-23,WRB,NYSE,2.7275421577,2.7350422736,2.6725413076,2.7100418872,1278028.1243629032,
2001-10-24,WRB,NYSE,2.6900415781,2.7070418409,2.6525409985,2.6910415936,1971717.1865170987,
2001-10-25,WRB,NYSE,2.6750413463,2.7575426214,2.635040728,2.7550425828,2236549.2176350798,
2001-10-26,WRB,NYSE,2.7425423896,2.8125434715,2.7250421191,2.7800429692,4602951.560205429,
2001-10-29,WRB,NYSE,2.7250421191,2.7250421191,2.6450408826,2.6925416167,3610258.5919502857,
2001-10-30,WRB,NYSE,2.6500409598,2.7200420418,2.6370407589,2.7150419645,1981968.749011989,
2001-10-31,WRB,NYSE,2.7275421577,2.7275421577,2.6550410371,2.6605411221,2069107.0302185505,
2001-11-01,WRB,NYSE,2.6480409289,2.7080418563,2.6400408053,2.7000417327,6899301.559060698,
2001-11-02,WRB,NYSE,2.7500425055,2.8925447081,2.7450424282,2.8750444376,24417513.26907787,
2001-11-05,WRB,NYSE,2.8990448085,2.9200451331,2.8400438966,2.8500440512,13608949.211965935,
